600271 航天信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	25.77	25.95	24.06	24.42	2704841	71743344.00
2011/10/11	25.05	25.35	24.05	24.46	3581906	92961448.00
2011/10/12	24.26	25.42	24.15	25.26	2897931	76328176.00
2011/10/13	25.25	26.19	25.12	25.63	4084401	110695768.00
2011/10/14	25.63	25.70	24.55	25.27	1455792	38963784.00
2011/10/17	25.22	26.03	24.65	25.86	2626755	71638208.00
2011/10/18	25.57	26.07	25.57	25.65	3347688	91283176.00
2011/10/19	25.56	25.84	25.24	25.55	2508705	67664800.00
2011/10/20	25.02	25.55	24.15	25.33	2650289	69933536.00
2011/10/21	25.45	25.45	24.15	24.54	2696269	70253368.00
2011/10/24	24.51	25.03	23.60	24.41	3237144	83266128.00
2011/10/25	24.16	25.13	23.80	25.04	9233040	241329680.00
2011/10/26	24.82	24.85	22.39	22.64	40688591	990150016.00
2011/10/27	23.27	23.49	22.55	23.10	33707385	824854720.00
2011/10/28	23.14	23.26	22.45	22.80	17043527	411694688.00
2011/10/31	22.81	23.68	22.71	23.54	16664858	411961888.00
2011/11/01	23.36	24.14	22.94	24.09	17983155	453282176.00
2011/11/02	23.54	24.67	23.45	24.42	13641521	348027136.00
2011/11/03	24.77	25.62	24.42	24.43	14837972	391967040.00
2011/11/04	24.58	24.78	24.26	24.42	7013400	181915872.00
2011/11/07	24.43	24.45	23.57	23.64	7981419	203292592.00
2011/11/08	23.59	24.00	23.45	23.56	5270845	132325608.00
2011/11/09	23.76	23.98	23.34	23.80	5722294	143895376.00
2011/11/10	23.46	24.17	23.36	23.83	8801235	223544320.00
2011/11/11	23.80	24.41	23.70	24.34	6683230	170832816.00
2011/11/14	24.37	24.90	24.27	24.82	7989881	209312672.00
2011/11/15	24.83	25.38	24.83	25.33	10186377	270951904.00
2011/11/16	25.35	25.48	24.46	24.85	5405223	142249504.00
2011/11/17	24.76	25.32	24.76	24.84	4313169	114314656.00
2011/11/18	24.61	25.10	23.75	23.94	6423867	165663104.00
2011/11/21	24.11	24.17	22.95	23.37	5646148	139555328.00
2011/11/22	23.19	23.77	23.00	23.62	4935414	123000312.00
2011/11/23	23.51	23.67	23.35	23.63	2009879	50155496.00
2011/11/24	23.44	23.97	23.24	23.89	1963762	49301848.00
2011/11/25	23.84	24.04	23.33	23.93	2124464	53426124.00
2011/11/28	23.92	24.42	23.62	24.31	2476222	63140984.00
2011/11/29	24.48	24.60	24.18	24.53	4935973	127766184.00
2011/11/30	24.55	24.55	23.07	23.71	5370295	135475856.00
2011/12/01	24.20	24.54	23.76	23.79	4504618	115657168.00
2011/12/02	23.55	23.76	22.73	23.45	4168597	102814464.00
2011/12/05	23.45	23.45	22.35	22.39	4371765	105848240.00
2011/12/06	22.30	22.39	21.35	21.96	3243354	75359760.00
2011/12/07	21.95	22.10	21.65	22.02	3742898	87445048.00
2011/12/08	22.02	22.33	21.55	21.59	5059333	117718920.00
2011/12/09	21.71	21.74	20.42	20.46	5784314	129615848.00
2011/12/12	20.44	20.70	20.35	20.38	2841723	62371380.00
2011/12/13	20.30	20.64	19.63	19.83	4336063	93032608.00
2011/12/14	19.65	19.84	18.90	18.98	6122897	126800152.00
2011/12/15	18.95	19.14	18.30	18.98	5485238	110309992.00
2011/12/16	18.85	20.55	18.80	19.80	7128006	150916128.00
2011/12/19	19.82	20.73	19.38	20.37	4655096	99746040.00
2011/12/20	20.31	20.53	19.81	19.85	1899370	41045548.00
2011/12/21	20.12	21.03	19.89	20.08	5550512	121609696.00
2011/12/22	20.05	20.30	19.81	20.24	4321562	93103144.00
2011/12/23	20.23	20.64	20.10	20.35	2763456	60512800.00
2011/12/26	20.35	20.65	19.87	20.18	1950668	42327848.00
2011/12/27	20.15	20.15	19.25	19.29	2754366	57667012.00
2011/12/28	19.15	19.25	18.60	19.04	1918373	39048304.00
2011/12/29	18.80	19.35	18.65	19.14	1967417	40466816.00
2011/12/30	19.16	19.60	18.05	18.41	4660915	96493976.00
2012/01/04	19.15	19.15	17.76	17.81	3667593	73278472.00
2012/01/05	17.65	17.65	16.40	16.56	10896825	198561392.00
2012/01/06	16.59	16.61	16.05	16.56	5181024	91805440.00
2012/01/09	16.56	17.13	16.13	17.11	8799331	159015408.00
2012/01/10	16.91	18.97	16.80	18.54	12492074	240919792.00
2012/01/11	18.50	19.10	18.11	18.62	8483275	170413472.00
2012/01/12	18.33	18.91	18.32	18.49	6036112	120962016.00
2012/01/13	18.55	18.60	17.23	18.23	8604210	166825680.00
2012/01/16	17.90	18.50	17.45	17.83	5646849	108483512.00
2012/01/17	17.71	18.88	17.23	18.82	10177916	198589200.00
2012/01/18	18.81	18.83	17.87	17.89	5916592	116943280.00
2012/01/19	17.70	18.48	17.67	18.31	5167709	101740888.00
2012/01/20	18.32	19.00	18.31	18.77	5062476	101774352.00
2012/01/30	18.80	18.85	18.15	18.34	2912149	58064792.00
2012/01/31	18.41	18.53	17.46	17.77	5285763	101894128.00
2012/02/01	17.72	17.83	17.05	17.14	8139466	152991456.00
2012/02/02	17.24	17.62	17.05	17.61	4864891	91218960.00
2012/02/03	17.61	18.06	17.38	17.97	6108577	117412584.00
2012/02/06	18.35	18.37	18.02	18.27	3315416	65107084.00
2012/02/07	18.20	18.33	17.62	18.29	3549587	68926256.00
2012/02/08	18.17	19.65	18.09	19.16	7151162	145715056.00
2012/02/09	19.16	19.55	19.04	19.30	6823044	141405744.00
2012/02/10	19.15	19.41	18.84	19.03	4489138	92199352.00
2012/02/13	18.75	19.34	18.70	19.15	2617896	53890900.00
2012/02/14	19.30	20.24	19.30	19.81	12941020	275372736.00
2012/02/15	19.74	20.73	19.60	20.71	9167338	199112000.00
2012/02/16	20.82	20.91	20.26	20.54	6478544	142948048.00
2012/02/17	20.68	20.82	20.13	20.71	3857830	84505184.00
2012/02/20	21.10	21.24	20.21	20.39	5660199	124542112.00
2012/02/21	20.38	20.48	20.06	20.47	4243456	92149496.00
2012/02/22	20.44	21.15	20.20	21.14	8591325	190375296.00
2012/02/23	21.04	21.31	20.87	21.17	8199035	184342768.00
2012/02/24	21.15	21.19	20.75	21.02	6919367	154943584.00
2012/02/27	21.09	21.64	21.07	21.13	10710643	243395648.00
2012/02/28	21.04	21.72	20.97	21.70	9850692	225532896.00
2012/02/29	21.70	21.70	21.18	21.19	3655867	83424416.00
2012/03/01	21.15	21.53	21.07	21.21	3497548	79409640.00
2012/03/02	21.25	21.45	21.13	21.43	6817089	154939968.00
2012/03/05	21.53	21.60	20.95	20.99	10236070	232467408.00
2012/03/06	20.95	20.95	19.61	19.74	24969082	532812448.00
2012/03/07	19.48	19.48	19.01	19.22	19057175	394077472.00
2012/03/08	19.30	19.42	19.02	19.16	17987154	371901344.00
2012/03/09	19.26	19.80	19.03	19.80	22180000	460919744.00
2012/03/12	19.78	19.93	19.48	19.78	17459323	369889440.00
2012/03/13	19.72	19.94	19.69	19.92	12168150	259123456.00
2012/03/14	20.03	20.17	18.75	18.82	19397428	408020832.00
2012/03/15	18.75	19.05	18.10	18.19	16674589	332012864.00
2012/03/16	18.24	18.50	17.85	18.43	17641468	347710144.00
2012/03/19	18.40	18.43	17.99	18.41	14208675	279649152.00
2012/03/20	18.41	18.41	17.91	17.93	9568109	186985152.00
2012/03/21	18.05	18.15	17.63	17.77	9730281	188137808.00
2012/03/22	18.06	18.65	17.88	18.43	14747180	290611296.00
2012/03/23	18.42	18.42	18.00	18.23	6895698	135478848.00
2012/03/26	18.21	18.30	17.79	18.02	6767981	131514736.00
2012/03/27	18.13	18.54	18.00	18.44	18918835	373603968.00
2012/03/28	18.30	18.35	17.81	17.85	11952538	232481424.00
2012/03/29	17.71	17.71	16.95	16.98	17895588	333463712.00
2012/03/30	16.98	17.15	16.67	16.81	6139611	112420744.00
2012/04/05	16.82	17.59	16.82	17.45	8780862	165023760.00
2012/04/06	17.56	17.73	17.35	17.57	5453460	103598664.00
2012/04/09	17.50	17.66	17.26	17.40	4085960	77234720.00
2012/04/10	17.36	17.67	17.05	17.66	6432707	121462224.00
2012/04/11	17.45	17.95	17.36	17.85	8717668	167772480.00
2012/04/12	17.86	18.41	17.82	18.34	9698630	190740624.00
2012/04/13	18.41	18.44	18.10	18.31	6853990	135253104.00
2012/04/16	18.20	18.66	18.11	18.49	7471677	148717456.00
2012/04/17	18.53	18.56	18.01	18.06	6103596	120340320.00
2012/04/18	18.20	18.55	18.02	18.49	7073504	140044080.00
2012/04/19	18.52	18.52	18.28	18.38	4074959	80877280.00
2012/04/20	18.21	18.40	18.14	18.38	5877335	116029448.00
2012/04/23	18.38	18.88	18.34	18.73	11249519	225868640.00
2012/04/24	18.71	18.98	17.95	18.25	11884732	236620400.00
2012/04/25	18.30	18.36	18.00	18.20	6503777	127622176.00
2012/04/27	18.28	18.90	18.12	18.73	10347356	206566336.00
2012/05/02	19.02	19.21	18.77	19.07	12144829	249011104.00
2012/05/03	19.07	19.30	18.84	18.95	8894391	182215024.00
2012/05/04	19.02	19.29	18.95	19.28	10138357	208481760.00
2012/05/07	19.14	19.41	19.09	19.38	10834759	224614368.00
2012/05/08	19.44	19.61	19.24	19.35	12467544	260297184.00
2012/05/09	19.15	19.19	18.71	18.81	9752984	198359312.00
2012/05/10	18.95	19.03	18.75	18.90	6505106	132439552.00
2012/05/11	18.93	19.02	18.73	18.77	5562244	112875704.00
2012/05/14	18.95	18.99	18.74	18.81	4827992	95991520.00
2012/05/15	18.64	18.91	18.27	18.86	5679191	110979864.00
2012/05/16	18.71	18.71	18.34	18.36	4210546	82096672.00
2012/05/17	18.31	18.68	18.31	18.56	3556598	69452832.00
2012/05/18	18.45	18.50	17.65	17.74	7063724	134475248.00
2012/05/21	17.77	18.19	17.67	18.18	5362589	102171088.00
2012/05/22	18.24	18.80	18.20	18.72	7151097	140594064.00
2012/05/23	18.73	18.78	18.47	18.61	4106174	80667792.00
2012/05/24	18.52	18.81	18.52	18.60	3797004	74708160.00
2012/05/25	18.63	18.79	18.43	18.52	3225086	63370444.00
2012/05/28	18.52	18.92	17.98	18.90	5469104	107183688.00
2012/05/29	18.90	19.10	18.70	18.94	12943370	257865104.00
2012/05/30	18.92	19.03	18.52	18.59	7674082	151743600.00
2012/05/31	18.48	18.81	18.37	18.65	3606459	70779168.00
2012/06/01	18.65	18.79	18.39	18.61	5050289	99109872.00
2012/06/04	18.27	18.45	17.97	18.25	7436746	143078000.00
2012/06/05	18.17	18.59	18.09	18.16	6913186	134124872.00
2012/06/06	18.27	18.52	18.10	18.20	4001474	77311632.00
2012/06/07	18.41	18.47	18.15	18.25	4599709	89060304.00
2012/06/08	18.45	18.45	18.12	18.24	4629826	89436264.00
2012/06/11	18.38	18.42	18.18	18.29	6182678	119483216.00
2012/06/12	18.26	18.26	17.69	18.20	5945773	112865624.00
2012/06/13	18.17	18.47	18.12	18.34	5322626	102791136.00
2012/06/14	18.34	18.34	17.82	18.02	5310239	101541320.00
2012/06/15	18.05	18.16	17.92	18.05	4424166	84235984.00
2012/06/18	18.22	18.32	17.97	18.25	4717107	90610800.00
2012/06/19	18.25	18.36	18.08	18.17	5030443	96741664.00
2012/06/20	18.20	18.43	18.14	18.30	4956774	95796288.00
2012/06/21	18.27	18.32	18.02	18.26	4340945	83245664.00
2012/06/25	18.17	18.17	17.38	17.41	5980775	112908256.00
2012/06/26	17.34	17.37	16.59	16.95	5065141	91218824.00
2012/06/27	16.94	17.09	16.72	16.84	3628174	65018228.00
2012/06/28	16.95	16.97	16.73	16.87	3674665	65663412.00
2012/06/29	16.85	17.96	16.72	17.88	5244043	96085872.00
2012/07/02	17.77	17.77	17.25	17.34	6848398	126370656.00
2012/07/03	17.28	17.50	17.13	17.24	2822810	51823048.00
2012/07/04	17.27	17.41	17.17	17.23	2217147	40591596.00
2012/07/05	17.24	17.27	16.64	16.65	4030760	71818216.00
2012/07/06	16.76	16.92	16.47	16.77	3374719	59857628.00
2012/07/09	16.77	16.77	15.94	15.97	5559022	95935328.00
2012/07/10	16.00	16.16	15.95	15.96	3083262	52626024.00
2012/07/11	15.97	16.09	15.85	15.99	3248294	55271244.00
2012/07/12	15.99	16.04	15.58	15.99	7487131	125978560.00
2012/07/13	15.95	16.01	15.39	15.42	8651884	144404928.00
