600272 开开实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.55	8.60	8.20	8.24	914169	7699252.00
2011/10/11	8.41	8.48	8.09	8.22	1125299	9425744.00
2011/10/12	8.15	8.57	8.11	8.53	1881897	15979607.00
2011/10/13	8.50	9.00	8.41	8.85	4663489	41292120.00
2011/10/14	8.85	9.03	8.58	8.92	2497439	22007362.00
2011/10/17	8.88	9.15	8.75	9.05	3065496	27502544.00
2011/10/18	9.06	9.11	8.83	9.01	2211881	19861612.00
2011/10/19	8.99	9.01	8.68	8.86	3238054	28786944.00
2011/10/20	8.72	8.85	8.40	8.81	2477249	21601178.00
2011/10/21	8.75	9.03	8.60	8.83	3085544	27211756.00
2011/10/24	8.79	8.92	8.46	8.84	4841678	42611304.00
2011/10/25	8.76	9.29	8.70	9.22	7264179	65748912.00
2011/10/26	9.06	9.28	9.06	9.20	5386259	49800024.00
2011/10/27	9.21	9.30	9.13	9.16	4076447	37758864.00
2011/10/28	9.23	9.43	9.16	9.36	3587516	33563404.00
2011/10/31	9.22	9.42	9.22	9.37	2046654	19183714.00
2011/11/01	9.36	10.31	9.27	10.24	15751278	158105360.00
2011/11/02	9.96	10.25	9.87	10.13	11591519	117905376.00
2011/11/03	10.13	10.18	10.01	10.08	4067500	41292720.00
2011/11/04	10.08	11.05	10.07	10.99	21627118	232867728.00
2011/11/07	10.81	10.83	10.51	10.80	6108338	65768788.00
2011/11/08	10.66	10.94	10.64	10.67	3926780	42306668.00
2011/11/09	10.70	10.79	10.39	10.65	5378005	56920320.00
2011/11/10	10.58	10.83	10.40	10.54	4374880	46807396.00
2011/11/11	10.48	10.88	10.37	10.76	15379999	165670016.00
2011/11/14	10.77	10.91	10.65	10.82	12378874	133892192.00
2011/11/15	10.77	10.90	10.61	10.75	9471187	102387784.00
2011/11/16	10.76	10.76	9.87	9.96	9298992	95603768.00
2011/11/17	9.94	10.10	9.70	9.92	7413736	74133472.00
2011/11/18	9.76	9.98	9.43	9.72	6315971	61851540.00
2011/11/21	9.74	9.93	9.59	9.90	4790513	47099384.00
2011/11/22	9.75	9.89	9.66	9.86	3008654	29583894.00
2011/11/23	9.82	9.85	9.62	9.63	2720483	26597312.00
2011/11/24	9.45	9.89	9.23	9.79	5712268	55487664.00
2011/11/25	9.79	9.88	9.57	9.61	2774722	27173188.00
2011/11/28	9.56	9.73	9.41	9.47	2151784	20768180.00
2011/11/29	9.50	9.61	9.35	9.51	2138505	20357960.00
2011/11/30	9.47	9.52	8.86	9.11	4253302	39230032.00
2011/12/01	9.29	9.88	9.23	9.74	8521171	82836608.00
2011/12/02	9.65	9.79	9.60	9.77	4428737	43422328.00
2011/12/05	9.77	9.78	9.28	9.44	3733148	35746696.00
2011/12/06	9.35	9.41	9.06	9.28	2357750	21841888.00
2011/12/07	9.25	9.33	9.10	9.27	1327553	12326858.00
2011/12/08	9.29	9.29	8.96	9.05	2024167	18477408.00
2011/12/09	8.97	9.32	8.87	9.30	3376228	31098970.00
2011/12/12	9.28	9.39	9.21	9.25	1538156	14352562.00
2011/12/13	9.08	9.15	8.89	9.10	1655873	14987125.00
2011/12/14	9.07	9.17	8.97	9.09	1949707	17876336.00
2011/12/15	9.00	9.14	8.65	9.06	1627622	14581886.00
2011/12/16	8.95	9.07	8.65	9.03	1945862	17364232.00
2011/12/19	8.97	9.19	8.84	9.17	1902967	17301670.00
2011/12/20	9.03	9.34	9.01	9.25	3903429	36356576.00
2011/12/21	9.31	9.32	8.66	8.73	1998189	18376204.00
2011/12/22	8.67	9.03	8.47	8.90	3768006	32965336.00
2011/12/23	8.84	9.74	8.75	9.32	13329229	126833440.00
2011/12/26	9.22	9.41	9.16	9.24	2476835	23190798.00
2011/12/27	9.22	9.33	8.99	9.23	2400687	22186976.00
2011/12/28	9.19	9.39	9.03	9.23	14521762	134668336.00
2011/12/29	9.19	9.25	9.08	9.22	2590259	23870928.00
2011/12/30	9.22	9.45	9.13	9.35	9616399	90387056.00
2012/01/04	9.36	9.42	9.05	9.29	4550716	42319432.00
2012/01/05	9.19	9.31	8.95	9.13	7781609	71919352.00
2012/01/06	9.10	9.15	8.80	9.13	4140639	37595776.00
2012/01/09	9.21	9.31	9.02	9.28	5898465	54787648.00
2012/01/10	9.25	9.73	9.11	9.52	12762783	119826688.00
2012/01/11	9.35	9.49	9.28	9.31	6017143	56710244.00
2012/01/12	9.29	9.38	8.84	8.93	5096324	46962048.00
2012/01/13	8.75	8.89	8.03	8.03	6805555	56721004.00
2012/01/16	7.76	7.76	7.22	7.23	5413065	39829336.00
2012/01/17	7.35	7.52	6.99	7.50	3430239	25480856.00
2012/01/18	7.46	7.52	7.15	7.16	3302392	24245162.00
2012/01/19	7.15	7.23	7.06	7.13	1997963	14382624.00
2012/01/20	7.14	7.33	7.11	7.29	1845209	13470620.00
2012/01/30	7.30	7.36	7.25	7.27	1533955	11280912.00
2012/01/31	7.26	7.30	7.10	7.21	1270262	9163445.00
2012/02/01	7.19	7.31	7.16	7.23	1503620	10954770.00
2012/02/02	7.23	7.37	7.22	7.37	2161530	15871984.00
2012/02/03	7.34	7.54	7.32	7.50	3122835	23463988.00
2012/02/06	7.50	7.69	7.47	7.57	4374673	33428836.00
2012/02/07	7.52	7.56	7.37	7.46	2246456	16846414.00
2012/02/08	7.47	7.93	7.40	7.84	4350849	33602696.00
2012/02/09	7.80	8.23	7.73	8.13	5753302	46010104.00
2012/02/10	8.55	8.55	7.82	7.96	8839182	71465320.00
2012/02/13	7.85	7.93	7.77	7.88	4185440	33041966.00
2012/02/14	7.86	7.91	7.75	7.82	2724324	21440336.00
2012/02/15	7.80	8.02	7.78	7.98	3599062	28623616.00
2012/02/16	7.94	8.02	7.86	7.94	2902478	23187886.00
2012/02/17	7.95	8.00	7.86	7.89	2125295	16919564.00
2012/02/20	7.97	8.00	7.84	7.91	3299527	26323416.00
2012/02/21	7.83	7.95	7.75	7.92	2763654	21844520.00
2012/02/22	7.92	8.11	7.87	8.09	4694675	37879916.00
2012/02/23	8.09	8.15	8.05	8.13	3754911	30605956.00
2012/02/24	8.12	8.21	8.11	8.16	3858211	31643334.00
2012/02/27	8.18	8.33	8.12	8.18	4092092	33817304.00
2012/02/28	8.15	8.18	7.96	8.05	3212818	26043876.00
2012/02/29	8.06	8.13	7.96	7.96	2197439	17754852.00
2012/03/01	7.95	8.05	7.91	8.00	1972356	15843586.00
2012/03/02	8.04	8.20	7.99	8.16	3317405	27079478.00
2012/03/05	8.16	8.49	8.13	8.29	6194163	52033808.00
2012/03/06	8.45	8.45	8.24	8.26	3576570	29858560.00
2012/03/07	8.26	8.53	8.20	8.37	4059276	34290320.00
2012/03/08	8.47	8.73	8.37	8.64	7584329	65167536.00
2012/03/09	8.59	8.67	8.49	8.58	3913403	33640776.00
2012/03/12	8.58	8.69	8.45	8.53	2291780	19718244.00
2012/03/13	8.53	8.59	8.44	8.58	2371929	20410692.00
2012/03/14	8.59	8.64	7.93	7.97	4995490	41977848.00
2012/03/15	7.97	8.04	7.57	7.71	4142216	32374216.00
2012/03/16	7.75	7.84	7.68	7.81	3145046	24603036.00
2012/03/19	7.82	7.99	7.80	7.95	2716387	21634856.00
2012/03/20	7.90	8.07	7.77	7.78	2186468	17380466.00
2012/03/21	7.79	7.89	7.72	7.88	2322601	18278396.00
2012/03/22	7.87	8.04	7.80	7.95	2475456	19774276.00
2012/03/23	7.89	8.09	7.88	7.96	2852546	22892280.00
2012/03/26	7.96	8.08	7.88	7.97	1970962	15861409.00
2012/03/27	8.02	8.02	7.75	7.83	2142960	17006662.00
2012/03/28	7.73	7.77	7.29	7.37	2482069	18725996.00
2012/03/29	7.38	7.38	7.18	7.35	1504149	11056552.00
2012/03/30	7.36	7.38	7.26	7.29	853932	6299505.00
2012/04/05	7.31	7.65	7.29	7.61	1813682	13617178.00
2012/04/06	7.61	8.10	7.50	8.00	3065234	24186448.00
2012/04/09	7.94	8.10	7.72	7.78	3837571	30493036.00
2012/04/10	7.70	7.74	7.45	7.70	1955672	15010973.00
2012/04/11	7.60	7.88	7.55	7.85	1826356	14268547.00
2012/04/12	7.87	8.02	7.78	7.99	2574138	20532952.00
2012/04/13	8.00	8.25	7.95	8.10	4811572	39281208.00
2012/04/16	8.04	8.39	7.99	8.19	4456423	36787540.00
2012/04/17	8.14	8.35	8.03	8.07	2991530	24629102.00
2012/04/18	8.08	8.30	8.00	8.28	3447745	28304676.00
2012/04/19	8.24	8.29	8.10	8.19	1828648	15098825.00
2012/04/20	8.14	8.65	8.14	8.55	8914433	76311528.00
2012/04/23	8.53	9.13	8.42	8.94	13682822	120915640.00
2012/04/24	8.80	9.00	8.26	8.76	9386496	82128280.00
2012/04/25	9.11	9.40	8.81	8.98	11996057	109902960.00
2012/04/26	8.87	9.01	8.68	8.70	6919177	61494152.00
2012/04/27	8.65	8.90	8.55	8.72	5439783	47749200.00
2012/05/02	8.83	8.99	8.67	8.89	5692213	50882960.00
2012/05/03	8.91	8.92	8.73	8.88	3630716	32155700.00
2012/05/04	8.84	8.87	8.71	8.78	3405062	30051452.00
2012/05/07	8.76	8.77	8.55	8.76	3921502	34085896.00
2012/05/08	8.73	8.81	8.63	8.75	2776056	24324450.00
2012/05/09	8.65	8.71	8.45	8.46	2756036	23735200.00
2012/05/10	8.39	8.50	8.31	8.35	3056872	25832388.00
2012/05/11	8.39	8.50	8.33	8.41	2451406	20822880.00
2012/05/14	8.51	9.15	8.46	8.80	9815139	87672336.00
2012/05/15	8.71	9.03	8.63	8.98	6421855	57284848.00
2012/05/16	8.95	8.95	8.68	8.73	3510965	31063160.00
2012/05/17	8.70	8.85	8.62	8.82	4285262	37601184.00
2012/05/18	8.70	8.75	8.28	8.32	4382387	37471368.00
2012/05/21	8.26	8.44	8.25	8.33	1605828	13479570.00
2012/05/22	8.34	8.53	8.34	8.49	1700388	14433437.00
2012/05/23	8.47	8.85	8.44	8.82	5699526	49823976.00
2012/05/24	8.82	9.00	8.69	8.84	4736408	42197024.00
2012/05/25	8.77	8.89	8.58	8.63	2986489	26163940.00
2012/05/28	8.64	8.84	8.29	8.83	3617534	31171408.00
2012/05/29	8.81	8.95	8.78	8.89	4416221	39457588.00
2012/05/30	8.88	8.93	8.74	8.79	2669112	23656848.00
2012/05/31	8.73	9.15	8.73	9.07	6516106	59202816.00
2012/06/01	9.01	9.15	8.91	9.01	2641541	23933816.00
2012/06/04	8.84	8.90	8.48	8.51	3405371	29777996.00
2012/06/05	8.51	8.67	8.36	8.40	2259398	19356040.00
2012/06/06	8.41	8.66	8.41	8.61	2361933	20331366.00
2012/06/07	8.73	8.77	8.44	8.63	2383476	20685458.00
2012/06/08	8.66	8.78	8.46	8.53	2039439	17613736.00
2012/06/11	8.54	8.80	8.48	8.79	2143878	18654840.00
2012/06/12	8.72	8.79	8.59	8.69	1964766	17132444.00
2012/06/13	8.70	9.06	8.68	8.96	5110171	45838520.00
2012/06/14	8.92	9.04	8.84	8.94	2532409	22761832.00
2012/06/15	8.97	9.31	8.95	9.13	5758640	52929324.00
2012/06/18	9.10	9.22	9.05	9.14	2953150	27075584.00
2012/06/19	9.11	9.26	9.04	9.16	3333134	30709784.00
2012/06/20	9.14	9.24	8.90	8.92	3126583	28368312.00
2012/06/21	8.89	8.89	8.57	8.70	2500444	21861456.00
2012/06/25	8.65	8.80	8.56	8.63	2129153	18589822.00
2012/06/26	8.56	8.88	8.56	8.83	2592820	22848816.00
2012/06/28	8.89	8.91	8.16	8.21	3470250	29976936.00
2012/06/29	8.05	8.13	7.76	8.10	3203302	25752252.00
2012/07/02	8.13	8.25	8.05	8.24	1960406	16093680.00
2012/07/03	8.19	8.42	8.15	8.32	2088281	17431236.00
2012/07/04	8.31	8.35	8.15	8.22	1615367	13386255.00
2012/07/05	8.19	8.19	7.91	7.97	1869825	15084687.00
2012/07/06	8.02	8.20	7.95	8.17	1322341	10741266.00
2012/07/09	8.12	8.32	8.00	8.01	1985572	16335273.00
2012/07/10	7.97	8.05	7.91	7.95	1181486	9474564.00
2012/07/11	7.95	8.08	7.79	8.07	1181677	9484493.00
2012/07/12	8.05	8.44	8.04	8.31	3497309	29219724.00
2012/07/13	8.23	8.34	8.15	8.27	1783538	14787449.00
2012/07/16	8.35	9.10	8.15	9.10	7499093	66323056.00
2012/07/17	9.52	9.95	9.20	9.51	20925138	201311568.00
2012/07/18	9.34	10.47	9.34	10.47	24305703	250241872.00
2012/07/19	10.65	11.52	10.65	11.52	6310164	73008328.00
2012/07/20	12.16	12.68	12.07	12.68	26802450	336083072.00
2012/07/23	12.94	12.95	11.78	12.21	29300195	357933952.00
2012/07/24	12.21	12.51	11.98	12.43	22493558	276911008.00
2012/07/25	12.22	12.42	11.83	11.89	20245436	245518256.00
2012/07/26	11.77	11.99	11.42	11.53	18805643	220325776.00
2012/07/27	11.54	11.78	11.06	11.24	17185464	196776112.00
2012/07/30	11.10	11.36	10.90	11.15	12060473	134866896.00
2012/07/31	11.15	12.27	10.91	11.91	36043823	425594656.00
2012/08/01	11.53	11.55	10.95	11.34	21963659	248765232.00
2012/08/02	11.20	12.05	10.95	11.88	20810527	239197216.00
2012/08/03	11.74	13.07	11.63	13.07	21679466	266324416.00
2012/08/06	13.24	14.38	13.23	14.38	26574805	370642624.00
2012/08/07	14.63	15.45	13.82	13.99	33851559	490097824.00
2012/08/08	13.86	14.03	13.51	13.72	20007516	275824800.00
2012/08/09	13.68	14.14	13.15	13.60	23964754	327785344.00
2012/08/10	13.37	13.95	13.30	13.40	17800896	243061856.00
2012/08/13	13.18	13.62	13.06	13.46	12478862	168040800.00
2012/08/14	13.44	13.45	12.15	12.62	18020122	228865840.00
2012/08/15	12.45	12.71	12.17	12.22	10906964	135970576.00
2012/08/16	12.07	12.43	11.88	11.97	9125849	111311248.00
2012/08/17	11.95	12.34	11.76	12.31	9418110	114052176.00
2012/08/20	12.15	12.50	11.93	12.31	9130384	112032584.00
2012/08/21	12.29	12.52	12.08	12.34	9348719	115718224.00
2012/08/22	12.33	12.34	11.35	11.36	14995249	177041760.00
2012/08/23	11.29	11.56	11.20	11.46	8038472	92074880.00
2012/08/24	11.42	11.42	10.89	10.96	7577955	84484056.00
2012/08/27	10.83	11.25	10.77	11.02	7213528	79933088.00
2012/08/28	10.75	10.99	10.57	10.92	7597034	82239640.00
