600276 恒瑞医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	21.70	21.91	21.32	21.82	925102	26929332.00
2011/10/11	22.14	22.26	21.57	21.80	2382150	70628008.00
2011/10/12	21.87	21.95	21.46	21.85	3392738	99030328.00
2011/10/13	21.86	21.93	21.57	21.88	2687760	78450736.00
2011/10/14	21.85	21.85	21.50	21.66	1335437	38937104.00
2011/10/17	21.68	21.82	21.52	21.66	1108137	32251124.00
2011/10/18	21.58	21.69	21.42	21.43	1012236	29269676.00
2011/10/19	21.43	21.70	21.41	21.57	1365452	39587456.00
2011/10/20	21.42	21.63	20.96	21.08	1460389	41739596.00
2011/10/21	21.44	21.44	20.60	20.63	2974957	83268640.00
2011/10/24	20.61	21.07	20.40	20.88	2297519	63814980.00
2011/10/25	20.91	21.32	20.63	21.13	1908083	54036916.00
2011/10/26	21.05	21.68	21.05	21.44	2164015	62371200.00
2011/10/27	21.57	21.91	21.44	21.87	1913465	56098800.00
2011/10/28	21.87	22.11	21.56	21.96	3055723	89399296.00
2011/10/31	21.87	21.87	21.43	21.47	4563891	132236728.00
2011/11/01	21.35	21.81	21.35	21.48	2643259	76701152.00
2011/11/02	21.35	22.32	21.27	22.23	5763899	170567328.00
2011/11/03	22.35	23.00	22.13	22.70	3786919	115640168.00
2011/11/04	22.93	23.23	22.47	22.72	1730289	53008708.00
2011/11/07	22.40	23.08	22.40	23.00	1864364	57418192.00
2011/11/08	23.16	23.19	22.74	22.98	1533607	47294212.00
2011/11/09	23.08	23.14	22.36	22.92	1312871	40112520.00
2011/11/10	22.51	23.00	22.48	22.94	2102709	64508168.00
2011/11/11	22.96	23.02	22.70	22.94	985127	30268416.00
2011/11/14	23.02	23.31	23.02	23.27	1684481	52564348.00
2011/11/15	23.36	23.60	23.15	23.59	1641651	51536780.00
2011/11/16	23.59	23.80	22.55	23.02	2798299	86979368.00
2011/11/17	23.00	23.30	22.86	22.96	1943313	60213184.00
2011/11/18	22.74	22.92	22.17	22.38	3402732	102860336.00
2011/11/21	22.43	22.53	22.21	22.46	809293	24312782.00
2011/11/22	22.41	22.53	21.95	22.35	1308795	39211028.00
2011/11/23	22.40	22.40	21.95	22.35	1116507	33329652.00
2011/11/24	22.32	23.29	22.10	23.12	3504910	108200192.00
2011/11/25	23.02	23.38	22.95	23.19	1340768	41765164.00
2011/11/28	23.19	23.71	22.71	23.57	3097971	97880888.00
2011/11/29	23.64	23.79	23.24	23.55	3382756	107102632.00
2011/11/30	23.56	23.62	22.76	23.05	3013315	93513720.00
2011/12/01	23.08	24.09	23.08	23.51	4375851	138525216.00
2011/12/02	23.29	23.70	23.08	23.64	2394853	75425832.00
2011/12/05	23.51	23.74	22.85	23.24	1906979	59671800.00
2011/12/06	23.07	23.08	22.70	22.74	1913825	58925556.00
2011/12/07	22.72	22.86	22.47	22.77	1478129	44919932.00
2011/12/08	22.70	23.23	22.31	23.20	1637130	50062680.00
2011/12/09	23.15	23.60	22.79	23.50	1631390	50664856.00
2011/12/12	23.08	23.50	22.70	22.82	3158889	97612096.00
2011/12/13	22.72	22.94	22.02	22.44	4917524	147994544.00
2011/12/14	22.44	22.44	21.61	22.05	2709495	80236440.00
2011/12/15	21.81	22.08	21.50	21.84	1017047	29739360.00
2011/12/16	21.60	22.02	21.42	21.94	1794969	52546396.00
2011/12/19	21.60	22.65	21.60	22.47	2784275	82489616.00
2011/12/20	23.15	23.43	22.25	22.54	3407168	104406912.00
2011/12/21	22.85	22.92	21.89	22.26	1378876	41487380.00
2011/12/22	22.17	22.59	22.02	22.50	2498824	75042904.00
2011/12/23	22.50	22.70	22.18	22.45	1983835	60124504.00
2011/12/26	22.23	22.55	22.07	22.23	1651602	49422600.00
2011/12/27	22.17	22.38	21.38	21.49	2965773	86684168.00
2011/12/28	21.41	21.86	21.35	21.50	2043193	59281592.00
2011/12/29	21.57	21.60	21.22	21.49	1655133	47697136.00
2011/12/30	21.50	21.97	21.40	21.90	3092975	90169280.00
2012/01/04	21.95	22.14	21.12	21.16	1184713	34307788.00
2012/01/05	20.85	21.20	19.77	20.07	3892296	107190928.00
2012/01/06	20.09	20.25	19.50	19.73	3375686	89722832.00
2012/01/09	19.81	20.45	19.02	20.37	4308535	113280168.00
2012/01/10	20.26	20.94	20.06	20.63	3037121	83903056.00
2012/01/11	20.60	20.81	20.37	20.60	2291432	63360296.00
