600279 重庆港九 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.91	9.02	8.72	8.89	703360	6326836.00
2011/10/11	9.11	9.12	8.80	8.99	1198011	10950396.00
2011/10/12	8.92	9.19	8.86	9.17	2425631	22301116.00
2011/10/13	9.10	9.22	9.02	9.13	1660029	15431798.00
2011/10/14	9.07	9.11	8.91	8.93	877159	8037740.00
2011/10/18	8.92	8.97	8.58	8.61	904555	8107485.00
2011/10/19	8.60	8.72	8.42	8.43	1110950	9711201.00
2011/10/20	8.42	8.46	8.01	8.06	1330864	11078934.00
2011/10/21	8.06	8.09	7.84	7.88	941121	7640811.00
2011/10/24	7.97	8.07	7.67	7.96	1096894	8884457.00
2011/10/25	7.99	8.32	7.93	8.28	1462195	12151358.00
2011/10/26	8.19	8.42	8.17	8.37	2025519	17287188.00
2011/10/27	8.42	8.64	8.25	8.59	2660257	23043416.00
2011/10/28	8.69	8.97	8.52	8.88	3565624	31575970.00
2011/10/31	8.72	8.91	8.68	8.90	2528406	22659272.00
2011/11/01	8.84	9.00	8.72	8.93	5256101	47474128.00
2011/11/02	8.72	9.02	8.53	8.95	4444594	40309916.00
2011/11/03	9.02	9.11	8.84	8.85	3665639	33465164.00
2011/11/04	8.87	8.94	8.70	8.80	1884667	16929864.00
2011/11/07	8.82	9.01	8.79	9.00	2628804	23926942.00
2011/11/08	9.11	9.11	8.89	8.99	1715393	15704795.00
2011/11/09	8.96	9.01	8.78	9.00	1636910	14904855.00
2011/11/10	8.93	8.96	8.76	8.76	1215521	10958702.00
2011/11/11	8.77	8.89	8.61	8.63	1332617	11878242.00
2011/11/14	8.69	8.92	8.68	8.87	1348780	12146801.00
2011/11/15	8.84	8.96	8.69	8.92	1353525	12270687.00
2011/11/16	8.91	8.94	8.62	8.64	1614702	14452113.00
2011/11/17	8.64	8.78	8.63	8.64	1055599	9346319.00
2011/11/18	8.62	8.62	8.20	8.30	1275036	10948173.00
2011/11/21	8.29	8.30	8.18	8.27	547771	4613055.00
2011/11/22	8.21	8.28	8.12	8.27	386839	3247198.00
2011/11/23	8.28	8.33	8.22	8.25	535081	4521767.00
2011/11/24	8.15	8.25	8.09	8.21	591833	4941572.00
2011/11/25	8.21	8.26	8.13	8.17	353051	2958222.00
2011/11/28	8.17	8.27	8.09	8.14	488232	4074629.00
2011/11/29	8.20	8.34	8.20	8.28	597085	5037794.00
2011/11/30	8.26	8.34	7.74	7.86	814646	6652949.00
2011/12/01	8.12	8.17	8.01	8.03	897234	7413732.00
2011/12/02	8.03	8.03	7.85	7.89	370511	2990889.00
2011/12/05	7.91	7.95	7.62	7.63	492349	3900428.00
2011/12/06	7.63	7.71	7.59	7.65	510197	3990620.00
2011/12/07	7.66	7.75	7.63	7.69	360640	2838389.00
2011/12/08	7.72	7.75	7.59	7.65	359462	2824285.00
2011/12/09	7.60	7.71	7.60	7.68	260576	2041587.00
2011/12/12	7.67	7.73	7.54	7.56	353581	2768359.00
2011/12/13	7.59	7.59	7.12	7.16	728061	5428997.00
2011/12/14	7.11	7.16	6.95	6.98	455800	3301098.00
2011/12/15	6.92	7.06	6.75	6.77	629954	4432069.00
2011/12/16	6.76	6.96	6.69	6.95	536785	3751039.00
2011/12/19	6.98	7.02	6.74	6.98	505091	3578788.00
2011/12/20	6.95	7.05	6.85	6.96	345607	2479683.00
2011/12/21	7.02	7.02	6.79	6.79	283920	2021339.00
2011/12/22	6.79	6.79	6.44	6.67	427496	2893733.00
2011/12/23	6.64	6.82	6.64	6.75	347202	2409598.00
2011/12/26	6.75	6.77	6.65	6.72	275200	1898094.00
2011/12/27	6.66	6.66	6.46	6.60	576550	3887362.00
2011/12/28	6.48	6.57	6.43	6.55	408245	2717694.00
2011/12/29	6.50	6.61	6.50	6.58	371630	2508870.00
2011/12/30	6.65	6.74	6.63	6.69	426399	2924407.00
2012/01/04	6.75	6.79	6.67	6.71	567091	3906607.00
2012/01/05	6.62	6.70	6.44	6.49	470270	3189838.00
2012/01/06	6.42	6.48	6.30	6.46	563326	3689714.00
2012/01/09	6.46	6.77	6.40	6.75	697060	4752046.00
2012/01/10	6.76	6.99	6.74	6.98	1233460	8744305.00
2012/01/11	6.98	7.06	6.93	6.96	822390	5895412.00
2012/01/12	6.92	7.10	6.91	7.02	678104	4873646.00
2012/01/13	7.04	7.04	6.63	6.71	858022	5960409.00
2012/01/16	6.57	6.82	6.53	6.65	569078	3915714.00
2012/01/17	6.76	7.01	6.61	7.00	899094	6382866.00
2012/01/18	6.92	7.21	6.85	6.92	692428	4976908.00
2012/01/19	6.89	7.01	6.85	6.94	634019	4510789.00
2012/01/20	7.00	7.03	6.93	7.00	595046	4260759.00
2012/01/30	7.00	7.04	6.94	6.98	563901	4052019.00
2012/01/31	7.00	7.01	6.92	6.97	394429	2818387.00
2012/02/01	6.99	7.05	6.92	6.92	512573	3670758.00
2012/02/02	6.95	7.01	6.90	7.00	612622	4376531.00
2012/02/03	7.02	7.12	6.98	7.08	1031766	7477083.00
2012/02/06	7.06	7.12	7.03	7.12	911501	6617067.00
2012/02/07	7.12	7.12	6.92	6.97	722424	5176848.00
2012/02/08	6.97	7.13	6.94	7.12	1028882	7456174.00
2012/02/09	7.15	7.25	7.09	7.21	1506834	11097113.00
2012/02/10	7.22	7.37	7.21	7.30	1814943	13590313.00
2012/02/13	7.28	7.48	7.22	7.35	1852111	13946273.00
2012/02/14	7.30	7.39	7.28	7.36	1092433	8214054.00
2012/02/15	7.36	7.50	7.28	7.49	1710155	13016255.00
2012/02/16	7.49	7.64	7.39	7.53	1619439	12484553.00
2012/02/17	7.55	7.57	7.40	7.42	1138019	8681411.00
2012/02/20	7.51	7.54	7.43	7.45	1003432	7679157.00
2012/02/21	7.45	7.60	7.41	7.59	1310993	10103804.00
2012/02/22	7.59	7.68	7.55	7.67	1816312	14186386.00
2012/02/23	7.64	7.72	7.58	7.69	1505051	11809236.00
2012/02/24	7.67	7.80	7.62	7.79	1855609	14672048.00
2012/02/27	7.81	8.08	7.81	7.83	2692870	21887540.00
2012/02/28	7.81	7.85	7.62	7.74	2367327	18693968.00
2012/02/29	7.74	7.74	7.59	7.61	1146279	8987563.00
2012/03/01	7.61	7.67	7.58	7.62	1099290	8577972.00
2012/03/02	7.66	7.84	7.66	7.80	1768687	14046074.00
2012/03/05	7.79	7.82	7.72	7.74	2111757	16768012.00
2012/03/06	7.76	7.76	7.57	7.57	1297500	10122231.00
2012/03/07	7.52	7.76	7.52	7.64	1487227	11639418.00
2012/03/08	7.63	7.99	7.63	7.89	2872631	23130582.00
2012/03/09	7.94	7.94	7.79	7.87	1740220	13962075.00
2012/03/12	7.85	7.92	7.84	7.89	1417795	11420684.00
2012/03/13	7.87	8.02	7.83	8.00	2246842	18176888.00
2012/03/14	8.07	8.07	7.48	7.54	3800522	30526376.00
2012/03/15	7.55	7.60	7.21	7.31	1928180	14537138.00
2012/03/16	7.30	7.48	7.27	7.47	1688052	12773690.00
2012/03/19	7.55	7.67	7.48	7.65	1563361	12136323.00
2012/03/20	7.65	7.83	7.37	7.81	2673582	20681428.00
2012/03/21	7.67	8.02	7.57	7.84	4295140	34227820.00
2012/03/22	7.82	7.83	7.61	7.70	1942840	15261782.00
2012/03/23	7.67	7.67	7.40	7.48	1175873	9034117.00
2012/03/26	7.40	7.60	7.32	7.58	815391	6246053.00
2012/03/27	7.57	7.68	7.53	7.60	1122229	8716816.00
2012/03/28	7.61	7.61	7.14	7.14	1044253	7807445.00
2012/03/30	7.05	7.11	6.82	6.90	1136083	8098543.00
2012/04/05	6.91	7.10	6.89	7.06	744818	5339979.00
2012/04/06	7.00	7.12	7.00	7.06	737467	5337311.00
2012/04/09	7.04	7.13	6.94	6.96	667561	4798697.00
2012/04/10	6.96	7.08	6.82	7.08	1029851	7325686.00
2012/04/11	7.00	7.17	6.95	7.17	1345114	9740254.00
2012/04/12	7.16	7.27	7.10	7.24	1587917	11727314.00
2012/04/13	7.27	7.43	7.24	7.42	1671693	12579610.00
2012/04/16	7.37	7.97	7.32	7.79	4883361	38697132.00
2012/04/17	7.74	7.75	7.46	7.46	3185666	24743328.00
2012/04/18	7.48	7.72	7.37	7.67	2505588	19385388.00
2012/04/19	7.62	7.73	7.59	7.66	1405432	10997905.00
2012/04/20	7.62	7.78	7.52	7.75	2113831	16610513.00
2012/04/23	7.70	7.76	7.54	7.59	1532884	11978936.00
2012/04/24	7.51	7.69	7.13	7.41	1689972	12812171.00
2012/04/25	7.41	7.77	7.35	7.75	2836074	22251558.00
2012/04/26	7.75	8.17	7.72	7.82	5082262	41329128.00
2012/04/27	7.82	7.82	7.66	7.71	1438619	11391040.00
2012/05/02	7.86	7.86	7.65	7.71	2525554	19968202.00
2012/05/03	7.70	7.73	7.54	7.70	1588561	12425111.00
2012/05/04	7.70	7.72	7.54	7.62	1961707	15313495.00
2012/05/07	7.61	7.66	7.55	7.66	1107660	8605090.00
2012/05/08	7.64	7.66	7.53	7.61	1507778	11702230.00
2012/05/09	7.54	7.55	7.35	7.36	1296592	9877320.00
2012/05/10	7.41	7.50	7.34	7.42	862067	6535075.00
2012/05/11	7.40	7.47	7.35	7.35	550517	4176756.00
2012/05/14	7.43	7.46	7.36	7.36	714575	5421539.00
2012/05/15	7.30	7.30	7.15	7.27	757040	5605947.00
2012/05/16	7.33	7.51	7.27	7.36	1105478	8357713.00
2012/05/17	7.41	7.72	7.37	7.61	2202919	16974340.00
2012/05/18	7.55	7.86	7.50	7.65	3502364	27508962.00
2012/05/21	8.43	8.43	7.93	8.20	17830863	150568128.00
2012/05/22	8.05	8.05	7.70	7.80	11180219	88899368.00
2012/05/23	7.73	8.02	7.72	7.86	6931610	55420428.00
2012/05/24	7.83	7.92	7.64	7.75	4816068	38094384.00
2012/05/25	7.69	7.77	7.41	7.59	4555290	35117408.00
2012/05/28	7.76	7.90	7.49	7.78	5201910	40813244.00
2012/05/29	7.71	7.87	7.65	7.79	4020840	31709148.00
2012/05/30	7.77	7.90	7.67	7.79	3343210	26533444.00
2012/05/31	7.72	7.77	7.54	7.73	3105071	24195646.00
2012/06/01	7.67	7.77	7.66	7.69	1787923	14000312.00
2012/06/04	7.55	7.55	7.32	7.33	2190329	16591529.00
2012/06/05	7.34	7.39	7.26	7.30	1053341	7858086.00
2012/06/06	7.33	7.37	7.22	7.28	691177	5131791.00
2012/06/07	7.36	7.36	7.18	7.18	1089104	8057845.00
2012/06/08	7.27	7.33	7.07	7.09	887450	6485992.00
2012/06/11	7.12	7.18	7.02	7.18	1164001	8431777.00
2012/06/12	7.13	7.20	7.06	7.12	746769	5413610.00
2012/06/13	7.11	7.24	7.11	7.23	948635	6945895.00
2012/06/14	7.20	7.25	7.15	7.16	866747	6351429.00
2012/06/15	7.16	7.22	7.10	7.19	766383	5597018.00
2012/06/18	7.25	7.55	7.21	7.41	2219564	16711865.00
2012/06/19	7.41	7.44	7.24	7.27	1172686	8732052.00
2012/06/20	7.28	7.32	7.18	7.20	626918	4620967.00
2012/06/21	7.20	7.22	7.07	7.07	871000	6306286.00
2012/06/25	7.05	7.05	6.98	6.98	841662	6001330.00
2012/06/26	6.95	7.09	6.95	7.08	446433	3189275.00
2012/06/27	7.07	7.13	6.94	6.95	523193	3753331.00
2012/06/28	6.97	7.07	6.88	6.89	511000	3625067.00
2012/06/29	6.71	6.97	6.71	6.96	542144	3791667.00
2012/07/02	6.97	7.01	6.91	6.94	355471	2518478.00
2012/07/03	6.88	7.02	6.88	6.91	485140	3440505.00
2012/07/04	6.91	7.02	6.88	6.98	821559	5826078.00
2012/07/05	6.93	6.96	6.72	6.73	817001	5670549.00
2012/07/06	6.83	6.87	6.65	6.86	548901	3783807.00
2012/07/09	6.82	6.83	6.59	6.64	489449	3346076.00
2012/07/10	6.60	6.64	6.48	6.49	567323	3797424.00
2012/07/11	6.50	6.61	6.50	6.57	407467	2728316.00
2012/07/12	6.57	6.67	6.53	6.64	481823	3243684.00
2012/07/13	6.62	6.68	6.57	6.62	311900	2106990.00
2012/07/16	6.63	6.76	6.35	6.35	607699	4020519.00
2012/07/17	6.42	6.44	6.34	6.44	409475	2669807.00
2012/07/18	6.45	6.50	6.38	6.48	334279	2194128.00
2012/07/19	6.48	6.74	6.46	6.63	1048581	7066885.00
2012/07/20	6.57	6.70	6.55	6.59	447671	3015894.00
2012/07/23	6.48	6.68	6.41	6.64	758855	5106575.00
2012/07/24	6.49	6.73	6.47	6.69	758705	5142910.00
2012/07/25	6.58	6.71	6.56	6.63	590244	3995102.00
2012/07/26	6.60	6.69	6.57	6.60	401145	2712713.00
2012/07/27	6.60	6.67	6.50	6.58	413200	2771029.00
2012/07/30	6.66	6.75	6.50	6.55	850098	5751192.00
2012/07/31	6.52	6.52	6.31	6.31	589649	3846912.00
2012/08/01	6.32	6.44	6.32	6.40	307549	2008392.00
2012/08/02	6.41	6.43	6.26	6.27	438773	2832734.00
2012/08/03	6.35	6.40	6.27	6.38	461758	2996142.00
2012/08/06	6.40	6.56	6.34	6.53	775993	5132104.00
2012/08/07	6.54	6.66	6.49	6.60	1188661	7988509.00
2012/08/08	6.60	6.65	6.54	6.56	567423	3817665.00
2012/08/09	6.53	6.66	6.52	6.60	894247	6006971.00
2012/08/10	6.58	6.72	6.55	6.65	1471423	9922128.00
2012/08/13	6.64	6.64	6.48	6.49	542902	3616199.00
2012/08/14	6.40	6.49	6.33	6.48	1018945	6653266.00
2012/08/15	6.46	6.46	6.36	6.37	666915	4351567.00
2012/08/16	6.37	6.42	6.36	6.40	386000	2520397.00
2012/08/17	6.46	6.47	6.35	6.47	551447	3619285.00
2012/08/20	6.44	6.50	6.38	6.47	377857	2477984.00
2012/08/21	6.73	7.13	6.67	7.13	4409537	31862404.00
2012/08/22	7.28	7.35	6.99	7.11	9158866	66929240.00
2012/08/23	6.99	7.01	6.87	6.96	3559904	25165648.00
2012/08/24	6.91	6.99	6.66	6.73	3222181	22263224.00
2012/08/27	6.65	6.80	6.58	6.63	1824645	12429627.00
2012/08/28	6.60	6.77	6.59	6.68	1745995	11896429.00
2012/08/29	6.68	6.75	6.61	6.71	1718099	11705758.00
2012/08/30	6.66	6.70	6.27	6.45	2312616	15297695.00
2012/08/31	6.43	6.50	6.29	6.50	1130954	7398133.00
2012/09/03	6.47	6.61	6.42	6.54	1143857	7624764.00
2012/09/04	6.54	6.56	6.37	6.39	964099	6358242.00
2012/09/05	6.40	6.51	6.32	6.47	1044810	6846992.00
2012/09/06	6.41	6.58	6.41	6.55	1016543	6757355.00
2012/09/07	6.65	6.87	6.59	6.74	2613490	17962690.00
2012/09/10	6.75	6.89	6.69	6.77	2086000	14432450.00
2012/09/11	6.77	6.91	6.64	6.87	2408195	16690998.00
