600287 江苏舜天 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.35	8.40	8.17	8.21	1742454	14734744.00
2011/10/11	8.38	8.83	7.85	8.11	3488460	29076996.00
2011/10/12	8.03	8.53	7.95	8.45	2766602	23384748.00
2011/10/13	8.45	8.54	8.36	8.49	2719257	23400972.00
2011/10/14	8.49	8.50	8.35	8.50	1429982	12269854.00
2011/10/17	8.51	8.73	8.44	8.55	2838598	24670712.00
2011/10/18	8.55	8.55	8.17	8.20	1996940	16812084.00
2011/10/19	8.21	8.30	8.04	8.08	874506	7279270.00
2011/10/20	8.10	8.10	7.40	7.57	3921559	30447816.00
2011/10/21	7.57	7.68	7.34	7.35	1454689	11124649.00
2011/10/24	7.41	7.63	7.23	7.59	1800119	13712661.00
2011/10/25	7.55	7.87	7.47	7.80	1836680	14468767.00
2011/10/26	7.78	7.89	7.63	7.74	3388705	26804794.00
2011/10/27	7.77	8.31	7.73	8.30	6658339	54474048.00
2011/10/28	8.20	8.47	8.15	8.35	6425013	54168560.00
2011/10/31	8.25	8.34	8.15	8.24	2992145	25056156.00
2011/11/01	8.17	8.39	8.07	8.27	3239466	27197964.00
2011/11/02	8.09	8.33	8.05	8.30	2924425	24406444.00
2011/11/03	8.34	8.50	8.27	8.27	3324947	28362436.00
2011/11/04	8.27	8.51	8.25	8.42	3050320	26068914.00
2011/11/07	8.40	8.58	8.31	8.40	2680804	23020628.00
2011/11/08	8.40	9.04	8.40	8.85	8481782	75587544.00
2011/11/09	8.84	8.90	8.61	8.87	3530304	31526872.00
2011/11/10	8.78	8.96	8.67	8.72	3175625	28401152.00
2011/11/11	8.74	8.82	8.60	8.64	1541048	13602736.00
2011/11/14	8.65	8.82	8.63	8.77	2324794	20658248.00
2011/11/15	9.66	9.66	9.66	9.66	6866787	67363184.00
2011/11/16	9.75	9.83	9.45	9.63	11410695	112092024.00
2011/11/17	9.58	9.68	9.21	9.44	6671905	63661460.00
2011/11/18	9.30	9.30	8.94	8.99	3920539	36332048.00
2011/11/21	8.99	9.20	8.84	9.06	2678312	24566144.00
2011/11/22	9.03	9.05	8.67	8.79	3152624	28272496.00
2011/11/23	8.79	8.85	8.51	8.55	2926153	25681624.00
2011/11/24	8.49	8.58	8.27	8.38	2453991	21032192.00
2011/11/25	8.45	8.51	8.25	8.31	1343209	11438240.00
2011/11/28	8.31	8.48	8.28	8.30	3337814	28488050.00
2011/11/29	8.37	8.49	8.32	8.47	1771614	15137405.00
2011/11/30	8.44	8.44	7.61	7.75	4908154	39466544.00
2011/12/01	7.98	8.05	7.88	7.89	3152997	25602938.00
2011/12/02	7.85	7.99	7.69	7.97	1521820	12193971.00
2011/12/05	7.93	7.93	7.46	7.48	1624369	12707878.00
2011/12/06	7.48	7.62	7.32	7.59	1213925	9264603.00
2011/12/07	7.63	7.77	7.53	7.75	1055236	8283516.00
2011/12/08	7.76	7.77	7.47	7.73	1202340	9390837.00
2011/12/12	7.73	7.73	7.27	7.35	926281	7081748.00
2011/12/13	7.25	7.30	6.85	6.97	2400398	17188608.00
2011/12/14	6.97	7.03	6.78	6.80	890688	6266408.00
2011/12/15	6.79	6.82	6.37	6.40	2241195	15082990.00
2011/12/16	6.40	6.85	6.40	6.69	1204081	8120273.00
2011/12/19	6.71	6.75	6.48	6.67	1268771	8562436.00
2011/12/20	6.67	6.80	6.60	6.60	1476833	10134889.00
2011/12/21	6.63	6.76	6.46	6.47	1032449	7020987.00
2011/12/22	6.45	6.45	5.88	6.28	2234304	14032097.00
2011/12/23	6.28	6.44	6.16	6.32	1021077	6633035.00
2011/12/26	6.40	6.42	6.15	6.28	578579	3740176.00
2011/12/27	6.22	6.27	5.96	6.00	1115955	6947267.00
2011/12/28	5.90	6.02	5.69	5.83	2138392	12711055.00
2011/12/29	5.78	5.93	5.70	5.84	1217215	7318683.00
2011/12/30	5.87	6.03	5.86	5.94	1758823	10752694.00
2012/01/04	6.00	6.03	5.73	5.75	1172108	7077789.00
2012/01/05	5.73	5.73	5.36	5.38	1721842	9852000.00
2012/01/06	5.37	5.41	5.14	5.25	2671167	14385773.00
2012/01/09	5.27	5.57	5.11	5.55	2263782	12590626.00
2012/01/10	5.52	5.95	5.52	5.92	4148491	24520300.00
2012/01/11	5.89	6.00	5.83	5.92	3488888	21154376.00
2012/01/12	5.87	6.02	5.86	6.00	3105641	18949410.00
2012/01/13	5.96	6.06	5.62	5.68	3634345	21707152.00
2012/01/16	5.68	5.68	5.37	5.38	1496464	8476431.00
2012/01/17	5.40	5.93	5.35	5.92	2792657	16417065.00
2012/01/18	5.91	6.11	5.82	5.91	4644262	28361336.00
2012/01/19	5.86	5.99	5.78	5.95	2020739	12263187.00
2012/01/20	5.95	5.97	5.85	5.95	2480840	15007048.00
2012/01/30	5.97	5.97	5.74	5.76	1947219	11664796.00
2012/01/31	5.77	5.82	5.73	5.81	851155	5036030.00
2012/02/01	5.77	5.90	5.73	5.75	981585	5839776.00
2012/02/02	5.75	5.92	5.66	5.90	1018330	6104370.00
2012/02/03	5.92	6.18	5.90	6.05	3232127	20066200.00
2012/02/06	6.04	6.24	6.04	6.14	2674977	16819576.00
2012/02/07	6.10	6.12	5.95	5.98	1896903	11680872.00
2012/02/08	5.96	6.27	5.92	6.22	3006311	18958032.00
2012/02/09	6.21	6.40	6.16	6.35	3190539	20641396.00
2012/02/10	6.30	6.52	6.30	6.50	3880118	25505656.00
2012/02/13	6.44	6.56	6.37	6.52	2705576	17924776.00
2012/02/14	6.53	6.58	6.39	6.45	2050289	13546347.00
2012/02/15	6.43	6.85	6.34	6.78	4768043	32081324.00
2012/02/16	6.70	6.79	6.62	6.65	2651399	18132372.00
2012/02/17	6.69	6.91	6.65	6.70	2954915	20459592.00
2012/02/20	6.82	6.84	6.58	6.60	3093992	21134948.00
2012/02/21	6.60	6.82	6.48	6.80	3588261	24441512.00
2012/02/22	6.75	6.86	6.71	6.83	4240908	29444650.00
2012/02/23	6.85	6.92	6.74	6.84	3330806	23282982.00
2012/02/24	6.80	6.95	6.79	6.95	4274658	29979332.00
2012/02/27	6.93	7.37	6.90	7.30	10127008	73977552.00
2012/02/28	7.23	7.44	7.10	7.32	11162130	83123384.00
2012/02/29	7.25	7.25	6.85	6.93	7085373	50802224.00
2012/03/01	6.93	7.03	6.82	6.88	3847752	27083184.00
2012/03/02	6.88	7.02	6.87	7.00	3238621	22999788.00
2012/03/05	7.00	7.06	6.86	6.94	3482523	24793692.00
