600288 大恒科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.95	8.09	7.85	7.99	3861966	31464300.00
2011/10/11	8.18	8.24	7.83	7.98	4395366	35887284.00
2011/10/12	7.89	8.22	7.79	8.16	4819598	39652476.00
2011/10/13	8.19	8.34	8.14	8.23	5338146	44897496.00
2011/10/14	8.23	8.23	8.00	8.15	3588130	29664764.00
2011/10/17	8.14	8.32	8.09	8.29	5130194	43048260.00
2011/10/18	8.20	8.59	8.15	8.52	13222556	112990368.00
2011/10/19	8.54	8.54	8.36	8.46	8857091	76344192.00
2011/10/20	8.34	8.42	7.91	7.94	10991505	90951824.00
2011/10/21	7.96	8.72	7.86	8.22	6124786	50854236.00
2011/10/24	8.12	8.33	7.92	8.22	12367676	102395840.00
2011/10/25	8.14	8.42	8.00	8.35	12404665	103326480.00
2011/10/26	8.28	8.60	8.16	8.43	13016855	111058816.00
2011/10/27	8.36	8.52	8.34	8.39	7028729	60332048.00
2011/10/28	8.45	8.51	8.15	8.35	13295512	112399392.00
2011/10/31	8.31	8.44	8.25	8.43	6894959	58703004.00
2011/11/01	8.37	8.47	8.27	8.37	5964957	50978672.00
2011/11/02	8.19	8.58	8.03	8.54	11351263	96456536.00
2011/11/03	8.57	8.95	8.57	8.64	17616114	157536256.00
2011/11/04	8.69	8.97	8.53	8.80	12461642	111401112.00
2011/11/07	8.78	8.90	8.66	8.78	6992207	62568340.00
2011/11/08	8.75	8.78	8.49	8.56	6925061	60868164.00
2011/11/09	8.56	8.94	8.45	8.92	10487546	93442032.00
2011/11/10	8.79	8.93	8.64	8.65	8647989	77478608.00
2011/11/11	8.68	9.06	8.66	8.87	11792962	106943704.00
2011/11/14	8.97	9.08	8.86	8.95	9175055	83604360.00
2011/11/15	8.96	9.01	8.80	8.91	7834606	70850800.00
2011/11/16	8.92	9.24	8.86	9.01	21114245	195155360.00
2011/11/17	9.00	9.08	8.85	8.94	8417024	76861768.00
2011/11/18	8.84	8.86	8.24	8.31	12235101	106951824.00
2011/11/21	8.34	8.38	8.14	8.25	4605846	38543820.00
2011/11/22	8.24	8.32	8.10	8.25	2892433	24237544.00
2011/11/23	8.26	8.32	8.01	8.02	4418686	36647448.00
2011/11/24	8.00	8.08	7.86	8.02	3893896	31621336.00
2011/11/25	8.01	8.08	7.84	7.87	3534468	28658764.00
2011/11/28	7.84	7.99	7.84	7.92	2513979	20319070.00
2011/11/29	8.00	8.13	7.89	8.10	3578396	29249208.00
2011/11/30	8.10	8.10	7.48	7.51	5267682	41711644.00
2011/12/01	7.77	7.84	7.62	7.63	5211534	41088752.00
2011/12/02	7.56	7.65	7.27	7.28	3668802	27810572.00
2011/12/05	7.29	7.38	7.07	7.07	3172380	23226912.00
2011/12/06	7.08	7.15	7.00	7.10	1937418	14011414.00
2011/12/07	7.13	7.19	7.05	7.08	1497178	10889896.00
2011/12/08	7.09	7.20	6.93	7.15	3024872	21895304.00
2011/12/09	7.04	7.14	6.98	7.02	1649537	11879166.00
2011/12/12	7.02	7.03	6.82	6.84	2042255	14490494.00
2011/12/13	6.82	6.82	6.35	6.40	3242376	21684820.00
2011/12/15	6.25	6.25	5.94	5.95	4433458	27612472.00
2011/12/16	5.94	6.19	5.94	6.14	2601963	16151901.00
2011/12/19	6.06	6.15	5.84	6.13	2226406	13771165.00
2011/12/20	6.07	6.18	6.02	6.04	2566812	16071222.00
2011/12/21	6.09	6.18	5.84	5.89	3207872	19953856.00
2011/12/22	5.83	5.85	5.50	5.63	3011767	17524148.00
2011/12/23	5.68	5.77	5.60	5.67	3253466	19041468.00
2011/12/26	5.70	5.91	5.66	5.75	2816122	16816984.00
2011/12/27	5.69	5.79	5.56	5.57	1878593	10948127.00
2011/12/28	5.55	5.58	5.33	5.50	2157160	12108793.00
2011/12/29	5.51	5.66	5.46	5.61	2916431	16746267.00
2011/12/30	5.62	5.76	5.61	5.74	3442227	20130974.00
