600289 亿阳信通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.59	6.72	6.59	6.64	3449207	23454908.00
2011/10/11	6.81	6.86	6.66	6.75	6203749	42950912.00
2011/10/12	6.73	7.08	6.66	7.05	9120287	64864480.00
2011/10/13	7.01	7.12	6.94	7.03	8358565	60132888.00
2011/10/17	7.05	7.11	6.95	6.98	5766044	41361112.00
2011/10/18	6.94	7.11	6.75	6.82	9321912	66708536.00
2011/10/19	6.85	6.94	6.75	6.83	4787618	33648996.00
2011/10/20	6.77	6.87	6.47	6.55	6924015	46806840.00
2011/10/21	6.56	6.58	6.40	6.43	3479811	23090486.00
2011/10/24	6.50	6.59	6.34	6.55	6050896	40108608.00
2011/10/25	6.58	6.87	6.49	6.81	8366878	57715696.00
2011/10/26	6.75	7.09	6.72	6.94	11911667	84626552.00
2011/10/27	6.95	7.03	6.90	6.99	7478712	53214320.00
2011/10/28	7.06	7.11	6.96	7.07	10560651	76091704.00
2011/10/31	7.03	7.16	6.98	7.06	8074459	58257024.00
2011/11/01	6.99	7.26	6.96	7.16	14764473	107568952.00
2011/11/02	7.02	7.58	7.00	7.54	24492174	184149088.00
2011/11/03	7.59	7.79	7.40	7.48	25762121	199660640.00
2011/11/04	7.56	7.59	7.43	7.50	10018151	76754992.00
2011/11/07	7.49	7.61	7.43	7.50	7809239	60014148.00
2011/11/08	7.49	7.51	7.24	7.33	8684629	65488292.00
2011/11/09	7.40	7.54	7.18	7.53	10656313	80315544.00
2011/11/10	7.41	7.47	7.30	7.32	9430238	71218480.00
2011/11/11	7.32	7.44	7.24	7.29	5284882	39584868.00
2011/11/14	7.40	7.50	7.33	7.46	8624591	65571008.00
2011/11/15	7.56	8.22	7.49	8.22	37045074	301238848.00
2011/11/16	8.54	9.06	8.48	9.06	53066796	480529312.00
2011/11/17	9.70	9.70	9.03	9.31	110429616	1040688704.00
2011/11/18	9.23	9.52	9.10	9.20	80138616	757962304.00
2011/11/21	9.17	9.33	8.59	8.84	57172760	520255776.00
