600293 三峡新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	14.48	15.15	14.48	14.67	4638113	68740472.00
2011/10/11	14.98	15.34	14.70	15.06	5861417	88036872.00
2011/10/12	14.98	15.48	14.80	15.41	7664689	116803328.00
2011/10/13	15.39	15.48	15.06	15.27	8215527	125274792.00
2011/10/14	15.18	15.38	14.66	15.36	4551959	68689992.00
2011/10/17	15.58	15.73	15.31	15.46	4784490	74234120.00
2011/10/18	15.55	15.55	14.69	14.81	5832205	87732264.00
2011/10/19	14.48	14.78	14.10	14.58	2943524	42739712.00
2011/10/20	14.43	14.78	14.23	14.39	2494545	36218212.00
2011/10/21	14.23	14.43	13.63	14.15	3732252	52373152.00
2011/10/24	14.11	14.48	13.72	14.38	3000089	42263940.00
2011/10/25	14.40	14.90	14.28	14.85	3766294	55185504.00
2011/10/26	14.85	15.26	14.67	14.87	3308441	49486328.00
2011/10/27	14.93	15.42	14.84	15.06	4554186	68837000.00
2011/10/28	15.16	15.26	14.79	15.16	3148986	47359584.00
2011/10/31	15.13	15.32	14.90	15.10	1847226	27958092.00
2011/11/01	14.99	15.00	14.75	14.83	2593296	38606988.00
2011/11/02	14.60	14.83	14.42	14.81	2617190	38158636.00
2011/11/03	14.80	14.92	14.30	14.53	5699304	84085184.00
2011/11/04	14.58	14.75	14.41	14.49	3545673	51711740.00
2011/11/07	14.43	14.59	14.35	14.48	2140296	30991732.00
2011/11/08	14.56	14.61	14.29	14.49	1499708	21681176.00
2011/11/09	14.50	14.63	14.28	14.62	1504420	21764032.00
2011/11/10	14.61	15.06	14.42	14.93	2841620	42037856.00
2011/11/11	14.88	15.28	14.87	15.05	4143883	62689680.00
2011/11/14	15.06	15.44	15.02	15.05	3055568	46515328.00
2011/11/15	15.03	15.11	14.83	14.91	2011532	30096478.00
2011/11/16	14.88	15.06	14.60	14.61	2016304	29854872.00
2011/11/17	14.50	14.71	14.50	14.54	1010930	14785720.00
2011/11/18	14.48	14.64	14.46	14.58	995112	14488974.00
2011/11/21	14.53	15.07	14.53	14.95	3508825	52463296.00
2011/11/22	14.93	15.28	14.39	14.61	3764416	55767092.00
2011/11/23	14.68	14.68	14.25	14.51	2210852	31960736.00
2011/11/24	14.38	14.63	14.28	14.58	2007395	28888188.00
2011/11/28	14.58	15.59	14.58	15.15	5336336	81386352.00
2011/11/29	15.15	15.24	14.78	15.03	3533447	52966328.00
2011/11/30	14.97	15.03	14.43	14.63	2446415	35933240.00
2011/12/01	14.86	15.33	14.80	15.16	6654666	100856136.00
2011/12/02	15.08	15.27	14.88	15.03	4451125	67275496.00
2011/12/05	15.18	15.58	14.78	14.86	8670967	132143048.00
2011/12/06	14.38	14.38	13.37	13.59	11118885	151191424.00
2011/12/07	13.37	13.63	12.23	13.51	20657740	256564768.00
2011/12/08	12.98	13.42	12.58	13.05	10116243	131761136.00
2011/12/09	12.88	13.13	12.68	12.78	3846583	49629460.00
2011/12/12	12.78	12.78	11.76	12.15	4490001	55071884.00
2011/12/13	11.97	11.97	10.93	10.93	9640803	106190616.00
2011/12/14	9.84	9.84	9.84	9.84	2272100	22402906.00
2011/12/19	8.85	8.85	8.85	8.85	1825200	16189524.00
2011/12/20	7.96	8.66	7.96	8.19	91063451	742413248.00
2011/12/21	7.88	8.45	7.77	7.92	57003401	462273760.00
2011/12/22	7.63	7.63	7.13	7.16	37933429	276771616.00
2011/12/23	6.98	7.35	6.90	7.16	24171115	173850016.00
2011/12/26	7.14	7.33	7.07	7.19	17174775	124009872.00
2011/12/27	7.13	7.37	7.03	7.11	23725114	171932544.00
