600295 鄂尔多斯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.54	15.67	15.28	15.32	1192326	18736032.00
2011/10/11	15.78	15.86	14.90	15.09	1660661	26153824.00
2011/10/12	14.88	15.68	14.80	15.62	1656311	26138416.00
2011/10/13	15.59	15.84	15.48	15.72	1673515	26820816.00
2011/10/14	15.72	15.72	15.28	15.45	1640422	25837660.00
2011/10/17	15.53	15.62	15.28	15.44	1080388	17021952.00
2011/10/18	15.33	15.38	14.79	14.82	2087386	31927784.00
2011/10/19	14.84	15.05	14.29	14.45	2976903	44315604.00
2011/10/20	14.36	14.38	13.65	13.89	2557209	36250928.00
2011/10/21	13.68	13.98	13.56	13.58	1414220	19788704.00
2011/10/24	13.65	13.89	13.39	13.88	1661662	23267668.00
2011/10/25	13.89	14.31	13.74	14.20	2121284	30585928.00
2011/10/26	14.08	14.45	13.97	14.26	2339549	34170344.00
2011/10/27	14.25	14.42	14.11	14.14	1816401	26443468.00
2011/10/28	14.36	14.81	14.34	14.78	4453393	66527896.00
2011/10/31	14.88	14.94	14.56	14.68	2653505	39918916.00
2011/11/01	14.58	14.87	14.46	14.68	1773115	26546136.00
2011/11/02	14.48	14.66	14.03	14.58	4526016	66316196.00
2011/11/04	14.77	15.17	14.70	15.13	6732834	102762288.00
2011/11/07	15.06	15.27	14.91	15.17	3738552	57664792.00
2011/11/08	15.18	15.21	14.78	14.98	2736568	41879904.00
2011/11/09	15.23	15.23	14.80	15.10	2227892	34289352.00
2011/11/10	14.95	15.05	14.69	14.73	2411783	36624264.00
2011/11/11	14.75	14.88	14.61	14.63	1277804	19250632.00
2011/11/14	14.73	15.23	14.73	15.21	4468605	68907192.00
2011/11/15	15.17	15.53	15.08	15.27	2493823	39003896.00
2011/11/16	15.46	15.57	14.86	14.88	3190612	49359760.00
2011/11/17	14.89	15.10	14.74	14.90	2449488	37316328.00
2011/11/18	14.72	14.72	14.18	14.21	2143683	31549252.00
2011/11/21	14.21	14.34	13.80	13.98	1959104	28075552.00
2011/11/22	13.88	13.98	13.64	13.88	1404130	19831052.00
2011/11/23	13.98	14.06	13.74	13.92	1444339	20501032.00
2011/11/24	13.69	14.18	13.61	14.07	1717760	24426072.00
2011/11/25	13.98	14.38	13.83	13.94	1742608	25130184.00
2011/11/28	13.94	14.07	13.71	13.86	1613801	22899016.00
2011/11/29	14.03	14.31	13.87	14.26	3112061	45045244.00
2011/11/30	14.35	14.35	13.36	13.47	2294989	32380060.00
2011/12/01	13.96	14.45	13.79	13.95	3338905	48035376.00
2011/12/02	13.85	13.97	13.47	13.67	2741248	38297140.00
2011/12/05	13.58	13.64	12.93	12.96	2220830	29764858.00
2011/12/06	12.91	13.05	12.70	12.97	1384705	18270958.00
2011/12/07	13.08	13.38	12.93	13.09	1806656	24347570.00
2011/12/08	13.10	13.22	12.68	13.05	1215042	16099539.00
2011/12/09	12.93	13.23	12.81	12.93	1242730	16546978.00
2011/12/12	12.94	12.96	12.66	12.67	867253	11361188.00
2011/12/13	12.54	12.57	12.00	12.05	1769204	22207066.00
2011/12/14	12.05	12.05	11.42	11.48	1376328	16572629.00
2011/12/15	11.36	11.36	10.89	11.05	2389820	27293654.00
2011/12/16	10.95	11.58	10.95	11.52	2240384	26050448.00
2011/12/19	11.45	11.45	11.05	11.35	2062761	23894432.00
2011/12/20	11.19	11.93	11.19	11.47	2615195	31086276.00
2011/12/21	11.81	11.82	11.18	11.18	1678353	19887828.00
2011/12/22	11.09	11.39	10.58	11.17	2073449	23386908.00
2011/12/23	11.17	11.54	11.10	11.42	1532119	17919484.00
2011/12/26	11.62	11.78	11.27	11.43	1482201	17551328.00
2011/12/27	11.36	11.51	11.09	11.14	973363	11229328.00
2011/12/28	11.28	11.45	11.05	11.18	2340962	26970344.00
2011/12/30	11.18	11.56	11.18	11.52	2809543	32873168.00
2012/01/04	11.68	11.73	11.23	11.24	1914715	22746800.00
2012/01/05	11.14	11.21	10.74	10.76	1967510	22238652.00
2012/01/06	10.70	11.08	10.54	10.94	1832466	20367112.00
2012/01/09	10.98	11.55	10.83	11.48	3725607	43546472.00
2012/01/10	11.49	12.16	11.48	11.99	7235126	87896648.00
2012/01/11	12.00	12.34	11.78	12.13	7001043	86817280.00
2012/01/12	12.00	12.33	11.95	12.04	3620712	45154108.00
2012/01/13	11.98	12.13	11.46	11.55	3848994	46447996.00
2012/01/16	11.27	11.63	11.08	11.10	2221804	26064604.00
2012/01/17	11.16	12.18	11.08	12.13	4537465	54739720.00
2012/01/18	12.14	12.89	12.05	12.27	9076229	116157832.00
2012/01/19	12.29	12.84	12.09	12.77	6228216	80877712.00
2012/01/20	12.77	12.99	12.53	12.86	4483004	58631464.00
2012/01/30	12.86	13.02	12.59	12.71	2854907	37467488.00
2012/01/31	12.71	12.73	12.38	12.62	2280346	29278436.00
2012/02/01	12.58	12.65	12.27	12.30	2949216	37600928.00
2012/02/02	12.36	12.72	12.28	12.69	4090647	52533864.00
2012/02/03	12.67	12.83	12.47	12.69	3290457	42672500.00
2012/02/06	12.79	13.13	12.74	12.93	5394412	71693240.00
2012/02/07	12.78	12.81	12.24	12.56	4893323	62958852.00
2012/02/08	12.52	13.23	12.36	13.17	7313767	96804712.00
2012/02/09	13.28	13.28	12.99	13.08	5227932	70462144.00
2012/02/10	13.16	13.23	12.97	13.09	4458888	59811780.00
2012/02/13	12.91	13.23	12.84	13.11	5281298	70627992.00
2012/02/14	13.09	13.14	12.88	13.01	2686531	35771296.00
2012/02/15	12.99	13.24	12.94	13.20	3835733	51632164.00
2012/02/16	13.20	13.21	12.94	13.01	3800876	50854696.00
2012/02/17	13.04	13.09	12.78	12.86	4096975	54179088.00
2012/02/20	13.09	13.10	12.71	12.79	4420297	58487588.00
2012/02/21	12.79	13.01	12.69	13.01	3058822	40285208.00
2012/02/22	13.03	13.28	12.95	13.24	5571543	75040448.00
2012/02/24	13.35	13.60	13.29	13.52	7709547	106182096.00
2012/02/27	13.58	13.88	13.42	13.43	7615663	106676544.00
2012/02/28	13.34	13.51	13.28	13.40	4519026	61943868.00
2012/02/29	13.36	13.53	13.28	13.33	4011220	55106760.00
2012/03/01	13.19	13.47	13.17	13.34	2878953	39370224.00
2012/03/02	13.37	13.65	13.37	13.61	5644329	78434984.00
2012/03/05	13.63	13.78	13.46	13.49	5348363	74330432.00
2012/03/07	13.08	13.22	12.84	12.92	5879716	78452824.00
2012/03/08	12.98	13.16	12.91	13.03	5328946	71196208.00
2012/03/09	13.06	13.47	13.06	13.45	5548768	75344000.00
2012/03/12	13.47	13.68	13.38	13.59	5315534	73543968.00
2012/03/13	13.57	13.78	13.39	13.77	4930660	68765936.00
2012/03/14	13.87	14.38	13.10	13.54	16616988	236598400.00
2012/03/15	13.46	14.13	13.40	13.97	9626661	136226192.00
2012/03/16	13.88	14.50	13.85	14.29	9891610	143642064.00
2012/03/19	14.18	14.75	14.12	14.30	10411399	153672608.00
2012/03/20	14.28	14.36	13.71	13.81	5871149	84317384.00
2012/03/21	13.98	14.43	13.81	14.30	8654400	125240648.00
2012/03/22	13.98	13.98	13.18	13.38	15299577	210675264.00
2012/03/23	13.29	13.31	12.78	12.93	7304079	97188760.00
2012/03/26	12.96	13.05	12.84	12.98	3031661	40152840.00
2012/03/27	13.07	13.07	12.73	12.94	5507119	72831272.00
2012/03/28	12.80	12.94	12.39	12.40	4104502	52773584.00
2012/03/29	12.30	12.36	11.83	11.86	3979789	49035996.00
2012/03/30	11.86	11.99	11.59	11.78	2573415	31169100.00
2012/04/05	11.82	12.17	11.68	12.16	2872579	35324264.00
2012/04/06	12.07	12.22	11.85	12.02	4451819	55185408.00
2012/04/09	11.98	11.98	11.74	11.78	2129918	25909546.00
2012/04/10	11.70	11.82	11.34	11.80	3563807	42355636.00
2012/04/11	11.57	11.80	11.50	11.72	2263361	27162268.00
2012/04/13	12.03	12.54	12.00	12.45	8354358	105450376.00
2012/04/16	12.23	12.53	12.11	12.37	4125289	52223508.00
2012/04/17	12.28	12.37	12.05	12.07	3858986	48102464.00
2012/04/18	12.09	12.56	12.03	12.54	5069107	64238100.00
2012/04/19	12.46	12.86	12.39	12.58	4759174	61616776.00
2012/04/20	12.53	12.67	12.45	12.63	3294539	42524328.00
2012/04/23	12.66	12.66	12.27	12.36	3493787	44451160.00
2012/04/24	12.26	12.45	11.69	12.11	3587835	44505204.00
2012/04/25	11.99	12.45	11.99	12.29	3426758	43241712.00
