600300 维维股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.21	5.30	5.21	5.24	2542488	13768091.00
2011/10/11	5.34	5.38	5.19	5.31	6319822	34427836.00
2011/10/12	5.28	5.45	5.22	5.44	8208506	45532916.00
2011/10/13	5.44	5.63	5.39	5.51	11602535	65877640.00
2011/10/14	5.46	5.50	5.33	5.40	6553345	36485064.00
2011/10/17	5.39	5.46	5.35	5.40	3652352	20299640.00
2011/10/18	5.37	5.39	5.14	5.15	8510424	45933628.00
2011/10/19	5.18	5.22	5.05	5.10	4344233	22924116.00
2011/10/20	5.06	5.13	4.98	5.03	5325773	27644608.00
2011/10/21	5.09	5.09	4.99	5.03	3059377	15891117.00
2011/10/24	5.04	5.19	5.00	5.18	5189131	27253032.00
2011/10/25	5.14	5.24	5.06	5.23	7358007	39270356.00
2011/10/26	5.19	5.26	5.17	5.19	9332430	50111540.00
2011/10/27	5.20	5.25	5.17	5.20	4740842	25429916.00
2011/10/28	5.26	5.35	5.15	5.25	10703204	57700804.00
2011/10/31	5.23	5.31	5.21	5.27	5978112	32354616.00
2011/11/01	5.22	5.31	5.19	5.28	6254065	33892904.00
2011/11/02	5.22	5.29	5.11	5.28	8925904	47804308.00
2011/11/03	5.29	5.47	5.29	5.39	16719455	92487488.00
2011/11/04	5.41	5.42	5.32	5.38	8304909	45860720.00
2011/11/07	5.35	5.42	5.32	5.35	7180444	39730764.00
2011/11/08	5.35	5.40	5.21	5.24	7110449	38787560.00
2011/11/09	5.28	5.31	5.16	5.28	7289417	39318264.00
2011/11/10	5.20	5.23	5.11	5.12	8829544	46918040.00
2011/11/11	5.15	5.18	5.12	5.15	5293308	28090584.00
2011/11/14	5.19	5.28	5.19	5.27	5786877	31278308.00
2011/11/15	5.28	5.33	5.24	5.30	6120445	33333896.00
2011/11/16	5.28	5.32	5.13	5.14	9567535	51094256.00
2011/11/17	5.14	5.16	5.07	5.08	6902533	36389072.00
2011/11/18	5.06	5.06	4.96	4.98	8061191	41676416.00
2011/11/22	4.94	5.09	4.92	5.07	5709994	29680568.00
2011/11/23	5.09	5.19	5.02	5.09	5766799	30428372.00
2011/11/24	5.03	5.28	5.02	5.20	12311643	65734032.00
2011/11/25	5.16	5.20	5.07	5.10	6217696	32917294.00
2011/11/28	5.12	5.15	4.96	4.99	7368593	38237012.00
2011/11/29	5.04	5.10	5.00	5.07	5655647	29482958.00
2011/11/30	5.03	5.09	4.75	4.84	11460222	58061288.00
2011/12/01	4.94	4.99	4.86	4.90	10945079	55666196.00
2011/12/02	4.87	4.87	4.76	4.79	6304420	31225852.00
2011/12/05	4.79	4.79	4.57	4.60	6824774	32825884.00
2011/12/06	4.59	4.59	4.47	4.53	4163723	19536844.00
2011/12/07	4.53	4.59	4.49	4.54	2735324	12865744.00
2011/12/08	4.54	4.54	4.34	4.38	6678499	30638700.00
2011/12/09	4.37	4.39	4.32	4.37	4108001	18523986.00
2011/12/12	4.38	4.39	4.19	4.20	7064432	31336056.00
2011/12/13	4.17	4.18	4.01	4.08	7441049	31504060.00
2011/12/14	4.06	4.10	3.99	3.99	3711187	15559076.00
2011/12/15	3.98	3.98	3.81	3.82	7318497	29437536.00
2011/12/16	3.83	3.93	3.78	3.91	5785822	23199008.00
2011/12/19	3.89	3.90	3.78	3.87	4951278	19809652.00
2011/12/20	3.87	3.95	3.84	3.94	5394283	21966528.00
2011/12/21	3.97	3.98	3.75	3.76	7728597	31159688.00
2011/12/22	3.74	3.74	3.62	3.68	5757125	22098908.00
2011/12/23	3.70	3.75	3.65	3.72	5439388	21030134.00
2011/12/26	3.72	3.93	3.69	3.90	9639454	38334952.00
2011/12/27	3.85	3.98	3.77	3.78	11100431	44723740.00
2011/12/28	3.74	3.77	3.59	3.67	8993146	34266964.00
2011/12/29	3.64	3.70	3.61	3.68	5906575	22566664.00
2011/12/30	3.70	3.72	3.63	3.69	9632070	36985672.00
2012/01/04	3.70	3.73	3.65	3.65	6483815	24994924.00
2012/01/05	3.61	3.70	3.51	3.54	5836182	21782160.00
2012/01/06	3.54	3.59	3.46	3.58	3828176	14128189.00
2012/01/09	3.58	3.73	3.52	3.73	7840702	29822616.00
2012/01/10	3.72	3.93	3.70	3.87	16711061	66620692.00
2012/01/11	3.87	3.87	3.79	3.83	9150611	36475664.00
2012/01/12	3.81	3.89	3.79	3.83	7730145	30934696.00
2012/01/13	3.86	3.88	3.60	3.62	11521875	44640936.00
2012/01/16	3.59	3.60	3.52	3.53	5229042	19444084.00
2012/01/17	3.53	3.74	3.53	3.73	6142269	23433134.00
2012/01/18	3.75	3.75	3.62	3.64	6636591	25600224.00
2012/01/19	3.65	3.71	3.62	3.69	4718263	18075128.00
2012/01/20	3.71	3.77	3.69	3.74	5720090	22297580.00
2012/01/30	3.75	3.76	3.70	3.72	4442589	17300978.00
2012/01/31	3.73	3.77	3.71	3.75	3181917	12404996.00
2012/02/01	3.75	3.80	3.70	3.72	4841591	18950890.00
2012/02/02	3.72	3.78	3.72	3.78	4768530	18648532.00
2012/02/03	3.78	3.86	3.74	3.84	10757315	42785728.00
2012/02/06	3.84	3.94	3.80	3.91	11149240	44828392.00
2012/02/07	3.87	3.87	3.79	3.84	8058585	32081804.00
2012/02/08	3.82	3.92	3.79	3.91	9340641	37653092.00
2012/02/09	3.92	4.02	3.88	3.90	14374633	59030064.00
2012/02/10	3.90	3.96	3.87	3.92	9425465	38474984.00
2012/02/13	3.91	4.04	3.88	3.99	14137115	58521284.00
2012/02/14	4.00	4.09	3.98	4.05	13313235	55793188.00
2012/02/15	4.05	4.10	4.00	4.07	11897658	50145424.00
2012/02/16	4.07	4.09	3.97	4.01	13275743	55557476.00
2012/02/17	4.03	4.04	3.94	4.00	8510352	35327976.00
2012/02/20	4.03	4.06	3.98	3.99	8111067	33854104.00
2012/02/21	4.00	4.07	3.96	4.07	11231974	47044272.00
2012/02/22	4.06	4.12	4.01	4.11	15266859	64693696.00
2012/02/23	4.13	4.17	4.07	4.11	14777706	63159868.00
2012/02/24	4.09	4.27	4.07	4.20	21849467	94933064.00
2012/02/27	4.21	4.30	4.18	4.23	21302477	93599168.00
2012/02/28	4.20	4.26	4.13	4.21	13030352	56740976.00
2012/02/29	4.21	4.21	4.07	4.09	10664812	45718588.00
2012/03/01	4.06	4.19	4.06	4.14	10104926	43296084.00
2012/03/02	4.14	4.21	4.12	4.20	11677713	50676552.00
2012/03/05	4.21	4.47	4.19	4.34	27094018	121696544.00
2012/03/06	4.31	4.36	4.24	4.28	12038663	53606544.00
2012/03/07	4.24	4.43	4.19	4.36	20624792	92816824.00
2012/03/08	4.35	4.56	4.35	4.49	27045218	125983280.00
2012/03/09	4.96	4.96	4.96	4.96	19609228	100399248.00
2012/03/12	5.47	5.47	5.47	5.47	6378811	35912704.00
2012/03/13	6.03	6.03	5.66	6.03	51342867	316241600.00
2012/03/14	6.65	6.65	6.54	6.65	152122751	1035282176.00
2012/03/16	7.12	7.33	6.84	7.33	38624503	284753696.00
2012/03/19	7.93	8.03	7.48	7.54	188746331	1482402944.00
2012/03/20	7.66	7.81	7.46	7.73	132694810	1038745024.00
2012/03/21	7.60	7.64	7.10	7.33	135971167	1024392704.00
2012/03/22	7.33	7.42	7.19	7.24	77684533	579103936.00
2012/03/23	7.21	7.24	6.88	7.10	105543563	763306112.00
2012/03/26	7.12	7.17	6.70	6.79	96896170	687438848.00
2012/03/27	6.78	6.94	6.61	6.71	85567102	593921408.00
