600303 曙光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.22	8.45	7.98	8.44	25718225	215856976.00
2011/10/11	8.67	8.75	7.98	8.19	32284496	277399584.00
2011/10/12	8.13	9.02	7.87	8.95	54830493	480246432.00
2011/10/13	8.85	9.34	8.72	9.16	60407004	554113792.00
2011/10/14	9.06	9.27	8.89	9.16	35163335	323521376.00
2011/10/17	9.09	9.29	8.92	9.07	26111235	239787232.00
2011/10/18	8.97	8.98	8.24	8.29	36798841	320085856.00
2011/10/19	8.32	8.53	8.23	8.34	17844475	151747936.00
2011/10/20	8.31	8.31	7.90	8.07	19231042	157243968.00
2011/10/21	8.04	8.15	7.87	7.90	13140690	106958280.00
2011/10/24	7.88	7.96	7.22	7.90	24109467	188213136.00
2011/10/25	7.86	8.25	7.77	8.18	22493910	184571392.00
2011/10/26	8.06	8.63	7.98	8.42	34293333	290687008.00
2011/10/27	8.36	8.47	8.05	8.10	22661424	189675152.00
2011/10/28	8.20	8.34	7.97	8.25	29562053	244746368.00
2011/10/31	8.27	8.97	8.20	8.74	47661410	418453792.00
2011/11/01	8.65	9.55	8.58	9.34	83830849	783590528.00
2011/11/02	9.12	9.50	8.96	9.46	57771932	542193472.00
2011/11/03	9.37	9.51	9.17	9.22	46951102	443202624.00
2011/11/04	9.27	9.67	9.08	9.22	41045204	390240416.00
2011/11/07	9.16	9.25	8.97	9.08	20287319	186773168.00
2011/11/08	9.00	9.52	9.00	9.50	40849640	385121216.00
2011/11/09	9.54	9.63	9.20	9.51	29617585	282279424.00
2011/11/10	9.35	9.35	9.07	9.07	28096789	261636800.00
2011/11/11	9.15	9.28	8.77	9.07	26933785	246437696.00
2011/11/14	9.16	9.96	9.14	9.80	65457724	643415424.00
2011/11/15	9.81	10.06	9.70	9.80	48901775	488003776.00
2011/11/16	9.75	9.76	9.18	9.27	40958614	392335392.00
2011/11/17	9.27	9.46	9.20	9.25	23439408	221426128.00
2011/11/18	9.13	9.21	8.88	8.98	24330140	223001152.00
2011/11/21	8.97	9.35	8.94	9.22	19930304	185383840.00
2011/11/22	9.05	9.19	8.92	9.08	14473209	132718024.00
2011/11/23	9.11	9.23	8.67	8.81	20428539	185931680.00
2011/11/24	8.62	9.00	8.49	8.93	20665669	184147088.00
2011/11/25	8.89	8.96	8.69	8.76	11589861	103517040.00
2011/11/28	8.85	9.02	8.74	8.82	11410834	102779984.00
2011/11/29	8.97	9.06	8.78	9.05	20174329	183234320.00
2011/11/30	9.05	9.05	8.17	8.39	24172868	212288720.00
2011/12/01	8.77	8.87	8.51	8.54	16691930	147152336.00
2011/12/02	8.52	8.52	8.05	8.11	13693116	114292352.00
2011/12/05	8.12	8.15	7.83	7.88	9380624	75707344.00
2011/12/06	7.82	8.01	7.75	7.93	8331288	66838904.00
2011/12/07	7.93	8.01	7.82	7.97	8079424	65178052.00
2011/12/08	7.98	8.09	7.60	7.98	12039202	96977040.00
2011/12/09	7.88	8.00	7.77	7.81	7241574	57835440.00
2011/12/12	7.87	8.04	7.85	7.86	9421541	75885488.00
2011/12/13	7.72	7.77	7.43	7.46	11803162	90675728.00
2011/12/14	7.37	7.55	7.16	7.19	8268315	61592700.00
2011/12/15	7.07	7.10	6.82	6.88	11242508	79674800.00
2011/12/16	6.94	7.22	6.82	7.18	10842354	77327144.00
2011/12/19	7.15	7.32	7.02	7.29	13243774	96946032.00
2011/12/20	7.26	7.37	7.17	7.18	8705825	64478364.00
2011/12/21	7.25	7.31	6.91	6.93	7848585	56908504.00
2011/12/22	6.78	7.00	6.60	6.91	9750792	67422320.00
2011/12/23	6.81	7.12	6.79	6.99	7510071	53458264.00
2011/12/26	6.99	7.16	6.92	7.03	8929435	64051104.00
2011/12/27	6.98	6.99	6.62	6.70	9436940	65274672.00
2011/12/28	6.67	6.80	6.57	6.77	5666679	38646472.00
2011/12/29	6.67	6.84	6.65	6.76	5492294	37902272.00
2011/12/30	6.82	6.95	6.79	6.87	6542698	45846252.00
2012/01/04	6.97	7.11	6.80	6.84	8946761	63423508.00
2012/01/05	6.76	7.07	6.67	6.73	12310416	86512648.00
2012/01/06	6.57	6.82	6.28	6.79	10888421	72411864.00
2012/01/09	6.77	7.17	6.69	7.16	13916579	98981072.00
2012/01/10	7.12	7.52	7.07	7.43	19535051	145380528.00
2012/01/11	7.43	7.63	7.27	7.36	15855232	119895232.00
2012/01/12	7.27	7.47	7.24	7.35	10426160	78028336.00
2012/01/13	7.34	7.37	6.97	7.01	12514881	90736816.00
2012/01/16	6.99	7.07	6.84	6.88	6834153	48255464.00
2012/01/17	6.87	7.30	6.83	7.25	12970028	93729592.00
2012/01/18	7.21	7.42	7.02	7.06	10430946	76786816.00
2012/01/19	7.03	7.16	6.97	7.07	6382244	45954272.00
2012/01/20	6.95	6.95	6.36	6.67	26300428	176629984.00
2012/01/30	6.65	6.65	6.47	6.51	10612676	70831208.00
2012/01/31	6.51	6.58	6.47	6.54	7340198	48848592.00
2012/02/01	6.54	6.59	6.44	6.45	7837556	51983992.00
2012/02/02	6.47	6.54	6.39	6.53	8784840	57935772.00
2012/02/03	6.53	6.64	6.48	6.62	10841667	72822792.00
2012/02/06	6.66	7.20	6.59	7.10	28174278	200177056.00
2012/02/07	7.01	7.02	6.82	6.88	15571690	109606392.00
2012/02/08	6.77	7.02	6.77	7.00	14037795	99296464.00
2012/02/09	6.98	7.12	6.95	7.02	17737361	127310336.00
2012/02/10	7.05	7.07	6.95	6.99	10748744	76576488.00
2012/02/13	6.97	7.13	6.89	7.05	12807053	91800760.00
2012/02/14	7.04	7.34	6.97	7.19	21131227	154260416.00
2012/02/15	7.13	7.31	7.05	7.25	18525031	135758160.00
2012/02/16	7.25	7.42	7.17	7.27	18431225	136690400.00
2012/02/17	7.29	7.36	7.05	7.12	15304918	111476904.00
2012/02/20	7.23	7.25	7.06	7.07	11046478	80281904.00
2012/02/21	7.05	7.12	6.98	7.12	9423078	67726496.00
2012/02/23	7.37	7.61	7.22	7.28	29799588	223139776.00
2012/02/24	7.28	7.32	7.18	7.30	18516318	136704320.00
2012/02/27	7.39	7.74	7.38	7.54	38075289	294210432.00
2012/02/28	7.47	7.75	7.45	7.71	32311887	251225664.00
2012/02/29	7.67	7.67	7.47	7.47	16798009	128968296.00
2012/03/01	7.39	7.47	7.33	7.40	12503395	94172512.00
2012/03/02	7.40	7.55	7.37	7.54	11539237	87814144.00
2012/03/05	7.57	7.62	7.43	7.44	12222833	93334944.00
2012/03/06	7.40	7.45	7.25	7.26	11649812	86526856.00
2012/03/07	7.19	7.39	7.15	7.32	10770141	79730776.00
2012/03/08	7.32	7.44	7.32	7.40	10446138	78492864.00
2012/03/09	7.43	7.46	7.31	7.44	9941400	74750400.00
2012/03/12	7.46	7.61	7.40	7.57	15223080	116182440.00
2012/03/13	7.58	7.65	7.52	7.59	11092077	85372480.00
2012/03/14	7.62	7.71	7.02	7.11	24343303	184453568.00
2012/03/15	7.09	7.16	6.67	6.83	16025534	112815448.00
2012/03/16	6.83	7.01	6.77	7.00	9812408	69042768.00
2012/03/19	6.98	7.52	6.88	7.33	19656363	144390128.00
2012/03/20	7.26	7.30	7.01	7.03	10576246	76882712.00
2012/03/21	7.07	7.15	6.93	7.07	6935103	49587160.00
2012/03/22	7.01	7.18	7.01	7.08	6998919	50609528.00
2012/03/23	7.02	7.08	6.90	6.91	7083177	50251780.00
2012/03/26	6.92	6.94	6.79	6.87	5326705	37187196.00
2012/03/27	6.91	7.10	6.89	6.96	6775274	48374512.00
2012/03/28	6.97	6.97	6.58	6.60	8595938	58996232.00
2012/03/29	6.57	6.74	6.48	6.59	6461007	43572012.00
2012/03/30	6.62	6.67	6.46	6.56	5217774	34868472.00
2012/04/05	6.54	6.74	6.54	6.71	6376339	43328904.00
2012/04/06	6.74	6.82	6.65	6.72	6611632	45534280.00
2012/04/09	6.67	6.69	6.57	6.58	4853225	32791728.00
2012/04/10	6.57	6.69	6.43	6.68	4993955	33336038.00
2012/04/11	6.61	6.84	6.52	6.83	8323949	56985052.00
2012/04/12	6.79	7.04	6.76	7.01	15464350	109378904.00
2012/04/13	7.01	7.05	6.96	6.99	9686476	69045096.00
2012/04/16	6.94	7.13	6.91	7.08	8935152	64088176.00
2012/04/18	7.06	7.34	7.06	7.33	19416086	142951808.00
2012/04/19	7.47	7.47	7.01	7.08	28081668	205856160.00
2012/04/20	6.99	7.07	6.93	6.96	23025811	163319648.00
2012/04/23	6.98	6.99	6.72	6.72	20887314	145308672.00
2012/04/24	6.70	6.82	6.51	6.79	14325004	97398088.00
2012/04/25	6.79	6.81	6.64	6.77	11439442	78310568.00
2012/04/26	6.76	7.01	6.72	6.82	13707014	95828200.00
2012/04/27	6.57	6.63	6.37	6.39	24767342	163623424.00
2012/05/02	6.47	6.52	6.36	6.38	16090321	105119008.00
2012/05/03	6.47	6.54	6.39	6.43	13792679	90712424.00
2012/05/04	6.45	6.51	6.37	6.48	13253763	87031456.00
2012/05/07	6.46	6.60	6.42	6.59	12239055	81426672.00
2012/05/08	6.58	6.66	6.53	6.58	9415428	63237904.00
2012/05/09	6.53	6.54	6.40	6.41	8893191	58456376.00
2012/05/10	6.41	6.47	6.38	6.45	6122983	40192848.00
2012/05/11	6.47	6.48	6.39	6.40	5229857	34309664.00
2012/05/14	6.43	6.47	6.36	6.37	5679492	37114696.00
2012/05/15	6.35	6.35	6.10	6.19	10978347	69458352.00
2012/05/16	6.19	6.19	5.98	6.01	8315007	51412996.00
2012/05/17	6.01	6.16	6.01	6.16	6149077	38339660.00
2012/05/18	6.09	6.15	6.04	6.06	4052133	25166884.00
2012/05/21	6.06	6.11	6.02	6.10	3640222	22419352.00
2012/05/22	6.11	6.15	6.07	6.13	5160446	32028884.00
2012/05/23	6.14	6.15	5.93	5.97	7421427	45242236.00
2012/05/24	5.97	6.00	5.78	5.81	10778913	64158028.00
2012/05/25	5.81	5.84	5.46	5.48	15232237	86427152.00
2012/05/28	5.46	5.67	5.21	5.63	12181007	67109232.00
2012/05/29	5.64	5.84	5.63	5.78	15892708	93115064.00
2012/05/30	5.79	5.81	5.66	5.68	9413494	54512352.00
2012/05/31	5.62	5.75	5.57	5.64	6816771	39252096.00
2012/06/01	5.62	5.71	5.62	5.66	5206162	29982988.00
2012/06/04	5.57	5.57	5.36	5.37	7359347	40804232.00
2012/06/05	5.38	5.47	5.31	5.35	4197570	22909740.00
2012/06/06	5.35	5.41	5.24	5.31	4699527	25454642.00
2012/06/07	5.37	5.40	5.23	5.26	5201756	27966546.00
2012/06/08	5.30	5.34	5.18	5.22	5616730	30029424.00
2012/06/11	5.22	5.27	5.16	5.26	6083330	32334468.00
2012/06/12	5.23	5.25	5.15	5.17	5152403	27199668.00
2012/06/13	5.17	5.26	5.13	5.25	12979925	68493952.00
2012/06/14	5.23	5.78	5.22	5.78	68478281	397387520.00
2012/06/15	5.66	5.80	5.62	5.75	37579730	218009152.00
2012/06/18	5.74	5.79	5.67	5.76	19268574	112235928.00
2012/06/19	5.76	5.76	5.59	5.75	18535199	106761520.00
