600305 恒顺醋业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.50	6.53	6.36	6.39	222013	2886917.00
2011/10/11	6.51	6.61	6.10	6.29	415707	5360490.00
2011/10/12	6.29	6.56	6.19	6.51	490790	6386481.00
2011/10/13	6.53	6.63	6.45	6.57	575998	7614873.00
2011/10/14	6.54	6.58	6.45	6.52	273891	3592995.00
2011/10/17	6.52	6.57	6.44	6.51	341531	4483318.00
2011/10/18	6.52	6.55	6.24	6.27	404140	5225828.00
2011/10/19	6.33	6.34	6.19	6.27	256200	3229991.00
2011/10/20	6.25	6.25	6.10	6.13	363809	4539192.00
2011/10/21	6.13	6.19	6.06	6.14	123500	1529501.00
2011/10/24	6.18	6.24	6.07	6.20	261188	3252096.00
2011/10/25	6.08	6.44	5.67	6.43	5696839	68332376.00
2011/10/26	6.11	6.32	6.07	6.21	3804196	47667012.00
2011/10/27	6.13	6.18	5.99	6.00	2517430	30880092.00
2011/10/28	6.04	6.12	6.01	6.07	1793193	21943300.00
2011/10/31	6.07	6.17	6.06	6.14	1301694	16076296.00
2011/11/01	6.09	6.17	6.06	6.17	1339190	16551390.00
2011/11/02	6.08	6.19	6.01	6.18	1612956	19890000.00
2011/11/03	6.23	6.41	6.20	6.33	5153681	65633764.00
2011/11/04	6.32	6.43	6.30	6.37	2536461	32532148.00
2011/11/07	6.36	6.56	6.35	6.43	2699696	35229968.00
2011/11/08	6.43	6.48	6.25	6.26	1618713	20765672.00
2011/11/09	6.25	6.37	6.25	6.36	1078772	13712414.00
2011/11/10	6.29	6.32	6.24	6.26	1106829	14023237.00
2011/11/11	6.31	6.31	6.15	6.19	932969	11691312.00
2011/11/15	6.30	6.54	6.30	6.50	3099903	40286288.00
2011/11/16	6.44	6.50	6.32	6.34	1513406	19524860.00
2011/11/17	6.32	6.41	6.29	6.33	848455	10876192.00
2011/11/18	6.33	6.34	6.09	6.12	1121796	13985714.00
2011/11/21	6.09	6.19	6.05	6.18	561480	6955840.00
2011/11/22	6.16	6.20	6.02	6.15	564110	6971367.00
2011/11/23	6.14	6.19	6.06	6.08	580065	7171411.00
2011/11/24	6.08	6.12	5.97	6.04	552318	6721763.00
2011/11/25	6.05	6.14	5.99	6.04	465219	5683981.00
2011/11/28	6.07	6.10	6.00	6.09	513174	6253893.00
2011/11/29	6.14	6.16	6.07	6.15	723707	8947271.00
2011/11/30	6.15	6.15	5.79	5.86	862200	10326796.00
2011/12/01	6.07	6.07	5.92	5.94	736498	8919636.00
2011/12/02	5.95	5.96	5.78	5.87	541071	6405163.00
2011/12/05	5.89	5.89	5.61	5.64	358761	4122745.00
2011/12/06	5.59	5.63	5.51	5.59	345230	3882018.00
2011/12/07	5.67	5.67	5.52	5.58	250841	2831510.00
2011/12/08	5.60	5.63	5.52	5.59	382168	4298634.00
2011/12/09	5.58	5.61	5.54	5.61	244817	2754328.00
2011/12/12	5.61	5.76	5.53	5.66	554432	6334832.00
2011/12/13	5.64	5.66	5.40	5.45	465161	5172611.00
2011/12/14	5.47	5.49	5.31	5.33	399608	4361658.00
2011/12/15	5.32	5.32	5.14	5.18	620755	6537686.00
2011/12/16	5.18	5.25	5.13	5.23	506587	5302543.00
2011/12/19	5.17	5.18	4.98	5.15	664988	6849021.00
2011/12/20	5.17	5.21	5.08	5.10	330642	3442164.00
2011/12/21	5.15	5.18	4.98	5.00	320348	3316501.00
2011/12/22	4.97	5.16	4.81	5.09	703653	7091753.00
2011/12/23	5.08	5.20	5.01	5.14	457227	4765617.00
2011/12/26	5.18	5.19	5.09	5.17	155508	1618562.00
2011/12/27	5.06	5.06	4.87	4.88	444600	4462873.00
2011/12/28	4.79	4.85	4.69	4.81	313005	3013576.00
2011/12/29	4.75	4.84	4.75	4.78	176517	1717743.00
2011/12/30	4.80	4.97	4.79	4.91	406453	4024347.00
2012/01/04	4.96	4.96	4.69	4.71	219120	2134799.00
2012/01/05	4.65	4.69	4.47	4.55	243499	2264874.00
2012/01/06	4.52	4.67	4.49	4.63	359330	3334590.00
2012/01/09	4.64	4.82	4.57	4.78	813347	7788542.00
2012/01/10	4.77	4.99	4.76	4.95	799501	7921894.00
2012/01/11	4.95	4.99	4.88	4.94	432311	4307631.00
2012/01/12	4.89	4.97	4.85	4.94	348185	3468309.00
2012/01/13	4.92	4.97	4.73	4.79	534902	5222286.00
2012/01/16	4.79	4.79	4.67	4.68	285289	2720528.00
2012/01/17	4.68	4.92	4.64	4.89	787274	7574364.00
2012/01/18	4.89	4.91	4.79	4.84	360647	3551005.00
2012/01/19	4.79	4.96	4.75	4.96	780797	7736969.00
2012/01/20	4.96	5.05	4.90	5.01	657984	6630435.00
2012/01/30	5.03	5.03	4.90	4.92	411582	4119920.00
2012/01/31	4.92	4.96	4.85	4.89	171715	1699986.00
2012/02/01	4.86	4.92	4.83	4.86	254056	2506965.00
2012/02/02	4.86	4.94	4.84	4.94	213231	2111328.00
2012/02/03	4.96	5.02	4.92	5.01	442902	4469451.00
2012/02/06	5.01	5.09	4.96	5.08	585973	5992595.00
2012/02/07	5.08	5.08	4.92	4.93	278060	2798611.00
2012/02/08	4.96	5.08	4.90	5.06	306537	3105618.00
2012/02/09	5.07	5.17	5.05	5.11	633410	6543280.00
2012/02/10	5.09	5.23	5.09	5.13	514677	5368932.00
2012/02/13	5.12	5.19	5.04	5.19	540079	5622516.00
2012/02/14	5.15	5.21	5.14	5.21	425397	4456601.00
2012/02/15	5.15	5.26	5.15	5.26	526791	5566485.00
2012/02/16	5.21	5.33	5.19	5.31	740648	7891623.00
2012/02/17	5.31	5.39	5.28	5.30	958521	10340967.00
2012/02/20	5.33	5.37	5.22	5.23	575600	6160331.00
2012/02/21	5.19	5.29	5.10	5.28	535015	5627800.00
2012/02/22	5.22	5.37	5.19	5.37	1125517	12068290.00
2012/02/23	5.32	5.38	5.25	5.34	993958	10709342.00
2012/02/24	5.32	5.44	5.31	5.43	1104158	12026726.00
2012/02/27	5.43	5.53	5.40	5.44	1406092	15517696.00
2012/02/28	5.48	5.54	5.35	5.46	1263518	13948093.00
2012/02/29	5.47	5.49	5.30	5.40	879280	9613896.00
2012/03/01	5.37	5.44	5.32	5.40	689933	7497911.00
2012/03/02	5.40	5.51	5.37	5.49	801991	8838946.00
2012/03/05	5.52	5.54	5.44	5.49	1045701	11592758.00
2012/03/06	5.54	5.54	5.40	5.42	866323	9533307.00
2012/03/07	5.37	5.43	5.30	5.35	608373	6597661.00
2012/03/08	5.35	5.46	5.35	5.45	589589	6467589.00
2012/03/09	5.47	5.59	5.42	5.58	1106036	12346587.00
2012/03/12	5.58	5.68	5.52	5.66	858765	9701239.00
2012/03/13	5.62	5.70	5.60	5.67	717776	8203315.00
2012/03/14	5.69	5.87	5.48	5.52	2153654	24950428.00
2012/03/15	5.52	5.73	5.49	5.69	1955802	22353164.00
2012/03/16	5.69	6.03	5.57	6.02	2883772	34379960.00
2012/03/19	5.94	6.05	5.85	6.04	1747907	21010172.00
2012/03/20	6.04	6.04	5.83	5.84	1094059	13073991.00
2012/03/21	5.92	5.92	5.67	5.80	747212	8715372.00
2012/03/22	5.77	5.88	5.76	5.80	459102	5402209.00
2012/03/23	5.78	5.85	5.44	5.59	624596	7158985.00
2012/03/26	5.60	5.60	5.50	5.54	529635	5935659.00
2012/03/27	5.54	5.66	5.53	5.56	471201	5329116.00
2012/03/28	5.54	5.54	5.25	5.32	773737	8386357.00
2012/03/29	5.31	5.31	5.15	5.18	319328	3372222.00
2012/03/30	5.12	5.29	5.12	5.29	324097	3400720.00
2012/04/05	5.28	5.44	5.27	5.42	521356	5654045.00
2012/04/06	5.40	5.50	5.32	5.43	453679	4976537.00
2012/04/09	5.44	5.48	5.35	5.36	231689	2534233.00
2012/04/10	5.30	5.40	5.24	5.39	402280	4308242.00
2012/04/11	5.34	5.52	5.30	5.49	320658	3525236.00
2012/04/12	5.46	5.74	5.46	5.70	1287463	14757434.00
2012/04/13	5.70	5.74	5.65	5.69	657626	7569119.00
2012/04/16	5.65	5.74	5.63	5.65	585700	6715158.00
2012/04/17	5.65	5.71	5.54	5.65	475929	5405366.00
2012/04/18	5.64	5.75	5.61	5.71	690549	7946572.00
2012/04/19	5.62	5.72	5.62	5.67	425366	4868879.00
2012/04/20	5.68	5.92	5.67	5.74	781803	9150460.00
2012/04/23	5.79	5.82	5.52	5.63	746797	8568227.00
2012/04/24	5.61	5.67	5.57	5.58	662000	7500279.00
2012/04/25	5.59	5.73	5.55	5.70	710349	8109192.00
2012/04/26	5.70	5.88	5.67	5.77	950031	11036976.00
2012/04/27	5.78	5.78	5.63	5.67	759101	8696165.00
2012/05/02	5.74	5.79	5.65	5.79	720070	8322341.00
2012/05/03	5.79	5.93	5.70	5.90	1007595	11857124.00
2012/05/04	5.86	5.91	5.82	5.86	753157	8908062.00
2012/05/07	5.84	5.91	5.80	5.87	588941	6969578.00
2012/05/08	6.46	6.46	6.19	6.46	8488089	110000312.00
2012/05/09	6.44	6.94	5.94	6.74	11689106	156532112.00
2012/05/10	6.49	6.64	6.39	6.58	5627560	73707992.00
2012/05/11	6.49	6.57	6.28	6.30	3984426	51411604.00
2012/05/14	6.25	6.46	6.19	6.22	3264196	41615576.00
2012/05/15	6.04	6.15	5.94	6.11	3380334	41188620.00
2012/05/16	6.04	6.19	6.01	6.08	1994627	24598960.00
2012/05/17	6.11	6.36	6.03	6.30	3634636	45862136.00
2012/05/18	6.29	6.35	6.05	6.06	2647843	33087112.00
