600315 上海家化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	19.09	19.69	19.09	19.24	1728924	53407256.00
2011/10/12	19.25	20.19	19.16	20.08	2751924	86203968.00
2011/10/13	20.21	20.82	19.88	20.48	3232699	105096936.00
2011/10/14	20.56	20.56	20.01	20.12	1685038	54287608.00
2011/10/17	20.13	20.66	20.13	20.59	1589596	51854244.00
2011/10/18	20.56	20.98	20.43	20.52	1087954	35877000.00
2011/10/19	20.53	20.88	20.44	20.54	919399	30182856.00
2011/10/20	20.62	20.69	20.25	20.42	1950821	63376752.00
2011/10/21	20.69	20.69	20.07	20.16	1049621	33743488.00
2011/10/24	20.16	20.96	19.46	20.89	906280	29458790.00
2011/10/25	20.76	21.28	20.72	21.09	1032313	34407716.00
2011/10/26	21.09	21.53	20.96	21.16	1448646	49121064.00
2011/10/27	21.16	21.49	21.02	21.15	897487	30242916.00
2011/10/28	21.29	21.65	20.77	21.58	3049311	103842520.00
2011/10/31	21.65	21.92	21.45	21.76	2222944	76470584.00
2011/11/01	21.75	22.16	21.46	22.09	1726063	59630404.00
2011/11/02	21.94	22.40	21.69	22.34	2227469	77954584.00
2011/11/03	22.10	22.88	22.09	22.28	2133755	76413912.00
2011/11/04	22.46	22.70	22.09	22.18	1832100	64704828.00
2011/11/08	23.50	23.50	22.18	22.62	4436655	158825296.00
2011/11/09	22.66	22.82	22.25	22.76	2612267	93163064.00
2011/11/10	22.49	23.33	22.38	22.84	2074670	75109992.00
2011/11/11	22.77	23.09	22.55	22.78	1079489	38875628.00
2011/11/14	22.90	23.51	22.82	23.41	1680513	61737536.00
2011/11/15	23.30	23.42	23.19	23.35	749447	27596952.00
2011/11/16	23.39	23.60	22.84	22.93	1584770	57921128.00
2011/11/17	22.76	23.12	22.62	23.02	1766795	63836892.00
2011/11/18	22.82	23.22	22.16	23.09	2199249	78931192.00
2011/11/21	22.98	22.98	22.55	22.63	1809917	65107380.00
2011/11/22	22.53	22.62	22.18	22.44	2613581	92535552.00
2011/11/23	22.30	22.69	21.96	22.56	1347797	47782168.00
2011/11/24	22.22	23.56	22.22	23.36	2460588	90309408.00
2011/11/25	23.54	23.72	23.13	23.38	1594602	58909844.00
2011/11/28	23.49	23.96	23.19	23.88	2341548	86707768.00
2011/11/29	24.02	24.13	23.73	24.06	2258784	85233584.00
2011/11/30	24.02	24.07	23.36	24.02	1692450	63248876.00
2011/12/01	24.22	24.29	23.99	24.22	1632453	62122632.00
2011/12/02	24.22	24.22	23.49	24.10	1497913	56255116.00
2011/12/05	23.98	23.98	22.74	23.14	1794838	65946556.00
2011/12/06	23.09	23.16	22.29	23.11	1570032	56215784.00
2011/12/07	22.81	23.11	22.42	22.74	2454268	88627776.00
2011/12/08	22.68	22.75	22.04	22.67	1641203	58338920.00
2011/12/09	22.42	22.66	22.23	22.50	1151505	40840716.00
2011/12/12	22.10	22.60	22.10	22.50	470549	16690191.00
2011/12/13	22.42	22.42	21.86	22.08	1414770	49507800.00
