600319 亚星化学 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.70	6.76	6.54	6.61	1491604	9942579.00
2011/10/11	6.81	6.85	6.56	6.63	2124114	14203179.00
2011/10/12	6.60	6.94	6.45	6.93	3051325	20814442.00
2011/10/13	6.86	7.09	6.86	7.08	3169007	22180452.00
2011/10/14	7.05	7.11	6.90	7.01	3235380	22733484.00
2011/10/17	7.04	7.15	7.02	7.13	2895323	20532022.00
2011/10/18	7.07	7.22	7.05	7.09	6784333	48499856.00
2011/10/19	7.05	7.23	6.96	7.20	4924722	35064540.00
2011/10/20	7.26	7.28	7.00	7.21	7333175	52080896.00
2011/10/21	7.24	7.69	7.14	7.59	17497672	130286376.00
2011/10/24	7.49	7.67	7.30	7.64	17719249	132980248.00
2011/10/25	7.57	7.79	7.44	7.76	17809133	136233424.00
2011/10/26	7.70	7.96	7.48	7.49	14733904	112049232.00
2011/10/27	7.46	7.68	7.28	7.36	8177287	60485112.00
2011/10/28	7.40	7.50	7.30	7.45	6230766	46214964.00
2011/10/31	7.36	7.36	7.09	7.30	9317632	67050580.00
2011/11/01	7.21	7.28	7.12	7.20	6210742	44715748.00
2011/11/02	7.11	7.35	7.01	7.33	6117065	43805192.00
2011/11/03	7.35	7.43	7.25	7.27	8147611	59815728.00
2011/11/04	7.29	7.29	7.05	7.14	10211320	72791024.00
2011/11/07	7.11	7.25	7.05	7.18	6497018	46469136.00
2011/11/08	7.16	7.24	7.00	7.02	5866443	41895232.00
2011/11/09	7.03	7.14	6.93	7.12	4239008	29915036.00
2011/11/10	7.04	7.07	6.85	6.87	3914398	27230968.00
2011/11/11	6.86	6.96	6.83	6.86	2266744	15606323.00
2011/11/14	6.88	7.06	6.88	7.05	3513029	24595416.00
2011/11/15	7.05	7.17	7.05	7.15	4193661	29834440.00
2011/11/16	7.16	7.19	6.96	6.98	3493584	24723716.00
2011/11/17	6.98	7.05	6.87	6.92	2472955	17193150.00
2011/11/18	6.91	6.91	6.60	6.66	3080450	20711064.00
2011/11/21	6.70	6.84	6.65	6.78	2444261	16520040.00
2011/11/22	6.70	6.81	6.58	6.77	1894738	12721261.00
2011/11/23	6.75	6.83	6.64	6.67	1299356	8732931.00
2011/11/24	6.61	6.66	6.53	6.60	1466588	9670846.00
2011/11/25	6.62	6.71	6.60	6.65	1537172	10228311.00
2011/11/28	6.58	6.65	5.99	6.16	9195385	56971180.00
2011/11/29	6.09	6.16	5.95	6.15	5947757	36078332.00
2011/11/30	6.10	6.77	6.03	6.77	13736725	88216992.00
2011/12/05	6.84	6.84	6.10	6.42	7406729	48444192.00
2011/12/06	6.28	6.44	6.13	6.27	3168200	19747388.00
2011/12/07	6.24	6.32	6.03	6.27	2909645	18002804.00
2011/12/08	6.27	6.43	6.02	6.27	5482164	34153192.00
2011/12/09	6.15	6.24	6.09	6.17	2045170	12621131.00
2011/12/12	6.17	6.22	6.03	6.17	2025641	12422189.00
2011/12/13	6.18	6.27	5.98	6.06	3733859	22903900.00
2011/12/14	6.00	6.06	5.58	5.60	3854486	22187004.00
2011/12/15	5.51	5.53	5.20	5.22	3949700	21116260.00
2011/12/16	5.22	5.39	5.16	5.38	2611421	13801190.00
2011/12/19	5.37	5.38	5.23	5.36	1274489	6760236.00
2011/12/20	5.36	5.55	5.32	5.43	1611725	8781132.00
2011/12/21	5.48	5.53	5.18	5.20	1845700	9917697.00
2011/12/22	5.13	5.23	4.80	5.03	3069503	15281122.00
2011/12/23	5.03	5.34	4.93	5.30	3435405	17919524.00
2011/12/26	5.28	5.51	5.23	5.39	2697402	14574813.00
2011/12/27	5.34	5.37	5.18	5.24	1404200	7411220.00
2011/12/28	5.16	5.24	4.99	5.12	2488315	12622380.00
2011/12/29	5.08	5.17	5.01	5.15	922770	4739642.00
2011/12/30	5.15	5.25	5.14	5.16	1723926	8952687.00
2012/01/04	5.20	5.24	5.00	5.03	1618491	8248989.00
2012/01/05	5.01	5.05	4.64	4.74	1740565	8538341.00
2012/01/06	4.70	4.80	4.66	4.77	927586	4393184.00
2012/01/09	4.83	5.05	4.76	5.02	2260430	11030313.00
2012/01/10	5.02	5.25	4.99	5.19	4248727	21860120.00
2012/01/11	5.17	5.22	5.14	5.20	2442988	12667301.00
2012/01/12	5.20	5.50	5.16	5.27	3420975	18344928.00
2012/01/13	5.27	5.29	5.01	5.08	2144034	10999333.00
2012/01/16	5.06	5.14	4.99	5.00	1161818	5909376.00
2012/01/17	4.97	5.27	4.97	5.24	1867833	9625382.00
2012/01/18	5.24	5.31	5.10	5.14	1405826	7329017.00
2012/01/19	5.12	5.43	5.08	5.26	3181611	16780190.00
2012/01/20	5.27	5.37	5.22	5.32	2052991	10849236.00
2012/01/30	5.32	5.37	5.26	5.29	1195217	6348919.00
2012/01/31	5.24	5.29	5.14	5.23	1019974	5310858.00
2012/02/01	5.23	5.31	5.17	5.24	1137702	5982743.00
2012/02/02	5.24	5.34	5.21	5.33	1019174	5387776.00
2012/02/03	5.33	5.45	5.29	5.40	1927065	10385200.00
2012/02/06	5.43	5.49	5.40	5.48	2307505	12562980.00
2012/02/07	5.45	5.45	5.29	5.34	1784808	9597335.00
2012/02/08	5.32	5.60	5.29	5.53	3535900	19297600.00
2012/02/09	5.53	5.58	5.48	5.55	3050144	16866532.00
2012/02/10	5.57	5.77	5.52	5.71	4591619	26044420.00
2012/02/13	5.70	5.93	5.61	5.86	4874093	28421892.00
2012/02/14	5.85	5.98	5.75	5.85	3418309	20009632.00
2012/02/15	5.81	5.88	5.77	5.86	3524539	20568224.00
2012/02/16	5.81	5.95	5.76	5.83	3058232	17868952.00
2012/02/17	5.88	5.88	5.74	5.80	1446947	8389275.00
2012/02/20	5.88	5.90	5.78	5.80	2195052	12835925.00
2012/02/21	5.79	5.90	5.69	5.88	1899072	11025364.00
2012/02/22	5.98	6.43	5.94	6.17	6473085	40067568.00
2012/02/23	6.12	6.16	6.02	6.15	2866805	17520416.00
2012/02/24	6.11	6.21	6.07	6.19	3326777	20487468.00
2012/02/27	6.25	6.32	6.15	6.25	3403353	21271646.00
2012/02/28	6.26	6.26	6.04	6.20	3003781	18437652.00
2012/02/29	6.38	6.77	6.23	6.27	8150741	52681720.00
2012/03/01	6.12	6.25	6.10	6.16	4374243	27024464.00
2012/03/02	6.11	6.27	6.11	6.26	3186064	19761358.00
2012/03/05	6.26	6.29	6.17	6.26	3916733	24398856.00
2012/03/06	6.22	6.26	6.02	6.12	4069064	24886848.00
2012/03/07	6.04	6.17	6.03	6.11	2679212	16399173.00
2012/03/08	6.10	6.24	6.09	6.21	2589719	16042415.00
2012/03/09	6.17	6.30	6.15	6.25	3005431	18753128.00
2012/03/12	6.25	6.46	6.15	6.41	4415119	27905280.00
2012/03/13	6.50	6.61	6.36	6.50	6194179	40245916.00
2012/03/14	6.50	6.52	6.07	6.10	6003337	38090140.00
2012/03/15	6.04	6.14	5.76	5.94	4485628	26672560.00
2012/03/16	5.94	6.03	5.85	5.99	3303400	19715120.00
2012/03/19	6.19	6.19	5.93	6.14	3630007	22130840.00
2012/03/20	6.14	6.14	5.94	5.95	3424051	20620838.00
2012/03/21	6.03	6.05	5.85	5.99	1377334	8199133.00
2012/03/22	5.99	6.03	5.91	6.02	1366465	8167251.00
2012/03/23	5.97	5.97	5.79	5.87	1575696	9254989.00
2012/03/26	5.80	5.87	5.69	5.78	1325562	7635443.00
2012/03/27	5.83	5.83	5.66	5.70	994499	5710593.00
2012/03/28	5.67	5.70	5.31	5.33	2096499	11414188.00
2012/03/29	5.33	5.38	5.05	5.19	2499280	12953663.00
2012/03/30	5.19	5.23	5.06	5.16	1111562	5729562.00
2012/04/05	5.18	5.33	5.10	5.30	1394889	7316026.00
2012/04/06	5.32	5.35	5.21	5.31	2435985	12839888.00
2012/04/09	5.29	5.30	5.22	5.24	1185846	6237365.00
2012/04/10	5.23	5.27	5.05	5.27	1231404	6375906.00
2012/04/11	5.27	5.67	5.20	5.58	4863914	26596832.00
2012/04/12	5.56	5.68	5.48	5.66	3350391	18743484.00
2012/04/13	5.66	5.79	5.52	5.73	2413619	13729972.00
2012/04/16	5.70	5.92	5.62	5.82	3318045	19261828.00
2012/04/17	5.92	5.92	5.63	5.73	2137131	12342351.00
2012/04/18	5.66	5.83	5.66	5.79	2981223	17200292.00
2012/04/19	5.78	5.83	5.70	5.77	1769090	10205694.00
2012/04/20	5.77	6.03	5.77	5.89	3742522	22117236.00
2012/04/23	5.82	5.91	5.71	5.71	2704809	15731065.00
2012/04/24	5.67	5.80	5.39	5.60	1998878	11245337.00
2012/04/25	5.60	5.66	5.44	5.56	7434203	41001032.00
2012/04/26	5.52	5.56	5.37	5.46	4583927	25008030.00
2012/04/27	5.45	5.53	5.40	5.47	2332919	12769813.00
2012/05/02	5.53	5.55	5.38	5.49	2541962	13848998.00
2012/05/03	5.45	5.57	5.45	5.52	2141130	11809882.00
2012/05/04	5.54	5.56	5.43	5.55	2239451	12317817.00
2012/05/07	5.50	5.54	5.44	5.51	1442152	7903427.00
2012/05/08	5.50	5.82	5.45	5.74	4975817	28082180.00
2012/05/10	6.31	6.31	6.31	6.31	4314704	27225782.00
2012/05/11	6.31	6.31	5.89	5.91	13585362	82379440.00
2012/05/14	5.88	5.96	5.75	5.86	4812039	28053280.00
2012/05/15	5.73	6.05	5.73	6.00	5531901	32906746.00
2012/05/16	5.95	6.03	5.83	5.83	2859555	16928948.00
2012/05/17	5.83	5.93	5.77	5.88	2602120	15253748.00
2012/05/18	5.86	6.12	5.82	5.93	4530942	27086334.00
2012/05/21	5.95	5.96	5.73	5.82	2151363	12505711.00
2012/05/22	5.70	5.92	5.70	5.82	1755331	10248630.00
2012/05/24	5.77	5.86	5.72	5.75	1642451	9495988.00
2012/05/25	5.70	5.78	5.41	5.46	3400542	18851112.00
2012/05/28	5.43	5.52	5.37	5.52	1879027	10229799.00
2012/05/29	5.53	6.07	5.50	6.07	5996673	35069992.00
2012/05/30	6.01	6.22	5.94	6.07	5412395	32825668.00
2012/05/31	6.02	6.11	5.91	5.93	3203731	19289694.00
2012/06/01	5.95	6.42	5.95	6.09	7605955	47131920.00
2012/06/04	5.94	6.06	5.71	6.05	4090511	24157038.00
2012/06/05	6.04	6.16	5.93	6.00	3349721	20200698.00
2012/06/06	5.97	6.29	5.94	6.21	5761094	35538440.00
2012/06/07	6.33	6.83	6.26	6.68	15365402	101937648.00
2012/06/08	6.51	6.73	6.50	6.55	7316921	48450100.00
2012/06/11	6.50	6.63	6.28	6.60	5329627	34346800.00
2012/06/12	6.49	6.51	6.25	6.31	5051669	32081280.00
2012/06/13	6.30	6.49	6.18	6.43	5014133	31767732.00
2012/06/14	6.40	6.51	6.29	6.32	3361736	21505972.00
