600325 华发股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.97	8.00	7.53	7.62	12861718	103931536.00
2011/10/11	7.78	7.82	7.42	7.50	9599742	76811816.00
2011/10/12	7.46	7.80	7.43	7.77	11755705	94962616.00
2011/10/13	7.77	7.87	7.70	7.83	8165502	67025904.00
2011/10/14	7.83	7.84	7.68	7.76	5689417	46471152.00
2011/10/17	7.74	7.84	7.71	7.78	4543088	37182372.00
2011/10/18	7.72	7.72	7.62	7.66	9667323	77927296.00
2011/10/19	7.67	7.73	7.50	7.54	5488506	43923472.00
2011/10/20	7.55	7.55	7.10	7.23	8484931	65019464.00
2011/10/21	7.25	7.38	7.12	7.18	6059611	46207844.00
2011/10/24	7.18	7.37	7.12	7.36	5471002	41974060.00
2011/10/25	7.33	7.65	7.27	7.60	7972290	62749324.00
2011/10/26	7.54	7.81	7.51	7.79	14407597	117164880.00
2011/10/27	7.68	7.75	7.57	7.70	7190596	57993352.00
2011/10/28	7.78	8.35	7.78	7.91	22614641	189534944.00
2011/10/31	7.90	7.91	7.72	7.86	8079848	66475824.00
2011/11/01	7.74	7.83	7.62	7.69	12292405	99653584.00
2011/11/02	7.55	7.73	7.44	7.73	11059514	88130496.00
2011/11/03	7.75	7.81	7.67	7.75	13924991	113548824.00
2011/11/04	7.78	7.90	7.74	7.87	8631796	70954096.00
2011/11/07	7.84	7.84	7.70	7.70	5486899	44751952.00
2011/11/08	7.70	7.72	7.56	7.63	7079149	56884572.00
2011/11/09	7.64	7.70	7.50	7.65	4933775	39422536.00
2011/11/10	7.56	7.56	7.40	7.45	8600725	67707744.00
2011/11/11	7.41	7.52	7.41	7.44	2979543	23436648.00
2011/11/14	7.49	7.66	7.45	7.64	6581653	52511784.00
2011/11/15	7.63	7.69	7.57	7.67	3956406	31751330.00
2011/11/16	7.66	7.67	7.39	7.42	6467864	51068748.00
2011/11/17	7.44	7.46	7.33	7.36	3715436	28950504.00
2011/11/18	7.30	7.32	7.21	7.28	6421018	49134132.00
2011/11/21	7.31	7.32	7.22	7.25	3435443	26337514.00
2011/11/22	7.25	7.29	7.14	7.28	4124328	31453416.00
2011/11/23	7.29	7.33	7.17	7.19	8215302	63178008.00
2011/11/24	7.13	7.32	7.04	7.25	6603584	50147096.00
2011/11/25	7.20	7.22	7.05	7.07	4395817	33140208.00
2011/11/28	7.08	7.25	6.96	7.23	7006599	52690272.00
2011/11/29	7.23	7.40	7.18	7.39	5779108	44571356.00
2011/11/30	7.31	7.36	7.10	7.21	5788289	44017184.00
2011/12/01	7.45	7.66	7.39	7.53	16493817	131162112.00
2011/12/02	7.46	7.46	7.25	7.35	4820160	37467696.00
2011/12/05	7.32	7.32	7.09	7.15	4649132	35289032.00
2011/12/06	7.11	7.25	7.09	7.13	5474640	41388508.00
2011/12/07	7.13	7.22	7.11	7.19	2757607	20912828.00
2011/12/08	7.16	7.29	7.04	7.24	4725997	35868780.00
2011/12/09	7.18	7.41	7.15	7.25	7782652	59863632.00
2011/12/12	7.15	7.18	6.94	6.95	7502983	55583340.00
2011/12/13	6.91	6.93	6.64	6.68	5454062	39077916.00
2011/12/14	6.70	6.76	6.60	6.64	3580962	25317840.00
2011/12/16	6.59	6.80	6.56	6.79	5516291	38944864.00
2011/12/19	6.69	6.84	6.58	6.70	5640471	39781052.00
2011/12/20	6.68	6.86	6.67	6.74	4973498	35777444.00
2011/12/21	6.80	6.80	6.52	6.56	3082453	21797144.00
2011/12/22	6.46	6.56	6.31	6.47	3710733	25459414.00
2011/12/23	6.44	6.70	6.44	6.63	4620093	32408540.00
2011/12/26	6.60	6.72	6.57	6.60	2652380	18672070.00
2011/12/27	6.60	6.65	6.45	6.52	2310817	16065508.00
2011/12/28	6.43	6.65	6.38	6.65	3079450	21265660.00
2011/12/29	6.60	6.72	6.58	6.64	2403934	16952292.00
2011/12/30	6.69	6.92	6.65	6.83	5631996	40651820.00
2012/01/04	6.90	6.90	6.60	6.64	2060980	14708104.00
2012/01/05	6.62	6.70	6.46	6.47	2976469	20782600.00
2012/01/06	6.46	6.60	6.45	6.56	3922090	27143650.00
2012/01/09	6.52	6.80	6.49	6.78	4213929	29787764.00
2012/01/10	6.78	6.99	6.72	6.98	7062412	51520384.00
2012/01/11	6.97	6.97	6.81	6.88	6088155	44286736.00
2012/01/12	6.85	7.11	6.84	6.95	6290844	46511268.00
2012/01/13	6.94	6.96	6.71	6.90	4957348	35903928.00
2012/01/16	6.81	6.88	6.58	6.60	3312310	23652192.00
2012/01/17	6.58	6.98	6.52	6.93	5265597	37917520.00
2012/01/18	6.90	7.19	6.89	6.96	9951632	73959104.00
2012/01/19	6.90	7.14	6.90	7.11	6999848	52208612.00
2012/01/20	7.16	7.30	7.03	7.25	9954352	75652320.00
2012/01/30	7.28	7.28	6.95	6.97	6735675	50367368.00
2012/01/31	6.99	6.99	6.85	6.91	5529063	40452256.00
2012/02/01	6.90	6.93	6.77	6.81	5600546	40642616.00
2012/02/02	6.83	6.94	6.79	6.93	4534806	32995544.00
2012/02/03	6.91	7.09	6.89	7.03	5213531	38601892.00
2012/02/06	7.06	7.08	6.80	6.90	14252664	104408472.00
2012/02/07	6.87	6.88	6.77	6.78	6136052	44189372.00
2012/02/09	6.93	7.31	6.85	7.16	26507308	198649968.00
2012/02/10	7.15	7.59	7.15	7.39	34831284	272821824.00
2012/02/13	7.18	7.32	7.06	7.24	13757188	104282856.00
2012/02/14	7.22	7.40	7.14	7.39	10207286	78494600.00
2012/02/15	7.34	7.66	7.28	7.50	17479292	138470880.00
2012/02/16	7.46	7.66	7.43	7.53	8941421	70985832.00
2012/02/17	7.55	7.60	7.32	7.48	5391035	42502896.00
2012/02/20	7.61	7.78	7.52	7.56	12429014	100051928.00
2012/02/21	7.57	7.86	7.47	7.82	14059594	113181888.00
2012/02/22	7.84	8.33	7.83	8.30	35511666	305717888.00
2012/02/23	8.31	8.55	8.23	8.32	13433972	118386568.00
2012/02/24	8.31	8.88	8.26	8.74	17841128	161394160.00
2012/02/27	8.76	8.92	8.47	8.52	15883880	145251680.00
2012/02/28	8.56	8.73	8.42	8.60	15506320	139125312.00
2012/02/29	8.45	8.46	8.20	8.30	15254788	133206872.00
2012/03/01	8.29	8.47	8.26	8.36	10460113	91919936.00
2012/03/02	8.35	9.24	8.35	9.16	50530210	477246112.00
2012/03/05	9.23	9.23	8.88	8.94	31407332	295617824.00
2012/03/06	8.90	9.01	8.77	8.89	16238479	150453440.00
2012/03/07	8.76	9.02	8.73	8.76	12881971	119375240.00
2012/03/08	8.82	9.15	8.81	8.92	19417735	182530720.00
2012/03/09	8.98	9.06	8.83	8.96	8214584	76526064.00
2012/03/12	8.96	8.98	8.60	8.67	14635091	133415952.00
2012/03/13	8.71	8.78	8.64	8.76	11954597	108955520.00
2012/03/14	8.82	9.05	8.30	8.35	25865607	234378912.00
2012/03/15	8.31	8.32	7.95	8.03	17422012	147885344.00
2012/03/16	8.01	8.26	8.01	8.22	10048991	85971928.00
