600326 西藏天路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.85	11.03	10.83	10.89	2143624	23445196.00
2011/10/11	11.23	11.34	10.72	10.91	2933689	32433148.00
2011/10/12	10.93	11.33	10.60	11.33	4212649	47036136.00
2011/10/13	11.30	11.70	11.22	11.54	5523312	63608228.00
2011/10/14	11.53	11.54	11.22	11.33	3561049	40393220.00
2011/10/17	11.36	11.48	11.22	11.32	3251076	36843560.00
2011/10/18	11.22	11.30	11.10	11.13	4742698	53151888.00
2011/10/19	11.15	11.35	10.85	10.97	3452840	38118180.00
2011/10/20	10.94	11.24	10.59	10.66	6435221	70177200.00
2011/10/21	10.58	10.58	9.80	9.94	5027730	51360120.00
2011/10/24	10.00	10.35	9.89	10.24	3269160	33078868.00
2011/10/25	10.24	10.62	10.13	10.55	4070218	42476324.00
2011/10/26	10.49	10.95	10.41	10.70	5937131	63540644.00
2011/10/27	10.74	10.83	10.53	10.60	3010584	32196556.00
2011/10/28	10.77	11.06	10.75	10.92	4969240	54188616.00
2011/10/31	10.83	11.30	10.83	11.02	4929627	54793572.00
2011/11/01	10.98	11.18	10.86	11.00	4841093	53332256.00
2011/11/02	10.78	11.15	10.65	11.14	5360838	58224976.00
2011/11/03	11.19	11.56	11.15	11.27	7884728	89676632.00
2011/11/04	11.32	11.69	11.32	11.46	5484483	62965008.00
2011/11/07	11.45	11.69	11.26	11.33	4836514	55489560.00
2011/11/08	11.30	11.42	11.07	11.17	4201781	47221736.00
2011/11/09	11.21	11.37	11.05	11.36	3813225	42853984.00
2011/11/10	11.20	11.32	11.07	11.08	4123046	45962852.00
2011/11/11	11.10	11.22	11.07	11.09	2467038	27466906.00
2011/11/14	11.16	11.90	11.16	11.74	9687643	112347104.00
2011/11/15	11.74	11.85	11.57	11.74	4005781	46965820.00
2011/11/16	11.78	11.80	11.35	11.37	4946813	56920644.00
2011/11/17	11.33	11.60	11.33	11.36	3017619	34556248.00
2011/11/18	11.32	11.32	10.68	10.78	5153772	56452188.00
2011/11/21	10.79	10.95	10.65	10.87	2451617	26474504.00
2011/11/22	10.74	10.82	10.58	10.70	2037228	21795128.00
2011/11/23	10.70	10.85	10.60	10.63	2131022	22901532.00
2011/11/24	10.50	10.70	10.35	10.56	1748177	18356840.00
2011/11/25	10.51	10.65	10.24	10.32	2015342	21021818.00
2011/11/28	10.35	10.48	10.21	10.33	1808214	18646604.00
2011/11/29	10.46	10.72	10.40	10.66	2888609	30536856.00
2011/11/30	10.64	10.64	9.90	10.03	4565487	46461500.00
2011/12/01	10.40	10.52	10.25	10.27	4193052	43669536.00
2011/12/02	10.21	10.43	10.09	10.41	3723548	38305984.00
2011/12/05	10.40	10.48	10.00	10.03	2271691	23160204.00
2011/12/06	9.95	10.11	9.91	9.97	3199313	32024040.00
2011/12/07	9.97	10.08	9.86	9.98	1651882	16479853.00
2011/12/08	9.98	10.12	9.86	9.99	1948561	19489444.00
2011/12/09	9.90	10.10	9.87	9.90	1683791	16793764.00
2011/12/12	9.94	10.03	9.72	9.74	2051292	20237864.00
2011/12/13	9.73	9.73	9.06	9.13	3301431	30600006.00
2011/12/14	9.19	9.21	8.65	8.71	2491781	22383336.00
2011/12/15	8.65	8.71	8.22	8.30	3992759	33544096.00
2011/12/16	8.34	8.57	8.29	8.50	5059002	42612496.00
2011/12/26	9.12	9.12	8.59	8.62	8067744	71345312.00
2011/12/27	8.50	8.95	8.45	8.64	5914777	51846596.00
2011/12/28	8.56	8.56	7.96	8.28	6054054	49293060.00
2011/12/29	8.18	8.49	8.10	8.19	4910475	40627436.00
2011/12/30	8.20	8.32	8.18	8.31	5207380	42988668.00
2012/01/04	8.41	8.45	7.84	7.86	3945289	32310164.00
2012/01/05	7.79	8.17	7.49	7.62	5416257	41872892.00
2012/01/06	7.60	7.73	7.21	7.65	3247376	24533120.00
2012/01/09	7.62	8.05	7.59	8.04	5332813	42075032.00
2012/01/10	8.08	8.76	8.04	8.72	10817613	92150432.00
2012/01/11	8.66	9.30	8.48	9.04	13376190	118429800.00
2012/01/12	8.82	9.12	8.80	8.87	8077929	72186128.00
2012/01/13	8.82	9.02	8.43	8.53	6632312	57792360.00
2012/01/16	8.33	8.55	8.20	8.21	4004725	33514628.00
2012/01/17	8.27	8.98	8.22	8.91	6782904	58988784.00
2012/01/18	8.92	9.47	8.88	8.92	8823983	80724600.00
2012/01/19	8.84	9.24	8.77	9.15	5565030	50456700.00
2012/01/20	9.14	9.24	9.07	9.09	5168863	47261856.00
2012/01/30	9.13	9.28	8.97	8.99	4676124	42724748.00
2012/01/31	8.93	9.17	8.88	9.16	4192526	38012544.00
2012/02/01	9.12	9.16	8.85	8.90	3251332	29287460.00
2012/02/02	8.91	9.18	8.91	9.18	4850404	44049776.00
2012/02/03	9.14	9.38	9.10	9.28	5580901	51589128.00
2012/02/06	9.30	9.38	9.12	9.20	4372740	40434388.00
2012/02/07	9.15	9.20	8.88	9.00	4286329	38623120.00
2012/02/08	8.99	9.55	8.95	9.43	8015760	74499792.00
2012/02/09	9.42	9.77	9.36	9.54	11716132	112207872.00
2012/02/10	9.56	9.81	9.48	9.61	7505484	72328128.00
2012/02/13	9.48	9.83	9.43	9.73	7103222	68812400.00
2012/02/14	9.74	9.77	9.51	9.64	5785218	55721116.00
2012/02/15	9.64	10.05	9.53	9.94	9602493	94239704.00
2012/02/16	9.92	10.23	9.82	9.96	8065171	80610160.00
2012/02/17	9.90	10.20	9.90	10.04	7225849	72627680.00
2012/02/20	10.23	10.26	9.93	10.12	7323011	73693920.00
2012/02/21	10.19	10.50	10.12	10.47	13924835	144235760.00
2012/02/22	10.39	10.54	10.35	10.48	9704141	101198016.00
2012/02/23	10.48	10.53	10.28	10.43	8366767	87085016.00
2012/02/24	10.43	10.51	10.27	10.45	8309610	86361624.00
2012/02/27	10.47	10.63	10.33	10.35	11606831	121459928.00
2012/02/28	10.33	10.37	10.08	10.15	7709539	78545616.00
2012/02/29	10.16	10.32	10.11	10.13	4575497	46723860.00
2012/03/01	10.00	10.27	9.96	10.18	4434890	45047264.00
2012/03/02	10.21	10.42	10.21	10.34	5339720	55139964.00
2012/03/05	10.42	10.45	10.26	10.28	4874782	50466188.00
2012/03/06	10.25	10.25	10.08	10.24	7420582	75256600.00
2012/03/07	10.09	10.29	10.03	10.13	4092534	41609248.00
2012/03/08	10.15	10.79	10.14	10.55	20165883	212854912.00
2012/03/09	10.50	10.63	10.40	10.60	10864622	114268176.00
2012/03/12	10.61	10.80	10.51	10.69	8474047	90425024.00
2012/03/13	10.70	10.78	10.53	10.75	7724118	82508480.00
2012/03/14	10.80	10.85	9.81	10.06	13623208	142042496.00
2012/03/15	10.00	10.17	9.50	9.66	8730374	85484384.00
2012/03/16	9.67	9.97	9.67	9.93	6343057	62515480.00
2012/03/19	9.94	10.27	9.85	10.26	6832614	69020088.00
2012/03/20	10.21	10.73	9.89	10.41	17624541	183882768.00
2012/03/21	10.39	11.20	10.35	11.02	26060447	281239296.00
2012/03/22	11.00	11.00	10.63	10.72	12680809	136718368.00
2012/03/23	10.61	11.24	10.60	10.93	20915872	230122672.00
2012/03/26	10.90	10.96	10.55	10.76	10288913	110278624.00
2012/03/27	10.80	11.17	10.80	10.94	11195345	122866344.00
2012/03/28	10.71	10.82	10.00	10.01	12861846	133701952.00
2012/03/29	9.86	10.23	9.76	10.10	8870241	88512864.00
2012/03/30	10.01	10.40	9.90	10.11	6608974	67058636.00
2012/04/05	10.11	10.86	10.08	10.84	11422080	119551728.00
2012/04/06	10.80	11.79	10.70	11.30	23662035	266606768.00
2012/04/09	11.18	11.47	11.03	11.24	14005736	157805824.00
2012/04/10	11.12	11.70	10.95	11.69	21653242	246342176.00
2012/04/11	11.50	11.69	11.30	11.56	14924133	171941536.00
2012/04/12	11.50	11.64	11.15	11.47	15430630	175885504.00
2012/04/13	11.46	11.87	11.29	11.50	19759786	228770864.00
2012/04/18	11.49	11.49	10.55	11.17	20166000	222193136.00
2012/04/19	11.00	11.29	10.93	11.03	9757462	108474024.00
2012/04/20	11.01	11.13	10.76	10.90	10992533	120032936.00
2012/04/23	10.87	11.25	10.82	11.10	12101168	133922888.00
2012/04/24	11.00	11.10	10.36	10.82	12664276	135967888.00
2012/04/25	10.72	11.25	10.64	11.14	10512514	115388216.00
2012/04/26	11.19	11.45	11.14	11.23	10996510	124401568.00
2012/04/27	11.15	11.23	10.75	10.77	8785387	95733288.00
2012/05/02	10.92	11.22	10.58	10.99	10140304	110847952.00
2012/05/03	10.88	11.03	10.81	10.98	6000641	65574552.00
2012/05/04	10.94	11.11	10.91	11.08	7279376	80228368.00
2012/05/07	11.12	11.40	11.11	11.24	10135148	113917704.00
2012/05/08	11.38	11.45	11.13	11.39	10955084	123831480.00
2012/05/09	11.30	12.31	11.01	11.87	36592400	433787264.00
2012/05/10	11.70	12.15	11.60	12.02	23176056	275294592.00
2012/05/11	12.03	12.33	11.70	11.73	18399627	221262976.00
2012/05/14	11.81	12.33	11.78	12.06	22360395	270571008.00
2012/05/15	11.88	11.95	11.55	11.86	13175550	154641744.00
2012/05/16	11.78	11.97	11.50	11.51	9833879	115213072.00
2012/05/17	11.40	11.67	11.34	11.53	7751837	89330008.00
2012/05/18	11.44	11.63	10.89	11.06	11203605	126015512.00
2012/05/21	11.04	11.23	10.81	11.05	8159791	89858168.00
2012/05/22	11.06	11.49	11.06	11.47	10339408	116991128.00
2012/05/23	11.45	11.57	11.06	11.53	10750887	122170096.00
2012/05/24	11.49	11.77	11.40	11.45	13323575	154661136.00
2012/05/25	11.46	12.20	11.42	12.00	26066115	308531296.00
2012/05/28	11.95	12.39	11.66	12.28	26157808	316419136.00
