600328 兰太实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.70	10.79	10.49	10.50	1433049	15287453.00
2011/10/11	10.89	10.89	10.44	10.57	2020490	21608968.00
2011/10/12	10.56	10.90	10.32	10.88	2475273	26698204.00
2011/10/13	10.89	11.04	10.79	10.95	3246472	35772780.00
2011/10/14	10.92	11.06	10.84	10.98	1852188	20429368.00
2011/10/17	10.99	11.18	10.99	11.00	2125772	23670504.00
2011/10/18	10.90	10.94	10.61	10.62	2027219	21899520.00
2011/10/19	10.73	10.74	10.49	10.58	1128930	12033067.00
2011/10/20	10.64	10.64	10.24	10.54	3296668	34419016.00
2011/10/21	10.44	10.60	10.29	10.52	1776458	18667740.00
2011/10/24	10.42	11.11	10.03	10.77	6797115	72139144.00
2011/10/25	10.64	10.91	10.29	10.74	10061991	107308752.00
2011/10/26	10.54	10.75	10.39	10.63	6131697	65342104.00
2011/10/27	10.60	10.73	10.47	10.51	3539918	37710248.00
2011/10/28	10.68	10.95	10.59	10.88	7058065	76602552.00
2011/10/31	10.85	10.90	10.70	10.82	4315234	46888016.00
2011/11/01	10.67	11.12	10.64	11.04	6687990	73372240.00
2011/11/02	10.90	11.08	10.72	11.07	7550708	83114296.00
2011/11/03	11.12	11.34	11.02	11.04	8882838	99920408.00
2011/11/04	11.09	11.19	10.85	11.05	5981964	66236824.00
2011/11/07	10.99	11.12	10.93	10.99	3492742	38677760.00
2011/11/08	10.99	11.24	10.95	11.02	4244047	47294848.00
2011/11/09	11.07	11.20	10.94	11.14	4176640	46506248.00
2011/11/10	11.02	11.06	10.64	10.77	4400615	48439256.00
2011/11/11	10.85	10.92	10.75	10.80	2355033	25675978.00
2011/11/14	10.87	11.07	10.86	11.06	3363155	37240752.00
2011/11/15	11.06	11.19	11.00	11.11	3990780	44611208.00
2011/11/16	11.17	11.17	10.82	10.87	4115401	45387924.00
2011/11/17	10.84	10.96	10.65	10.69	3079523	33362860.00
2011/11/18	10.60	10.66	10.23	10.27	3277182	34327008.00
2011/11/21	10.27	10.38	10.24	10.36	1719409	17823524.00
2011/11/22	10.29	10.44	10.15	10.40	1818455	18884280.00
2011/11/23	10.53	10.71	10.36	10.38	3806302	40373008.00
2011/11/24	10.27	10.35	10.16	10.26	2045654	21065288.00
2011/11/25	10.28	10.31	10.05	10.10	2225277	22760836.00
2011/11/28	10.19	10.22	10.04	10.16	1577093	16038283.00
2011/11/29	10.26	10.32	10.16	10.31	2327467	23995254.00
2011/11/30	10.31	10.31	9.42	9.56	4043278	39834920.00
2011/12/01	9.89	9.92	9.71	9.71	3420781	33801860.00
2011/12/02	9.64	9.64	9.33	9.34	2513816	23908160.00
2011/12/05	9.32	9.39	8.94	9.00	2243207	20599288.00
2011/12/06	8.97	9.10	8.91	9.04	1379563	12504992.00
2011/12/07	9.17	9.19	9.01	9.08	1058673	9678073.00
2011/12/08	9.10	9.16	8.87	9.03	1569288	14231539.00
2011/12/09	8.94	9.13	8.94	9.05	1000608	9112597.00
2011/12/12	9.04	9.22	9.01	9.21	1801761	16533913.00
2011/12/13	9.14	9.14	8.82	8.84	2218159	19988692.00
2011/12/14	8.84	8.87	8.22	8.28	3263533	27954556.00
2011/12/15	8.24	8.24	7.84	7.85	3102326	24910812.00
2011/12/16	7.91	8.13	7.85	8.11	1559458	12527498.00
2011/12/19	8.10	8.10	7.81	8.02	1806839	14483040.00
2011/12/20	8.08	8.19	7.97	8.09	2046390	16747104.00
2011/12/21	8.25	8.25	7.92	7.93	1561616	12705290.00
2011/12/22	7.78	7.83	7.42	7.70	2502686	19174260.00
2011/12/23	7.70	7.91	7.62	7.83	1813633	14215534.00
2011/12/26	7.82	7.93	7.75	7.82	1320305	10443551.00
2011/12/27	7.76	8.14	7.74	7.91	2902206	23231400.00
2011/12/28	7.79	7.94	7.63	7.94	2116177	16550602.00
2011/12/29	7.89	8.04	7.85	7.92	1305053	10462517.00
2011/12/30	7.93	8.08	7.93	8.04	1272876	10284094.00
2012/01/04	8.08	8.14	7.67	7.68	1655551	13232089.00
2012/01/05	7.69	7.72	7.33	7.39	2131083	16191483.00
2012/01/06	7.40	7.57	7.23	7.57	1453722	10834132.00
2012/01/09	7.53	7.99	7.40	7.92	2281215	17834944.00
2012/01/10	7.89	8.36	7.86	8.31	4442792	36594896.00
2012/01/11	8.26	8.41	8.20	8.27	3836976	32026224.00
2012/01/12	8.27	8.38	8.14	8.30	3404992	28371798.00
2012/01/13	8.27	8.29	7.97	8.10	3334090	27206626.00
2012/01/16	7.99	8.10	7.83	7.84	2248419	18037826.00
2012/01/17	7.92	8.44	7.87	8.44	4558817	37832788.00
2012/01/18	8.49	8.79	8.25	8.44	4937903	42278300.00
2012/01/19	8.33	8.62	8.26	8.60	3767048	32198622.00
2012/01/20	8.60	8.67	8.47	8.51	2200727	18936466.00
2012/01/30	8.46	8.63	8.45	8.45	2214719	19030736.00
2012/01/31	8.45	8.47	8.20	8.39	1674894	14076815.00
2012/02/01	8.32	8.43	8.29	8.31	1450008	12202090.00
2012/02/02	8.34	8.54	8.29	8.53	2139433	18147904.00
2012/02/03	8.54	8.69	8.46	8.61	3285543	28446734.00
2012/02/06	8.69	8.72	8.56	8.66	3148046	27384056.00
2012/02/07	8.57	8.59	8.38	8.42	2707696	23041940.00
2012/02/08	8.42	8.71	8.37	8.69	3599850	31126372.00
2012/02/10	8.63	8.86	8.61	8.82	5869869	51777180.00
2012/02/13	8.86	8.87	8.75	8.86	4740675	42106168.00
2012/02/14	8.94	9.23	8.92	8.98	6226819	56831196.00
2012/02/15	8.92	9.09	8.82	9.07	4532487	40970228.00
2012/02/16	9.02	9.19	8.87	9.09	4344834	39539816.00
2012/02/17	9.08	9.14	8.86	9.10	3251265	29524004.00
2012/02/20	9.32	9.32	9.01	9.01	4107950	37741308.00
2012/02/21	8.97	9.36	8.90	9.23	6215416	57282868.00
2012/02/22	9.22	9.31	9.16	9.29	4603912	42875916.00
2012/02/23	9.29	9.37	9.18	9.31	4563195	42660192.00
2012/02/24	9.30	9.39	9.21	9.35	5198187	48677908.00
2012/02/27	9.36	9.92	9.34	9.38	7546718	72491632.00
2012/02/28	9.44	9.56	9.34	9.49	5621638	53445968.00
2012/02/29	9.50	9.80	9.47	9.69	7006060	67885464.00
2012/03/01	9.59	10.15	9.57	9.98	11075173	110889128.00
2012/03/02	10.03	10.32	9.90	10.29	10057031	102828752.00
2012/03/05	10.44	11.29	10.40	10.56	13617620	147607536.00
2012/03/06	10.56	11.05	10.55	10.89	11272581	122559792.00
2012/03/07	10.72	10.92	10.54	10.56	9152452	98656088.00
2012/03/08	10.58	10.73	10.44	10.68	6075880	64758024.00
2012/03/09	10.71	10.87	10.58	10.70	6835019	73773232.00
2012/03/12	10.79	10.93	10.52	10.72	6142391	66019184.00
2012/03/13	10.77	10.91	10.61	10.88	7268540	78975344.00
2012/03/14	10.88	11.06	9.93	10.03	10611499	112309448.00
2012/03/15	9.98	10.81	9.92	10.67	10937799	113918632.00
2012/03/16	10.62	11.04	10.61	10.96	10809259	118326696.00
2012/03/19	11.02	11.32	10.94	11.17	7936755	88648720.00
2012/03/20	11.14	11.16	10.76	10.89	5463448	59930744.00
2012/03/21	10.94	11.58	10.74	11.55	13203776	149134048.00
2012/03/22	11.49	11.64	11.25	11.32	7252445	83266944.00
2012/03/23	11.22	11.22	10.63	10.75	7960432	87338240.00
2012/03/26	10.81	10.81	10.31	10.46	5314648	56483372.00
2012/03/27	10.57	10.64	10.40	10.43	2995460	31721314.00
2012/03/28	10.40	10.40	9.43	9.63	8465777	83973664.00
2012/03/29	9.52	9.73	9.31	9.53	4530695	43471676.00
2012/03/30	9.54	9.76	9.34	9.57	3665760	35368680.00
2012/04/05	9.58	10.08	9.54	10.00	4912904	48874156.00
2012/04/06	9.94	10.28	9.90	10.15	4406730	44866112.00
2012/04/09	10.16	10.24	9.88	9.91	3336391	33626112.00
2012/04/10	9.89	10.10	9.52	10.09	4344493	42693848.00
2012/04/11	9.84	10.08	9.75	9.99	2695684	26994660.00
2012/04/12	10.07	10.24	9.90	10.19	4254319	43196160.00
2012/04/13	10.25	10.41	10.15	10.33	4008081	41429660.00
