600329 中新药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.07	9.18	8.98	8.98	502952	4739539.00
2011/10/11	9.15	9.35	8.71	8.84	1097929	10210959.00
2011/10/12	8.75	9.15	8.74	9.14	1468681	13708048.00
2011/10/13	9.10	9.33	9.10	9.22	1454216	13905793.00
2011/10/14	9.22	9.25	9.06	9.20	720899	6841166.00
2011/10/17	9.20	9.94	9.14	9.86	4585576	45775948.00
2011/10/18	9.75	9.75	9.51	9.73	3268607	32551954.00
2011/10/19	9.78	10.16	9.61	10.13	3404998	34774868.00
2011/10/20	10.09	10.09	9.61	9.71	3007122	30323150.00
2011/10/21	9.73	9.88	9.56	9.62	1682614	16924952.00
2011/10/24	9.55	9.66	9.15	9.52	2708054	26513296.00
2011/10/25	9.55	9.78	9.44	9.75	2453904	24399806.00
2011/10/26	9.73	10.31	9.63	10.14	9806760	102479424.00
2011/10/27	10.05	10.40	9.94	10.04	5747483	60279816.00
2011/10/28	10.10	10.24	9.89	10.09	5368239	55793456.00
2011/10/31	9.93	10.04	9.64	9.79	5708334	57589140.00
2011/11/01	9.63	9.93	9.60	9.79	3472498	35153000.00
2011/11/02	9.63	9.92	9.56	9.91	3998228	40314184.00
2011/11/03	9.92	10.14	9.92	10.03	5589217	57948632.00
2011/11/04	10.21	10.21	9.89	9.95	4445577	45947792.00
2011/11/07	9.94	10.07	9.90	9.92	2255865	23277962.00
2011/11/08	9.91	9.97	9.75	9.78	1999679	20392132.00
2011/11/09	9.81	10.79	9.80	10.17	7973116	83901032.00
2011/11/10	10.04	10.23	9.95	9.95	3989618	41615060.00
2011/11/11	9.96	10.12	9.88	10.01	2452767	25395280.00
2011/11/14	10.10	10.27	10.10	10.24	4884996	51516684.00
2011/11/15	10.22	10.60	10.17	10.51	5531177	59592460.00
2011/11/16	10.55	10.61	10.16	10.26	5092256	54734956.00
2011/11/17	10.20	10.53	10.20	10.52	3922349	42039640.00
2011/11/18	10.40	10.49	10.15	10.23	3063116	32733356.00
2011/11/21	10.18	10.76	10.15	10.72	7114442	77224952.00
2011/11/22	10.60	10.77	10.52	10.62	5663602	62197856.00
2011/11/23	10.62	10.68	10.46	10.48	2290900	25067458.00
2011/11/24	10.30	10.62	10.28	10.34	2524615	27252616.00
2011/11/25	10.27	10.41	10.21	10.29	2046180	21849510.00
2011/11/28	10.31	10.38	9.97	10.04	1666110	17476128.00
2011/11/29	10.15	10.75	10.08	10.66	3898346	42046400.00
2011/11/30	10.53	10.82	10.33	10.52	5468776	59660560.00
2011/12/01	10.80	11.10	10.58	10.85	5719052	64353944.00
2011/12/02	10.83	11.09	10.67	10.91	5035482	56898392.00
2011/12/05	10.85	10.95	10.30	10.38	3635201	39934856.00
2011/12/06	10.40	10.45	9.91	9.95	2901598	30216028.00
2011/12/07	9.93	10.25	9.91	10.19	1959165	20501114.00
2011/12/08	10.07	10.33	9.96	10.19	1471097	15427326.00
2011/12/09	10.09	10.19	9.47	9.56	2316315	23498848.00
2011/12/12	9.54	9.54	9.11	9.14	1638587	15809427.00
2011/12/13	9.12	9.30	8.81	8.87	1601550	14942887.00
2011/12/14	8.92	8.99	8.76	8.80	929820	8581712.00
2011/12/15	8.81	9.09	8.79	9.00	2497991	23217252.00
2011/12/16	8.99	9.40	8.90	9.35	1881508	17997948.00
2011/12/19	9.36	9.47	9.18	9.44	895211	8627159.00
2011/12/20	9.33	9.59	9.26	9.30	993759	9774046.00
2011/12/21	9.34	9.51	8.98	9.04	619880	5972083.00
2011/12/22	9.03	9.45	8.65	9.30	1275223	11950135.00
2011/12/23	9.16	9.40	9.11	9.31	732566	7074142.00
2011/12/26	9.30	9.49	9.17	9.43	1012201	9866193.00
2011/12/27	9.37	9.55	9.16	9.27	1079393	10486727.00
2011/12/29	9.37	9.37	8.98	8.99	711484	6745577.00
2011/12/30	9.00	9.20	8.98	9.00	604771	5691777.00
2012/01/04	9.10	9.17	8.88	8.90	573403	5404810.00
2012/01/05	8.91	8.91	8.37	8.55	1807029	16112412.00
2012/01/06	8.51	8.88	8.35	8.81	1003795	8978260.00
2012/01/09	8.85	9.01	8.66	9.00	1118685	10347945.00
2012/01/10	9.01	9.26	8.90	9.25	2173767	20572160.00
2012/01/11	9.28	9.28	9.03	9.13	1118803	10642528.00
2012/01/12	9.04	9.20	9.03	9.07	878943	8295685.00
2012/01/13	9.13	9.13	8.57	8.59	1547569	14028636.00
2012/01/16	8.54	8.57	8.15	8.17	1777446	15492283.00
2012/01/17	8.17	8.68	8.09	8.52	2279374	19915840.00
2012/01/18	8.52	8.66	8.15	8.23	2461488	21483516.00
2012/01/19	8.19	8.33	8.17	8.30	1503534	12948324.00
2012/01/20	8.30	8.66	8.30	8.55	2247241	19945220.00
2012/01/30	8.57	8.57	8.44	8.46	828456	7325509.00
2012/01/31	8.45	8.54	8.16	8.39	687051	5963710.00
2012/02/01	8.35	8.45	8.30	8.35	759398	6614127.00
2012/02/02	8.39	8.51	8.35	8.51	655403	5762680.00
2012/02/03	8.51	8.82	8.46	8.68	2474988	22259836.00
2012/02/06	8.65	8.86	8.58	8.72	2052697	18684548.00
2012/02/07	8.75	8.80	8.51	8.58	1129800	10149885.00
2012/02/08	8.49	8.77	8.49	8.75	1302985	11783237.00
2012/02/09	8.80	8.89	8.70	8.85	2362768	21624202.00
2012/02/10	8.84	8.91	8.75	8.79	1762184	16152747.00
2012/02/13	8.76	8.92	8.65	8.88	1974028	18107246.00
2012/02/14	8.85	8.89	8.73	8.82	1377403	12588727.00
2012/02/15	8.83	8.98	8.72	8.97	2596966	23968476.00
2012/02/16	8.96	9.02	8.90	8.97	2285785	21279952.00
2012/02/17	8.97	9.01	8.85	8.89	1492472	13827396.00
2012/02/20	8.98	9.09	8.92	9.00	2233923	20862908.00
2012/02/21	8.97	9.20	8.84	9.18	4071991	38184820.00
2012/02/22	9.13	9.25	9.12	9.24	2505078	23900402.00
2012/02/23	9.33	9.33	9.10	9.21	1995695	19024104.00
2012/02/24	9.16	9.51	9.16	9.50	3733967	36291800.00
2012/02/27	9.46	9.74	9.44	9.59	3321815	32980660.00
2012/02/28	9.55	9.59	9.34	9.54	2125443	20816820.00
2012/02/29	9.52	10.11	9.41	9.93	8873747	89159872.00
2012/03/01	9.83	9.83	9.60	9.67	7112874	71454128.00
2012/03/02	9.68	10.53	9.60	10.18	8665145	88968384.00
2012/03/05	10.14	10.29	9.92	10.03	14957639	155499696.00
2012/03/06	9.92	9.98	9.65	9.70	4084627	41222068.00
2012/03/07	9.58	9.62	9.42	9.48	3135064	30937280.00
2012/03/08	9.49	9.67	9.47	9.62	3210070	31820938.00
2012/03/09	9.66	9.67	9.52	9.66	2419581	24100152.00
2012/03/12	9.68	10.06	9.63	10.03	6525276	66871812.00
2012/03/13	10.06	10.09	9.87	9.96	3475079	35955884.00
2012/03/14	9.96	10.05	9.45	9.51	3861952	39027960.00
2012/03/15	9.43	9.57	9.15	9.48	2235754	21840124.00
2012/03/16	9.53	9.83	9.51	9.82	3384213	33945552.00
2012/03/19	9.81	10.02	9.75	10.01	2997803	30828686.00
2012/03/20	9.85	9.95	9.65	9.66	1581125	16034171.00
2012/03/21	9.66	9.75	9.47	9.65	1230038	12252604.00
2012/03/22	9.70	9.70	9.49	9.63	1510196	14980194.00
2012/03/23	9.53	9.55	9.24	9.44	2037457	19795824.00
2012/03/26	9.35	9.44	9.21	9.36	1523542	14745186.00
2012/03/27	9.34	9.50	9.15	9.19	1467107	14139152.00
2012/03/28	9.13	9.14	8.65	8.68	1972388	18157788.00
2012/03/29	8.65	8.65	8.45	8.46	1507245	13357023.00
2012/03/30	8.54	8.57	8.35	8.46	1052498	9261281.00
2012/04/05	8.35	8.61	8.19	8.60	4526778	39537364.00
2012/04/06	8.54	8.67	8.47	8.54	2461760	21932608.00
2012/04/09	8.55	8.60	8.36	8.40	1036705	9154755.00
2012/04/10	8.30	8.45	8.20	8.45	1476410	12803279.00
2012/04/11	8.39	8.53	8.26	8.43	1245345	10897929.00
2012/04/12	8.50	8.57	8.40	8.55	2790856	24708468.00
2012/04/13	8.55	8.68	8.53	8.65	2152486	19277124.00
2012/04/16	8.60	8.87	8.50	8.73	2377608	21589790.00
2012/04/17	8.68	8.94	8.68	8.76	2702518	24858622.00
2012/04/18	8.78	8.87	8.71	8.87	1598401	14658898.00
2012/04/19	8.86	8.89	8.70	8.88	1758535	16092443.00
2012/04/20	8.89	9.05	8.65	8.72	3886999	35561252.00
2012/04/23	8.72	8.83	8.58	8.71	3810755	34642744.00
2012/04/24	8.65	9.42	8.63	9.09	8077014	75262224.00
2012/04/25	9.05	9.23	8.90	9.07	4293254	40513052.00
2012/04/26	9.07	9.31	9.04	9.08	2086465	19852672.00
2012/04/27	9.07	9.26	9.05	9.08	1669657	15851997.00
2012/05/02	9.25	9.63	9.15	9.56	5372948	52692832.00
2012/05/03	9.58	10.17	9.54	10.01	8906121	91797232.00
2012/05/04	9.91	10.04	9.76	9.97	5275803	54189484.00
2012/05/07	9.92	10.30	9.85	10.06	5459904	57017932.00
2012/05/08	10.10	10.13	9.82	9.96	2705012	27839040.00
2012/05/09	9.93	9.93	9.69	9.77	4132022	41910352.00
2012/05/10	9.71	10.14	9.70	9.93	3092044	31869068.00
2012/05/11	9.90	10.07	9.83	9.90	2511721	25841696.00
2012/05/14	9.96	10.27	9.94	10.04	6835119	71490440.00
2012/05/16	9.86	9.90	9.68	9.70	6624770	67242296.00
2012/05/17	9.68	10.01	9.68	9.90	2858161	29223120.00
2012/05/18	9.76	10.20	9.76	10.03	4199715	43695016.00
2012/05/21	9.97	10.20	9.95	10.06	2723216	28360484.00
2012/05/22	10.11	10.45	10.01	10.39	4935088	52389704.00
2012/05/23	10.44	10.72	10.22	10.59	8601356	93745928.00
2012/05/24	10.51	10.67	9.95	10.11	6146766	65632068.00
2012/05/25	10.06	10.12	9.83	9.87	3536613	36401448.00
2012/05/28	9.86	10.04	9.63	10.01	3815184	38780088.00
2012/05/29	9.99	10.15	9.87	10.02	2697955	28022544.00
2012/05/30	9.96	10.25	9.91	10.02	3715588	38928224.00
2012/05/31	10.04	10.49	10.04	10.47	9016458	96626696.00
2012/06/01	10.42	10.62	10.36	10.54	5804237	62977264.00
2012/06/04	10.30	11.08	10.21	10.70	10831343	120527568.00
2012/06/05	10.68	11.20	10.68	10.85	8088400	91393528.00
2012/06/06	10.83	11.10	10.76	10.87	4738396	53381872.00
2012/06/07	10.95	11.21	10.95	11.05	8062041	92518768.00
2012/06/08	11.15	11.16	10.75	10.78	7464768	84264688.00
2012/06/11	10.77	11.37	10.65	11.24	7567641	86805632.00
2012/06/13	11.31	11.63	11.07	11.54	8494810	99807328.00
2012/06/14	11.45	11.53	11.20	11.34	7811919	91524720.00
2012/06/15	11.40	11.80	11.24	11.34	6709992	79792208.00
2012/06/18	11.39	11.62	11.31	11.61	3750910	44547728.00
2012/06/19	11.63	11.89	11.43	11.73	6268044	75401104.00
2012/06/20	11.70	11.73	11.30	11.38	3308510	39198948.00
2012/06/21	11.20	11.51	11.01	11.48	4276224	49520628.00
2012/06/25	11.35	11.61	11.13	11.28	2872622	33756092.00
2012/06/26	11.14	11.36	11.05	11.21	2729748	31603268.00
2012/06/27	11.20	11.77	11.20	11.47	5188396	62025672.00
2012/06/28	11.53	12.09	11.53	11.79	6520668	79178424.00
2012/06/29	11.75	12.05	11.68	12.04	5240309	64160596.00
2012/07/02	12.11	12.69	12.04	12.45	7147555	91483816.00
2012/07/03	12.45	12.67	12.03	12.15	6614715	83731976.00
2012/07/04	12.18	12.28	11.90	11.95	5407962	67212216.00
2012/07/05	11.85	12.26	11.85	12.15	4001513	49878752.00
2012/07/06	12.35	12.62	12.16	12.55	6613810	84505360.00
2012/07/09	12.44	13.04	12.44	12.80	7612584	100406032.00
2012/07/10	12.80	12.80	12.40	12.41	3644238	47044180.00
2012/07/11	12.36	13.34	12.26	13.32	7711327	102307976.00
2012/07/12	13.15	13.57	13.11	13.55	8284533	113476616.00
2012/07/13	13.40	13.65	13.31	13.60	4610442	63912384.00
2012/07/16	13.55	13.84	12.85	12.96	7584458	103789552.00
2012/07/17	12.93	13.15	12.25	13.09	6554111	85505776.00
2012/07/18	12.94	13.17	12.31	13.10	6866900	90246840.00
2012/07/19	12.91	13.11	12.67	12.75	4081186	54085980.00
2012/07/20	12.65	13.27	12.65	12.89	4755721	63622288.00
2012/07/23	12.75	13.39	12.70	13.36	4407157	59240492.00
