600330 天通股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.50	9.56	9.29	9.37	2836029	26648132.00
2011/10/11	9.72	9.82	9.14	9.32	5334320	50827868.00
2011/10/12	9.20	9.61	9.07	9.59	6324130	59976760.00
2011/10/13	9.57	9.78	9.50	9.71	6556337	63487680.00
2011/10/14	9.72	10.25	9.55	10.16	12657115	125545456.00
2011/10/17	10.05	10.26	9.91	9.97	9730939	97958280.00
2011/10/18	9.85	9.89	9.42	9.44	6799655	65692632.00
2011/10/19	9.50	9.52	9.20	9.46	4057920	38120344.00
2011/10/20	9.35	9.50	9.06	9.24	4482656	41516920.00
2011/10/21	9.21	9.27	8.81	8.83	4398273	39438368.00
2011/10/24	8.84	8.98	8.51	8.95	4403143	38712704.00
2011/10/25	8.96	9.25	8.86	9.20	5745560	52235312.00
2011/10/26	9.11	9.29	9.05	9.17	6533330	59985140.00
2011/10/27	9.17	9.30	9.09	9.13	4437468	40818636.00
2011/10/28	9.23	9.49	9.23	9.36	6566091	61401172.00
2011/10/31	9.37	9.79	9.31	9.59	11613729	111025864.00
2011/11/01	9.42	9.49	9.28	9.43	8628106	80990656.00
2011/11/02	9.20	9.61	9.00	9.60	12802417	119006328.00
2011/11/03	9.57	10.21	9.55	9.79	16828109	166459520.00
2011/11/04	9.81	9.96	9.72	9.86	7775891	76482672.00
2011/11/07	10.10	10.60	9.88	9.91	11153016	111815264.00
2011/11/08	9.80	9.91	9.58	9.63	6281671	61111460.00
2011/11/09	9.63	9.83	9.50	9.81	7266104	70172536.00
2011/11/10	9.67	9.70	9.53	9.55	5056117	48607632.00
2011/11/11	9.56	10.51	9.48	10.51	41313913	427952224.00
2011/11/14	10.70	10.97	10.55	10.85	49983484	537021760.00
2011/11/15	10.79	11.42	10.70	11.04	39431817	437027136.00
2011/11/16	11.00	11.07	10.59	10.80	25056840	270988480.00
2011/11/17	10.98	11.09	10.65	10.72	21276923	230978944.00
2011/11/18	10.50	10.64	10.13	10.22	16539714	171942320.00
2011/11/21	10.27	10.50	10.15	10.49	11696256	120906048.00
2011/11/22	10.30	10.78	10.23	10.71	17037249	180238464.00
2011/11/23	10.66	10.85	10.40	10.44	15070166	160295616.00
2011/11/24	10.21	10.64	10.17	10.56	12603280	131813584.00
