600332 白云山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.94	12.14	11.46	11.59	2572170	31119456.00
2011/10/11	11.97	11.97	11.09	11.38	2789917	33319834.00
2011/10/12	11.27	11.85	11.09	11.81	3050876	36740688.00
2011/10/13	11.81	12.07	11.81	11.92	2971827	36643916.00
2011/10/14	11.85	11.98	11.76	11.88	1863181	22845042.00
2011/10/17	11.88	12.03	11.66	11.85	2156048	26344512.00
2011/10/18	11.71	11.78	11.21	11.30	2783266	32989508.00
2011/10/19	11.31	11.45	11.11	11.26	1215140	14168398.00
2011/10/20	11.35	11.36	10.66	10.76	1863955	21002196.00
2011/10/21	10.80	10.81	10.49	10.55	1584141	17474760.00
2011/10/24	10.62	10.87	10.41	10.81	1731863	19187976.00
2011/10/25	10.81	11.34	10.74	11.28	4347581	50159412.00
2011/10/26	11.19	11.87	11.09	11.63	5096292	61345788.00
2011/10/27	11.70	12.01	11.59	11.64	3309590	40325404.00
2011/10/28	11.86	12.06	11.67	11.98	4182565	51264208.00
2011/10/31	11.98	12.11	11.72	12.10	3720372	45740772.00
2011/11/01	11.92	12.38	11.82	12.24	4311654	54099648.00
2011/11/02	11.99	12.37	11.76	12.25	3827843	47573556.00
2011/11/03	12.29	12.85	12.29	12.72	6647114	87021736.00
2011/11/04	12.86	12.98	12.64	12.75	3225734	42438152.00
2012/03/28	12.81	14.06	12.61	14.06	26489601	377261856.00
2012/03/29	13.81	15.26	13.50	13.84	29493770	432505600.00
2012/03/30	13.43	13.84	12.42	12.77	19291165	257630432.00
2012/04/05	12.56	13.17	12.06	13.04	13430540	174927184.00
2012/04/06	12.79	13.11	12.46	12.70	11721811	153826336.00
2012/04/09	12.59	12.59	11.95	12.02	9794755	124111456.00
2012/04/10	11.86	12.15	11.61	12.13	8455524	103444080.00
2012/04/11	11.91	12.06	11.78	12.01	5270563	64966172.00
2012/04/13	12.31	12.59	12.21	12.38	11807969	150847968.00
2012/04/16	12.26	12.26	12.01	12.09	5979339	74759632.00
2012/04/17	12.01	12.86	12.01	12.42	11561752	149313904.00
2012/04/18	12.43	12.70	12.19	12.59	8555893	109998184.00
2012/04/19	12.60	12.94	12.60	12.74	8557635	112524384.00
2012/04/20	12.76	12.91	12.47	12.73	7765905	101565328.00
2012/04/23	12.71	13.36	12.62	13.29	12417853	166811744.00
2012/04/24	13.21	13.23	12.57	12.90	8052538	107038144.00
2012/04/25	12.81	12.99	12.60	12.91	5184266	68528440.00
2012/04/26	12.89	12.90	12.61	12.63	5884962	77431544.00
2012/04/27	12.66	13.00	12.66	12.77	4650918	61550024.00
2012/05/02	13.03	13.10	12.80	13.02	6466256	86647384.00
2012/05/03	12.91	14.36	12.88	14.36	18832609	268017392.00
2012/05/04	14.51	15.09	14.16	14.36	18086932	270331520.00
2012/05/07	14.24	15.83	14.24	15.20	16980387	265372096.00
2012/05/08	15.08	15.88	14.89	15.50	17498738	278266944.00
2012/05/09	15.41	16.10	15.18	15.83	15101399	243381520.00
2012/05/10	15.94	17.45	15.94	16.89	32024997	562410688.00
2012/05/11	17.01	18.62	17.00	18.62	33455943	612192320.00
2012/05/14	20.52	20.52	20.52	20.52	8643271	180730800.00
2012/05/15	21.61	22.47	19.41	19.71	78348534	1682463232.00
2012/05/16	19.63	21.71	19.06	21.07	62007097	1289836288.00
2012/05/17	19.80	20.17	19.12	19.69	33535635	673868864.00
2012/05/18	19.80	20.96	19.46	20.14	30553104	625862784.00
2012/05/21	20.12	21.36	19.72	20.98	28629254	598085632.00
2012/05/22	20.79	22.91	20.66	21.92	39348742	877348928.00
2012/05/23	21.69	24.14	21.53	24.14	44089920	1045313856.00
2012/05/24	24.05	24.87	23.21	24.63	49504532	1205758592.00
2012/05/25	24.29	24.76	23.74	23.88	26424068	648400832.00
2012/05/28	22.74	22.93	21.81	22.11	38472725	867190016.00
2012/05/29	22.70	24.01	22.66	22.82	35916266	841756416.00
2012/05/30	22.92	23.70	22.31	23.39	26308999	616926592.00
2012/05/31	23.31	23.86	22.97	23.02	22150806	524951296.00
2012/06/01	22.74	23.19	22.47	22.84	16857883	390115840.00
2012/06/04	22.97	24.36	22.58	23.77	34067781	810832320.00
2012/06/05	23.64	25.19	23.42	23.61	38531059	947669760.00
2012/06/06	23.00	23.53	22.12	22.36	27768268	641334080.00
2012/06/07	22.39	22.79	22.21	22.62	16606218	378242944.00
2012/06/08	22.71	22.75	21.57	21.67	22375997	498396768.00
2012/06/11	21.51	21.71	20.26	21.11	21428701	454597600.00
2012/06/12	20.90	21.72	20.85	21.16	15641428	338811488.00
2012/06/13	21.26	21.91	20.96	21.64	14933280	326619680.00
2012/06/14	21.68	21.68	20.96	21.13	12291422	264287344.00
2012/06/15	21.09	21.53	20.86	21.06	12432494	266982464.00
2012/06/18	21.22	22.71	21.19	22.66	21778035	481554656.00
2012/06/19	22.65	24.86	22.27	24.60	48696437	1181325440.00
2012/06/20	24.55	24.71	23.22	23.37	26689170	639591168.00
2012/06/21	22.86	23.71	22.54	22.85	15173590	354561952.00
2012/06/25	22.44	23.24	21.61	22.05	15071379	340941504.00
2012/06/26	22.07	22.21	21.19	21.44	10137334	221533296.00
2012/06/27	21.59	21.79	20.89	21.43	10727869	232433664.00
2012/06/28	21.61	22.68	21.21	22.00	14974861	334327072.00
2012/06/29	22.01	22.71	21.91	22.63	12296398	279446528.00
2012/07/02	23.08	23.58	22.51	22.93	14332573	334391872.00
2012/07/03	22.92	23.04	22.48	22.55	9197747	211814368.00
2012/07/04	22.51	24.16	22.03	23.82	23637781	558558656.00
2012/07/05	23.63	24.14	22.60	22.67	21071362	502699872.00
2012/07/06	22.68	24.45	22.51	24.10	20834779	497515520.00
2012/07/09	24.06	26.54	23.96	25.41	32364332	833242624.00
2012/07/10	25.27	25.96	25.11	25.30	17242329	444860032.00
2012/07/11	25.10	27.86	25.10	27.86	28438520	772096832.00
2012/07/12	28.01	29.09	26.86	27.61	35296691	999012096.00
2012/07/13	27.26	30.40	27.26	30.40	35645851	1056090496.00
2012/07/16	31.14	33.47	30.01	30.99	52875805	1696147456.00
2012/07/17	30.33	31.56	28.56	30.61	35797260	1088850304.00
2012/07/18	29.96	30.16	27.61	28.83	32258791	937814912.00
2012/07/19	28.33	29.26	28.14	28.63	21990318	635443904.00
2012/07/20	28.29	28.85	26.85	26.93	32593450	912555584.00
2012/07/23	26.65	27.38	26.43	26.85	17960600	489864128.00
2012/07/24	26.81	28.28	26.24	27.60	26893172	746322240.00
2012/07/25	27.01	27.61	26.49	26.93	15679375	427039456.00
2012/07/26	26.59	27.46	25.52	25.63	19164165	512908032.00
2012/07/27	25.84	25.96	24.15	24.90	22768384	574837568.00
2012/07/30	24.71	25.46	23.54	23.74	16305027	400736096.00
2012/07/31	23.72	24.60	23.60	24.19	16252203	398010400.00
2012/08/01	23.91	25.51	23.87	25.24	21578414	543781760.00
2012/08/02	25.25	26.61	25.01	25.98	23907624	627363840.00
2012/08/03	26.13	26.25	25.29	25.89	14318189	371968544.00
2012/08/06	25.68	26.09	25.11	26.05	15621725	404199520.00
