600336 澳柯玛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.15	3.23	3.13	3.18	3617636	22824840.00
2011/10/11	3.22	3.39	3.22	3.38	12446817	81683736.00
2011/10/12	3.33	3.46	3.29	3.44	17320465	117056224.00
2011/10/13	3.40	3.55	3.36	3.51	18443743	127578648.00
2011/10/14	3.47	3.52	3.39	3.49	16379408	112710840.00
2011/10/17	3.45	3.49	3.38	3.42	13098915	89916048.00
2011/10/18	3.40	3.51	3.22	3.23	10138892	67671696.00
2011/10/19	3.25	3.30	3.13	3.17	6019142	38333364.00
2011/10/20	3.14	3.18	2.98	3.00	5422920	33033998.00
2011/10/21	3.00	3.03	2.87	2.88	3694538	21588792.00
2011/10/24	2.87	2.93	2.84	2.93	2897546	16781314.00
2011/10/25	2.92	2.98	2.86	2.97	4811122	28211804.00
2011/10/26	2.95	3.03	2.92	2.98	4746537	28379116.00
2011/10/27	2.98	3.01	2.94	2.95	3185200	18938944.00
2011/10/28	2.99	3.05	2.96	3.03	5136722	30817840.00
2011/10/31	3.01	3.04	2.99	3.02	2904094	17489800.00
2011/11/01	3.01	3.04	2.98	3.02	2720858	16367014.00
2011/11/02	2.96	3.03	2.93	3.03	3509634	20941952.00
2011/11/03	3.03	3.10	3.03	3.05	4482654	27439000.00
2011/11/04	3.05	3.09	3.04	3.07	3176161	19450162.00
2011/11/07	3.06	3.11	3.05	3.07	2811873	17323028.00
2011/11/08	3.05	3.09	3.02	3.03	2673141	16346454.00
2011/11/09	3.03	3.06	2.98	3.05	2235415	13535064.00
2011/11/10	3.04	3.04	2.96	2.97	2234500	13420264.00
2011/11/11	2.97	3.00	2.94	2.98	2245881	13330173.00
2011/11/14	3.00	3.13	3.00	3.13	6874202	42354136.00
2011/11/15	3.18	3.33	3.14	3.16	13635912	87793944.00
2011/11/16	3.13	3.16	3.05	3.07	4687524	29056878.00
2011/11/17	3.07	3.10	3.03	3.06	2744288	16816628.00
2011/11/18	3.05	3.06	2.94	2.94	3175739	18951416.00
2011/11/21	2.94	2.98	2.92	2.98	1484704	8751969.00
2011/11/22	2.95	2.98	2.94	2.98	1102445	6522688.00
2011/11/23	2.98	3.01	2.94	2.95	1176538	6953467.00
2011/11/24	2.90	2.96	2.90	2.93	1503179	8792759.00
2011/11/25	2.92	2.95	2.91	2.94	1046033	6125549.00
2011/11/28	2.94	2.97	2.92	2.93	1367087	8060035.00
2011/11/29	2.97	2.98	2.93	2.98	1632846	9642216.00
2011/11/30	2.98	2.98	2.70	2.79	2979534	16785090.00
2011/12/01	2.87	2.90	2.80	2.81	2318855	13179689.00
2011/12/02	2.78	2.80	2.71	2.73	1346582	7392191.00
2011/12/05	2.73	2.73	2.60	2.61	1399121	7406941.00
2011/12/06	2.62	2.64	2.58	2.61	994531	5181305.00
2011/12/07	2.59	2.64	2.59	2.62	909900	4771246.00
2011/12/08	2.60	2.64	2.57	2.62	1134444	5909640.00
2011/12/09	2.61	2.61	2.58	2.58	746282	3865921.00
2011/12/12	2.57	2.60	2.56	2.56	643900	3313416.00
2011/12/13	2.54	2.54	2.42	2.43	1501155	7418014.00
2011/12/14	2.43	2.44	2.33	2.35	1195215	5723079.00
2011/12/15	2.34	2.34	2.24	2.24	1613428	7331731.00
2011/12/16	2.23	2.32	2.23	2.31	1149655	5216692.00
2011/12/19	2.33	2.33	2.25	2.31	1114971	5100928.00
2011/12/20	2.31	2.35	2.29	2.32	980770	4562088.00
2011/12/21	2.34	2.35	2.26	2.27	815000	3777911.00
2011/12/22	2.25	2.25	2.09	2.18	1726996	7411852.00
2011/12/23	2.17	2.23	2.14	2.20	954498	4189024.00
2011/12/26	2.18	2.23	2.18	2.19	595649	2627233.00
2011/12/27	2.19	2.20	2.10	2.12	682129	2932655.00
2011/12/28	2.10	2.14	2.05	2.11	1218604	5084577.00
2011/12/29	2.11	2.13	2.07	2.11	875309	3677668.00
2011/12/30	2.12	2.15	2.11	2.15	615828	2628035.00
2012/01/04	2.17	2.19	2.07	2.08	741000	3166194.00
2012/01/05	2.07	2.08	1.97	1.99	1190765	4829461.00
2012/01/06	1.99	2.03	1.95	2.02	890028	3519664.00
2012/01/09	2.06	2.22	2.05	2.22	3480316	15312675.00
2012/01/10	2.33	2.40	2.25	2.33	10309840	47895916.00
2012/01/11	2.29	2.38	2.27	2.36	6395278	29714726.00
2012/01/12	2.31	2.39	2.30	2.38	5214710	24500298.00
2012/01/13	2.36	2.39	2.22	2.25	4127079	18870288.00
2012/01/16	2.22	2.29	2.18	2.19	1944801	8693609.00
2012/01/17	2.18	2.31	2.18	2.30	2887495	13053322.00
2012/01/18	2.31	2.35	2.25	2.27	2954327	13582764.00
2012/01/19	2.28	2.32	2.25	2.31	1992847	9160666.00
2012/01/20	2.33	2.34	2.29	2.31	1893691	8731816.00
2012/01/30	2.33	2.33	2.27	2.28	1249419	5724723.00
2012/01/31	2.27	2.29	2.24	2.28	1101008	4974940.00
2012/02/01	2.28	2.29	2.23	2.24	1166410	5258031.00
