600339 天利高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.84	10.96	10.71	10.76	2353023	25573182.00
2011/10/11	11.12	11.16	10.39	10.60	5095053	55154296.00
2011/10/12	10.47	11.06	10.31	11.00	7666441	83453272.00
2011/10/13	10.97	11.17	10.81	11.10	6473093	71972256.00
2011/10/14	10.99	11.15	10.88	10.95	3880139	42911840.00
2011/10/17	11.01	11.10	10.66	10.76	5760940	62592048.00
2011/10/18	10.69	10.71	10.11	10.13	6569764	68564048.00
2011/10/19	10.20	10.24	10.10	10.12	3854206	39293956.00
2011/10/20	10.12	10.16	9.33	9.41	8942055	85930840.00
2011/10/21	9.42	9.50	8.97	9.02	8161202	74935344.00
2011/10/24	9.01	9.24	8.84	9.22	7552112	69005024.00
2011/10/25	9.24	9.60	9.09	9.51	8447104	79325480.00
2011/10/26	9.29	9.51	8.96	9.50	29822661	276050880.00
2011/10/27	9.37	9.46	9.24	9.34	16078862	150983552.00
2011/10/28	9.43	9.54	9.29	9.52	16689589	157851920.00
2011/10/31	9.56	9.68	9.43	9.51	16814489	161087200.00
2011/11/01	9.36	9.71	9.24	9.34	12367460	116610256.00
2011/11/02	9.14	9.33	8.90	9.33	14921204	136774160.00
2011/11/03	9.38	9.69	9.36	9.52	20401119	195352800.00
2011/11/04	9.56	9.84	9.47	9.81	19091957	185068064.00
2011/11/07	9.75	9.79	9.59	9.62	10526921	102244920.00
2011/11/08	9.62	9.68	9.37	9.41	9948581	95364816.00
2011/11/09	9.46	9.53	9.21	9.47	12025343	113254560.00
2011/11/10	9.31	9.38	9.22	9.23	9338579	87126776.00
2011/11/11	9.25	9.31	9.13	9.18	6794800	62826592.00
2011/11/14	9.28	9.52	9.21	9.51	10150432	95805472.00
2011/11/15	9.50	9.73	9.46	9.67	14084253	135847344.00
2011/11/16	9.68	9.68	9.19	9.28	12443282	117698896.00
2011/11/17	9.32	9.43	9.23	9.30	6465642	60517880.00
2011/11/18	9.20	9.20	8.86	8.88	10417169	94038032.00
2011/11/21	8.89	8.95	8.56	8.77	8235409	72266888.00
2011/11/22	8.66	8.74	8.47	8.62	5652829	48822208.00
2011/11/23	8.62	8.69	8.56	8.61	3767040	32607844.00
2011/11/24	8.53	8.53	8.24	8.31	12736366	106533592.00
2011/11/25	8.31	8.34	8.14	8.14	8238443	68267952.00
2011/11/28	8.17	8.21	8.01	8.13	8458195	68795248.00
