600343 航天动力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.20	7.27	6.94	6.96	2352566	33259086.00
2011/10/11	7.15	7.20	6.90	7.01	1887297	26683814.00
2011/10/12	6.95	7.19	6.86	7.17	3295327	47140640.00
2011/10/13	7.16	7.34	7.13	7.23	3668229	53503496.00
2011/10/14	7.25	7.26	7.00	7.10	2703909	38772656.00
2011/10/17	7.29	7.29	7.04	7.19	2537067	36572260.00
2011/10/18	7.13	7.13	6.83	6.83	2647384	37150616.00
2011/10/19	6.88	6.90	6.69	6.71	2341980	31960536.00
2011/10/20	6.70	6.70	6.11	6.25	4558705	57717820.00
2011/10/21	6.26	6.35	6.16	6.17	1721767	21643150.00
2011/10/24	6.17	6.35	6.01	6.34	2965368	37192468.00
2011/10/25	6.33	6.60	6.33	6.56	3375790	44212524.00
2011/10/26	6.50	7.05	6.43	6.78	6733864	91675880.00
2011/10/27	6.75	6.89	6.69	6.84	3742142	51190228.00
2011/10/28	6.86	6.97	6.79	6.91	4790841	66538556.00
2011/10/31	6.98	7.15	6.98	7.02	6622337	94111192.00
2011/11/01	6.98	6.98	6.66	6.88	3808497	52855576.00
2011/11/02	6.71	6.95	6.55	6.93	5090621	69093496.00
2011/11/03	7.05	7.13	6.96	6.99	7257635	103200840.00
2011/11/04	7.08	7.19	7.01	7.11	4188691	59890792.00
2011/11/07	7.10	7.50	7.10	7.37	9576767	141606096.00
2011/11/08	7.35	7.35	7.13	7.14	4800882	69905088.00
2011/11/09	7.18	7.44	7.18	7.37	5619431	82993352.00
2011/11/17	7.30	7.75	7.14	7.35	8955470	134800128.00
2011/11/18	7.24	7.24	6.84	6.89	4892982	69163280.00
2011/11/21	6.90	6.92	6.57	6.67	3012342	40403688.00
2011/11/22	6.60	6.69	6.50	6.59	2140760	28454660.00
2011/11/23	6.60	6.68	6.55	6.58	1884971	25094892.00
2011/11/24	6.48	6.58	6.38	6.48	1751239	22779372.00
2011/11/25	6.48	6.56	6.33	6.35	1810631	23542100.00
2011/11/28	6.38	6.44	6.33	6.41	1404700	18092888.00
2011/11/29	6.45	6.70	6.45	6.68	3430666	45718936.00
2011/11/30	6.65	6.80	6.30	6.45	3349003	44324388.00
2011/12/01	6.65	6.74	6.53	6.60	3120751	41741760.00
2011/12/02	6.59	6.73	6.52	6.69	3647268	48897216.00
2011/12/05	6.71	6.73	6.25	6.26	2670179	34632944.00
2011/12/06	6.23	6.33	6.06	6.18	1620532	20161546.00
2011/12/07	6.18	6.38	6.15	6.32	1652449	20956824.00
2011/12/08	6.34	6.36	6.15	6.27	1535570	19321668.00
