600346 大橡塑 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.80	9.91	9.66	9.83	1065896	10442541.00
2011/10/11	10.12	10.24	9.40	9.77	2394406	23406044.00
2011/10/12	9.80	10.20	9.57	10.15	2869664	28755448.00
2011/10/13	10.14	10.41	10.06	10.29	2740311	28137802.00
2011/10/14	10.19	10.35	9.95	10.11	1972448	20021396.00
2011/10/17	10.09	10.50	10.05	10.30	1714018	17707478.00
2011/10/18	10.40	10.42	10.08	10.09	2397935	24699698.00
2011/10/19	10.09	10.26	9.78	9.84	1620386	16311089.00
2011/10/20	9.89	9.95	9.51	9.63	1620584	15680491.00
2011/10/21	9.55	9.72	9.45	9.54	1336895	12786427.00
2011/10/24	9.54	9.68	9.42	9.68	782297	7489953.00
2011/10/25	9.67	9.94	9.66	9.89	2003495	19707174.00
2011/10/26	9.76	10.10	9.73	9.90	2334832	23182800.00
2011/10/27	9.90	10.10	9.85	9.86	1348150	13414210.00
2011/10/28	9.98	10.23	9.94	10.20	2983672	30131664.00
2011/10/31	10.37	10.37	10.00	10.21	2518742	25629524.00
2011/11/01	10.10	10.30	10.04	10.12	1855912	18880340.00
2011/11/02	9.99	10.48	9.93	10.40	3595343	36654876.00
2011/11/03	10.39	10.62	10.31	10.46	4822330	50369192.00
2011/11/04	10.55	10.55	10.25	10.38	3227238	33471556.00
2011/11/07	10.33	10.50	10.33	10.38	1136041	11820973.00
2011/11/08	10.38	10.43	10.12	10.15	1509679	15496657.00
2011/11/09	10.26	10.26	9.94	10.19	2351541	23674844.00
2011/11/10	10.01	10.13	9.95	9.97	1699015	17043692.00
2011/11/11	9.98	10.15	9.92	10.02	2367339	23686524.00
2011/11/15	10.20	10.82	10.15	10.52	5647519	59583636.00
2011/11/16	10.54	10.70	10.33	10.63	5878897	62204644.00
2011/11/17	10.60	10.84	10.56	10.67	5639644	60517200.00
2011/11/18	10.64	10.65	10.18	10.27	2878014	29922278.00
2011/11/21	10.30	10.60	10.20	10.58	1870039	19437808.00
2011/11/22	10.53	10.97	10.45	10.88	6053834	65217212.00
2011/11/23	10.81	10.93	10.60	10.66	2536140	27242940.00
