600348 阳泉煤业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	23.60	23.83	23.39	23.41	9160864	222064976.00
2011/10/11	24.04	24.26	21.01	21.19	48878784	1097315072.00
2011/10/12	21.09	21.76	19.42	21.50	34223632	732845120.00
2011/10/13	21.39	21.63	21.01	21.41	20575371	450730080.00
2011/10/14	21.49	21.77	21.01	21.27	17623360	387981600.00
2011/10/17	21.32	21.70	21.14	21.31	16904481	372402720.00
2011/10/18	21.05	21.20	20.40	20.53	14201143	302638112.00
2011/10/19	20.75	20.83	19.85	20.06	18494353	383440608.00
2011/10/20	19.90	19.91	18.17	18.60	27898291	541645696.00
2011/10/21	18.61	18.70	18.19	18.29	10402382	197761296.00
2011/10/24	18.35	18.85	17.81	18.59	15140338	287017824.00
2011/10/25	18.76	19.73	18.41	19.47	22660090	447793376.00
2011/10/26	19.38	19.99	19.21	19.59	26072924	528055488.00
2011/10/27	19.59	19.85	19.45	19.50	12726592	257128880.00
2011/10/28	19.98	20.80	19.98	20.46	25989672	545063680.00
2011/10/31	20.40	20.79	20.20	20.48	15554883	328237920.00
2011/11/01	20.20	20.82	20.11	20.40	14445143	304449536.00
2011/11/02	20.00	20.37	19.39	20.34	28638383	584165056.00
2011/11/03	20.41	20.79	20.20	20.47	31783105	670446656.00
2011/11/04	20.81	20.84	20.32	20.47	18332401	387587392.00
2011/11/07	20.47	20.88	20.20	20.44	16199154	342601312.00
2011/11/08	20.55	20.96	20.49	20.63	19548846	416652800.00
2011/11/09	20.83	20.89	20.36	20.76	14126084	300167648.00
2011/11/10	20.44	20.76	20.33	20.35	14172121	298934336.00
2011/11/11	20.65	20.75	20.04	20.19	14792297	310896192.00
2011/11/14	20.45	20.90	20.35	20.87	23875292	509828512.00
2011/11/15	20.82	21.11	20.78	20.98	18839506	406079968.00
2011/11/16	21.00	21.07	20.12	20.30	17568905	370572448.00
2011/11/17	20.31	20.56	20.20	20.29	9429016	197437120.00
2011/11/18	19.99	19.99	19.40	19.46	11636540	235653280.00
2011/11/21	19.46	19.58	18.92	19.28	8887050	175739328.00
2011/11/22	19.09	19.22	18.55	18.81	11903770	231220032.00
2011/11/23	18.90	18.94	18.30	18.39	14546379	278280896.00
2011/11/24	18.10	18.60	17.83	18.35	15345628	287526944.00
2011/11/25	18.30	18.54	18.06	18.17	9221649	174069008.00
2011/11/28	18.26	18.39	18.05	18.20	8135117	153007792.00
2011/11/29	18.47	18.73	18.35	18.66	12721285	243685472.00
2011/11/30	18.66	18.66	17.55	17.79	16098601	300651616.00
2011/12/01	18.41	18.63	18.06	18.15	23850806	452201760.00
2011/12/02	17.90	18.00	17.58	17.78	9483313	174392464.00
2011/12/05	17.86	17.88	17.11	17.18	10432473	188427552.00
2011/12/06	17.19	17.44	17.04	17.26	7577218	134974208.00
2011/12/07	17.30	17.38	17.08	17.21	5839449	104030320.00
2011/12/08	17.28	17.45	16.70	17.03	11543310	203601904.00
2011/12/09	16.82	17.38	16.80	17.20	11790891	209522304.00
2011/12/12	17.20	17.24	16.68	16.72	10263384	179848624.00
2011/12/13	16.45	16.64	15.95	16.10	17668258	296980352.00
2011/12/14	16.30	16.37	15.75	15.79	9836647	163777280.00
2011/12/15	15.54	15.55	14.50	14.62	22393251	346027488.00
2011/12/16	14.60	15.22	14.40	15.05	17437888	267046288.00
2011/12/19	14.79	14.90	14.19	14.80	15818165	239141152.00
2011/12/20	14.66	15.02	14.64	14.94	15691358	242924464.00
2011/12/21	15.21	15.33	14.19	14.20	14137711	217542064.00
2011/12/22	14.00	15.00	13.80	14.78	21696359	325956832.00
2011/12/23	14.64	15.26	14.64	14.86	20709790	321918400.00
2011/12/26	14.68	15.06	14.60	14.62	10025972	154649248.00
2011/12/27	14.53	14.85	14.42	14.47	9702984	147812096.00
2011/12/28	14.27	14.67	14.06	14.56	10594967	158829232.00
2011/12/29	14.50	14.81	14.45	14.58	15324582	233682080.00
2012/01/04	14.90	14.98	14.22	14.23	16294562	249632416.00
2012/01/05	14.08	14.46	13.90	13.93	11946437	176220864.00
2012/01/06	13.95	14.45	13.75	14.40	10952717	161473408.00
2012/01/09	14.30	15.90	14.20	15.90	43262996	699736640.00
2012/01/10	16.20	17.55	16.06	17.55	70871923	1237556480.00
2012/01/11	17.70	18.76	17.61	17.92	72919543	1358893440.00
2012/01/12	17.60	18.08	17.50	17.71	39008021	714875136.00
2012/01/13	17.70	18.35	17.45	17.99	59309011	1097318656.00
2012/01/16	17.85	18.28	16.75	16.88	49325443	892444032.00
2012/01/17	17.00	18.63	16.83	18.63	63791115	1182460928.00
2012/01/18	18.80	18.90	17.96	18.29	53759273	1022193536.00
2012/01/19	18.14	18.57	18.03	18.31	30888532	584348928.00
2012/01/20	18.43	18.49	17.79	18.05	23227048	433486752.00
2012/01/30	18.12	18.15	17.66	17.77	21358436	393455264.00
2012/01/31	17.69	18.30	17.47	18.07	25869140	479371520.00
2012/02/01	17.89	18.06	17.25	17.41	22496115	410118304.00
2012/02/02	17.49	18.48	17.33	18.05	34172640	633589440.00
2012/02/03	17.89	18.13	17.61	18.04	23573602	435670944.00
2012/02/06	18.25	18.79	17.98	18.17	29782678	565184896.00
2012/02/07	17.98	18.10	17.50	17.87	20844882	382578080.00
2012/02/08	17.88	19.48	17.65	19.11	50421293	973648128.00
2012/02/09	18.90	19.15	18.75	18.86	33207873	647735680.00
2012/02/10	18.84	19.08	18.64	18.79	23164164	450450720.00
2012/02/13	18.41	19.07	18.30	18.73	23850059	461346304.00
2012/02/14	18.67	19.00	18.42	18.73	20137418	388404672.00
2012/02/15	18.73	19.38	18.59	18.98	34850896	683419584.00
2012/02/16	18.95	19.08	18.52	18.64	24295936	470782688.00
2012/02/17	18.89	18.97	18.46	18.56	16704504	321224256.00
2012/02/20	18.92	19.05	18.56	18.57	22523732	437468704.00
2012/02/21	18.64	18.95	18.38	18.94	22441038	433254976.00
2012/02/22	18.94	19.15	18.66	19.08	33605579	656404288.00
2012/02/23	18.99	19.70	18.95	19.56	45152866	899437760.00
2012/02/24	19.60	20.35	19.46	19.81	49457274	1014652736.00
2012/02/27	19.91	20.15	19.70	19.71	36151945	741384320.00
2012/02/28	19.56	19.80	19.36	19.50	22953269	462479040.00
2012/02/29	19.40	19.76	19.24	19.26	21158195	423544352.00
2012/03/01	19.15	19.58	19.10	19.31	13897200	277713248.00
2012/03/02	19.48	20.00	19.48	19.75	22822239	465264032.00
2012/03/05	19.80	20.15	19.66	19.70	18537307	378789568.00
2012/03/06	19.64	19.64	19.19	19.26	18150521	361659488.00
2012/03/07	19.01	19.26	18.80	18.83	15577375	305392928.00
2012/03/08	19.00	19.29	18.90	19.09	12266597	241563408.00
2012/03/09	19.25	19.99	19.25	19.79	31457075	637012416.00
2012/03/12	19.85	19.90	19.50	19.64	17593006	356718112.00
2012/03/13	19.69	20.06	19.47	19.88	21346592	434347168.00
2012/03/14	20.15	20.19	18.80	18.91	35077962	702359680.00
2012/03/15	18.90	19.09	18.28	18.50	25026513	480123840.00
2012/03/16	18.67	18.78	18.32	18.71	16412742	314967616.00
2012/03/19	18.65	19.18	18.60	19.14	18491174	359129760.00
2012/03/20	19.28	19.78	18.75	18.77	29712139	590094976.00
2012/03/21	18.95	19.98	18.65	19.41	35306398	707546816.00
2012/03/22	19.48	19.59	18.91	19.14	19108337	378094720.00
2012/03/23	19.09	19.29	18.58	18.76	17273315	336387456.00
2012/03/26	18.76	18.96	18.61	18.80	8793789	170270944.00
2012/03/27	19.01	19.09	18.63	18.65	11300131	220022624.00
2012/03/28	18.56	18.56	17.64	17.66	18397709	343373504.00
2012/03/29	17.40	17.52	16.76	16.86	13833012	245753488.00
2012/03/30	16.92	17.16	16.44	16.63	11874245	205853680.00
2012/04/05	16.69	17.40	16.61	17.22	14569682	256755504.00
2012/04/06	17.22	17.65	17.17	17.43	13915109	250598624.00
2012/04/09	17.38	17.39	17.00	17.01	12699798	225581856.00
2012/04/10	16.86	17.47	16.69	17.45	13305186	235096032.00
2012/04/11	17.19	17.57	17.06	17.34	10356561	185421856.00
2012/04/12	17.55	18.45	17.54	18.08	23442823	437214336.00
2012/04/13	18.00	18.37	18.00	18.15	16063889	301630400.00
2012/04/16	17.95	18.35	17.85	18.14	9871918	185476624.00
2012/04/17	18.10	18.25	17.74	17.76	10033620	186484384.00
2012/04/18	17.96	18.58	17.88	18.44	16812495	317225376.00
2012/04/19	18.49	18.55	18.20	18.26	10970811	208220208.00
2012/04/20	18.26	18.68	18.22	18.64	14541179	277809504.00
2012/04/23	18.63	18.88	18.40	18.56	14047863	269710752.00
2012/04/24	18.35	19.19	18.16	19.14	27429327	527797856.00
2012/04/25	19.01	19.67	18.96	19.35	28607832	570115072.00
2012/04/26	19.43	19.79	19.22	19.26	22583735	452837376.00
2012/04/27	19.21	19.50	19.11	19.21	13465685	268278544.00
2012/05/02	19.55	20.58	19.34	20.00	36929544	762287616.00
2012/05/03	20.00	20.40	19.93	20.17	25486273	529154880.00
