600350 山东高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.99	3.00	2.96	2.98	2052702	7007027.00
2011/10/11	3.03	3.05	2.92	2.97	2734332	9379711.00
2011/10/12	2.97	3.05	2.94	3.04	2803964	9679933.00
2011/10/13	3.04	3.11	3.03	3.08	3878777	13577286.00
2011/10/14	3.07	3.10	3.03	3.10	2698409	9414931.00
2011/10/17	3.09	3.10	3.04	3.07	1707070	5972778.00
2011/10/18	3.05	3.06	2.97	2.98	1952200	6721997.00
2011/10/19	2.98	3.02	2.96	2.98	1680648	5741176.00
2011/10/20	2.97	2.98	2.89	2.91	3566524	11966804.00
2011/10/21	2.89	2.93	2.89	2.91	1350532	4504910.00
2011/10/24	2.91	2.96	2.87	2.95	2091555	7026472.00
2011/10/25	2.95	3.00	2.93	2.99	3871144	13199079.00
2011/10/26	2.98	3.03	2.97	3.02	3541293	12180032.00
2011/10/27	3.02	3.08	3.01	3.05	3699228	12869964.00
2011/10/28	3.08	3.11	3.07	3.10	5031137	17703316.00
2011/10/31	3.13	3.13	3.07	3.07	3910473	13793220.00
2011/11/01	3.06	3.11	3.06	3.07	4130055	14482532.00
2011/11/02	3.04	3.11	3.02	3.11	4098777	14321227.00
2011/11/04	3.12	3.16	3.12	3.15	6249084	22305446.00
2011/11/07	3.15	3.19	3.13	3.15	4060937	14592134.00
2011/11/08	3.14	3.19	3.13	3.16	3691311	13228398.00
2011/11/09	3.17	3.19	3.12	3.16	3926591	14036265.00
2011/11/10	3.14	3.15	3.09	3.12	3906913	13871019.00
2011/11/11	3.12	3.15	3.08	3.10	3448863	12219759.00
2011/11/14	3.11	3.16	3.10	3.16	4237387	15127900.00
2011/11/15	3.14	3.18	3.14	3.16	2875939	10303669.00
2011/11/16	3.17	3.28	3.17	3.25	24102536	88477384.00
2011/11/17	3.25	3.25	3.18	3.19	4696104	17100708.00
2011/11/18	3.17	3.20	3.07	3.09	4127745	14701599.00
2011/11/21	3.10	3.14	3.09	3.13	1882871	6674736.00
2011/11/22	3.10	3.15	3.09	3.14	1478048	5255718.00
2011/11/23	3.16	3.16	3.08	3.10	1668708	5919434.00
2011/11/24	3.07	3.08	3.00	3.04	5326018	18471350.00
2011/11/25	3.04	3.06	3.01	3.02	1716749	5952836.00
2011/11/28	3.01	3.05	3.01	3.02	1469085	5075569.00
2011/11/29	3.05	3.07	3.01	3.06	3553817	12345857.00
2011/11/30	3.06	3.06	2.92	2.93	3031380	10318433.00
2011/12/01	3.00	3.03	2.98	2.99	3108063	10675558.00
2011/12/02	2.99	3.00	2.95	2.96	1952791	6639446.00
2011/12/05	2.96	2.96	2.89	2.90	3326911	11158750.00
2011/12/06	2.92	2.95	2.90	2.93	1742342	5837939.00
2011/12/07	2.94	2.98	2.93	2.96	1433106	4857884.00
2011/12/08	2.97	2.98	2.92	2.95	1325271	4483608.00
2011/12/09	2.91	2.95	2.91	2.95	1003061	3375309.00
2011/12/12	2.95	3.05	2.93	3.03	6626538	22872552.00
2011/12/13	3.01	3.02	2.97	2.99	3074115	10533020.00
2011/12/14	2.97	3.05	2.96	3.01	4625063	15965809.00
2011/12/15	3.02	3.04	2.84	2.85	5903918	19927920.00
2011/12/16	2.86	2.92	2.80	2.92	4269122	14007312.00
2011/12/19	2.90	2.90	2.82	2.87	2636048	8650245.00
2011/12/20	2.87	2.91	2.84	2.86	1468137	4853520.00
2011/12/21	2.89	2.90	2.82	2.84	2024681	6675945.00
2011/12/22	2.84	2.84	2.75	2.80	2945357	9458365.00
2011/12/23	2.79	2.84	2.78	2.83	1371632	4454023.00
2011/12/26	2.84	2.84	2.79	2.82	1529900	4975332.00
2011/12/27	2.82	2.84	2.78	2.81	1541477	4999058.00
2011/12/28	2.81	2.81	2.74	2.79	2622671	8375537.00
2011/12/29	2.79	2.79	2.74	2.76	2355349	7525390.00
2011/12/30	2.78	2.80	2.76	2.79	2647535	8492347.00
2012/01/04	2.79	2.82	2.75	2.76	3628513	11643036.00
2012/01/05	2.81	3.08	2.80	2.86	21990701	73566936.00
2012/01/06	2.84	2.98	2.83	2.96	13935617	46798032.00
2012/01/09	2.96	3.10	2.89	3.08	14571193	50203232.00
2012/01/10	3.05	3.16	3.03	3.10	13066527	45919916.00
2012/01/11	3.11	3.11	3.02	3.07	8220713	28692256.00
2012/01/12	3.06	3.09	3.02	3.05	6734802	23452340.00
2012/01/13	3.06	3.06	2.94	3.01	6913344	23660814.00
2012/01/16	2.98	3.26	2.96	3.09	18937001	67090984.00
2012/01/17	3.11	3.23	3.00	3.21	15700367	56190960.00
2012/01/18	3.22	3.27	3.14	3.17	11054852	40115324.00
2012/01/19	3.15	3.26	3.15	3.23	8449347	30866342.00
2012/01/20	3.22	3.25	3.19	3.24	6608067	24157816.00
2012/01/30	3.25	3.25	3.14	3.14	5509984	19906476.00
2012/01/31	3.12	3.15	3.05	3.14	5308733	18734688.00
2012/02/01	3.13	3.16	3.09	3.12	3300039	11750747.00
2012/02/02	3.11	3.18	3.10	3.18	4093184	14647919.00
2012/02/03	3.18	3.21	3.16	3.19	5428141	19647082.00
2012/02/06	3.18	3.31	3.17	3.22	6684425	24586870.00
2012/02/07	3.20	3.22	3.14	3.15	3466694	12503729.00
2012/02/08	3.13	3.24	3.13	3.23	7090039	25611912.00
2012/02/09	3.22	3.26	3.19	3.20	6943985	25356748.00
2012/02/10	3.20	3.24	3.19	3.23	5209970	19029756.00
2012/02/13	3.21	3.32	3.20	3.28	9939428	36852768.00
2012/02/14	3.29	3.29	3.22	3.26	3900840	14355369.00
2012/02/15	3.25	3.30	3.23	3.29	6289009	23295164.00
2012/02/16	3.30	3.30	3.19	3.24	7002678	25745844.00
2012/02/17	3.23	3.26	3.21	3.23	2546307	9318642.00
2012/02/20	3.26	3.28	3.22	3.22	4438490	16309634.00
2012/02/21	3.23	3.23	3.17	3.22	3773301	13711447.00
2012/02/22	3.21	3.26	3.20	3.25	5601974	20512712.00
2012/02/23	3.26	3.33	3.24	3.27	11640442	43320040.00
2012/02/24	3.27	3.36	3.22	3.35	14087706	52552976.00
2012/02/27	3.36	3.49	3.35	3.39	21027752	81099936.00
2012/02/28	3.38	3.42	3.34	3.41	7165659	27327960.00
2012/02/29	3.41	3.41	3.31	3.33	5879330	22263734.00
2012/03/01	3.31	3.38	3.30	3.36	3802126	14348478.00
2012/03/02	3.37	3.41	3.35	3.40	5772793	21992158.00
2012/03/05	3.40	3.43	3.33	3.34	8949024	34039580.00
2012/03/06	3.33	3.34	3.24	3.28	10139923	37705564.00
2012/03/07	3.25	3.32	3.22	3.25	5322901	19668688.00
2012/03/08	3.25	3.30	3.25	3.30	3077142	11429839.00
2012/03/09	3.30	3.33	3.27	3.30	8388186	31255348.00
2012/03/12	3.30	3.35	3.25	3.27	10329192	38407820.00
2012/03/13	3.26	3.32	3.24	3.30	16314450	60434432.00
2012/03/14	3.31	3.37	3.19	3.20	19522298	73166312.00
2012/03/15	3.18	3.21	3.12	3.15	6443128	23135248.00
2012/03/16	3.15	3.33	3.15	3.30	12756897	46636796.00
2012/03/19	3.27	3.33	3.26	3.32	5153320	19221016.00
2012/03/20	3.31	3.32	3.19	3.22	6506291	23878132.00
2012/03/21	3.25	3.44	3.23	3.43	16293161	61759600.00
2012/03/22	3.41	3.46	3.36	3.43	13623458	52207528.00
2012/03/23	3.41	3.43	3.33	3.37	9354248	35625420.00
2012/03/26	3.37	3.48	3.33	3.47	12980349	50095640.00
2012/03/27	3.44	3.44	3.34	3.35	12243606	46777584.00
2012/03/28	3.33	3.33	3.16	3.19	13376179	48748088.00
2012/03/29	3.17	3.19	3.11	3.16	6358466	22757156.00
2012/03/30	3.17	3.18	3.10	3.13	6577513	23387676.00
2012/04/05	3.10	3.23	3.10	3.22	6199329	22345064.00
2012/04/06	3.19	3.23	3.17	3.21	5925785	21539090.00
2012/04/09	3.21	3.33	3.18	3.24	12002785	44546664.00
2012/04/10	3.22	3.24	3.15	3.24	7422365	26898904.00
2012/04/12	3.23	3.32	3.23	3.29	12013423	44540100.00
2012/04/13	3.29	3.30	3.25	3.27	8908128	33019220.00
2012/04/16	3.26	3.31	3.24	3.28	8729730	32450868.00
2012/04/17	3.26	3.33	3.24	3.25	7530826	27998152.00
2012/04/18	3.27	3.31	3.24	3.30	8326545	30916972.00
2012/04/19	3.31	3.35	3.28	3.28	8346724	31237064.00
2012/04/20	3.29	3.32	3.23	3.31	9462289	35091392.00
2012/04/23	3.30	3.31	3.26	3.27	5968003	22172396.00
2012/04/24	3.25	3.30	3.18	3.23	9956698	36488624.00
2012/04/25	3.23	3.28	3.20	3.26	7510081	27530070.00
2012/04/26	3.27	3.30	3.26	3.26	5634330	20870398.00
2012/04/27	3.26	3.28	3.22	3.24	4597901	16869068.00
2012/05/02	3.28	3.31	3.25	3.30	7609015	28257344.00
2012/05/03	3.29	3.32	3.27	3.29	4804620	17878428.00
2012/05/04	3.29	3.32	3.27	3.31	5641974	21027000.00
2012/05/07	3.29	3.33	3.27	3.30	6001598	22368768.00
2012/05/08	3.30	3.31	3.27	3.30	5540256	20621396.00
2012/05/09	3.29	3.29	3.22	3.23	5454476	20050650.00
2012/05/10	3.23	3.26	3.22	3.24	3072185	11266077.00
2012/05/11	3.24	3.25	3.20	3.20	3761586	13734770.00
2012/05/14	3.23	3.24	3.18	3.19	4317846	15752792.00
2012/05/15	3.17	3.21	3.16	3.20	3570632	12892754.00
2012/05/16	3.20	3.25	3.19	3.21	3771675	13755194.00
2012/05/17	3.20	3.57	3.18	3.41	31054310	119632776.00
2012/05/18	3.36	3.79	3.32	3.79	90105834	373010144.00
2012/05/21	3.83	3.84	3.41	3.46	78602787	314534592.00
2012/05/22	3.42	3.47	3.37	3.43	35066298	134474864.00
2012/05/23	3.37	3.43	3.36	3.41	16557186	63219392.00
2012/05/24	3.39	3.49	3.37	3.41	18567111	71832072.00
2012/05/25	3.40	3.41	3.29	3.30	18956111	71384928.00
2012/05/28	3.25	3.41	3.21	3.38	16286231	60795064.00
2012/05/29	3.35	3.41	3.31	3.38	15498900	58754008.00
2012/05/30	3.37	3.44	3.35	3.36	12287231	46902008.00
2012/05/31	3.33	3.34	3.29	3.32	10851138	40606888.00
2012/06/01	3.32	3.36	3.29	3.32	8524054	32001066.00
2012/06/04	3.26	3.26	3.19	3.19	9389479	34371664.00
2012/06/05	3.21	3.23	3.18	3.20	6046600	21956368.00
2012/06/06	3.21	3.23	3.18	3.21	4094157	14870043.00
2012/06/07	3.22	3.25	3.18	3.19	5091551	18554352.00
2012/06/11	3.18	3.24	3.18	3.23	4193483	15294026.00
2012/06/12	3.22	3.22	3.19	3.21	3854692	14009749.00
2012/06/13	3.21	3.26	3.20	3.25	5675732	20780960.00
2012/06/14	3.24	3.25	3.20	3.20	3698234	13520535.00
