600353 旭光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.95	8.15	7.86	7.94	1605497	13134788.00
2011/10/11	8.13	8.22	7.77	7.88	2481138	20314844.00
2011/10/12	7.92	8.23	7.60	8.22	4675548	38736672.00
2011/10/13	8.20	8.51	8.07	8.34	5256728	44832600.00
2011/10/14	8.23	8.43	8.16	8.25	2947309	25038988.00
2011/10/17	8.25	8.40	8.09	8.17	2185122	18553260.00
2011/10/18	8.09	8.17	7.75	7.97	3520862	28750986.00
2011/10/19	7.93	8.10	7.80	7.90	1765779	14427060.00
2011/10/20	7.78	7.92	7.35	7.41	3159115	24602650.00
2011/10/21	7.44	7.45	7.08	7.08	2249532	16761930.00
2011/10/24	7.08	7.23	6.88	7.15	2198645	16107875.00
2011/10/25	7.17	7.37	7.03	7.34	2533534	18916068.00
2011/10/26	7.27	7.69	7.20	7.44	4301920	33321254.00
2011/10/27	7.44	8.21	7.37	8.17	13436318	111206288.00
2011/10/28	8.17	8.41	8.00	8.09	12708811	106829272.00
2011/10/31	8.09	8.12	7.91	8.04	6105784	50226712.00
2011/11/01	7.92	8.09	7.87	7.93	4743782	38921960.00
2011/11/02	7.85	8.09	7.68	8.04	4815484	39129308.00
2011/11/03	8.22	8.86	8.18	8.56	15095626	132595136.00
2011/11/04	8.63	8.89	8.49	8.85	10047104	90190600.00
2011/11/07	8.79	8.86	8.45	8.55	7684158	67973512.00
2011/11/08	8.65	8.67	8.38	8.45	3555748	31160534.00
2011/11/09	8.41	8.65	8.27	8.50	3567824	30855248.00
2011/11/10	8.45	8.64	8.39	8.44	4005431	35063872.00
2011/11/11	8.47	8.60	8.26	8.27	4874557	41913788.00
2011/11/14	8.35	8.51	8.31	8.46	3271448	28329672.00
2011/11/15	8.52	9.22	8.49	9.12	11516000	105850560.00
2011/11/16	9.00	9.02	8.56	8.74	7316614	66349868.00
2011/11/17	8.74	8.84	8.45	8.65	4201470	37145536.00
2011/11/18	8.51	8.61	8.32	8.43	3012918	26050152.00
2011/11/22	8.37	8.41	8.07	8.23	3428449	28990164.00
2011/11/23	8.23	8.29	8.09	8.16	1613423	13549786.00
2011/11/24	8.02	8.32	7.92	8.31	2174887	18253664.00
2011/11/25	8.36	8.36	8.01	8.05	2442467	20537604.00
2011/11/28	7.99	8.62	7.51	8.59	8870922	73670256.00
2011/11/29	8.47	9.02	8.47	8.81	12319880	110891288.00
2011/11/30	8.76	9.18	8.69	9.03	23945040	219502784.00
2011/12/01	9.12	9.96	9.00	9.94	43764356	430568672.00
2011/12/02	9.84	9.92	9.51	9.78	23396855	232814928.00
2011/12/05	9.64	9.75	9.50	9.61	6709257	66074236.00
2011/12/06	9.57	9.87	9.27	9.66	20291317	201213136.00
2011/12/07	9.66	9.89	9.47	9.84	40588099	404680544.00
2011/12/08	9.84	9.93	9.38	9.69	31722353	315452832.00
2011/12/09	9.64	9.72	9.22	9.67	12071399	117452112.00
2011/12/12	9.60	9.78	9.56	9.70	16735052	166069264.00
2011/12/13	9.67	9.75	9.27	9.65	17245417	169543680.00
2011/12/14	9.67	9.67	9.47	9.48	19260380	187973440.00
2011/12/15	9.57	9.71	9.09	9.46	30270152	292211168.00
2011/12/16	9.48	9.50	9.07	9.28	25400566	241064848.00
2011/12/19	9.29	9.34	9.02	9.29	29496104	276998368.00
