600354 敦煌种业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.07	9.22	8.92	8.95	1733630	34664816.00
2011/10/11	9.14	9.23	8.69	8.78	3472342	67739960.00
2011/10/12	8.77	9.07	8.65	9.06	5347890	104636744.00
2011/10/13	9.06	9.45	9.00	9.22	5072459	103205392.00
2011/10/14	9.18	9.22	9.02	9.09	2496658	49941604.00
2011/10/17	9.16	9.40	9.12	9.36	3151367	64482780.00
2011/10/18	9.30	9.92	9.25	9.37	7107093	149722384.00
2011/10/19	9.39	9.51	9.10	9.30	3233875	66296360.00
2011/10/20	9.16	9.16	8.37	8.50	4581178	86769824.00
2011/10/21	8.53	8.69	8.37	8.41	2521342	47325924.00
2011/10/24	8.45	8.48	7.74	8.20	5509379	97164512.00
2011/10/25	8.20	8.61	8.09	8.51	5058766	92507400.00
2011/10/26	8.43	8.89	8.36	8.84	8338570	159636976.00
2011/10/27	8.69	8.89	8.51	8.59	7405428	141122000.00
2011/10/28	8.60	9.09	8.59	9.08	7671251	149294880.00
2011/10/31	9.07	9.99	9.05	9.91	13445988	285736896.00
2011/11/01	9.70	10.25	9.64	10.08	9263476	205356640.00
2011/11/02	9.90	10.26	9.82	10.20	7164934	159061712.00
2011/11/03	10.23	11.03	10.22	10.22	11242025	261522512.00
2011/11/04	10.14	10.54	9.96	10.30	8691134	196841072.00
2011/11/07	10.27	10.45	9.99	10.13	5885023	131998688.00
2011/11/08	10.16	10.30	9.91	9.98	3939683	86616784.00
2011/11/09	10.09	10.49	10.01	10.41	6608646	150046144.00
2011/11/10	10.35	10.87	10.22	10.70	10424342	243269600.00
2011/11/14	10.69	11.25	10.50	11.22	6877809	166124192.00
2011/11/15	11.18	11.25	11.05	11.20	3164465	77552080.00
2011/11/16	11.20	11.24	10.71	10.79	4157724	99903136.00
2011/11/17	10.73	10.86	10.61	10.69	2539885	59848172.00
2011/11/18	10.67	10.85	10.17	10.32	4341686	99807968.00
2011/11/21	10.41	10.50	10.14	10.33	3733667	84709680.00
2011/11/22	10.23	10.50	10.14	10.47	3040176	69417200.00
2011/11/23	10.51	10.68	10.48	10.60	3608659	83883576.00
2011/11/24	10.45	10.66	10.41	10.57	1992455	46173572.00
2011/11/25	10.60	10.60	10.18	10.23	1900834	43441080.00
2011/11/28	10.00	10.68	9.98	10.62	6643677	152666880.00
2011/11/29	10.73	10.88	10.50	10.76	4436306	104639488.00
2011/11/30	10.59	10.59	9.86	10.21	5626668	126458560.00
2011/12/01	10.36	10.50	9.99	10.20	6651207	149577712.00
2011/12/02	10.00	10.07	9.19	9.46	5543985	116013392.00
2011/12/05	9.25	9.31	8.57	8.62	7605431	146516368.00
2011/12/06	8.54	8.76	8.20	8.48	4642741	87384400.00
2011/12/07	8.50	8.68	8.41	8.64	2913430	55012124.00
2011/12/08	8.59	9.09	8.36	8.98	6266176	120423328.00
2011/12/09	8.89	9.30	8.77	9.17	5395862	108545608.00
2011/12/12	9.26	9.40	9.05	9.16	2866187	58099704.00
2011/12/13	9.09	9.09	8.64	8.92	2501792	48604264.00
2011/12/14	8.91	9.24	8.77	8.78	3982711	79349952.00
2011/12/15	8.51	8.73	8.10	8.25	4702567	85895832.00
2011/12/16	8.41	8.73	8.32	8.71	4145407	77745056.00
2011/12/19	8.73	9.24	8.64	9.20	4783561	94039352.00
2011/12/20	9.20	9.34	9.12	9.27	3741256	76298544.00
2011/12/21	9.32	9.62	9.09	9.29	5127493	106227304.00
2011/12/22	9.25	9.65	8.97	9.33	7596001	156218768.00
2011/12/23	9.30	9.51	9.27	9.40	2462155	50782720.00
2011/12/26	9.41	10.34	9.24	9.97	6478226	141570032.00
2011/12/27	9.97	9.98	9.35	9.40	4503341	95438280.00
2011/12/28	9.32	9.32	8.73	9.18	3139739	62382056.00
2011/12/29	9.09	9.45	9.05	9.18	2368774	48063700.00
2011/12/30	9.22	9.53	9.14	9.51	2874871	59048456.00
2012/01/04	9.60	9.83	9.46	9.50	3550098	75206400.00
2012/01/05	9.40	9.50	8.55	8.55	4416695	85296360.00
2012/01/06	8.19	8.55	7.91	8.45	3880109	69273648.00
2012/01/09	8.40	8.69	8.23	8.68	3440038	64502592.00
2012/01/10	8.78	9.37	8.76	9.11	8888627	176932192.00
2012/01/11	9.09	9.32	8.86	9.15	6665287	133554528.00
2012/01/12	9.08	9.08	8.82	8.90	6703487	131695776.00
2012/01/13	8.87	9.04	8.05	8.18	8858587	164285168.00
2012/01/16	8.16	8.41	7.95	8.11	4151684	75084872.00
2012/01/17	8.10	8.52	7.96	8.51	4399658	80287824.00
2012/01/18	8.55	8.59	8.05	8.15	6641057	120790944.00
2012/01/19	8.15	8.20	7.92	8.05	6283589	111190672.00
2012/01/20	8.08	8.40	8.05	8.37	7755374	141310224.00
2012/01/30	8.38	8.51	8.30	8.41	5087931	94180976.00
2012/01/31	7.64	8.27	7.61	7.92	12914436	220529232.00
2012/02/01	7.75	8.07	7.68	7.85	7715031	134194880.00
2012/02/02	8.05	8.14	7.85	7.92	14989769	262128720.00
2012/02/03	7.93	8.00	7.85	7.95	8326392	145346304.00
2012/02/06	8.00	8.43	7.93	8.41	13778355	246472240.00
2012/02/07	8.30	8.38	8.14	8.21	9732460	176496064.00
2012/02/08	8.12	8.33	8.09	8.30	8807729	159669600.00
2012/02/09	8.30	8.56	8.27	8.31	9875621	182070800.00
2012/02/10	8.27	8.54	8.15	8.45	12575593	231616240.00
2012/02/13	8.36	8.48	8.29	8.40	7597408	139913104.00
2012/02/14	8.43	8.57	8.32	8.43	6672713	123933488.00
2012/02/15	8.41	8.51	8.27	8.49	8851730	163932736.00
2012/02/16	8.45	9.13	8.45	8.89	20346038	395159424.00
2012/02/17	8.82	8.89	8.73	8.85	7776853	150309072.00
2012/02/20	8.94	8.94	8.77	8.77	6996283	136021152.00
2012/02/21	8.77	8.84	8.54	8.70	11021460	209812192.00
2012/02/22	8.72	8.96	8.67	8.86	11424439	222676944.00
2012/02/23	8.84	9.02	8.80	8.92	9602727	188064352.00
2012/02/24	8.91	9.00	8.78	8.99	10610881	207376368.00
2012/02/27	9.05	9.25	8.91	8.93	13402392	268113920.00
2012/02/28	8.92	9.49	8.85	9.23	17103921	344766464.00
2012/02/29	9.24	9.24	8.95	8.97	8086474	161159584.00
2012/03/01	8.86	9.07	8.86	9.06	4520436	89561048.00
2012/03/02	9.08	9.27	9.05	9.22	6990717	141351568.00
2012/03/05	9.25	9.36	9.07	9.18	8946680	181454976.00
2012/03/06	9.20	9.31	8.98	8.99	7206560	144181792.00
2012/03/07	8.89	8.99	8.81	8.83	4814429	94356136.00
2012/03/08	8.86	8.98	8.84	8.94	4438615	87005704.00
2012/03/09	9.13	9.19	9.01	9.05	5919456	118245728.00
2012/03/12	9.08	9.16	8.96	9.02	4017939	79589288.00
2012/03/13	9.02	9.27	9.02	9.13	5789377	116119440.00
2012/03/14	9.18	9.21	8.30	8.62	10362793	202805200.00
2012/03/15	8.55	8.65	8.09	8.25	6993932	128503632.00
2012/03/16	8.25	8.41	8.19	8.37	4582039	83969600.00
2012/03/20	8.52	8.55	8.27	8.46	10259512	189267568.00
2012/03/21	8.47	8.98	8.36	8.95	13458578	257317600.00
2012/03/22	8.96	9.31	8.96	9.13	16946120	341034592.00
2012/03/23	9.11	9.34	8.91	9.01	10713664	215284608.00
2012/03/26	8.98	9.22	8.98	9.11	6148172	123038304.00
2012/03/27	9.12	9.50	9.12	9.17	8689023	177778768.00
2012/03/28	9.10	9.14	8.32	8.65	9596236	182291328.00
2012/03/29	8.61	8.61	8.24	8.32	5674973	105191720.00
2012/03/30	8.33	8.47	8.18	8.39	4399316	80812120.00
2012/04/05	8.35	8.48	8.09	8.48	7473097	137184000.00
2012/04/06	8.50	8.50	8.17	8.25	12190801	223435856.00
2012/04/09	8.16	8.16	7.90	7.90	10968971	192261664.00
2012/04/10	7.90	7.99	7.48	7.85	9374414	158885472.00
2012/04/11	7.70	7.92	7.64	7.89	6409487	109932448.00
2012/04/12	7.88	7.97	7.80	7.96	7516280	130578992.00
2012/04/13	7.98	8.07	7.90	7.94	10589661	185490848.00
2012/04/16	7.86	7.89	7.68	7.86	6071141	104225824.00
2012/04/17	7.86	8.08	7.82	7.96	9325728	163843520.00
2012/04/19	7.80	7.90	7.61	7.69	17045374	289052480.00
2012/04/20	7.71	7.79	7.59	7.78	9422262	159095040.00
2012/04/23	7.77	7.77	7.50	7.53	8650060	144706576.00
2012/04/24	7.54	7.56	7.18	7.33	9353583	151288112.00
2012/04/25	7.31	7.37	7.18	7.37	6449782	103295944.00
2012/04/26	7.45	7.60	7.32	7.54	7925629	130529808.00
2012/04/27	7.54	7.57	7.46	7.50	4007692	66273552.00
2012/05/02	7.55	7.61	7.43	7.59	8013484	132696936.00
2012/05/03	7.57	7.61	7.48	7.54	4416379	73352952.00
2012/05/04	7.59	8.29	7.55	8.11	16140060	130410176.00
2012/05/07	7.75	7.84	7.68	7.80	25536522	197831840.00
2012/05/08	7.80	7.99	7.71	7.77	19953516	156226880.00
2012/05/09	7.73	7.73	7.50	7.52	11284552	85397440.00
2012/05/10	7.50	7.59	7.42	7.46	9585674	71773272.00
2012/05/11	7.47	7.59	7.35	7.47	9346357	69767496.00
2012/05/14	7.54	7.55	7.40	7.45	8171059	61005032.00
2012/05/15	7.37	7.46	7.23	7.41	8012624	58945148.00
2012/05/16	7.39	7.40	7.21	7.25	8563618	62226392.00
2012/05/17	7.24	7.35	7.22	7.33	6757884	49166268.00
2012/05/18	7.28	7.28	7.06	7.09	8767129	62787020.00
2012/05/21	7.08	7.18	6.82	6.89	10577645	73364200.00
2012/05/22	6.90	6.98	6.83	6.92	10798349	74323384.00
2012/05/23	6.86	6.91	6.60	6.68	17250572	115869056.00
2012/05/24	6.64	6.72	6.60	6.66	9290397	61785432.00
2012/05/25	6.67	6.67	6.42	6.45	10157549	66344232.00
2012/05/28	6.43	6.59	6.34	6.58	9552242	62259820.00
2012/05/29	6.56	6.82	6.51	6.73	11734152	78200184.00
2012/05/30	6.70	6.80	6.67	6.71	8326564	55976692.00
2012/05/31	6.68	6.77	6.62	6.71	6626028	44511904.00
2012/06/01	6.74	6.84	6.71	6.82	11230533	76167296.00
2012/06/04	6.70	6.76	6.48	6.50	8585697	56878156.00
2012/06/05	6.55	6.59	6.45	6.49	4428643	28793504.00
2012/06/06	6.51	6.56	6.36	6.37	5708573	36695880.00
2012/06/07	6.50	6.87	6.45	6.69	20561745	137280672.00
2012/06/08	6.67	6.70	6.51	6.54	10592354	69906912.00
2012/06/11	6.53	6.63	6.39	6.57	6848473	44747456.00
2012/06/12	6.54	6.57	6.42	6.49	4652156	30214180.00
2012/06/13	6.55	6.55	6.43	6.54	6503948	42280248.00
2012/06/14	6.53	7.10	6.47	6.86	35909588	245848944.00
2012/06/15	6.78	6.82	6.65	6.73	16930883	113944928.00
2012/06/18	6.78	6.79	6.65	6.68	10596976	70993968.00
2012/06/19	6.67	6.67	6.54	6.56	8896445	58594168.00
2012/06/20	6.56	6.65	6.50	6.57	5994542	39402916.00
2012/06/21	6.57	6.58	6.40	6.43	7128091	46134300.00
2012/06/26	6.18	6.38	6.12	6.29	9899815	61682724.00
2012/06/27	6.25	6.33	6.08	6.11	7645761	47376632.00
2012/06/28	6.14	6.15	5.87	5.87	8991544	53731668.00
2012/06/29	5.84	5.88	5.72	5.87	6401234	37280636.00
2012/07/02	5.89	6.05	5.85	5.97	5234100	31111164.00
2012/07/03	5.97	6.04	5.91	5.92	5133216	30644548.00
2012/07/04	5.93	6.09	5.92	5.96	5640921	33851624.00
2012/07/05	5.96	5.97	5.75	5.78	5621144	32776918.00
2012/07/06	5.84	5.93	5.76	5.89	6106357	35716544.00
2012/07/09	5.85	6.16	5.81	5.94	13468115	81204600.00
2012/07/10	5.97	6.19	5.92	6.08	12830712	78318864.00
2012/07/11	6.08	6.19	6.03	6.09	9111416	55721944.00
2012/07/12	6.12	6.28	6.06	6.21	15695025	97030184.00
2012/07/13	6.16	6.28	6.11	6.15	9489865	58528700.00
2012/07/16	6.20	6.33	5.91	5.98	13281793	82183984.00
2012/07/17	5.98	6.00	5.65	5.78	10571330	60870716.00
2012/07/18	5.75	6.03	5.63	6.01	10098702	58320728.00
2012/07/19	5.97	6.19	5.93	6.07	13161905	80192424.00
2012/07/20	6.06	6.07	5.91	5.95	8080573	48412084.00
2012/07/23	5.93	6.55	5.89	6.55	25768287	165101840.00
2012/07/24	6.90	7.18	6.68	7.09	80733234	560104000.00
2012/07/25	6.86	7.12	6.81	7.07	51147747	356195360.00
2012/07/26	6.98	7.04	6.69	6.73	30318477	207892000.00
2012/07/27	6.75	7.12	6.69	6.97	42642440	297412896.00
2012/07/30	6.63	6.75	6.27	6.29	37602447	241434512.00
2012/07/31	6.21	6.31	5.90	6.14	17251411	105113848.00
2012/08/01	6.11	6.41	6.10	6.31	18725163	117211728.00
2012/08/02	6.24	6.39	6.08	6.36	17245503	107424256.00
2012/08/03	6.40	6.70	6.23	6.56	24594172	159431824.00
2012/08/06	6.46	6.66	6.45	6.62	21926069	144004960.00
2012/08/07	6.72	7.28	6.72	7.28	45424688	319364800.00
2012/08/08	7.39	7.44	7.05	7.17	49062576	353559104.00
2012/08/09	7.11	7.38	7.03	7.23	36153881	262088128.00
2012/08/10	7.17	7.26	7.06	7.08	22704229	161663808.00
2012/08/13	7.15	7.78	7.15	7.36	52782828	396227648.00
2012/08/14	7.34	8.09	7.20	8.01	65039998	500697536.00
2012/08/15	7.81	8.05	7.65	7.69	47533685	373096480.00
2012/08/16	7.66	8.08	7.58	7.81	36655824	287885728.00
2012/08/17	7.70	7.73	7.23	7.50	33391655	249373104.00
2012/08/20	7.48	8.25	7.47	8.25	68554601	549965184.00
2012/08/21	8.40	8.52	8.03	8.36	80780140	670209856.00
2012/08/22	8.25	8.74	8.11	8.47	63535880	538019392.00
2012/08/23	8.35	8.54	8.22	8.47	36621902	306076160.00
2012/08/24	8.34	8.44	8.00	8.02	33391026	272013056.00
2012/08/27	7.88	8.32	7.50	8.14	35334508	282437760.00
2012/08/28	8.10	8.25	7.91	7.97	22435201	180011568.00
2012/08/29	7.90	8.15	7.68	7.71	24835753	196038144.00
2012/08/30	7.53	7.64	7.00	7.13	34453466	251647344.00
2012/08/31	7.08	7.39	7.01	7.26	20261458	145809424.00
2012/09/03	7.30	7.88	7.23	7.77	28743020	216200832.00
2012/09/04	7.70	7.84	7.53	7.55	22810490	174779008.00
2012/09/05	7.55	7.74	7.48	7.56	15238023	115848128.00
2012/09/06	7.55	7.90	7.55	7.86	24570751	191160384.00
2012/09/07	7.93	8.24	7.75	8.09	38261805	306569280.00
2012/09/10	8.07	8.10	7.88	8.09	25455527	203520368.00
2012/09/11	8.04	8.04	7.82	7.88	20021709	158143488.00
2012/09/12	7.89	7.97	7.71	7.94	20826630	162903824.00
2012/09/13	8.06	8.58	7.93	8.14	52505627	436084096.00
2012/09/14	8.30	8.30	8.05	8.13	29302363	239382176.00
2012/09/17	8.06	8.15	7.64	7.66	24968203	197005488.00
2012/09/18	7.50	7.78	7.44	7.77	13639482	104189864.00
2012/09/19	7.74	7.82	7.56	7.69	11048905	84742160.00
2012/09/20	7.68	7.68	7.22	7.34	16719147	123942224.00
2012/09/21	7.30	7.42	7.19	7.24	10767908	78819880.00
2012/09/24	7.21	7.27	6.95	7.21	13200899	93880656.00
2012/09/25	7.18	7.30	7.11	7.17	9173335	66000800.00
2012/09/26	7.17	7.26	6.82	7.00	10691150	74927640.00
2012/09/27	6.95	7.14	6.69	7.06	19101660	132638824.00
2012/09/28	7.01	7.15	6.96	7.12	14043400	99568536.00
2012/10/08	7.16	7.47	7.16	7.36	20524201	150871888.00
2012/10/09	7.32	7.53	7.28	7.45	18447253	136719968.00
2012/10/10	7.40	7.80	7.29	7.62	26427595	199715904.00
2012/10/11	7.55	7.55	7.30	7.33	16544641	122679600.00
2012/10/12	7.36	7.48	7.19	7.29	10309526	75507480.00
2012/10/15	7.18	7.22	6.95	7.14	13697177	97002176.00
2012/10/16	7.11	7.18	7.03	7.09	8487331	60352764.00
2012/10/17	7.14	7.37	7.01	7.36	16436787	118405536.00
2012/10/18	7.28	7.40	7.23	7.32	15196038	111198312.00
2012/10/19	7.32	7.39	7.24	7.27	7792104	56873688.00
2012/10/22	7.26	7.26	7.10	7.19	6613809	47324364.00
2012/10/23	7.19	7.34	7.12	7.18	8568490	61971284.00
2012/10/24	7.14	7.15	7.06	7.09	6958586	49397420.00
2012/10/25	7.06	7.22	7.06	7.09	6092832	43369588.00
2012/10/26	7.10	7.12	6.85	6.86	7944169	55118456.00
2012/10/29	6.77	6.84	6.71	6.73	5105263	34486828.00
2012/10/30	6.71	6.77	6.53	6.59	7193968	47722892.00
2012/10/31	6.60	6.64	6.55	6.63	4271680	28178952.00
2012/11/01	6.64	6.77	6.63	6.75	6065744	40802568.00
2012/11/02	6.76	6.81	6.69	6.74	5177752	34903360.00
2012/11/05	6.70	6.98	6.70	6.89	9053319	62369408.00
2012/11/06	6.89	7.04	6.80	6.94	8948555	61928588.00
2012/11/07	6.96	6.97	6.80	6.87	6036401	41419616.00
2012/11/08	6.78	6.82	6.50	6.52	6974595	46675396.00
2012/11/09	6.44	6.57	6.40	6.42	6149223	39662128.00
2012/11/12	6.42	6.55	6.32	6.43	6085838	39101648.00
2012/11/13	6.39	6.42	6.19	6.23	6646653	42006832.00
2012/11/14	6.23	6.37	6.23	6.31	4665218	29414850.00
2012/11/15	6.27	6.27	6.05	6.07	5699088	35037240.00
2012/11/16	6.07	6.07	5.92	6.02	4716204	28171018.00
2012/11/19	6.02	6.08	5.98	6.07	3494403	21056760.00
2012/11/20	6.07	6.58	6.07	6.40	15428012	97765808.00
2012/11/21	6.32	6.44	6.23	6.41	9801504	62368128.00
2012/11/22	6.35	6.58	6.32	6.38	11697382	75666224.00
2012/11/23	6.36	6.56	6.36	6.54	11896117	77284848.00
2012/11/26	6.50	6.59	6.22	6.24	9332239	59441976.00
2012/11/27	6.20	6.20	5.93	5.99	7928137	47654448.00
2012/11/28	5.95	5.97	5.83	5.86	4931512	29043744.00
2012/11/29	5.80	5.94	5.66	5.68	7775201	44737424.00
2012/11/30	5.61	5.74	5.42	5.68	6020533	33782064.00
