600359 新农开发 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.11	10.15	9.81	10.11	930182	9272075.00
2011/10/11	10.23	10.35	9.78	9.90	1350332	13580437.00
2011/10/12	9.80	10.14	9.75	10.08	2038524	20491920.00
2011/10/13	10.02	10.29	10.01	10.28	2348148	23882428.00
2011/10/14	10.22	10.28	10.03	10.16	1562848	15855932.00
2011/10/17	10.25	10.35	10.08	10.14	1637096	16653517.00
2011/10/18	10.10	10.34	10.00	10.03	2595262	26376588.00
2011/10/19	9.99	10.10	9.82	9.85	1358373	13431828.00
2011/10/20	9.80	9.84	9.20	9.33	1729418	16317328.00
2011/10/21	9.31	9.39	9.10	9.10	771009	7088249.00
2011/10/24	9.10	9.26	8.77	9.07	2122431	19056232.00
2011/10/25	9.07	9.23	8.91	9.20	2163712	19767856.00
2011/10/26	9.13	9.40	9.02	9.32	4142119	37983952.00
2011/10/27	9.24	10.05	9.21	10.00	7125875	68260208.00
2011/10/28	9.84	10.05	9.72	9.98	7522985	74344400.00
2011/10/31	9.95	10.28	9.82	10.05	5110940	51715000.00
2011/11/01	9.90	10.28	9.87	9.95	4181428	42031888.00
2011/11/02	9.86	10.03	9.63	10.02	3280052	32129684.00
2011/11/03	10.14	10.55	10.10	10.13	7263965	75103000.00
2011/11/04	10.15	10.87	10.01	10.66	9431350	99216344.00
2011/11/07	10.54	10.62	10.40	10.49	4072324	42686464.00
2011/11/08	10.36	10.46	10.10	10.13	3378455	34627808.00
2011/11/09	10.13	10.36	10.13	10.32	2269382	23265816.00
2011/11/10	10.16	10.30	10.10	10.12	2180947	22224612.00
2011/11/11	10.11	10.18	9.99	10.11	1568103	15838971.00
2011/11/14	10.17	10.43	10.14	10.32	2296978	23607612.00
2011/11/15	10.31	10.35	10.18	10.32	2100102	21532348.00
2011/11/16	10.26	10.36	9.83	9.94	2489874	25060440.00
2011/11/17	9.97	10.06	9.72	9.77	1619341	15963325.00
2011/11/18	9.77	9.77	9.31	9.42	1883091	17874668.00
2011/11/21	9.42	9.51	9.32	9.50	1117865	10510171.00
2011/11/22	9.46	9.55	9.37	9.48	1094112	10367583.00
2011/11/23	9.49	9.95	9.49	9.76	3941889	38335848.00
2011/11/24	9.66	9.99	9.51	9.76	2513775	24424784.00
2011/11/25	9.80	9.81	9.40	9.46	1325324	12721394.00
2011/11/28	9.44	9.80	9.44	9.72	2467696	23898088.00
2011/11/29	9.86	10.40	9.80	10.30	7869326	80463752.00
2011/11/30	10.16	10.20	9.55	9.78	5009959	49504664.00
2011/12/01	10.01	10.31	9.85	10.19	5192324	52501224.00
2011/12/02	10.05	10.08	9.60	9.70	2962832	29174568.00
2011/12/05	9.68	9.68	9.17	9.18	2178789	20335908.00
2011/12/06	9.19	9.29	8.90	9.04	1378446	12506077.00
2011/12/07	9.00	9.13	8.95	9.10	743670	6734076.00
2011/12/08	9.09	9.40	8.85	9.24	1920505	17520744.00
2011/12/09	9.11	9.23	9.05	9.07	762044	6960348.00
2011/12/12	9.08	9.22	8.90	8.94	919850	8336985.00
2011/12/13	9.00	9.01	8.40	8.48	1695105	14546291.00
2011/12/14	7.88	8.34	7.63	7.73	5301359	42320228.00
2011/12/15	7.50	7.50	6.96	6.96	6760589	47966064.00
2011/12/16	6.62	6.93	6.56	6.92	5179956	34941184.00
2011/12/19	6.80	6.80	6.33	6.68	4159371	27338556.00
2011/12/20	6.61	6.84	6.50	6.72	3392768	22735898.00
2011/12/21	6.69	6.82	6.40	6.43	2548738	16969402.00
2011/12/22	6.29	6.32	5.94	6.17	3404708	20686456.00
2011/12/23	6.14	6.39	6.01	6.28	3087075	19243464.00
2011/12/26	6.28	6.91	6.22	6.91	8222543	55205824.00
2011/12/28	6.47	6.91	6.28	6.84	7775896	51606200.00
2011/12/29	6.80	7.24	6.61	7.18	8196189	57738900.00
2011/12/30	7.15	7.34	7.01	7.23	6865625	49265872.00
2012/01/04	7.25	7.34	7.05	7.11	6204680	44581232.00
2012/01/05	7.00	7.05	6.40	6.40	5207805	34971672.00
2012/01/06	6.31	6.75	6.07	6.70	4598610	29309992.00
2012/01/09	6.65	6.99	6.46	6.98	4819692	32854648.00
2012/01/10	7.03	7.68	7.03	7.68	6409215	48640544.00
2012/01/11	7.90	8.45	7.80	8.30	19285481	158930336.00
2012/01/12	8.09	8.27	7.97	8.17	9469588	76882432.00
2012/01/13	8.11	8.29	7.67	7.87	8317603	66343832.00
2012/01/16	7.63	8.11	7.63	7.78	5011086	39665228.00
2012/01/17	7.75	8.29	7.46	8.28	9190227	73356016.00
2012/01/18	8.25	8.30	7.79	7.90	7695860	62039864.00
2012/01/19	7.81	8.05	7.66	7.83	4184386	32793844.00
2012/01/20	7.90	8.25	7.90	8.05	6881226	55582976.00
2012/01/30	8.08	8.12	7.80	7.82	4072682	32221358.00
2012/01/31	7.82	7.82	7.28	7.59	5910373	44096836.00
2012/02/01	7.51	7.73	7.40	7.47	4690838	35448800.00
2012/02/02	7.63	8.22	7.62	8.22	7033058	57224004.00
2012/02/03	8.70	8.71	8.24	8.44	18066499	152641200.00
2012/02/06	8.36	8.58	8.25	8.54	11125934	93103312.00
2012/02/07	8.41	8.42	8.17	8.23	6392682	52922028.00
2012/02/08	8.23	8.45	8.13	8.41	7786306	64796308.00
2012/02/09	8.40	8.66	8.30	8.54	11157208	94577080.00
2012/02/10	8.44	9.27	8.31	9.01	17004662	150296080.00
2012/02/13	8.73	8.97	8.67	8.94	10141324	89720256.00
2012/02/14	8.94	8.95	8.69	8.78	5384537	47302400.00
2012/02/15	8.78	8.92	8.66	8.91	6770957	59705712.00
2012/02/16	8.90	9.05	8.70	8.80	8919204	79497656.00
2012/02/17	8.76	8.84	8.50	8.63	4886290	42288772.00
2012/02/20	8.81	8.90	8.67	8.73	4997198	43835184.00
2012/02/21	8.85	8.98	8.60	8.85	6138152	54159448.00
