600362 江西铜业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	25.47	25.48	24.80	24.88	7971864	214452384.00
2011/10/11	26.03	26.04	24.48	24.84	11463860	309271424.00
2011/10/12	24.58	25.80	24.40	25.77	14269263	386895360.00
2011/10/13	25.60	26.60	25.51	26.16	16845106	467694816.00
2011/10/14	25.98	26.24	25.66	26.06	10445045	289124288.00
2011/10/17	26.24	26.40	25.78	25.89	8748153	243124112.00
2011/10/18	25.50	25.58	24.68	24.70	8901467	238828608.00
2011/10/19	24.90	25.05	24.56	24.67	5960902	157712032.00
2011/10/20	24.30	24.30	23.10	23.50	13840609	350399744.00
2011/10/21	23.51	23.57	23.12	23.25	6155014	154123856.00
2011/10/24	23.60	24.45	23.07	24.28	12928073	330863520.00
2011/10/25	24.61	26.56	24.20	25.82	29247284	791815040.00
2011/10/26	25.15	26.40	25.15	25.68	25233461	694115904.00
2011/10/27	25.85	26.10	25.61	25.86	14232170	391715296.00
2011/10/28	27.10	27.38	26.50	26.74	32563902	934898304.00
2011/10/31	26.48	26.68	26.03	26.33	14159307	397139552.00
2011/11/01	25.93	26.60	25.81	26.16	11071377	309392736.00
2011/11/02	25.51	26.52	25.18	26.49	16266085	445818944.00
2011/11/03	26.77	27.27	26.30	26.48	21588235	614130432.00
2011/11/04	26.80	27.40	26.70	26.98	17416850	499227392.00
2011/11/07	26.75	26.94	26.36	26.39	10270962	290089280.00
2011/11/08	26.35	26.74	26.12	26.20	8416905	236689024.00
2011/11/09	26.48	26.65	26.02	26.62	9081074	255045376.00
2011/11/10	25.99	26.10	25.72	25.74	14695775	405475200.00
2011/11/11	25.81	26.05	25.70	25.78	6405396	176516000.00
2011/11/14	26.30	26.62	26.10	26.56	12340138	346799808.00
2011/11/15	26.41	26.59	26.13	26.32	8771521	245772304.00
2011/11/16	26.38	26.42	25.28	25.28	13244660	362905024.00
2011/11/17	25.28	25.64	25.20	25.30	6388474	172782048.00
