600363 联创光电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.83	8.87	8.63	8.76	1501964	13245014.00
2011/10/11	8.94	9.08	8.78	8.87	2252375	20319128.00
2011/10/12	8.79	9.27	8.70	9.25	2000280	18341296.00
2011/10/13	9.16	9.72	9.15	9.49	2978392	28490356.00
2011/10/14	9.58	9.62	9.15	9.29	2272640	21302228.00
2011/10/17	9.24	9.38	9.22	9.28	1059947	9955766.00
2011/10/18	9.26	9.26	8.75	8.79	2522989	22912110.00
2011/10/19	8.78	8.87	8.64	8.77	3588602	31691984.00
2011/10/20	8.69	8.70	8.19	8.20	3782173	31973150.00
2011/10/21	8.21	8.30	7.80	7.86	2465493	20051626.00
2011/10/24	7.93	7.96	7.52	7.82	3550992	27804254.00
2011/10/25	7.91	8.14	7.82	8.10	3187512	25791560.00
2011/10/26	8.03	8.35	7.99	8.30	3956853	32875814.00
2011/10/27	8.21	8.57	8.21	8.40	6230711	52966692.00
2011/10/28	8.47	8.56	8.36	8.46	5157036	44020716.00
2011/10/31	8.44	8.58	8.43	8.52	5611931	48137632.00
2011/11/01	8.39	8.88	8.35	8.80	11731482	102530760.00
2011/11/02	8.72	9.52	8.59	9.36	18889316	171065072.00
2011/11/03	9.36	9.60	9.17	9.21	15764137	149202576.00
2011/11/04	9.19	9.29	8.98	9.15	8649125	79533128.00
2011/11/07	9.27	9.57	9.18	9.23	10158873	96090896.00
2011/11/08	9.11	9.12	8.88	8.96	6410505	58306752.00
2011/11/09	8.96	9.12	8.76	9.12	5415755	48995180.00
2011/11/10	8.97	9.08	8.83	8.84	5063504	45790184.00
2011/11/11	8.92	8.92	8.72	8.75	3144169	27992348.00
2011/11/14	8.88	9.10	8.81	8.93	7019229	63623272.00
2011/11/15	8.95	9.18	8.92	9.14	7766930	70921952.00
2011/11/16	9.14	9.30	8.93	8.98	7698101	70855672.00
2011/11/17	8.98	9.10	8.82	8.90	4312930	39028936.00
2011/11/18	8.84	8.89	8.24	8.28	6578000	56373504.00
2011/11/21	8.28	8.37	8.08	8.30	3306324	27412148.00
2011/11/22	8.17	8.27	8.10	8.23	2389185	19786470.00
2011/11/23	8.29	8.29	8.00	8.02	3243413	26616940.00
2011/11/24	7.83	8.03	7.75	7.95	2823661	22482640.00
2011/11/25	7.92	8.00	7.72	7.77	2778465	22029808.00
