600365 通葡股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.28	9.42	9.20	9.38	537829	5027516.00
2011/10/11	9.44	9.62	9.10	9.34	1607032	15046623.00
2011/10/12	9.22	9.60	9.16	9.57	2058056	19378980.00
2011/10/13	9.55	9.60	9.39	9.52	2705643	25623080.00
2011/10/14	9.54	9.59	9.33	9.54	2141436	20236668.00
2011/10/17	9.55	9.62	9.47	9.51	1987395	18996488.00
2011/10/18	9.49	9.60	9.33	9.45	1994628	18780476.00
2011/10/19	9.48	9.54	9.19	9.35	1856364	17303364.00
2011/10/20	9.31	9.32	8.88	8.91	2583654	23087388.00
2011/10/21	8.97	8.97	8.46	8.64	2741783	23579348.00
2011/10/24	8.63	8.87	8.48	8.82	1300943	11305352.00
2011/10/25	8.78	8.98	8.70	8.97	1314713	11661835.00
2011/10/26	8.94	9.10	8.87	8.99	1370258	12343299.00
2011/10/27	9.00	9.08	8.91	8.93	1558759	14019413.00
2011/10/28	9.12	9.38	8.93	9.25	4273663	39310968.00
2011/10/31	9.20	9.38	9.15	9.31	2235372	20697488.00
2011/11/01	9.21	9.56	9.09	9.46	4710255	44490172.00
2011/11/02	9.35	9.60	9.22	9.55	4079341	38650136.00
2011/11/03	9.52	9.69	9.42	9.57	4036933	38670000.00
2011/11/04	9.51	9.75	9.49	9.63	2331738	22490420.00
2011/11/07	9.63	10.11	9.55	9.91	4466433	44051472.00
2011/11/08	9.81	10.05	9.58	9.60	4047457	39676936.00
2011/11/09	9.62	9.73	9.50	9.66	3259156	31296316.00
2011/11/10	9.53	9.56	9.28	9.35	3126349	29428496.00
2011/11/11	9.32	9.49	9.32	9.48	1294670	12189565.00
2011/11/14	9.50	9.62	9.47	9.59	1573414	15043753.00
2011/11/15	9.55	9.70	9.50	9.67	3004153	28882164.00
2011/11/16	9.67	9.70	9.43	9.49	1666657	15945769.00
2011/11/17	9.45	9.69	9.36	9.52	1428309	13638087.00
2011/11/18	9.50	9.61	9.30	9.38	1575625	14935323.00
2011/11/21	9.38	9.44	8.91	9.08	2526310	22865352.00
2011/11/22	9.01	9.12	8.80	9.06	1845542	16586149.00
2011/11/23	9.01	9.08	8.88	8.92	2717400	24372196.00
2011/11/24	9.00	9.02	8.77	8.93	2086750	18566688.00
2011/11/25	8.93	9.01	8.76	8.79	1045652	9302253.00
2011/11/28	8.83	9.23	8.58	8.92	3699278	32736186.00
2011/11/29	8.98	8.98	8.81	8.88	2933591	26046068.00
2011/11/30	8.90	8.90	8.44	8.44	2255900	19321828.00
2011/12/01	8.50	8.65	8.43	8.48	4355413	37152204.00
2011/12/02	8.49	8.60	8.06	8.06	4180099	34266016.00
2011/12/05	7.93	7.93	7.66	7.66	2782193	21327740.00
2011/12/06	7.38	7.52	7.28	7.40	3354715	24784520.00
2011/12/07	7.29	7.53	7.29	7.42	1183552	8791180.00
2011/12/08	7.36	7.44	7.05	7.21	2624863	18789576.00
2011/12/09	7.09	7.22	7.05	7.08	1191756	8490392.00
2011/12/12	7.09	7.14	6.73	6.73	3666700	25141390.00
2011/12/13	6.58	6.68	6.39	6.39	4104958	26479620.00
2011/12/14	6.37	6.39	6.17	6.23	1988768	12465625.00
