600370 三房巷 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.81	5.85	5.75	5.77	759445	4518037.00
2011/10/11	5.95	5.96	5.58	5.64	2301690	13698051.00
2011/10/12	5.63	5.93	5.57	5.86	1548617	9212534.00
2011/10/13	5.86	5.98	5.84	5.89	1638222	9931646.00
2011/10/14	5.86	5.89	5.75	5.85	1306274	7804098.00
2011/10/17	5.86	5.93	5.86	5.88	1012629	6117360.00
2011/10/18	5.88	5.88	5.64	5.65	1371254	8112484.00
2011/10/19	5.71	5.71	5.58	5.58	802599	4644270.00
2011/10/20	5.58	5.61	5.25	5.35	1706910	9487927.00
2011/10/21	5.43	5.43	5.20	5.23	898493	4909686.00
2011/10/24	5.25	5.34	5.17	5.32	949222	5155551.00
2011/10/25	5.32	5.49	5.28	5.47	1564348	8705793.00
2011/10/26	5.42	5.55	5.41	5.51	2212411	12453056.00
2011/10/27	5.49	5.54	5.45	5.47	1637568	9250315.00
2011/10/28	5.53	5.62	5.50	5.58	1786396	10214209.00
2011/10/31	5.60	5.62	5.53	5.61	1519574	8689403.00
2011/11/01	5.58	5.67	5.48	5.55	1809410	10365018.00
2011/11/02	5.45	5.62	5.40	5.62	2290243	12891278.00
2011/11/03	5.61	5.72	5.58	5.68	3173242	18474764.00
2011/11/04	5.69	5.84	5.66	5.83	3816384	22523912.00
2011/11/07	5.94	5.97	5.78	5.92	3137628	18840748.00
2011/11/08	5.89	5.95	5.84	5.92	3311368	20018072.00
2011/11/09	5.92	6.33	5.86	6.15	7568654	47013460.00
2011/11/10	6.09	6.11	6.00	6.08	3872703	24045500.00
2011/11/11	6.08	6.54	6.02	6.37	9503082	61014976.00
2011/11/14	6.30	6.51	6.22	6.29	14414425	92391232.00
2011/11/15	6.20	6.20	6.03	6.11	6839617	42734856.00
2011/11/16	6.07	6.14	5.87	5.92	4562348	28018072.00
2011/11/17	5.91	5.98	5.89	5.90	2125202	12921515.00
2011/11/18	5.88	5.91	5.64	5.71	3581917	21308868.00
2011/11/21	5.70	5.76	5.67	5.76	1107872	6499313.00
2011/11/22	5.73	5.73	5.63	5.71	1295369	7559234.00
2011/11/23	5.72	5.76	5.64	5.66	1203800	7043708.00
2011/11/24	5.65	5.66	5.52	5.57	1589491	9109853.00
2011/11/25	5.56	5.62	5.43	5.47	1519508	8609672.00
2011/11/28	5.47	5.51	5.39	5.42	1789401	9991910.00
2011/11/29	5.47	5.54	5.41	5.52	2345746	13181953.00
2011/11/30	5.51	5.53	5.16	5.18	2776092	15203349.00
2011/12/01	5.33	5.39	5.25	5.28	2265979	12407916.00
2011/12/02	5.28	5.28	5.15	5.15	1744126	9302831.00
2011/12/05	5.18	5.18	5.01	5.03	1068607	5591473.00
2011/12/06	5.05	5.17	5.00	5.11	1068803	5616070.00
2011/12/07	5.11	5.17	5.09	5.12	774100	4082899.00
2011/12/08	5.12	5.15	5.01	5.12	1142305	5995636.00
2011/12/09	5.08	5.12	5.05	5.08	588100	3075843.00
2011/12/12	5.08	5.09	5.02	5.02	550790	2867207.00
2011/12/13	5.02	5.02	4.70	4.72	1783600	8840545.00
2011/12/14	4.72	4.74	4.57	4.58	1285812	6182482.00
2011/12/15	4.58	4.58	4.39	4.42	1486732	6853139.00
2011/12/16	4.40	4.55	4.38	4.54	1228211	5664848.00
2011/12/19	4.50	4.55	4.36	4.54	940866	4347659.00
2011/12/20	4.48	4.67	4.48	4.56	1283461	6116112.00
2011/12/21	4.60	4.66	4.45	4.46	1119190	5290818.00
2011/12/22	4.43	4.43	4.21	4.33	1202835	5369519.00
2011/12/23	4.32	4.42	4.28	4.39	756286	3415658.00
2011/12/26	4.36	4.51	4.34	4.40	801717	3666897.00
2011/12/27	4.37	4.38	4.24	4.25	682653	3034207.00
2011/12/28	4.15	4.20	4.09	4.18	777506	3342781.00
2011/12/29	4.16	4.20	4.12	4.17	747315	3228947.00
2011/12/30	4.17	4.25	4.17	4.25	1173322	5124586.00
2012/01/04	4.26	4.32	4.15	4.15	738312	3255386.00
2012/01/05	4.15	4.16	3.91	3.92	767219	3191641.00
2012/01/06	3.93	3.96	3.82	3.94	867746	3498747.00
2012/01/09	3.94	4.16	3.91	4.15	1203264	5094047.00
2012/01/10	4.15	4.38	4.15	4.36	1748422	7759777.00
2012/01/11	4.34	4.39	4.28	4.35	1178304	5290755.00
2012/01/12	4.30	4.42	4.29	4.35	1023520	4617665.00
2012/01/13	4.33	4.36	4.10	4.14	1163061	5085232.00
2012/01/16	4.15	4.19	3.96	4.00	796068	3363483.00
2012/01/17	4.05	4.33	4.00	4.31	1346833	5847701.00
2012/01/18	4.29	4.36	4.19	4.21	1235356	5445925.00
2012/01/19	4.21	4.30	4.17	4.25	835830	3678803.00
2012/01/20	4.25	4.33	4.25	4.33	898276	3993930.00
2012/01/30	4.32	4.37	4.27	4.31	1005588	4496970.00
2012/01/31	4.28	4.35	4.26	4.35	844925	3768278.00
2012/02/01	4.34	4.38	4.27	4.30	923697	4136394.00
2012/02/02	4.28	4.43	4.28	4.42	1100314	4970900.00
2012/02/03	4.40	4.52	4.40	4.49	1545689	7151716.00
2012/02/06	4.50	4.60	4.46	4.59	2144816	10039584.00
2012/02/07	4.55	4.59	4.40	4.46	1427625	6616345.00
2012/02/08	4.46	4.56	4.41	4.55	1434958	6690725.00
2012/02/09	4.58	4.62	4.55	4.60	1844280	8740375.00
2012/02/10	4.57	4.65	4.55	4.63	1526055	7261358.00
2012/02/13	4.63	4.67	4.58	4.64	1379295	6593743.00
2012/02/14	4.60	4.67	4.55	4.64	1380875	6593160.00
2012/02/15	4.63	4.75	4.59	4.75	2399849	11648249.00
2012/02/16	4.73	4.81	4.69	4.77	1585933	7778982.00
2012/02/17	4.77	4.81	4.67	4.72	1976534	9647969.00
2012/02/20	4.80	4.80	4.75	4.76	1707710	8407943.00
2012/02/21	4.75	4.79	4.66	4.78	1461647	7140100.00
2012/02/22	4.78	4.87	4.75	4.85	1900811	9454440.00
2012/02/23	4.87	4.88	4.78	4.84	2003841	9971422.00
2012/02/24	4.83	4.92	4.80	4.91	2433930	12212096.00
2012/02/27	4.90	5.02	4.89	4.90	2797213	14277507.00
2012/02/28	4.89	4.96	4.78	4.95	3568346	17905166.00
2012/02/29	4.93	4.97	4.82	4.84	2339988	11806471.00
2012/03/01	4.84	5.00	4.78	4.98	3146887	15964901.00
2012/03/02	4.96	5.30	4.96	5.24	8603350	45468312.00
2012/03/05	5.22	5.45	5.12	5.42	9612706	52149272.00
2012/03/06	5.30	5.39	5.14	5.17	10927855	59198560.00
2012/03/07	5.06	5.19	5.01	5.05	5020380	26255584.00
2012/03/08	5.06	5.22	5.04	5.15	3646935	19304152.00
2012/03/09	5.15	5.37	5.10	5.32	4076315	21878072.00
2012/03/12	5.27	5.39	5.15	5.25	6784440	36760988.00
2012/03/13	5.22	5.25	5.14	5.24	4207762	22494694.00
2012/03/14	5.25	5.27	4.83	4.89	4921744	25637524.00
2012/03/15	4.85	4.92	4.67	4.76	3274962	16114269.00
2012/03/16	4.77	4.88	4.73	4.88	2112049	10480740.00
2012/03/19	4.90	4.94	4.82	4.93	2172409	10953058.00
2012/03/20	4.93	4.94	4.81	4.81	2071450	10365203.00
2012/03/21	4.84	4.90	4.76	4.89	1663086	8291518.00
2012/03/22	4.87	4.93	4.84	4.89	1486303	7488487.00
2012/03/23	4.80	4.81	4.67	4.70	2675499	13085550.00
2012/03/26	4.68	4.70	4.61	4.65	1239921	5959337.00
2012/03/27	4.67	4.72	4.62	4.64	1049241	5055322.00
2012/03/28	4.62	4.63	4.37	4.39	1626960	7530871.00
2012/03/29	4.35	4.40	4.26	4.30	1530067	6865551.00
2012/03/30	4.31	4.38	4.28	4.32	1030199	4616133.00
2012/04/05	4.34	4.49	4.31	4.46	916610	4191471.00
2012/04/06	4.46	4.56	4.45	4.48	966482	4495065.00
2012/04/09	4.48	4.53	4.42	4.47	845040	3918235.00
2012/04/10	4.46	4.57	4.37	4.56	1353667	6278098.00
2012/04/11	4.52	4.64	4.49	4.63	1553026	7367469.00
2012/04/12	4.63	4.75	4.63	4.72	1524291	7381956.00
2012/04/13	4.72	4.93	4.65	4.89	4076407	20297704.00
2012/04/17	4.93	5.10	4.78	4.79	4640672	23652590.00
2012/04/18	4.79	4.98	4.71	4.89	3203984	16004844.00
2012/04/19	4.86	4.93	4.84	4.86	1895986	9527466.00
2012/04/20	4.83	4.92	4.80	4.89	2134323	10729149.00
2012/04/23	4.89	4.96	4.82	4.84	2662017	13454733.00
2012/04/24	4.83	4.89	4.65	4.75	2376721	11692689.00
2012/04/25	4.71	4.91	4.71	4.90	2257846	11266779.00
2012/04/26	4.91	4.95	4.89	4.91	2009578	10189367.00
2012/04/27	4.90	5.01	4.85	4.87	1632601	8264398.00
2012/05/02	4.93	4.94	4.83	4.92	2248223	11331623.00
2012/05/03	4.91	4.93	4.81	4.90	1795987	9040891.00
2012/05/04	4.87	5.04	4.85	5.01	3295699	16671878.00
2012/05/07	4.96	5.00	4.56	4.93	3711364	18839814.00
2012/05/08	4.91	4.94	4.83	4.86	2493432	12412833.00
2012/05/09	4.84	4.84	4.67	4.68	2321993	11241857.00
2012/05/10	4.68	4.76	4.68	4.73	1251204	6036932.00
2012/05/11	4.73	4.78	4.70	4.70	1119920	5422862.00
2012/05/14	4.73	4.78	4.72	4.72	1005654	4876109.00
