600371 万向德农 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.58	9.65	9.33	9.47	1253237	14805054.00
2011/10/11	9.73	9.81	9.21	9.51	1163766	13924802.00
2011/10/12	9.37	9.88	9.27	9.85	2005245	24416016.00
2011/10/13	9.71	10.13	9.71	9.93	2562734	31906336.00
2011/10/14	9.88	9.92	9.68	9.85	1321039	16162344.00
2011/10/17	9.88	9.93	9.71	9.83	1101889	13519963.00
2011/10/18	9.68	10.13	9.68	9.95	3989774	49816716.00
2011/10/19	9.92	10.98	9.68	10.13	2615273	32247832.00
2011/10/20	10.07	10.07	9.63	9.80	2386213	29185276.00
2011/10/21	9.74	9.79	9.43	9.50	1592583	19141462.00
2011/10/24	9.50	9.71	9.21	9.68	1857442	22011852.00
2011/10/25	9.60	10.11	9.59	9.98	2128966	26366238.00
2011/10/26	9.98	10.38	9.98	10.28	2771748	35424952.00
2011/10/27	10.37	10.63	10.27	10.58	3834821	50110820.00
2011/10/28	10.66	10.72	10.42	10.58	3164831	41684096.00
2011/10/31	10.68	11.68	10.67	11.68	6756980	96564928.00
2011/11/01	12.25	12.89	12.13	12.71	19701108	307524160.00
2011/11/02	12.38	13.33	12.32	13.18	15423666	243757744.00
2011/11/03	13.23	14.28	13.09	13.31	13256059	223776672.00
2011/11/04	13.25	14.68	13.25	14.17	21181223	373018240.00
2011/11/07	13.92	14.38	13.88	14.29	10016111	174585296.00
2011/11/08	14.26	14.26	13.45	13.63	13397716	227949280.00
2011/11/09	13.83	14.42	13.80	14.33	13570067	235939168.00
2011/11/10	14.04	15.18	13.99	14.48	14722950	262926208.00
2011/11/11	14.25	14.51	13.96	14.18	7046642	123282432.00
2011/11/14	14.29	14.72	14.17	14.53	7109275	126982056.00
2011/11/15	14.48	14.69	14.17	14.64	7595410	135107584.00
2011/11/16	14.55	14.63	13.76	13.83	8672162	151092736.00
2011/11/17	13.83	14.07	13.75	13.92	4939898	84818224.00
2011/11/18	13.79	14.15	13.42	13.57	5359390	91432856.00
2011/11/21	13.59	13.90	13.42	13.83	4021435	68034816.00
2011/11/22	13.67	14.07	13.33	13.99	6609405	112800656.00
2011/11/23	13.88	13.96	12.92	13.08	7799966	129276368.00
2011/11/24	12.86	13.24	12.86	13.14	4599184	74375720.00
2011/11/25	13.10	13.18	12.77	12.97	3919719	62868756.00
2011/11/28	13.17	13.98	13.05	13.59	10155979	169778448.00
2011/11/29	13.61	13.89	13.42	13.84	6741874	113591544.00
2011/11/30	13.87	13.87	12.46	12.65	8551591	137520000.00
2011/12/01	13.05	13.24	12.75	13.08	5604082	90304432.00
2011/12/02	12.92	13.05	12.62	12.67	3520524	56031328.00
2011/12/05	12.71	12.79	12.08	12.12	3993150	60492896.00
2011/12/06	12.08	12.50	12.00	12.37	3641105	55247020.00
2011/12/07	12.27	12.80	12.21	12.75	2954176	46245104.00
2011/12/08	12.74	14.07	12.41	13.70	7665090	127709456.00
2011/12/09	13.48	14.29	13.46	14.19	7705435	133514544.00
2011/12/12	14.16	14.41	13.76	14.23	6005011	104892872.00
2011/12/13	13.93	14.08	13.43	13.91	4422541	75403736.00
2011/12/14	13.83	15.13	13.83	14.08	11227958	200984384.00
2011/12/15	13.58	13.74	12.63	12.68	8941371	145539072.00
2011/12/16	12.54	13.16	12.26	13.12	5696964	89622456.00
2011/12/19	12.97	14.47	12.79	14.47	7838760	131529232.00
