600375 华菱星马 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.83	13.97	13.18	13.30	723700	10577446.00
2011/10/11	13.58	13.80	13.02	13.23	1162043	16764455.00
2011/10/12	13.23	13.83	12.99	13.80	1357276	19865780.00
2011/10/13	13.63	14.38	13.63	14.06	1655126	25004110.00
2011/10/14	13.99	14.26	13.78	14.06	1147672	17223046.00
2011/10/17	14.08	14.18	13.93	14.02	548913	8263114.00
2011/10/18	13.98	13.98	13.29	13.31	769744	11270322.00
2011/10/19	13.30	13.48	13.16	13.23	738108	10541338.00
2011/10/20	13.12	13.23	12.68	12.75	674670	9394393.00
2011/10/21	12.75	12.94	12.64	12.84	364885	5052662.00
2011/10/24	12.88	13.21	12.63	13.18	598766	8368620.00
2011/10/25	13.25	13.62	13.08	13.44	1672934	24093824.00
2011/10/26	13.34	13.66	13.30	13.53	1914391	27905572.00
2011/10/27	13.50	13.60	13.25	13.33	1729229	24983444.00
2011/10/28	13.48	13.88	13.43	13.84	2367487	34780696.00
2011/10/31	13.88	13.95	13.58	13.67	1737822	25576760.00
2011/11/01	13.56	13.84	13.48	13.63	1262607	18507306.00
2011/11/02	13.45	13.53	12.78	13.52	4005342	56863216.00
2011/11/03	13.56	14.20	13.54	13.93	4395086	65608024.00
2011/11/04	13.98	14.46	13.97	14.45	4374375	66608660.00
2011/11/07	14.47	14.56	14.08	14.24	2400759	36754280.00
2011/11/08	14.23	14.34	13.93	14.04	1475379	22283780.00
2011/11/10	14.05	14.16	13.82	13.83	1767174	26518078.00
2011/11/11	13.89	13.95	13.68	13.91	1090899	16167214.00
2011/11/14	14.02	14.38	13.98	14.23	2311077	35189704.00
2011/11/15	14.21	14.24	13.98	14.23	1602845	24272186.00
2011/11/16	14.28	14.36	13.59	13.70	2075179	30867068.00
2011/11/17	13.63	13.76	13.36	13.47	1921452	27987980.00
2011/11/18	13.28	13.28	12.88	12.90	1672880	23545048.00
2011/11/21	13.01	13.11	12.79	13.02	1130087	15814216.00
2011/11/22	12.96	12.96	12.47	12.58	1542142	21057464.00
2011/11/23	12.69	12.69	12.20	12.23	1371300	18402210.00
2011/11/24	11.96	12.37	11.93	12.16	1280406	16830664.00
2011/11/25	12.18	12.18	11.89	12.06	1480534	19323490.00
2011/11/28	12.15	12.17	12.01	12.02	599251	7848171.00
2011/11/29	12.22	12.36	12.02	12.36	1496621	19792006.00
2011/11/30	12.28	12.34	11.28	11.43	1583351	20404932.00
2011/12/01	11.89	12.09	11.70	11.74	1669430	21516532.00
2011/12/02	11.71	12.18	11.36	12.13	1770377	22687572.00
2011/12/05	11.99	12.13	11.68	11.83	1128305	14539341.00
2011/12/06	11.86	12.08	11.39	11.96	2325350	29924140.00
2011/12/07	12.30	12.53	11.83	12.13	4094772	53883272.00
2011/12/08	11.95	12.45	11.58	12.33	4597726	60972244.00
2011/12/09	12.96	12.96	11.79	11.85	4597473	61352496.00
2011/12/12	11.97	11.97	10.99	11.00	4707023	58101948.00
2011/12/13	10.84	10.84	10.39	10.40	2011140	23305378.00
2011/12/14	10.28	10.51	10.16	10.18	748720	8469655.00
2011/12/15	10.16	10.28	9.91	9.93	1168983	12965286.00
2011/12/16	9.85	10.16	9.78	10.16	2158076	23632268.00
2011/12/19	10.10	10.10	9.74	10.01	1529673	16709330.00
2011/12/20	9.96	10.25	9.80	10.09	1590684	17699920.00
2011/12/21	10.24	10.25	9.66	9.70	1285999	14188672.00
2011/12/22	9.59	9.62	9.01	9.32	2205761	22726038.00
2011/12/23	9.28	9.74	9.19	9.50	1797140	18936528.00
2011/12/26	9.42	9.65	9.30	9.56	1430553	15091102.00
2011/12/27	9.51	9.56	9.15	9.16	1030677	10673026.00
2011/12/28	9.06	9.31	9.00	9.29	1109862	11285785.00
2011/12/29	9.31	9.57	9.19	9.51	1426304	14884754.00
2011/12/30	9.52	9.71	9.48	9.69	1634918	17382322.00
2012/01/04	9.70	9.83	9.28	9.30	1363064	14439363.00
2012/01/05	9.18	9.42	9.00	9.09	1248454	12766272.00
2012/01/06	9.10	9.26	8.87	9.17	1263369	12736409.00
2012/01/09	9.28	9.68	9.13	9.67	2013733	21212812.00
2012/01/10	9.73	10.40	9.69	10.30	3252998	36000088.00
2012/01/11	10.48	10.48	10.13	10.24	2358594	26582300.00
2012/01/12	10.24	10.44	10.16	10.21	1718643	19418158.00
2012/01/13	10.20	10.25	9.67	10.02	2471738	27036204.00
2012/01/16	9.88	9.98	9.70	9.72	1059526	11495388.00
2012/01/17	9.72	10.42	9.72	10.36	2354437	26341580.00
2012/01/18	10.38	10.90	10.38	10.60	6442318	75544288.00
2012/01/19	10.58	11.12	10.43	10.98	4545762	54137712.00
2012/01/20	10.99	11.47	10.97	11.38	4666908	57365688.00
2012/01/30	11.41	11.44	11.08	11.11	3109660	38247376.00
2012/01/31	11.07	11.34	10.86	11.12	1860845	22525100.00
2012/02/01	11.04	11.15	10.65	10.73	1524597	18164248.00
2012/02/02	10.78	11.27	10.66	11.24	1774116	21179440.00
2012/02/03	11.18	11.28	10.98	11.19	2191689	26677732.00
2012/02/06	11.19	11.32	11.08	11.17	1704427	20800886.00
2012/02/07	11.15	11.15	10.64	10.78	1633660	19314516.00
2012/02/08	10.67	11.16	10.63	11.15	1807430	21638412.00
2012/02/09	11.16	11.37	11.02	11.35	4668517	57121340.00
2012/02/10	11.28	11.51	11.19	11.38	6135757	75732912.00
2012/02/13	11.33	12.23	11.13	12.20	9442526	121233040.00
