600376 首开股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.23	5.24	4.67	4.81	17211297	139851920.00
2011/10/11	4.93	4.95	4.60	4.71	12375888	98509320.00
2011/10/12	4.63	5.05	4.62	4.97	19750530	161406608.00
2011/10/13	4.95	5.15	4.92	5.10	13831774	116079456.00
2011/10/14	5.04	5.06	4.90	4.98	8453562	69612176.00
2011/10/17	4.97	5.06	4.92	4.94	7688967	63614240.00
2011/10/18	4.92	4.92	4.69	4.73	8149990	64741672.00
2011/10/19	4.73	4.79	4.63	4.65	7225088	56752832.00
2011/10/20	4.61	4.64	4.31	4.44	11949444	88743880.00
2011/10/21	4.42	4.61	4.37	4.43	5694072	42988636.00
2011/10/24	4.43	4.61	4.34	4.56	11335476	85466496.00
2011/10/25	4.51	4.87	4.48	4.82	15186946	119398008.00
2011/10/26	4.80	5.15	4.75	5.05	29016972	242037824.00
2011/10/27	5.00	5.14	4.99	5.04	11566335	97128456.00
2011/10/28	5.18	5.57	5.15	5.31	34832233	305576672.00
2011/10/31	5.21	5.43	5.10	5.39	11262922	97963760.00
2011/11/01	5.31	5.43	5.12	5.20	12684364	109860240.00
2011/11/02	5.09	5.33	5.03	5.32	8325792	71560552.00
2011/11/03	5.30	5.36	5.19	5.27	11718877	101660816.00
2011/11/04	5.33	5.45	5.27	5.35	11447299	101419216.00
2011/11/07	5.27	5.31	5.15	5.17	6523191	56172596.00
2011/11/08	5.17	5.17	4.91	4.99	16882400	139757232.00
2011/11/09	5.00	5.01	4.71	4.90	16415049	132117248.00
2011/11/10	4.80	4.83	4.73	4.81	7177507	57284620.00
2011/11/11	4.81	4.88	4.73	4.77	5073942	40670760.00
2011/11/14	4.81	4.99	4.79	4.93	14524898	118337744.00
2011/11/16	4.91	4.93	4.65	4.73	13439823	106619640.00
2011/11/17	4.71	4.80	4.65	4.68	7677091	60560748.00
2011/11/18	4.64	4.69	4.49	4.55	10060024	76834432.00
2011/11/21	4.55	4.65	4.47	4.61	6177727	47360096.00
2011/11/22	4.56	4.74	4.54	4.71	10705022	83699552.00
2011/11/23	4.67	4.71	4.57	4.64	4592706	35621600.00
2011/11/24	4.59	4.83	4.55	4.78	10438381	82620008.00
2011/11/25	4.78	4.80	4.63	4.64	3642152	28647596.00
2011/11/28	4.63	4.70	4.55	4.61	8299206	64162028.00
2011/11/29	4.65	4.80	4.57	4.77	9054806	71175800.00
2011/11/30	4.71	4.75	4.57	4.59	4996306	38797852.00
2011/12/01	4.83	5.11	4.81	5.04	40962023	342042912.00
2011/12/02	4.95	5.15	4.89	5.07	18939278	158207200.00
2011/12/05	5.07	5.19	4.96	5.06	11929815	100428544.00
2011/12/06	5.06	5.30	5.01	5.18	13078131	112009136.00
2011/12/07	5.17	5.25	5.09	5.15	9544445	81716144.00
2011/12/08	5.13	5.24	4.97	5.13	5612888	47731304.00
2011/12/09	5.06	5.56	5.03	5.35	16120016	143832592.00
2011/12/12	5.29	5.29	5.13	5.19	10639066	91427696.00
2011/12/13	5.13	5.27	4.87	4.87	7142006	60444456.00
2011/12/14	4.87	4.98	4.72	4.74	6676189	54234664.00
