600379 宝光股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.80	7.83	7.57	7.69	932159	7921807.00
2011/10/11	7.96	8.03	7.51	7.78	1444248	12332663.00
2011/10/12	7.74	8.10	7.63	7.98	2398703	20963256.00
2011/10/13	8.05	8.13	7.96	8.10	1941790	17312982.00
2011/10/14	8.01	8.14	7.96	8.09	1141696	10158421.00
2011/10/17	8.09	8.16	8.01	8.09	911130	8156526.00
2011/10/18	7.98	8.28	7.92	8.14	2975505	26765348.00
2011/10/19	8.14	8.44	7.87	8.38	5149581	47099668.00
2011/10/20	8.27	8.57	8.08	8.54	6924591	63832880.00
2011/10/21	8.48	8.70	8.36	8.55	6817694	64147336.00
2011/10/24	8.56	9.14	8.25	9.00	8060927	76328360.00
2011/10/25	8.64	9.12	8.43	8.87	12126139	116814096.00
2011/10/26	8.60	8.77	8.55	8.59	6303961	60327268.00
2011/10/27	8.51	8.71	8.49	8.55	3488827	33062340.00
2011/10/28	8.63	8.75	8.54	8.72	4204297	40137624.00
2011/10/31	8.72	8.77	8.59	8.67	2845330	27204088.00
2011/11/01	8.64	8.66	8.54	8.56	2860178	27144732.00
2011/11/02	8.46	8.65	8.33	8.64	3345429	31457492.00
2011/11/03	8.64	8.85	8.64	8.65	4566328	44093364.00
2011/11/04	8.73	9.44	8.64	9.36	10209637	101910664.00
2011/11/07	9.24	9.32	9.04	9.09	5349335	54112948.00
2011/11/08	9.05	9.14	8.76	8.79	3877420	38391184.00
2011/11/09	8.81	9.12	8.74	9.10	3906107	38610104.00
2011/11/10	9.05	9.10	8.80	8.82	3171258	31388224.00
2011/11/14	8.99	9.08	8.83	8.97	2769125	27447916.00
2011/11/15	8.95	9.24	8.93	9.19	3912252	39420988.00
2011/11/16	9.33	9.46	9.11	9.20	7436811	75984992.00
2011/11/17	9.19	9.30	8.96	9.09	3290056	33116660.00
2011/11/18	8.97	9.13	8.51	8.53	2669269	25869016.00
2011/11/21	8.44	8.59	8.43	8.49	1348429	12629544.00
2011/11/22	8.42	8.44	8.17	8.30	1755731	16118114.00
