600388 龙净环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.65	10.66	10.23	10.28	1607637	35806456.00
2011/10/11	10.57	10.65	10.12	10.24	1309059	29205296.00
2011/10/12	10.15	10.63	10.10	10.62	1418653	31843532.00
2011/10/13	10.59	10.85	10.56	10.77	1751790	40328120.00
2011/10/14	10.72	10.79	10.54	10.67	1025226	23433508.00
2011/10/17	10.71	10.76	10.59	10.69	1105147	25283536.00
2011/10/18	10.59	10.59	10.33	10.35	853388	19171672.00
2011/10/19	10.36	10.47	10.29	10.35	543228	12103511.00
2011/10/20	10.32	10.35	9.47	9.54	2541146	53214852.00
2011/10/21	9.72	9.86	9.43	9.49	2805890	58692720.00
2011/10/24	9.47	9.67	9.16	9.61	3147815	64227900.00
2011/10/25	9.60	10.07	9.52	10.00	3985723	84179184.00
2011/10/26	9.89	10.52	9.86	10.27	5257191	116680640.00
2011/10/27	10.37	10.92	10.37	10.81	8269807	190976432.00
2011/10/28	11.01	11.46	10.73	11.41	9850737	234904624.00
2011/10/31	11.42	11.51	11.23	11.39	9279105	225324912.00
2011/11/01	11.23	11.36	11.08	11.24	5314500	127521328.00
2011/11/02	11.01	11.80	10.99	11.77	7296383	177849952.00
2011/11/03	11.77	12.12	11.57	11.58	10955007	277131360.00
2011/11/04	11.60	11.75	11.52	11.68	4614267	114393192.00
2011/11/07	11.53	11.85	11.48	11.65	2656617	66342264.00
2011/11/08	11.58	11.79	11.40	11.48	3439746	84872008.00
2011/11/09	11.52	11.60	11.17	11.59	5695525	139304416.00
2011/11/10	11.54	12.66	11.49	12.01	14473729	375012352.00
2011/11/11	11.97	12.30	11.84	12.03	5449051	139997856.00
2011/11/14	12.70	13.30	12.51	12.72	11927002	324552768.00
2011/11/15	12.79	13.43	12.72	13.22	12288680	342358656.00
2011/11/16	13.20	13.20	12.57	12.89	8480765	231679472.00
2011/11/17	12.96	13.41	12.78	13.11	9249543	257951008.00
2011/11/18	12.98	12.98	12.33	12.36	7586702	203770448.00
2011/11/21	12.45	12.47	11.82	12.06	7346715	188555520.00
2011/11/22	11.90	13.06	11.90	13.04	10513279	277826048.00
2011/11/23	13.36	13.68	13.01	13.03	13800050	390384608.00
2011/11/24	12.85	13.66	12.75	13.49	12857169	362383616.00
2011/11/25	13.36	13.62	13.18	13.52	8644818	245362016.00
2011/11/28	13.71	13.81	13.06	13.30	7973225	226486336.00
2011/11/29	13.30	13.41	13.02	13.19	6409889	179021296.00
2011/12/01	13.22	13.95	13.13	13.63	14620443	420479168.00
2011/12/02	13.52	13.59	12.22	12.52	16146062	439915872.00
2011/12/05	12.37	12.48	12.13	12.20	6044624	157816992.00
2011/12/06	12.17	12.80	12.17	12.63	7421638	197140352.00
2011/12/07	12.57	12.72	12.33	12.43	5685104	150785792.00
2011/12/08	12.34	12.88	12.03	12.53	7940457	210727184.00
2011/12/09	12.37	12.81	12.33	12.66	6942497	186128624.00
2011/12/12	12.71	12.82	12.43	12.44	4855815	130268688.00
2011/12/13	12.23	12.37	11.78	12.08	7199930	184198672.00
2011/12/14	12.02	12.16	11.38	11.51	6441697	162285440.00
2011/12/15	11.32	11.75	11.16	11.38	6225435	152191648.00
2011/12/16	11.45	12.16	11.34	12.13	9017957	226618528.00
2011/12/19	12.01	12.57	11.82	12.53	8713673	225961664.00
2011/12/20	12.40	12.51	11.99	12.07	8243764	214717456.00
2011/12/21	12.39	12.41	11.38	11.48	10936217	277151808.00
2011/12/22	11.28	12.05	10.58	11.82	13316777	323861344.00
2011/12/23	11.55	12.11	11.49	11.76	9459336	237493616.00
2011/12/26	11.61	11.77	11.28	11.32	5076877	124910672.00
2011/12/27	11.15	11.37	10.73	10.75	4217258	99622008.00
2011/12/28	10.57	10.65	10.25	10.53	4725450	106368208.00
2011/12/29	10.41	10.71	10.35	10.59	3338597	76013488.00
2011/12/30	10.68	10.94	10.60	10.74	3398286	78522240.00
2012/01/04	10.91	10.95	10.27	10.31	3254152	74778664.00
2012/01/05	10.20	10.23	9.67	9.70	4988372	106947456.00
2012/01/06	9.67	10.01	9.48	9.93	3414391	71717008.00
2012/01/09	9.96	10.63	9.81	10.61	5270975	117004560.00
2012/01/10	10.61	11.09	10.50	10.96	6946067	161698176.00
2012/01/11	10.95	11.27	10.83	10.89	5481089	129370288.00
2012/01/12	10.81	11.04	10.72	10.88	4101171	95634152.00
2012/01/13	10.89	10.95	10.18	10.29	5697396	128251960.00
2012/01/16	10.07	10.20	9.55	9.57	3680997	78405536.00
2012/01/17	9.66	10.39	9.57	10.32	5177196	112005568.00
2012/01/18	10.32	10.45	9.87	9.97	4980881	109233728.00
2012/01/19	9.93	10.34	9.93	10.24	3356229	73615744.00
2012/01/20	10.31	10.67	10.26	10.63	4311116	97277976.00
2012/01/30	10.62	10.78	10.49	10.53	3310455	75436512.00
2012/01/31	10.52	10.75	10.38	10.70	2963896	67358424.00
2012/02/01	10.66	10.93	10.54	10.58	4052822	93501296.00
2012/02/02	10.62	10.89	10.60	10.86	4405385	101692048.00
2012/02/03	10.86	11.23	10.81	11.19	5968382	141389824.00
2012/02/06	11.22	11.27	11.07	11.19	4862414	115861544.00
2012/02/07	11.09	11.15	10.83	10.87	3171946	74349072.00
2012/02/08	10.88	11.17	10.82	11.09	4796084	113019872.00
2012/02/09	11.09	11.49	11.09	11.42	8394857	203796976.00
2012/02/10	11.42	11.47	11.25	11.32	4571664	110565064.00
2012/02/13	11.17	11.47	11.13	11.30	4347052	105074672.00
2012/02/14	11.28	11.33	11.06	11.19	4288581	102416160.00
2012/02/15	11.17	11.52	11.09	11.45	6177824	149871280.00
2012/02/16	11.31	11.52	11.24	11.36	3791214	92114496.00
2012/02/17	11.36	11.45	11.13	11.23	2693691	64778472.00
2012/02/20	11.41	11.51	11.23	11.24	3499377	85115912.00
2012/02/21	11.24	11.69	11.21	11.67	5328468	130791040.00
2012/02/22	11.67	11.99	11.65	11.92	7284198	184122800.00
2012/02/23	11.92	12.01	11.65	11.84	3759938	94739320.00
2012/02/24	11.82	12.16	11.75	11.94	4409636	112679064.00
2012/02/27	11.94	12.12	11.90	11.99	6745655	172781312.00
2012/02/28	11.95	12.22	11.63	12.11	6585600	167875728.00
2012/02/29	12.05	12.16	11.96	12.02	3326676	85373384.00
2012/03/01	12.16	12.45	12.16	12.23	6231586	162987776.00
2012/03/02	12.23	12.59	12.22	12.57	4854709	128217728.00
2012/03/05	12.68	13.06	12.51	12.54	9745839	265492656.00
2012/03/06	12.54	12.54	12.16	12.44	4426886	116199184.00
2012/03/07	12.19	12.59	12.17	12.33	2789836	73530104.00
2012/03/08	12.62	13.00	12.36	12.42	6298031	169111776.00
2012/03/09	12.45	12.60	12.35	12.56	3565630	94385464.00
2012/03/12	12.65	12.67	12.40	12.52	3282101	87163752.00
2012/03/13	12.53	12.79	12.48	12.68	4187227	112552592.00
2012/03/14	12.77	13.03	12.06	12.22	7858019	211001744.00
2012/03/15	12.32	12.62	12.21	12.31	5611440	147792944.00
2012/03/16	12.49	13.11	12.48	12.88	7347261	200011936.00
2012/03/19	12.84	13.10	12.76	13.09	4483238	123098168.00
2012/03/20	13.05	13.05	12.56	12.59	5335570	143978640.00
2012/03/21	12.67	12.72	12.31	12.48	3405295	90303288.00
2012/03/22	12.48	12.54	12.32	12.39	2327715	61382324.00
2012/03/23	12.34	12.40	12.07	12.24	2512118	65280672.00
2012/03/26	12.17	12.41	12.15	12.31	1518721	39646804.00
2012/03/27	12.37	12.50	12.27	12.33	1381703	36425728.00
2012/03/28	12.31	12.31	11.68	11.78	2965048	75859816.00
2012/03/29	11.77	11.77	11.41	11.50	2816301	69717384.00
2012/03/30	11.48	11.64	11.32	11.54	1999533	49253760.00
2012/04/05	11.53	12.00	11.53	12.00	2018322	51072260.00
2012/04/06	11.99	12.40	11.92	12.29	2577915	67141456.00
2012/04/09	12.30	12.46	12.22	12.34	2724107	71413280.00
2012/04/10	12.02	12.02	11.50	11.72	5926527	148009280.00
2012/04/11	11.52	11.85	11.46	11.72	2086607	52141528.00
2012/04/12	11.75	11.94	11.61	11.91	2480539	62295340.00
2012/04/13	11.95	12.10	11.87	11.94	2852379	72797472.00
2012/04/16	11.76	11.79	11.46	11.55	4451102	109976760.00
2012/04/17	11.50	11.64	11.47	11.50	1703667	41980296.00
2012/04/18	11.57	11.86	11.47	11.82	3239896	80866176.00
2012/04/19	11.82	11.86	11.65	11.73	2035197	50923980.00
2012/04/20	11.70	11.94	11.68	11.89	2942497	74125456.00
2012/04/23	11.96	11.96	11.55	11.60	2319083	57794524.00
2012/04/24	11.57	11.62	11.07	11.30	3251658	78728112.00
2012/04/25	11.28	11.45	11.18	11.38	1675061	40479744.00
2012/04/26	11.32	11.40	11.22	11.25	2074555	50064920.00
2012/04/27	11.23	11.30	11.12	11.25	1589028	38090776.00
2012/05/02	11.41	11.55	11.26	11.42	3711824	90535624.00
2012/05/03	11.43	11.62	11.42	11.59	2448343	60407172.00
2012/05/04	11.88	12.22	11.87	11.94	7229383	185181856.00
2012/05/07	11.92	12.42	11.89	12.36	6983959	181099328.00
2012/05/08	12.36	12.36	12.09	12.14	4489121	116519312.00
