600396 金山股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.64	3.66	3.54	3.56	1244326	9239669.00
2011/10/11	3.66	3.69	3.55	3.58	1737597	13023096.00
2011/10/12	3.57	3.78	3.55	3.77	3165774	24201156.00
2011/10/13	3.75	3.80	3.71	3.77	1801699	14065655.00
2011/10/14	3.74	3.78	3.72	3.76	1276720	9920112.00
2011/10/17	3.76	3.81	3.74	3.76	1532665	11980210.00
2011/10/18	3.74	3.77	3.61	3.62	1837395	14049220.00
2011/10/19	3.63	3.65	3.56	3.63	1732419	12934713.00
2011/10/20	3.61	3.62	3.46	3.49	1879788	13743352.00
2011/10/21	3.50	3.54	3.45	3.48	1166480	8441344.00
2011/10/24	3.46	3.57	3.46	3.55	1189383	8723047.00
2011/10/25	3.56	3.65	3.54	3.62	1754448	13101778.00
2011/10/26	3.60	3.77	3.58	3.71	3968519	30441208.00
2011/10/27	3.71	3.75	3.67	3.71	2775237	21318526.00
2011/10/28	3.75	3.76	3.71	3.75	2440715	18886702.00
2011/10/31	3.76	3.81	3.72	3.80	2123791	16566981.00
2011/11/01	3.76	3.82	3.73	3.75	1948435	15238343.00
2011/11/02	3.71	3.76	3.62	3.76	2313314	17695864.00
2011/11/03	3.76	3.82	3.74	3.79	3368481	26455310.00
2011/11/04	3.78	3.86	3.77	3.82	2470685	19516742.00
2011/11/07	3.81	3.82	3.72	3.73	2253997	17574636.00
2011/11/08	3.74	3.91	3.71	3.86	6172824	49189656.00
2011/11/09	3.85	3.90	3.79	3.88	4455806	35459600.00
2011/11/10	3.82	3.85	3.76	3.77	3430438	26932618.00
2011/11/11	3.79	3.81	3.73	3.77	1421647	11114461.00
2011/11/14	3.81	3.88	3.81	3.88	3268738	26102186.00
2011/11/15	3.88	3.94	3.87	3.93	3290901	26675492.00
2011/11/16	3.91	3.91	3.78	3.79	2837206	22529980.00
2011/11/17	3.76	3.83	3.76	3.81	1643900	12939278.00
2011/11/18	3.79	3.79	3.63	3.65	2271753	17412640.00
2011/11/21	3.67	3.68	3.59	3.68	1746363	13146957.00
2011/11/22	3.63	3.74	3.61	3.73	2678275	20541712.00
2011/11/23	3.71	3.78	3.68	3.71	1616495	12540548.00
2011/11/24	3.68	3.76	3.65	3.73	1364266	10526970.00
2011/11/25	3.76	3.84	3.73	3.75	1894790	14856852.00
2011/11/28	3.76	3.78	3.73	3.76	1648078	12854282.00
2011/11/29	3.79	3.84	3.77	3.81	2371107	18739144.00
2011/11/30	3.82	3.85	3.54	3.59	2306008	17663208.00
2011/12/01	3.79	3.84	3.62	3.65	3313731	25692724.00
2011/12/02	3.62	3.67	3.48	3.54	2355165	17312920.00
2011/12/05	3.54	3.55	3.45	3.46	1383680	10043537.00
2011/12/06	3.46	3.50	3.44	3.49	708941	5121334.00
2011/12/07	3.51	3.53	3.46	3.50	731128	5316386.00
2011/12/08	3.51	3.55	3.46	3.50	725665	5292054.00
2011/12/09	3.50	3.52	3.47	3.50	782956	5684821.00
2011/12/12	3.51	3.52	3.49	3.50	526716	3839076.00
2011/12/13	3.50	3.51	3.34	3.39	1373630	9712558.00
2011/12/14	3.39	3.43	3.30	3.31	1108282	7776524.00
2011/12/15	3.33	3.36	3.25	3.30	1245266	8587848.00
2011/12/16	3.28	3.37	3.27	3.37	934154	6472431.00
2011/12/19	3.37	3.41	3.32	3.40	1152590	8106619.00
2011/12/20	3.40	3.42	3.35	3.36	1160901	8174906.00
2011/12/21	3.39	3.41	3.25	3.26	812084	5646780.00
