600400 红豆股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.96	4.96	4.87	4.89	1619130	8066180.00
2011/10/11	5.00	5.06	4.85	4.91	2296337	11517175.00
2011/10/12	4.88	5.15	4.86	5.15	5920498	30432354.00
2011/10/13	5.12	5.27	5.11	5.17	5106000	26945044.00
2011/10/14	5.18	5.41	5.08	5.33	10626180	56803608.00
2011/10/17	5.28	5.58	5.24	5.53	17136817	93980168.00
2011/10/18	5.43	5.60	5.38	5.43	13152178	73113216.00
2011/10/19	5.47	5.49	5.28	5.43	8980573	49002740.00
2011/10/20	5.39	5.47	5.31	5.41	9114488	49912432.00
2011/10/21	5.41	5.46	5.35	5.39	3805739	20832656.00
2011/10/24	5.36	5.44	5.11	5.43	7925851	42650940.00
2011/10/25	5.43	5.63	5.43	5.61	29006600	162686144.00
2011/10/26	5.51	5.58	5.49	5.53	11042292	61875044.00
2011/10/27	5.52	5.53	5.33	5.38	9332468	51237356.00
2011/10/28	5.44	5.50	5.40	5.48	6299920	34773356.00
2011/10/31	5.49	5.60	5.41	5.58	11604673	64939300.00
2011/11/01	5.52	5.74	5.51	5.63	16403894	93327336.00
2011/11/02	5.55	5.62	5.43	5.60	10627384	59566872.00
2011/11/03	5.60	5.80	5.54	5.65	20140427	115402240.00
2011/11/04	5.65	5.70	5.53	5.62	9156253	52046900.00
2011/11/07	5.59	5.63	5.49	5.53	5314160	29918430.00
2011/11/08	5.49	5.54	5.39	5.40	5462545	30209522.00
2011/11/09	5.40	5.50	5.36	5.50	3805843	20960016.00
2011/11/10	5.41	5.45	5.35	5.36	4973620	27142372.00
2011/11/11	5.35	5.41	5.25	5.28	3608088	19504698.00
2011/11/14	5.33	5.43	5.31	5.40	4491690	24510554.00
2011/11/15	5.41	5.55	5.39	5.53	6948155	38619940.00
2011/11/16	5.54	5.56	5.28	5.33	6037372	33076968.00
2011/11/17	5.33	5.37	5.19	5.21	5715365	30405904.00
2011/11/18	5.24	5.24	5.09	5.11	3134600	16365783.00
2011/11/21	5.12	5.17	5.07	5.16	1839536	9550700.00
2011/11/22	5.16	5.18	5.11	5.16	2204903	11511500.00
2011/11/23	5.18	5.20	5.08	5.08	1566601	8130732.00
2011/11/24	5.07	5.11	4.95	5.04	2124094	10828726.00
2011/11/25	5.03	5.09	4.98	4.99	2148930	10950490.00
2011/11/28	5.02	5.04	4.98	5.03	1553551	7891234.00
2011/11/29	5.08	5.19	5.04	5.18	3755689	19503962.00
2011/11/30	5.19	5.19	4.86	4.95	4228541	21285768.00
2011/12/01	5.10	5.12	5.01	5.03	2921570	15006844.00
2011/12/02	5.04	5.05	4.91	4.97	1933825	9744040.00
2011/12/05	4.97	4.97	4.53	4.62	5033900	23842136.00
2011/12/06	4.61	4.67	4.56	4.65	1478989	6947671.00
