600406 国电南瑞 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	16.36	16.59	16.18	16.26	2060361	72104448.00
2011/10/11	16.46	16.68	15.88	15.98	1581518	54994356.00
2011/10/12	15.92	16.31	15.75	16.26	3211031	110932624.00
2011/10/13	16.25	16.27	15.98	16.07	4255801	146549872.00
2011/10/14	16.02	16.02	14.74	14.85	12552627	404787264.00
2011/10/17	14.86	15.15	14.72	14.95	5700479	182906592.00
2011/10/18	14.87	14.94	14.73	14.88	5205286	165261776.00
2011/10/19	14.92	14.94	14.42	14.46	7571756	236162416.00
2011/10/20	14.36	14.36	13.75	14.24	4583104	137593232.00
2011/10/21	14.13	14.70	13.99	14.25	3562492	110003864.00
2011/10/24	14.28	14.77	14.28	14.74	3475846	109151416.00
2011/10/25	14.74	15.51	14.65	15.19	4411033	143419520.00
2011/10/26	15.20	15.96	15.20	15.65	7064937	237944624.00
2011/10/27	15.77	15.93	15.42	15.56	1917030	64226736.00
2011/10/28	15.84	16.18	15.80	15.93	3790289	129442816.00
2011/10/31	15.94	16.37	15.89	16.09	2733195	94514768.00
2011/11/01	15.98	16.47	15.87	15.98	2789140	96356712.00
2011/11/02	15.75	16.45	15.65	16.37	4869470	169128032.00
2011/11/03	16.61	16.77	16.51	16.60	6038325	215082480.00
2011/11/04	16.84	16.93	16.61	16.63	3307817	118748304.00
2011/11/07	16.56	16.57	16.17	16.33	6117479	213659392.00
2011/11/08	16.33	17.15	16.15	17.12	5168300	183531360.00
2011/11/09	17.14	17.32	16.99	17.20	3410842	124804768.00
2011/11/10	17.20	17.23	17.00	17.20	2705758	99228872.00
2011/11/11	17.22	17.27	16.99	17.06	4075287	149204032.00
2011/11/14	17.18	17.47	17.18	17.40	3836737	142018512.00
2011/11/15	17.27	17.54	17.08	17.13	3735234	138291184.00
2011/11/16	17.14	17.42	16.61	16.64	3736237	135213616.00
2011/11/17	16.44	16.78	16.42	16.42	2427998	85908320.00
2011/11/18	16.27	16.70	15.88	16.10	5122710	177615952.00
2011/11/21	15.92	16.45	15.92	16.10	6727747	234485936.00
2011/11/23	16.19	16.77	16.19	16.46	8929075	315305248.00
2011/11/24	16.37	16.71	16.34	16.61	3634945	129066536.00
2011/11/25	16.56	16.86	16.56	16.62	2498019	89651064.00
2011/11/28	16.58	17.32	16.57	17.09	4185095	152427280.00
2011/11/29	17.09	17.32	16.94	16.99	2634617	96152408.00
2011/11/30	16.92	17.15	16.53	16.84	3597298	129494584.00
2011/12/01	17.08	17.18	16.85	17.03	3777468	137803088.00
2011/12/02	17.03	17.07	16.71	16.73	2597041	93971104.00
2011/12/05	16.77	16.95	15.94	16.32	2096656	73985472.00
2011/12/06	15.96	16.61	15.96	16.40	2484160	87004880.00
2011/12/07	16.40	16.65	16.40	16.55	2066230	73122672.00
2011/12/08	16.46	16.67	16.15	16.32	2608708	91381832.00
2011/12/09	16.31	16.38	15.91	16.07	1873904	64605912.00
2011/12/12	15.93	16.15	15.80	15.81	1520785	51773580.00
2011/12/13	15.87	15.89	15.71	15.73	2105988	71230360.00
2011/12/14	15.73	16.08	15.71	15.80	1414457	48059488.00
2011/12/15	15.80	15.89	15.37	15.45	2148238	71543600.00
2011/12/16	15.46	15.94	15.31	15.87	2999255	100076344.00
2011/12/19	15.89	15.89	14.94	15.15	8237710	272105952.00
2011/12/20	15.42	15.69	15.32	15.42	2035777	67600504.00
2011/12/21	15.65	15.80	14.11	14.99	7792881	244496736.00
2011/12/22	14.46	15.44	14.46	15.15	3373882	109333760.00
2011/12/23	15.23	15.56	15.15	15.32	2739894	90192856.00
2011/12/26	15.32	15.60	14.94	15.43	1776962	58647884.00
2011/12/27	15.53	15.53	14.94	15.02	3997874	128923848.00
2011/12/28	14.94	15.04	14.41	14.70	3172621	100655648.00
2011/12/29	14.89	14.89	14.39	14.40	4136276	128900296.00
2011/12/30	14.40	14.85	14.40	14.56	3762594	117957896.00
2012/01/04	14.63	15.44	14.63	14.96	4677541	151325440.00
2012/01/05	15.83	15.83	14.37	14.85	5997370	189233104.00
2012/01/06	14.93	14.99	14.13	14.95	5691117	176787376.00
2012/01/09	14.94	15.08	14.47	15.08	5515255	174889568.00
2012/01/10	15.04	15.80	14.92	15.41	8088379	266533280.00
2012/01/11	15.65	15.65	15.32	15.55	4128595	137116832.00
2012/01/12	15.55	15.75	15.23	15.33	4492546	148623360.00
2012/01/13	15.31	15.41	14.75	14.82	3756444	120407704.00
2012/01/16	14.66	14.66	13.31	13.32	11753213	345501216.00
2012/01/17	13.32	13.89	12.42	13.62	12859455	360041984.00
2012/01/18	13.61	13.84	12.50	12.64	9728878	274370624.00
2012/01/19	12.65	13.61	12.61	13.47	4632505	129799840.00
2012/01/20	13.49	13.80	13.18	13.71	4105444	119604928.00
2012/01/30	13.79	13.94	13.52	13.63	3567265	104733776.00
2012/01/31	13.76	13.76	13.31	13.51	3197160	92005728.00
2012/02/01	13.51	13.67	13.32	13.44	2414707	69756664.00
2012/02/02	13.42	13.56	13.32	13.53	6043080	173868512.00
2012/02/03	13.56	14.35	13.51	14.23	8862717	266860992.00
2012/02/06	14.42	14.93	14.42	14.70	8300305	261288000.00
2012/02/07	14.76	14.79	14.35	14.54	4382613	136605424.00
2012/02/08	14.54	14.93	14.50	14.92	4951474	156662432.00
2012/02/09	14.94	15.25	14.81	15.04	5711595	184605360.00
2012/02/10	14.96	15.18	14.87	14.97	3082775	98717064.00
2012/02/13	14.85	15.18	14.73	15.00	5294278	169494176.00
2012/02/14	15.03	15.12	14.84	14.88	3004443	96034776.00
2012/02/15	14.83	14.98	14.65	14.80	6341937	201032848.00
2012/02/16	14.80	15.07	14.56	14.68	4170107	131864432.00
2012/02/17	14.80	14.94	14.58	14.73	3181981	100404336.00
2012/02/20	14.94	15.40	14.86	15.21	7975896	259248960.00
2012/02/21	15.23	15.51	15.09	15.39	5501933	180658848.00
2012/02/22	15.39	15.82	15.39	15.60	4498546	150612448.00
2012/02/24	15.67	16.41	15.65	16.04	8095062	277700800.00
2012/02/27	16.17	16.37	15.88	16.09	7240959	248871568.00
2012/02/28	16.07	16.20	15.94	15.98	3189719	109430008.00
2012/02/29	15.93	15.97	15.70	15.87	5060861	171642720.00
2012/03/01	15.87	15.96	15.77	15.85	2509666	85191760.00
2012/03/02	15.92	16.03	15.82	16.00	3233209	110059904.00
2012/03/05	16.13	16.13	15.74	15.96	4966739	168540192.00
2012/03/06	15.91	15.93	15.65	15.71	3629616	122501112.00
2012/03/07	15.62	15.63	15.22	15.39	6655807	219410896.00
2012/03/08	15.39	15.53	15.23	15.25	6717945	220422320.00
2012/03/09	15.36	15.49	15.10	15.28	11789990	384748192.00
2012/03/12	15.32	15.65	15.29	15.57	8751725	289734240.00
2012/03/13	15.61	15.62	15.23	15.37	7859058	258497360.00
2012/03/14	15.41	15.73	14.95	15.04	12013514	397302304.00
2012/03/15	14.97	15.27	14.89	15.03	5060379	162937872.00
2012/03/16	15.13	15.22	14.70	15.17	5556704	178234256.00
2012/03/19	15.29	15.44	15.17	15.43	6442074	211558960.00
2012/03/20	15.39	15.40	14.85	14.92	6173288	199432320.00
2012/03/21	14.92	15.01	14.23	14.65	6391304	200275632.00
2012/03/22	14.66	14.82	14.41	14.44	4470820	139206240.00
2012/03/23	14.44	14.56	14.23	14.30	4097248	126473568.00
2012/03/26	14.27	14.58	14.23	14.56	2567739	79369584.00
2012/03/27	14.58	14.65	14.49	14.65	3333628	104175624.00
2012/03/28	14.61	14.65	14.34	14.45	3212058	99747144.00
2012/03/29	14.42	14.86	14.32	14.67	5043393	158172048.00
2012/03/30	14.84	14.84	14.62	14.74	3060635	96523264.00
2012/04/05	14.39	14.82	14.10	14.76	5081966	105582640.00
2012/04/06	14.75	14.75	14.19	14.36	8834648	182471568.00
2012/04/09	14.20	14.52	13.89	14.44	6605177	132826184.00
