600410 华胜天成 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.84	10.97	10.64	10.72	3632043	48196196.00
2011/10/11	10.91	11.02	10.17	10.31	5113428	66653596.00
2011/10/12	10.24	10.68	10.18	10.66	6350076	81678488.00
2011/10/13	10.65	10.78	10.49	10.61	6721323	87854424.00
2011/10/14	10.61	10.63	10.10	10.18	8536961	107849648.00
2011/10/17	10.24	10.91	10.14	10.88	11382257	146585248.00
2011/10/18	11.06	11.63	11.06	11.23	34358119	479575904.00
2011/10/19	11.05	11.37	10.92	11.22	15000479	205396320.00
2011/10/20	11.18	11.23	10.58	10.83	10321781	137500032.00
2011/10/21	10.86	11.15	10.83	10.96	10905276	147240352.00
2011/10/24	10.99	11.12	10.21	11.10	13516203	178417520.00
2011/10/25	11.12	11.78	10.99	11.59	25799501	363866016.00
2011/10/26	11.46	11.78	11.39	11.47	17658447	250284784.00
2011/10/27	11.47	11.91	11.43	11.57	15631045	223418848.00
2011/10/28	11.70	11.83	11.50	11.76	14276028	204512704.00
2011/10/31	11.58	11.90	11.49	11.78	14120746	202634176.00
2011/11/01	11.70	12.12	11.59	11.90	17328777	252890160.00
2011/11/02	11.71	12.60	11.63	12.38	31020039	463004224.00
2011/11/03	12.42	12.88	12.09	12.12	26882131	409588288.00
2011/11/04	12.16	12.25	11.93	12.08	11777373	174418176.00
2011/11/07	12.08	12.18	11.91	12.01	8010305	118166696.00
2011/11/08	11.98	12.17	11.65	11.82	10456658	152968016.00
2011/11/09	11.83	12.13	11.65	12.09	10071662	147263520.00
2011/11/10	11.98	12.33	11.91	11.93	15411774	229501664.00
2011/11/11	12.01	12.03	11.71	11.78	7733398	112346800.00
2011/11/14	11.93	12.19	11.93	12.16	8922816	131997128.00
2011/11/15	12.14	12.38	12.09	12.37	11321769	169964928.00
2011/11/16	12.49	12.87	12.00	12.08	20808107	319312224.00
2011/11/17	12.05	12.22	11.73	11.88	11367781	166763984.00
2011/11/18	11.75	11.76	11.26	11.31	9533383	134241328.00
2011/11/21	11.38	11.45	11.25	11.33	5415732	75358696.00
2011/11/22	11.22	11.40	11.00	11.25	7871826	108028328.00
2011/11/23	11.27	11.37	11.01	11.06	5605457	76760144.00
2011/11/24	10.98	11.41	10.90	11.33	11007527	151430272.00
2011/11/25	11.49	11.70	11.10	11.17	13757981	193537120.00
2011/11/28	11.13	11.23	10.74	10.88	7496167	100695024.00
