600419 天润乳业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.60	10.83	10.60	10.81	367025	3949825.00
2011/10/11	11.08	11.11	10.78	10.80	482949	5281984.00
2011/10/12	10.81	11.22	10.60	11.13	527710	5817456.00
2011/10/13	11.14	11.30	11.06	11.24	478980	5380425.00
2011/10/14	11.19	11.23	11.09	11.19	161000	1795677.00
2011/10/17	11.29	11.56	11.11	11.55	757440	8641160.00
2011/10/18	11.53	12.13	11.48	11.76	2088489	24896476.00
2011/10/19	11.68	12.12	11.68	11.94	1647635	19758320.00
2011/10/20	11.99	12.05	11.70	11.90	1125463	13322182.00
2011/10/21	12.09	12.50	11.88	12.49	2944387	36357372.00
2011/10/25	11.99	12.19	11.87	11.87	2059801	24534080.00
2011/10/26	11.71	11.90	11.46	11.74	1812991	21194338.00
2011/10/27	11.67	11.86	11.61	11.69	739196	8662201.00
2011/10/28	11.73	11.95	11.63	11.83	863327	10172454.00
2011/10/31	11.83	12.34	11.78	12.09	1139235	13781999.00
2011/11/01	12.09	12.09	11.86	11.88	591719	7071530.00
2011/11/02	11.85	11.92	11.55	11.91	643748	7599148.00
2011/11/03	11.90	12.06	11.75	11.80	1081820	12891218.00
2011/11/04	11.80	11.92	11.76	11.91	602215	7123850.00
2011/11/07	11.87	12.29	11.87	12.26	1070771	12991887.00
2011/11/08	12.28	12.40	12.10	12.12	897061	10975610.00
2011/11/09	12.11	12.73	12.04	12.70	2166819	27202784.00
2011/11/10	12.58	12.79	12.37	12.49	1066702	13368313.00
2011/11/11	12.56	12.72	12.21	12.28	824460	10285997.00
2011/11/14	12.31	12.44	12.08	12.34	939110	11519088.00
2011/11/15	12.30	12.90	12.30	12.70	1300176	16475921.00
2011/11/16	12.72	12.72	12.31	12.40	937368	11691133.00
2011/11/17	12.37	12.54	12.34	12.43	514293	6388892.00
2011/11/18	12.47	12.52	11.81	11.81	857900	10373765.00
2011/11/21	11.81	11.95	11.57	11.68	462306	5390050.00
2011/11/22	11.58	11.73	11.58	11.67	388535	4522083.00
2011/11/23	11.59	11.72	11.54	11.67	285421	3317684.00
2011/11/24	11.65	11.79	11.60	11.68	269650	3140089.00
2011/11/25	11.81	11.81	11.36	11.43	330600	3825774.00
2011/11/28	11.39	11.54	11.18	11.24	312706	3538236.00
2011/11/29	11.23	11.48	11.23	11.31	309338	3499958.00
