600422 昆药集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.00	13.08	12.49	12.68	670737	9209584.00
2011/10/11	12.97	13.28	12.43	12.63	1628204	22661264.00
2011/10/12	12.43	13.37	12.28	13.34	1801043	25519200.00
2011/10/13	13.23	14.18	13.18	13.87	3297210	49120776.00
2011/10/14	13.87	14.04	13.71	13.94	1515852	22612156.00
2011/10/17	13.78	13.81	13.14	13.76	6731963	97127264.00
2011/10/18	13.39	13.61	13.20	13.24	1663268	23944324.00
2011/10/19	13.20	13.45	13.08	13.31	976400	13988022.00
2011/10/20	13.36	13.36	12.83	12.98	865105	12119235.00
2011/10/21	12.95	13.07	12.74	13.00	656742	9168817.00
2011/10/24	13.00	13.36	12.80	13.28	1517176	21557868.00
2011/10/25	13.28	14.21	13.16	14.07	3327096	49187456.00
2011/10/26	13.97	14.61	13.97	14.33	3649054	56034628.00
2011/10/27	14.33	14.53	13.78	14.03	2589667	39191424.00
2011/10/28	14.11	14.53	13.99	14.51	3989109	60787796.00
2011/10/31	14.45	14.67	14.09	14.34	2520802	38650976.00
2011/11/01	14.13	14.40	13.94	14.37	2643403	40167752.00
2011/11/02	14.21	14.49	13.86	14.29	3241692	49128720.00
2011/11/03	14.40	15.00	14.29	14.39	3865788	60754452.00
2011/11/04	14.56	14.77	14.08	14.21	3133602	48100656.00
2011/11/07	14.18	14.36	14.04	14.14	1197659	18260184.00
2011/11/09	13.98	14.26	13.58	14.13	2500849	37303156.00
2011/11/10	13.93	14.23	13.81	13.95	1360836	20492184.00
2011/11/11	13.96	14.11	13.64	13.67	1720139	25528872.00
2011/11/14	13.83	14.30	13.70	14.29	3294908	49687700.00
2011/11/15	14.27	14.31	14.06	14.26	1851436	28177644.00
2011/11/16	14.28	14.58	14.18	14.46	3513447	54068064.00
2011/11/17	14.51	15.18	14.43	15.16	7984463	126616808.00
2011/11/18	15.12	15.52	14.76	14.94	5384855	86589776.00
2011/11/21	15.05	15.16	14.58	14.94	4461747	71050896.00
2011/11/22	14.68	15.37	14.67	15.13	5162423	83011640.00
2011/11/23	15.18	15.18	14.23	14.80	4975151	78050496.00
2011/11/24	14.38	14.81	14.32	14.61	2566765	40107072.00
2011/11/25	14.57	14.63	14.16	14.35	2960673	45565460.00
2011/11/28	14.41	14.98	14.15	14.98	3385088	52887636.00
2011/11/29	14.89	15.28	14.86	15.11	4354826	69913048.00
2011/11/30	15.13	15.13	14.07	14.73	3405626	53392884.00
2011/12/01	15.04	15.77	14.88	15.31	5474279	89702744.00
2011/12/02	15.28	16.03	15.13	15.78	7479186	125166528.00
2011/12/05	15.89	16.56	14.45	14.84	8745728	145905968.00
2011/12/06	14.47	14.66	13.93	14.45	3807194	58377276.00
2011/12/07	14.29	14.67	14.12	14.35	2509996	38677640.00
2011/12/08	14.29	14.85	14.09	14.79	2550605	39779988.00
2011/12/09	14.64	14.77	14.23	14.31	1600220	24736512.00
2011/12/12	14.13	14.44	14.02	14.30	1278054	19500908.00
2011/12/13	14.16	14.30	13.78	14.17	1681367	25465994.00
2011/12/14	13.98	14.27	13.23	13.53	2785369	40827664.00
2011/12/15	13.38	13.77	12.90	13.63	2287886	32599064.00
