600425 青松建化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.79	6.80	6.59	6.63	2796043	39002088.00
2011/10/11	6.89	6.98	6.63	6.71	5288757	75051072.00
2011/10/12	6.73	7.08	6.60	7.07	7406805	106858752.00
2011/10/13	7.06	7.44	7.01	7.34	11100950	168426608.00
2011/10/14	7.35	7.56	7.27	7.49	9310264	142531568.00
2011/10/17	7.49	7.67	7.33	7.40	8662974	134127896.00
2011/10/18	7.33	7.33	7.08	7.08	5670306	84259944.00
2011/10/19	7.15	7.19	6.76	7.05	3122215	45942288.00
2011/10/20	6.99	6.99	6.68	6.77	5264310	74046920.00
2011/10/21	6.77	6.87	6.58	6.72	3412246	47762384.00
2011/10/24	6.73	6.92	6.53	6.89	4721516	66178992.00
2011/10/25	6.93	7.11	6.77	7.10	5267364	76270688.00
2011/10/26	7.07	7.46	7.00	7.21	9216810	139328912.00
2011/10/27	7.24	7.38	7.19	7.25	7492515	113298096.00
2011/10/28	7.37	7.49	7.31	7.41	8473300	129993328.00
2011/10/31	7.55	7.61	7.36	7.44	7552939	116870984.00
2011/11/01	7.37	7.43	7.28	7.36	5639434	85954064.00
2011/11/02	7.25	7.38	7.15	7.35	6058089	91260768.00
2011/11/03	7.41	7.55	7.38	7.46	11634230	180210080.00
2011/11/04	7.55	7.55	7.37	7.46	5046145	77948328.00
2011/11/07	7.45	7.47	7.23	7.28	7652291	116553024.00
2011/11/08	7.33	7.37	7.05	7.09	5277823	78992344.00
2011/11/09	7.11	7.25	7.08	7.25	5768716	85812544.00
2011/11/10	7.17	7.18	7.05	7.06	5064920	74805488.00
2011/11/11	7.03	7.27	7.03	7.25	8133880	120894040.00
2011/11/14	7.24	7.28	7.13	7.27	17818939	266109712.00
2011/11/15	7.23	7.36	7.19	7.30	10814307	163506928.00
2011/11/16	7.30	7.34	6.93	7.04	10511950	155303392.00
2011/11/17	7.00	7.05	6.81	6.92	8258275	118299512.00
2011/11/18	6.83	6.88	6.62	6.73	9313631	130278376.00
2011/11/21	6.66	6.74	6.56	6.66	5626169	77908112.00
2011/11/22	6.62	6.73	6.53	6.66	7161902	98754456.00
2011/11/23	6.67	6.70	6.47	6.53	6940500	94614264.00
2011/11/24	6.47	6.55	6.31	6.54	5348178	71684760.00
2011/11/25	6.44	6.64	6.44	6.48	3920353	53501280.00
2011/11/28	6.57	6.60	6.37	6.49	5905307	79553280.00
