600435 北方导航 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.09	9.19	8.74	8.76	2737733	24656820.00
2011/10/11	8.91	9.07	8.62	8.72	2400920	21529740.00
2011/10/12	8.67	8.95	8.56	8.94	3535040	31771636.00
2011/10/13	8.97	9.42	8.88	9.38	7495276	70108552.00
2011/10/14	9.45	9.45	9.13	9.42	5549676	52276488.00
2011/10/17	9.38	9.42	9.26	9.40	2551408	24200500.00
2011/10/18	9.34	9.37	9.12	9.34	2802416	26247678.00
2011/10/19	9.32	9.54	9.14	9.33	5752761	54504996.00
2011/10/20	9.22	9.25	8.92	9.19	4394874	40400992.00
2011/10/21	9.07	9.43	8.97	9.11	6784867	62751812.00
2011/10/24	9.02	9.31	8.55	8.98	8219160	74597568.00
2011/10/25	8.99	9.08	8.71	9.04	6151029	55789476.00
2011/10/26	8.95	9.15	8.90	9.03	4560429	41964504.00
2011/10/27	9.01	9.15	8.96	9.00	3304084	30393704.00
2011/10/28	9.08	9.55	9.03	9.49	10558890	100245024.00
2011/10/31	9.45	9.48	9.30	9.39	5739119	54673136.00
2011/11/01	9.29	9.42	9.26	9.31	4439265	42026652.00
2011/11/02	9.13	9.58	8.96	9.50	8899887	84190952.00
2011/11/03	9.51	9.70	9.42	9.43	9764495	95014656.00
2011/11/04	9.47	9.69	9.39	9.64	7235410	70123784.00
2011/11/07	9.55	9.64	9.49	9.54	4826589	46872704.00
2011/11/08	9.54	9.78	9.43	9.45	5874307	57339088.00
2011/11/09	9.40	9.64	9.40	9.58	4997710	48381188.00
2011/11/10	9.48	9.56	9.30	9.31	5749801	54945564.00
2011/11/11	9.35	9.39	9.15	9.30	5295172	49716424.00
2011/11/14	9.35	9.60	9.32	9.53	6466739	62295700.00
2011/11/15	9.50	9.64	9.45	9.60	7433836	72263944.00
2011/11/16	9.68	9.95	9.48	9.66	14615166	144051152.00
2011/11/17	9.63	9.92	9.53	9.88	14089314	139771936.00
2011/11/18	9.76	9.83	9.32	9.51	8656465	84218008.00
2011/11/21	9.39	9.46	9.09	9.23	4516868	42268760.00
2011/11/22	9.11	9.15	8.89	9.06	3278374	30113100.00
2011/11/23	9.07	9.15	8.96	9.00	1906681	17515744.00
2011/11/24	8.93	9.00	8.75	8.84	3175503	28616116.00
2011/11/25	8.84	8.91	8.71	8.76	2487160	22302892.00
2011/11/28	8.83	8.87	8.75	8.84	1980196	17740308.00
2011/11/29	8.90	9.05	8.85	9.04	3071008	27984724.00
2011/11/30	9.04	9.04	8.37	8.49	4114643	36392364.00
2011/12/01	8.82	8.87	8.59	8.63	4593346	40733960.00
2011/12/02	8.54	8.62	8.05	8.22	5203246	43803576.00
2011/12/05	8.09	8.19	8.03	8.10	2649078	21831208.00
2011/12/06	8.16	8.59	8.06	8.32	4233816	35591196.00
2011/12/07	8.25	8.39	8.14	8.20	3132189	26244872.00
2011/12/08	8.21	8.29	7.95	8.28	4933584	41060560.00
2011/12/09	8.20	8.36	8.13	8.35	2987350	25168772.00
2011/12/12	8.38	8.98	8.23	8.82	11964816	105714576.00
2011/12/13	8.65	8.83	8.20	8.22	8195557	70923328.00
2011/12/14	8.17	8.17	7.60	7.62	5049896	40226480.00
2011/12/15	7.55	7.59	7.05	7.08	4097589	30260464.00
2011/12/16	7.08	7.32	6.95	7.31	2562122	18683250.00
