600436 片仔癀 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	55.84	56.61	55.55	55.71	230289	14253682.00
2011/10/11	56.32	57.55	56.01	56.32	472272	29283410.00
2011/10/12	57.14	60.27	56.60	59.83	1895633	122286792.00
2011/10/13	59.01	61.48	59.01	60.82	1300195	87092160.00
2011/10/14	60.77	61.31	60.35	60.90	722887	48579832.00
2011/10/17	61.14	61.38	60.10	60.71	488226	32671046.00
2011/10/18	60.27	60.93	59.74	60.14	601065	39935500.00
2011/10/19	60.14	60.96	59.40	60.83	431279	28640284.00
2011/10/20	60.69	61.02	59.23	60.70	631567	41968548.00
2011/10/21	60.94	63.14	60.27	62.70	1063583	72841032.00
2011/10/24	62.42	65.61	62.27	65.25	1116206	80002560.00
2011/10/25	65.29	65.49	63.76	65.01	834383	59707984.00
2011/10/26	63.94	65.84	63.94	64.53	567241	40754936.00
2011/10/27	64.74	65.82	64.23	64.34	572041	41124072.00
2011/10/28	64.94	65.79	64.18	65.05	573097	41291076.00
2011/10/31	64.78	66.09	64.66	66.03	711308	51477312.00
2011/11/01	65.74	66.55	65.28	65.87	569237	41526556.00
2011/11/02	65.05	68.09	64.61	67.61	661222	48766544.00
2011/11/03	67.59	68.35	66.53	66.71	657610	48989416.00
2011/11/04	66.71	67.22	65.94	66.36	370571	27309308.00
2011/11/07	66.05	67.27	66.01	67.23	361875	26824448.00
2011/11/08	67.48	68.00	66.57	67.13	384219	28693704.00
2011/11/09	67.10	67.48	66.61	67.38	264559	19637296.00
2011/11/10	68.08	72.87	68.05	69.22	1479953	115756784.00
2011/11/11	69.28	71.38	69.03	69.33	820883	63889392.00
2011/11/14	70.42	70.58	69.22	70.05	792004	61278472.00
2011/11/15	70.25	71.70	69.79	71.62	797085	62999944.00
2011/11/16	71.62	71.98	69.87	70.03	546992	42872072.00
2011/11/17	70.09	71.36	69.43	71.03	604731	47275612.00
2011/11/18	70.81	71.28	70.27	71.06	651961	51331496.00
2011/11/21	71.14	74.44	71.07	73.31	1137226	92136864.00
2011/11/22	73.31	74.26	72.49	73.41	589340	48058568.00
2011/11/23	73.14	73.95	72.94	73.74	482857	39550352.00
2011/11/24	73.66	74.27	73.18	74.18	529412	43561192.00
2011/11/25	74.53	74.89	72.55	73.89	869892	70767080.00
2011/11/29	73.54	73.69	70.66	70.67	2090012	165938816.00
2011/11/30	69.83	70.27	67.38	69.27	1755441	133513560.00
2011/12/01	70.27	70.87	68.77	68.97	828213	64082680.00
2011/12/02	68.24	69.38	67.94	69.29	412590	31373708.00
2011/12/05	69.29	69.41	66.36	66.46	504127	37883820.00
2011/12/06	66.13	66.61	64.73	66.30	614283	44464536.00
2011/12/07	66.35	67.92	65.94	67.55	506800	37889268.00
2011/12/08	68.70	69.49	68.27	68.53	1057841	80819640.00
2011/12/09	67.93	69.01	67.93	68.84	537166	40895260.00
2011/12/12	68.62	69.10	66.54	67.27	286494	21497312.00
2011/12/13	66.81	67.35	66.27	66.34	293644	21701576.00
2011/12/14	65.96	66.67	65.48	66.61	206032	15089850.00
2011/12/15	66.62	68.41	65.87	67.47	443635	33184536.00
2011/12/16	67.47	68.96	67.30	68.72	452520	34121312.00
2011/12/19	68.74	69.56	68.24	69.51	689382	52829456.00
2011/12/20	69.54	70.08	67.55	67.64	1068096	81008776.00
2011/12/21	68.01	68.53	66.62	66.70	603871	45270504.00
2011/12/22	65.92	66.59	63.97	65.29	690084	49719156.00
2011/12/23	65.23	65.48	64.37	65.17	613906	44206384.00
2011/12/26	64.65	65.91	64.04	65.85	495431	35497460.00
2011/12/27	65.05	65.48	64.52	64.96	331485	23865104.00
2011/12/28	64.18	64.79	63.14	64.54	665362	46744300.00
2011/12/29	64.19	65.74	64.08	65.44	320082	23085760.00
2011/12/30	65.72	66.96	65.50	66.91	604131	44426580.00
2012/01/04	67.67	67.92	65.92	65.94	309931	22818104.00
2012/01/05	65.92	65.92	63.14	63.74	494404	34926216.00
2012/01/06	61.97	63.74	61.97	63.38	313322	21842332.00
2012/01/09	63.38	63.83	62.34	63.40	1092768	76322944.00
2012/01/10	63.90	65.74	63.31	65.05	1053641	75431824.00
2012/01/11	65.07	65.93	64.69	65.79	604954	43722400.00
2012/01/12	65.44	66.87	65.44	66.78	561079	41213244.00
2012/01/13	66.79	67.02	63.33	64.81	713712	51329112.00
2012/01/16	63.93	64.27	62.54	62.57	649298	45591576.00
2012/01/17	62.66	64.17	60.70	64.09	954265	65435280.00
2012/01/18	64.27	64.44	57.93	57.93	2160658	142957968.00
2012/01/19	56.53	58.51	52.38	58.34	2155329	129986000.00
2012/01/20	56.79	59.78	56.53	59.61	879459	57078832.00
2012/01/30	59.88	60.25	57.92	58.85	290691	18914662.00
2012/01/31	58.85	60.09	58.40	59.77	485723	31906054.00
2012/02/01	59.55	60.96	59.49	60.28	450673	29890344.00
2012/02/02	60.28	60.61	59.84	60.41	302619	20072504.00
2012/02/03	60.34	60.87	59.67	60.61	422066	28079618.00
2012/02/06	60.01	62.28	60.01	61.93	525498	35858136.00
2012/02/07	61.90	62.61	61.22	61.76	482632	33108760.00
2012/02/08	61.76	62.44	61.22	62.27	358161	24474082.00
2012/02/09	62.22	62.67	61.88	62.24	339331	23378740.00
2012/02/10	62.53	62.53	61.74	62.10	228680	15667459.00
2012/02/13	62.01	62.61	61.60	62.15	306613	21042380.00
2012/02/14	62.09	62.70	61.84	62.69	413824	28538196.00
2012/02/15	62.44	62.94	62.24	62.75	413145	28643112.00
2012/02/16	62.93	64.08	62.62	63.74	674629	47362884.00
2012/02/17	63.38	64.07	63.07	63.45	319004	22434988.00
2012/02/20	63.94	64.01	63.32	63.34	279818	19661714.00
2012/02/21	63.35	63.66	62.08	63.21	317417	22037644.00
2012/02/22	63.21	63.61	62.70	63.58	590795	41192600.00
2012/02/23	63.56	63.59	62.83	63.30	517854	36188408.00
2012/02/24	63.14	63.31	62.62	63.07	678035	47131860.00
2012/02/27	63.14	64.51	62.86	63.81	833342	58665676.00
2012/02/28	63.66	64.17	63.14	63.89	609841	43026916.00
2012/02/29	64.08	64.08	62.75	63.31	388297	27176224.00
2012/03/01	63.31	63.34	62.02	62.35	623925	43143168.00
2012/03/02	62.35	62.67	62.02	62.62	597975	41168840.00
2012/03/05	62.65	62.70	61.92	62.09	598620	41081680.00
2012/03/06	62.35	62.41	61.47	61.48	450596	30763328.00
2012/03/07	61.05	61.09	59.74	59.82	1059065	70648608.00
2012/03/08	59.82	60.94	59.48	60.91	1116406	73962568.00
2012/03/09	60.80	63.04	60.70	62.63	1020657	70245992.00
2012/03/12	63.31	63.70	62.52	63.37	894496	62622848.00
2012/03/13	63.41	63.73	62.93	63.37	403524	28207548.00
2012/03/14	63.47	65.05	63.25	63.47	1247929	88533216.00
2012/03/15	63.34	65.30	63.34	65.09	1265418	90449392.00
2012/03/16	65.14	65.81	64.87	65.74	858489	62075908.00
2012/03/19	65.92	66.61	65.23	65.58	662604	48260808.00
2012/03/20	65.41	65.63	63.87	63.90	722435	51645776.00
2012/03/22	63.48	64.14	62.86	63.35	517642	36333852.00
2012/03/23	63.14	63.14	61.96	62.04	434223	29959120.00
2012/03/26	61.92	67.66	61.84	66.24	1210046	87357768.00
2012/03/27	66.44	66.94	65.49	65.94	759661	55637444.00
2012/03/28	65.24	65.73	62.69	63.31	678729	48075696.00
2012/03/29	63.31	63.74	61.49	62.23	560245	38838776.00
2012/03/30	62.06	62.78	61.09	62.50	542323	37088316.00
2012/04/05	61.57	63.87	61.57	63.45	436314	30489882.00
2012/04/06	63.57	64.16	62.99	63.59	530676	37313572.00
2012/04/09	63.92	63.92	62.97	63.22	265117	18550308.00
2012/04/10	63.04	63.31	61.57	62.53	422708	29047170.00
2012/04/11	61.99	63.41	61.97	62.52	261027	18096628.00
2012/04/12	62.75	64.45	62.48	64.08	884981	62436280.00
2012/04/13	64.12	64.92	63.48	64.74	812459	58119520.00
2012/04/16	64.16	64.16	62.78	62.86	923387	64569888.00
2012/04/17	62.91	63.28	62.34	62.34	583267	40343616.00
2012/04/18	62.65	62.77	61.71	62.55	972170	67065160.00
2012/04/19	62.44	62.73	60.70	61.61	886157	60377728.00
2012/04/20	61.19	61.74	60.78	61.62	1159684	78389888.00
2012/04/23	61.48	61.92	60.99	61.23	496081	33647580.00
2012/04/24	61.70	61.70	59.84	60.71	657266	44008528.00
2012/04/25	61.22	62.32	61.22	62.11	1219094	83642584.00
2012/04/26	62.27	62.34	61.47	61.63	436894	29751150.00
2012/04/27	61.83	63.26	61.68	62.56	828610	57309524.00
2012/05/02	63.27	64.95	62.88	64.35	1723292	121751888.00
2012/05/03	64.35	65.25	64.19	64.65	1151847	82674488.00
2012/05/04	64.64	64.64	63.88	64.43	830179	59081120.00
2012/05/07	64.31	67.02	63.90	66.55	1760637	129361320.00
2012/05/09	65.57	66.51	65.07	65.08	658673	47934432.00
2012/05/10	65.00	67.57	65.00	67.31	951496	70465160.00
2012/05/11	67.39	68.35	66.68	67.54	1372169	103281248.00
2012/05/14	67.83	70.51	66.84	68.62	1393759	106088384.00
2012/05/15	68.10	69.40	66.47	67.22	1293009	97030464.00
2012/05/16	66.84	69.29	66.53	67.42	1099823	82832888.00
2012/05/17	67.44	69.20	67.44	67.97	795857	60185848.00
2012/05/18	67.73	68.63	67.22	67.24	741473	55691920.00
2012/05/21	66.88	70.36	66.88	70.27	1274984	97368472.00
2012/05/22	70.08	71.66	69.40	70.38	722540	56628272.00
2012/05/23	70.69	73.90	70.27	73.81	1764187	141619968.00
2012/05/24	73.47	74.87	72.09	72.14	937743	76337920.00
2012/05/25	72.01	73.66	71.15	71.26	854946	68863424.00
2012/05/28	71.01	75.48	70.40	75.29	889389	72382864.00
2012/05/29	75.05	75.83	74.45	74.85	1000313	83689664.00
2012/05/30	74.84	76.34	73.40	74.49	1150582	95727576.00
2012/05/31	74.34	75.05	73.58	74.21	503108	41338024.00
2012/06/01	74.28	77.12	74.21	77.04	1028338	86343824.00
2012/06/04	76.35	77.72	76.16	76.87	991734	84381120.00
2012/06/05	76.87	79.21	76.29	78.87	1196299	103863000.00
2012/06/06	79.47	79.53	76.99	77.04	695387	60103308.00
2012/06/07	78.18	78.18	73.93	76.00	1337074	111773912.00
2012/06/08	75.90	75.90	74.17	74.75	825390	68158776.00
2012/06/11	74.36	80.44	74.36	78.70	1166601	100935288.00
2012/06/12	78.53	83.21	77.88	83.02	1110622	99730480.00
2012/06/13	83.02	83.89	81.28	82.44	1183168	107927600.00
2012/06/14	82.31	84.35	81.66	82.21	996827	91613152.00
2012/06/15	82.09	84.34	78.99	80.46	1644511	147578464.00
2012/06/18	81.21	81.99	79.59	81.20	870829	78128752.00
2012/06/19	81.05	85.07	80.45	84.35	1298554	120498672.00
2012/06/20	84.35	84.35	79.47	79.52	1796223	161128976.00
2012/06/21	79.54	80.42	77.41	79.15	1155433	100306864.00
2012/06/25	78.44	82.56	78.27	80.25	1068820	95366216.00
2012/06/26	79.57	80.24	76.70	79.47	894996	77454672.00
2012/06/27	78.96	80.83	78.47	78.63	855519	75622608.00
2012/06/28	78.27	80.27	78.27	79.47	841477	73936240.00
2012/07/02	82.34	86.96	80.61	86.30	3068076	284312256.00
2012/07/03	86.53	87.02	84.61	85.07	1650447	156773440.00
2012/07/04	85.65	88.10	84.79	85.66	1229008	117862640.00
2012/07/05	85.61	88.27	84.61	87.66	1242297	119609264.00
2012/07/06	87.81	91.60	87.40	90.00	1758855	175087456.00
2012/07/09	89.94	97.22	88.31	94.58	2817763	293178880.00
