600452 涪陵电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.36	10.53	10.32	10.41	392728	4093033.00
2011/10/11	10.58	10.66	10.30	10.44	395679	4161289.00
2011/10/12	10.25	10.75	10.24	10.68	598866	6330026.00
2011/10/13	10.70	10.93	10.54	10.89	650286	7020705.00
2011/10/17	10.89	11.00	10.62	10.96	677077	7368156.00
2011/10/18	10.92	10.93	10.50	10.57	510990	5478194.00
2011/10/19	10.57	10.64	10.40	10.42	224283	2358037.00
2011/10/20	10.41	10.53	9.90	10.09	561300	5685735.00
2011/10/21	10.10	10.10	9.85	9.98	398305	3970524.00
2011/10/24	10.11	10.30	9.98	10.24	451000	4591478.00
2011/10/25	10.24	10.49	10.15	10.43	734889	7617305.00
2011/10/26	10.37	10.73	10.37	10.55	1078460	11392092.00
2011/10/27	10.65	11.20	10.54	10.71	1526861	16521718.00
2011/10/28	10.77	11.03	10.70	10.97	1091721	11805188.00
2011/10/31	10.86	11.15	10.86	10.97	1090042	12013169.00
2011/11/01	10.96	11.15	10.76	11.12	938658	10321481.00
2011/11/02	10.89	11.43	10.86	11.38	1423178	15832624.00
2011/11/03	11.42	11.52	11.24	11.40	2062105	23495872.00
2011/11/04	11.54	11.63	11.40	11.49	2113162	24308960.00
2011/11/07	11.58	11.58	11.23	11.25	1190391	13541056.00
2011/11/08	11.22	11.47	11.22	11.29	978250	11039071.00
2011/11/09	11.38	11.39	11.14	11.31	827876	9310160.00
2011/11/10	11.90	11.90	11.30	11.31	1419737	16293584.00
2011/11/11	11.31	11.48	11.08	11.15	704292	7878328.00
2011/11/14	11.29	11.55	11.25	11.48	984248	11237631.00
2011/11/15	11.46	11.93	11.46	11.78	1656198	19463612.00
2011/11/16	11.78	11.78	11.25	11.37	1169277	13405566.00
2011/11/17	11.38	11.50	11.23	11.42	527837	5997089.00
2011/11/18	11.36	11.48	11.00	11.17	792039	8877607.00
2011/11/21	11.17	11.50	10.97	11.30	2097569	23592064.00
2011/11/22	11.18	11.18	10.85	11.10	1013976	11182190.00
2011/11/23	11.01	11.36	11.01	11.28	1214748	13656153.00
2011/11/24	11.18	11.35	11.00	11.27	631543	7051136.00
2011/11/25	11.28	11.60	11.20	11.51	1952080	22376082.00
2011/11/28	11.51	12.11	11.50	12.10	4682852	55138324.00
2011/11/29	12.01	12.25	11.81	11.96	2881783	34468008.00
2011/11/30	11.95	12.50	11.70	12.10	6862987	83607752.00
2011/12/01	12.50	12.79	12.12	12.18	4454684	54910348.00
2011/12/02	12.09	12.09	11.28	11.31	2497361	28659456.00
2011/12/05	11.24	11.26	10.90	10.97	1342498	14821054.00
2011/12/06	10.96	11.18	10.92	11.07	602624	6659887.00
2011/12/07	11.07	11.15	10.75	11.03	840979	9193385.00
2011/12/08	11.00	11.00	10.50	10.61	726270	7788002.00
2011/12/09	10.59	10.59	10.28	10.48	716881	7477943.00
2011/12/12	10.48	10.67	10.30	10.33	409678	4293783.00
2011/12/13	10.21	10.36	9.98	10.09	727900	7355793.00
2011/12/14	10.00	10.28	10.00	10.03	332030	3364980.00
2011/12/15	10.01	10.24	9.93	10.15	812955	8219618.00
2011/12/16	10.20	10.34	9.99	10.29	789310	8007689.00
2011/12/19	10.20	10.44	10.06	10.39	824871	8462299.00
2011/12/20	10.22	10.55	10.22	10.38	700530	7315077.00
2011/12/21	10.50	10.54	9.95	10.00	580083	5915279.00
2011/12/22	9.86	10.06	9.40	9.81	778910	7664219.00
2011/12/23	9.97	9.97	9.62	9.84	308362	3046088.00
2011/12/26	9.87	9.94	9.65	9.67	391249	3816617.00
2011/12/27	9.50	9.80	9.27	9.28	318186	3029153.00
2011/12/28	9.10	9.24	8.63	8.87	527766	4673222.00
2011/12/29	8.80	8.85	8.66	8.69	400809	3493801.00
2011/12/30	8.79	8.94	8.74	8.90	490599	4348208.00
2012/01/04	8.92	9.04	8.60	8.61	372650	3273862.00
2012/01/05	8.60	8.68	7.75	7.77	984199	7859784.00
2012/01/06	7.46	7.89	7.43	7.60	1039773	7817272.00
2012/01/09	7.60	7.97	7.45	7.96	874383	6831528.00
2012/01/10	7.98	8.49	7.93	8.20	2228841	18208876.00
2012/01/11	8.14	8.33	8.06	8.15	1237707	10143485.00
2012/01/12	8.18	8.97	8.08	8.97	1456891	12814738.00
2012/01/13	9.75	9.75	8.97	9.05	4925544	45579088.00
2012/01/16	8.72	8.74	8.15	8.16	2276488	19122352.00
2012/01/17	8.00	8.62	7.93	8.55	2086901	17516348.00
2012/01/18	8.47	8.68	8.09	8.16	1503775	12665239.00
2012/01/19	8.17	8.34	8.10	8.23	871991	7182359.00
2012/01/20	8.30	8.31	8.15	8.30	680581	5617754.00
2012/01/30	8.23	8.38	8.21	8.30	737541	6115116.00
2012/01/31	8.27	8.46	8.23	8.45	518913	4310579.00
2012/02/01	8.41	8.52	8.35	8.44	788367	6663307.00
2012/02/02	8.51	8.73	8.41	8.69	824311	7065493.00
2012/02/03	8.69	8.75	8.55	8.72	860198	7444893.00
2012/02/06	8.72	8.83	8.60	8.76	874471	7615213.00
2012/02/07	8.65	8.75	8.40	8.49	733765	6236530.00
2012/02/08	8.43	8.64	8.43	8.63	1115569	9560859.00
2012/02/09	8.65	8.90	8.56	8.60	1949410	17004270.00
2012/02/10	8.60	9.17	8.52	8.94	2815678	24986268.00
2012/02/13	8.88	9.26	8.88	9.09	4530451	41026480.00
2012/02/14	9.09	9.10	8.84	8.96	2626254	23546540.00
2012/02/15	8.96	9.08	8.90	9.07	2459696	22166100.00
2012/02/16	9.06	9.46	9.00	9.31	4115507	38079220.00
2012/02/17	9.30	9.34	9.14	9.25	1736762	16012629.00
2012/02/20	9.30	9.37	9.20	9.21	1538117	14274305.00
2012/02/21	9.21	9.23	8.88	9.18	2391035	21605088.00
2012/02/22	9.13	9.27	9.04	9.25	2131135	19590008.00
