600459 贵研铂业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	14.57	14.57	14.28	14.33	703152	13765986.00
2011/10/11	14.61	14.65	14.18	14.29	783245	15419848.00
2011/10/12	14.13	14.64	14.13	14.50	1615032	31864340.00
2011/10/13	14.57	14.89	14.48	14.80	1447373	29108352.00
2011/10/14	14.71	14.77	14.52	14.64	769326	15346873.00
2011/10/17	14.64	14.82	14.57	14.70	627540	12583614.00
2011/10/18	14.70	14.70	14.22	14.23	891837	17446972.00
2011/10/19	14.23	14.32	14.19	14.23	568306	10964855.00
2011/10/20	14.21	14.21	13.71	13.81	995072	18611296.00
2011/10/21	13.83	13.89	13.42	13.57	644161	11736323.00
2011/10/24	13.62	13.83	13.34	13.70	1089830	19895640.00
2011/10/25	13.76	14.28	13.60	14.09	1635601	30860428.00
2011/10/26	13.93	14.81	13.89	14.41	2779652	54431504.00
2011/10/27	14.42	14.54	14.11	14.19	1743641	33690208.00
2011/10/28	14.41	14.57	14.30	14.44	2569524	50339612.00
2011/10/31	14.36	14.50	14.31	14.40	1523637	29845620.00
2011/11/01	14.25	14.45	13.99	14.15	2352404	45210652.00
2011/11/02	13.93	14.25	13.47	14.22	2436783	45535880.00
2011/11/03	14.23	14.86	14.19	14.58	4222876	83977120.00
2011/11/04	14.83	15.76	14.83	15.76	4207195	90565152.00
2011/11/07	16.42	16.42	15.82	15.97	9410467	210880512.00
2011/11/08	15.84	15.97	15.57	15.67	4125392	90083760.00
2011/11/09	15.80	15.97	15.42	15.89	2983169	64784764.00
2011/11/10	15.66	15.77	15.41	15.45	2445142	52924620.00
2011/11/11	15.48	15.71	15.28	15.34	2068892	44225544.00
2011/11/14	15.54	15.96	15.54	15.90	3709215	81455344.00
2011/11/15	15.77	16.01	15.74	15.88	2303625	50707964.00
2011/11/16	15.88	15.88	15.19	15.23	2560106	54861284.00
2011/11/17	15.25	15.43	15.17	15.18	1371509	28858588.00
2011/11/18	14.95	15.05	14.64	14.69	1523261	30843864.00
2011/11/21	14.65	15.08	14.48	14.90	1311420	26624720.00
2011/11/22	14.74	14.89	14.57	14.77	1179222	23711268.00
2011/11/23	14.82	14.83	14.61	14.68	792453	15958926.00
2011/11/24	14.47	14.63	14.23	14.45	1249940	24557196.00
2011/11/25	14.51	14.95	14.46	14.58	1665912	33608484.00
2011/11/28	14.70	14.95	14.47	14.89	1846068	37273020.00
2011/11/29	15.04	15.63	14.95	15.46	3641578	76965096.00
2011/11/30	15.36	15.40	14.67	14.78	2483579	51099420.00
2011/12/01	15.26	15.77	15.22	15.29	3467164	73911224.00
2011/12/02	15.23	15.36	14.89	15.12	1705493	35265608.00
2011/12/05	15.16	15.16	14.24	14.35	1501342	29824900.00
2011/12/06	14.30	14.41	14.03	14.26	866677	16693934.00
2011/12/07	14.36	14.47	14.20	14.32	781276	15197166.00
2011/12/08	14.36	14.38	13.95	14.21	1053454	20265336.00
2011/12/09	14.06	14.23	14.02	14.08	665057	12695117.00
2011/12/12	14.11	14.29	14.08	14.10	708211	13601428.00
2011/12/13	13.89	13.99	13.48	13.55	1001195	18300884.00
2011/12/14	13.52	13.65	13.35	13.40	711232	12825212.00
2011/12/15	13.29	13.40	12.70	12.86	1253532	21436190.00
2011/12/16	12.83	13.16	12.73	13.15	929469	15901886.00
2011/12/19	12.88	13.04	12.64	12.99	901547	15338417.00
2011/12/20	13.00	13.35	12.91	13.22	1242130	21679194.00
2011/12/21	13.35	13.38	12.83	12.86	1090465	18991440.00
2011/12/22	12.99	13.21	12.41	13.03	1476699	25020690.00
2011/12/23	12.88	13.21	12.75	12.98	969069	16704792.00
2011/12/26	12.83	13.09	12.82	12.88	653807	11200048.00
2011/12/27	12.82	12.90	12.48	12.55	714740	11929729.00
2011/12/28	12.29	12.50	12.10	12.38	1012030	16178424.00
2011/12/29	12.29	12.41	12.17	12.29	648729	10427986.00
2011/12/30	12.38	12.58	12.34	12.48	1168842	19044832.00
2012/01/04	12.56	12.69	12.18	12.18	1001702	16303069.00
2012/01/05	12.17	12.18	11.41	11.44	1303359	19685200.00
2012/01/06	11.46	11.61	11.10	11.48	1320617	18988154.00
2012/01/09	11.52	12.05	11.29	12.03	1873696	28437228.00
2012/01/10	11.99	12.70	11.92	12.65	2451403	39617736.00
2012/01/11	12.64	12.70	12.42	12.57	2095254	34480764.00
2012/01/12	12.52	13.15	12.41	12.88	2410098	40628532.00
2012/01/13	12.81	13.12	12.47	12.95	2830017	47884736.00
2012/01/16	12.94	12.94	12.23	12.24	1782449	29479284.00
2012/01/17	12.34	13.18	12.24	13.18	2465943	41765644.00
2012/01/18	14.22	14.22	13.52	13.60	6875941	129811504.00
2012/01/20	13.93	13.97	13.52	13.70	3871745	71505352.00
2012/01/30	13.90	13.90	13.47	13.48	2655267	48811576.00
2012/01/31	13.50	13.73	13.34	13.64	2010851	36436424.00
2012/02/01	13.47	13.61	13.12	13.23	2125212	37784720.00
2012/02/02	13.25	13.55	13.25	13.55	2049252	36731088.00
2012/02/03	13.55	13.63	13.42	13.56	1795300	32535434.00
2012/02/06	13.58	13.77	13.49	13.59	1718549	31383686.00
2012/02/07	13.56	13.58	13.23	13.44	1593300	28306168.00
2012/02/08	13.42	14.28	13.34	14.15	4322606	80934520.00
2012/02/09	14.05	14.16	13.86	13.97	3205394	60549008.00
2012/02/10	14.05	14.18	13.83	13.99	2139002	40480124.00
2012/02/13	13.96	14.21	13.78	14.18	2441345	46411476.00
2012/02/14	14.18	14.18	13.97	14.07	1579256	30002528.00
2012/02/15	14.06	14.41	13.92	14.22	3029936	58381456.00
2012/02/16	14.12	14.34	14.00	14.18	2170708	41615884.00
2012/02/17	14.21	14.29	14.01	14.05	1438438	27497056.00
2012/02/20	14.27	14.28	14.01	14.02	1810003	34687648.00
2012/02/21	14.03	14.12	13.76	14.12	1868967	35195128.00
2012/02/22	14.24	14.27	14.13	14.25	2407506	46337296.00
2012/02/23	14.28	15.34	14.22	14.92	5636097	114638992.00
2012/02/24	14.78	15.03	14.67	15.01	3477648	70751704.00
2012/02/27	15.54	15.60	15.08	15.09	4734527	100114448.00
2012/02/28	14.94	15.10	14.76	15.03	2436110	49911520.00
2012/02/29	15.06	15.52	14.95	15.14	3068337	64629592.00
2012/03/01	14.70	15.06	14.68	14.90	2449444	49942476.00
2012/03/02	15.06	15.52	15.03	15.21	2899521	61163596.00
2012/03/05	15.21	15.77	15.13	15.45	3966723	85073792.00
2012/03/06	15.34	15.34	14.96	15.13	2920628	60719752.00
2012/03/07	14.86	15.08	14.76	14.84	2118905	43278352.00
2012/03/08	14.77	15.13	14.77	15.02	2979579	61101176.00
2012/03/09	15.07	15.17	14.90	15.12	2336308	48222588.00
2012/03/12	15.09	15.54	15.06	15.26	3665903	77468456.00
2012/03/13	15.24	15.28	15.02	15.26	2295371	47735844.00
2012/03/14	15.39	15.48	14.54	14.68	4970464	103289272.00
2012/03/15	14.47	14.71	14.13	14.23	2796324	54700888.00
2012/03/16	14.28	14.55	14.23	14.54	1866260	36599640.00
2012/03/19	14.48	14.92	14.38	14.89	2556347	51312296.00
2012/03/20	14.83	14.86	14.48	14.52	1751181	34971200.00
2012/03/21	14.60	15.37	14.51	15.10	6154230	127198448.00
2012/03/22	15.07	15.10	14.73	14.77	2432905	49498088.00
2012/03/23	14.74	14.74	14.30	14.40	2274155	44800568.00
2012/03/26	14.40	14.58	14.31	14.50	1081796	21245020.00
2012/03/27	14.54	14.80	14.45	14.47	1369325	27319924.00
2012/03/29	13.73	13.73	13.31	13.31	3111719	55792936.00
2012/03/30	13.29	13.44	12.73	13.00	1895758	32734992.00
2012/04/05	13.00	13.35	12.97	13.35	1439440	25242944.00
2012/04/06	13.45	13.49	13.28	13.39	1269367	22659640.00
2012/04/09	13.36	13.46	13.18	13.23	790679	13990672.00
2012/04/10	13.06	13.38	12.87	13.38	1236181	21419986.00
2012/04/11	13.23	13.44	13.11	13.36	938845	16618509.00
2012/04/12	13.39	13.68	13.37	13.65	1801893	32627772.00
2012/04/13	13.71	13.93	13.65	13.79	1638032	30359886.00
2012/04/16	13.61	13.75	13.54	13.63	1075917	19653948.00
2012/04/17	13.52	13.68	13.41	13.48	979878	17740076.00
2012/04/18	13.51	13.88	13.49	13.80	1407971	25922664.00
2012/04/19	13.76	13.92	13.73	13.84	1210893	22491092.00
2012/04/20	13.86	13.97	13.77	13.94	1399439	26197848.00
2012/04/23	14.02	14.18	13.70	13.78	1729788	32617996.00
2012/04/24	13.62	13.80	13.25	13.58	1758164	31724700.00
2012/04/25	13.58	13.76	13.50	13.71	1463805	26767744.00
2012/04/26	13.58	14.27	13.58	14.13	3449560	65162432.00
2012/04/27	14.00	14.13	13.87	13.97	1497076	28234298.00
2012/05/02	14.09	14.89	13.96	14.57	3804914	74996112.00
2012/05/03	14.48	14.69	14.46	14.54	2200491	43730616.00
2012/05/04	14.45	14.77	14.43	14.71	2199723	43827888.00
2012/05/07	14.65	14.74	14.45	14.69	2006925	39870512.00
2012/05/08	14.68	14.74	14.45	14.59	1571757	31164892.00
2012/05/09	14.45	14.51	14.13	14.16	1564411	30418524.00
2012/05/10	14.07	14.29	14.07	14.18	1159806	22313260.00
2012/05/11	14.18	14.37	14.13	14.18	1222804	23616528.00
2012/05/14	14.24	14.35	13.89	13.94	1105689	21165296.00
2012/05/15	13.89	14.08	13.58	14.07	1410778	26146126.00
2012/05/16	13.95	14.06	13.80	13.81	810183	15138785.00
2012/05/17	13.78	14.14	13.78	14.05	1005720	18988548.00
2012/05/18	14.01	14.04	13.74	13.87	691417	12864655.00
2012/05/21	13.88	14.13	13.80	13.99	964753	18133638.00
