600463 空港股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.76	5.76	5.53	5.61	672860	4058423.00
2011/10/11	5.74	5.78	5.58	5.67	455404	2769620.00
2011/10/12	5.61	5.86	5.57	5.85	702658	4351271.00
2011/10/13	5.80	5.90	5.77	5.89	999379	6247398.00
2011/10/14	5.87	5.89	5.75	5.83	541265	3365334.00
2011/10/17	5.86	5.87	5.79	5.86	448729	2801026.00
2011/10/18	5.77	5.86	5.63	5.64	668000	4086121.00
2011/10/19	5.68	5.71	5.60	5.60	613734	3719814.00
2011/10/20	5.60	5.63	5.35	5.41	695900	4067818.00
2011/10/21	5.37	5.43	5.30	5.37	572088	3296158.00
2011/10/24	5.40	5.49	5.34	5.49	595926	3467594.00
2011/10/25	5.43	5.69	5.43	5.69	636427	3805970.00
2011/10/26	5.70	5.77	5.67	5.73	1564622	9570007.00
2011/10/27	5.72	5.80	5.71	5.73	1415489	8716460.00
2011/10/28	5.82	5.93	5.79	5.84	1896848	11854240.00
2011/10/31	5.82	5.85	5.77	5.83	899699	5591499.00
2011/11/01	5.80	5.86	5.73	5.80	1123233	6945977.00
2011/11/02	5.75	5.85	5.69	5.85	1283071	7913118.00
2011/11/03	5.88	5.97	5.86	5.88	1702796	10748892.00
2011/11/04	5.88	6.01	5.87	5.98	1321875	8374277.00
2011/11/07	5.95	5.98	5.88	5.88	898085	5675929.00
2011/11/08	5.90	6.13	5.87	6.02	2408416	15375016.00
2011/11/09	6.05	6.21	5.94	6.07	2852817	18355888.00
2011/11/10	6.01	6.04	5.84	5.85	1564440	9941884.00
2011/11/11	5.87	5.92	5.82	5.91	1632441	10243551.00
2011/11/14	5.97	6.02	5.92	6.00	2125603	13528076.00
2011/11/15	6.01	6.06	5.96	6.06	1254544	8051640.00
2011/11/16	6.03	6.18	5.92	6.07	2286254	14636286.00
2011/11/17	6.05	6.11	5.98	6.06	2021800	13035474.00
2011/11/18	6.00	6.03	5.76	5.91	1271566	7988372.00
2011/11/21	5.91	6.02	5.80	5.93	1109919	6986016.00
2011/11/22	5.90	6.03	5.85	6.00	2668528	16949796.00
2011/11/23	6.00	6.03	5.94	5.94	1893851	12077755.00
2011/11/24	5.85	5.94	5.76	5.85	1155049	7219677.00
