600466 蓝光发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.78	7.81	7.58	7.61	3161687	24286852.00
2011/10/11	7.80	7.90	7.40	7.56	4728911	36172296.00
2011/10/13	7.90	8.32	7.81	8.32	23051335	188479232.00
2011/10/14	8.50	8.97	8.32	8.75	43261668	375979424.00
2011/10/17	8.60	8.78	8.50	8.67	17986851	154979712.00
2011/10/18	8.50	8.56	8.00	8.03	18377671	152181200.00
2011/10/19	8.05	8.32	8.05	8.14	9957374	81480464.00
2011/10/20	8.07	8.13	7.71	7.90	8950607	70103584.00
2011/10/21	7.83	7.90	7.72	7.73	4727149	36788488.00
2011/10/24	7.70	8.12	7.65	8.08	9610864	76224216.00
2011/10/25	8.14	8.27	7.88	8.18	13018717	105481376.00
2011/10/26	8.10	8.89	8.01	8.59	33017355	279138656.00
2011/10/27	8.43	8.76	8.26	8.32	25555994	217031600.00
2011/10/28	8.39	8.48	8.22	8.39	15590736	130480304.00
2011/10/31	8.45	8.46	8.30	8.43	10108095	84687304.00
2011/11/01	8.33	8.64	8.28	8.49	15844088	134569376.00
2011/11/02	8.31	8.67	8.25	8.60	17716786	149382496.00
2011/11/03	8.56	8.88	8.38	8.63	50291623	435720096.00
2011/11/04	8.51	8.63	8.45	8.51	21203740	180370624.00
2011/11/07	8.45	8.64	8.41	8.46	13118544	111847856.00
2011/11/08	8.42	8.50	8.22	8.25	13688912	114200120.00
2011/11/09	8.26	8.40	8.15	8.39	10231863	84911832.00
2011/11/10	8.27	8.45	8.21	8.27	10170043	84670968.00
2011/11/11	8.30	8.63	8.28	8.43	16824710	142169296.00
2011/11/14	8.44	8.66	8.44	8.65	22798249	195296288.00
2011/11/15	8.70	9.18	8.66	8.96	54713169	491688704.00
2011/11/16	8.81	8.91	8.55	8.59	27748411	241924560.00
2011/11/17	8.65	8.88	8.59	8.69	22743137	198907984.00
2011/11/18	8.63	8.68	8.35	8.38	15717514	132695280.00
2011/11/21	8.37	8.50	8.25	8.45	8527159	71446048.00
2011/11/22	8.35	8.43	8.20	8.34	9266828	76967776.00
2011/11/23	8.35	8.57	8.21	8.54	15603973	131582720.00
2011/11/24	8.60	8.91	8.55	8.76	42248050	370146304.00
2011/11/25	8.60	8.67	8.41	8.45	20343816	173020480.00
2011/11/28	8.44	8.53	8.23	8.44	12846490	107371176.00
2011/11/29	8.56	8.68	8.44	8.67	18278491	156682816.00
2011/11/30	8.70	8.71	8.22	8.29	18177510	153035472.00
2011/12/01	8.53	8.98	8.41	8.67	41614321	363511040.00
2011/12/02	8.59	9.18	8.53	9.10	72327722	647506048.00
2011/12/05	9.00	9.06	8.71	8.83	34985107	310425856.00
2011/12/06	8.71	9.14	8.29	9.13	37433531	327999456.00
2011/12/07	9.03	9.49	8.98	9.25	60154087	559267200.00
2011/12/08	8.95	9.28	8.83	8.97	34567919	312147680.00
2011/12/09	8.84	9.18	8.79	8.93	23980513	216109456.00
2011/12/12	8.85	9.04	8.56	8.59	22040354	193463728.00
2011/12/13	8.43	8.57	7.73	7.76	34613944	277503904.00
2011/12/14	7.60	7.80	7.10	7.19	24490576	182338432.00
2011/12/15	7.00	7.06	6.61	6.69	21731877	147992352.00
2011/12/16	6.70	6.97	6.65	6.96	15576314	106257248.00
2011/12/19	6.95	6.95	6.71	6.85	11013417	75085952.00
2011/12/20	6.78	7.05	6.76	6.92	12529509	87162832.00
2011/12/21	7.02	7.09	6.75	6.78	12579561	87255776.00
2011/12/22	6.70	6.70	6.20	6.47	13978641	89801400.00
2011/12/23	6.48	6.58	6.36	6.42	9962170	64581480.00
2011/12/26	6.42	6.52	6.34	6.36	5893331	37815604.00
2011/12/27	6.36	6.39	5.98	6.06	11693282	71605024.00
2011/12/28	6.00	6.20	5.75	6.19	11744761	69930984.00
2011/12/29	6.28	6.48	6.17	6.17	14828655	93107440.00
2011/12/30	6.10	6.23	6.05	6.17	9410214	57867440.00
2012/01/04	6.25	6.27	5.90	5.94	6589870	40300724.00
2012/01/05	5.76	5.90	5.49	5.50	8448436	48382440.00
2012/01/06	5.45	5.60	5.30	5.55	7192361	39280644.00
2012/01/09	5.54	5.95	5.43	5.90	11406225	65431700.00
2012/01/10	5.85	6.20	5.78	6.16	14478138	87613952.00
2012/01/11	6.17	6.34	6.07	6.22	15525603	96187904.00
2012/01/12	6.16	6.84	6.13	6.84	36101832	237536752.00
2012/01/13	6.72	7.10	6.68	6.84	51047579	352412864.00
2012/01/16	6.60	6.88	6.45	6.73	24251382	161995312.00
2012/01/17	6.70	7.13	6.56	7.01	38523285	263897024.00
2012/01/18	6.99	7.28	6.71	6.93	38865318	271584544.00
2012/01/19	6.88	7.12	6.70	7.09	29201569	203999312.00
2012/01/20	7.10	7.21	7.00	7.03	25083395	178039136.00
2012/01/30	7.05	7.10	6.93	6.95	13804372	96682784.00
