600468 百利电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.13	15.53	15.13	15.22	788244	12084538.00
2011/10/11	15.56	15.71	15.04	15.24	1501090	23130216.00
2011/10/12	15.24	16.10	14.97	15.97	2293422	36303816.00
2011/10/13	16.21	17.57	16.21	17.57	4728728	81884824.00
2011/10/14	17.57	17.91	17.33	17.63	2749256	48641016.00
2011/10/17	17.72	19.27	17.63	19.17	3677324	68970496.00
2011/10/18	18.74	18.98	18.30	18.47	2512143	46800088.00
2011/10/19	18.47	18.77	17.68	18.15	2133186	38949352.00
2011/10/20	18.15	18.30	17.03	17.68	1870770	32724646.00
2011/10/21	17.50	17.91	17.39	17.86	1635960	29130398.00
2011/10/24	17.92	18.41	17.03	18.40	2307643	41225656.00
2011/10/25	18.18	18.78	17.99	18.72	2346830	43431888.00
2011/10/26	18.54	18.78	18.36	18.36	1992919	37095780.00
2011/10/27	18.30	18.53	18.01	18.15	1800980	32960854.00
2011/10/28	18.40	19.38	18.28	19.22	3203834	60479840.00
2011/10/31	19.21	19.78	18.95	19.50	2305609	44836892.00
2011/11/01	19.32	19.90	18.93	19.65	2394506	47134484.00
2011/11/02	19.28	19.72	18.90	19.54	2485018	48072168.00
2011/11/03	19.61	20.70	19.61	20.08	3516923	71280816.00
2011/11/04	20.23	20.43	19.98	20.13	1754167	35510636.00
2011/11/07	20.03	20.27	19.78	19.89	1312111	26388302.00
2011/11/08	19.73	19.87	19.04	19.09	1289289	25126276.00
2011/11/09	19.28	19.55	18.88	19.41	2209920	42489192.00
2011/11/10	19.11	19.33	18.83	19.11	1102370	21171352.00
2011/11/11	19.00	19.38	19.00	19.26	852542	16424887.00
2011/11/14	19.24	20.30	19.24	20.13	2349621	46982920.00
2011/11/15	20.04	20.41	19.86	20.21	1011971	20362670.00
2011/11/16	20.21	20.36	19.56	19.72	1353703	26933560.00
2011/11/17	19.71	19.87	19.14	19.40	1379485	26844876.00
2011/11/18	19.21	19.21	18.65	18.78	1168971	22142808.00
2011/11/21	19.01	19.01	17.58	17.92	1493100	27065012.00
2011/11/22	17.94	17.94	17.68	17.93	688305	12309543.00
2011/11/23	18.13	18.16	17.63	17.77	743972	13354389.00
2011/11/24	17.49	17.75	17.13	17.59	732226	12813232.00
2011/11/25	17.59	18.08	17.48	17.58	499421	8910311.00
2011/11/28	17.28	17.65	16.83	16.87	1134270	19543706.00
2011/11/29	17.03	17.28	16.71	17.19	1340177	22837944.00
2011/11/30	17.25	17.25	15.93	16.42	1274242	21105466.00
2011/12/01	16.94	17.15	16.58	16.76	1128199	19194432.00
2011/12/02	16.79	16.79	16.11	16.41	738666	12063353.00
2011/12/05	16.00	16.37	16.00	16.12	368625	5971481.00
2011/12/06	16.11	16.21	15.78	15.93	398958	6373432.00
2011/12/07	16.11	16.11	15.45	15.68	451459	7118620.00
2011/12/08	15.64	16.13	15.54	16.06	651623	10371192.00
2011/12/09	15.94	16.15	15.84	15.93	417359	6701178.00
2011/12/12	15.84	15.91	15.58	15.72	298440	4721412.00
2011/12/13	15.67	15.69	15.04	15.32	446189	6868943.00
2011/12/14	15.09	15.33	14.99	15.08	329717	5029438.00
2011/12/15	15.08	15.11	13.99	14.38	841140	12224049.00
2011/12/16	14.37	14.94	14.14	14.87	510160	7429833.00
2011/12/19	14.87	14.87	14.23	14.67	560866	8146003.00
2011/12/20	14.43	14.86	14.29	14.32	345667	5096280.00
2011/12/21	14.40	14.99	14.32	14.35	1317200	19558300.00
2011/12/22	14.18	14.39	13.04	13.72	1349362	18460986.00
2011/12/23	13.70	14.01	13.55	13.76	1073573	14828058.00
2011/12/26	13.77	13.88	13.53	13.68	462420	6353179.00
2011/12/27	13.69	13.72	13.23	13.54	638009	8654148.00
2011/12/28	13.52	13.73	13.41	13.63	888096	12144729.00
2011/12/29	13.66	13.80	13.23	13.61	1725822	23220308.00
2011/12/30	13.37	14.41	13.27	14.01	1672881	23076670.00
2012/01/04	14.01	14.15	13.23	13.29	934422	12840607.00
2012/01/05	13.27	13.28	11.95	12.11	2056725	25409012.00
2012/01/06	12.21	12.34	11.26	12.12	1515238	17884320.00
2012/01/09	11.83	12.51	11.74	12.50	1348328	16646747.00
2012/01/10	12.43	13.39	12.35	12.93	4865883	62885884.00
2012/01/11	12.83	13.31	12.81	13.02	3266932	42803360.00
2012/01/12	13.07	13.69	12.90	13.63	4619036	61403192.00
2012/01/13	13.63	13.63	12.54	12.77	3199374	42153712.00
2012/01/16	12.52	12.52	11.49	11.76	2146322	25831808.00
2012/01/17	11.68	12.77	11.58	12.76	3433373	42041208.00
2012/01/18	12.78	13.09	12.24	12.25	2675706	34148272.00
2012/01/19	12.26	12.48	12.06	12.42	1590385	19734792.00
2012/01/20	12.42	12.71	12.42	12.60	1058625	13418834.00
2012/01/30	12.81	12.81	12.33	12.35	1337070	16947328.00
2012/01/31	12.35	12.44	11.91	12.12	1090981	13324289.00
2012/02/01	12.22	12.34	11.93	12.00	885594	10798763.00
2012/02/02	12.05	12.24	11.85	12.23	1539998	18755478.00
2012/02/03	12.22	13.31	12.13	13.21	5741675	73680520.00
2012/02/06	13.15	13.41	12.94	13.27	4074182	54084884.00
2012/02/07	13.15	13.15	12.70	12.86	3499271	45220720.00
2012/02/08	12.83	13.78	12.68	13.65	4890404	64941616.00
2012/02/09	13.63	13.89	13.48	13.76	5738296	78878936.00
2012/02/10	13.74	14.19	13.56	13.83	5315682	74065360.00
2012/02/13	13.74	14.23	13.59	14.08	4073376	57294144.00
2012/02/14	14.07	14.17	13.76	13.96	2720693	38033980.00
2012/02/15	13.96	14.21	13.71	14.08	3419565	48016344.00
2012/02/16	14.08	14.61	13.96	14.28	4461830	63855008.00
2012/02/17	14.25	14.38	13.81	14.01	3434457	48371752.00
2012/02/20	14.18	14.51	14.08	14.18	4921985	70604424.00
2012/02/21	14.14	14.41	13.82	14.20	3821045	54056704.00
2012/02/22	14.32	14.90	14.23	14.72	7392874	108814576.00
2012/02/23	14.79	14.88	14.33	14.73	4607622	67716088.00
2012/02/24	14.66	14.98	14.58	14.78	3909798	57982836.00
2012/02/27	14.93	15.77	14.84	15.35	7557346	116692064.00
2012/02/28	15.33	16.03	15.15	15.94	7624330	119387072.00
2012/02/29	15.93	15.96	15.43	15.56	3984084	62954680.00
2012/03/01	15.58	15.78	15.34	15.66	3870762	60715044.00
2012/03/02	15.93	16.43	15.67	15.80	4774556	76314496.00
2012/03/05	15.73	16.20	15.31	16.13	7619141	121321384.00
2012/03/07	15.63	16.00	15.46	15.57	4006521	63237216.00
2012/03/08	15.61	16.03	15.58	15.74	4440093	70190808.00
2012/03/09	15.73	16.17	15.63	16.13	4331140	69402032.00
2012/03/12	16.27	16.51	16.03	16.38	4309994	70567600.00
2012/03/13	16.39	16.68	16.23	16.38	3724232	61494836.00
2012/03/14	16.39	16.53	14.91	15.27	6187200	98075376.00
2012/03/15	14.95	15.42	14.13	14.49	3819003	56563772.00
2012/03/16	14.63	15.02	14.49	15.00	2488728	36953432.00
2012/03/19	15.02	15.38	14.84	15.25	2417784	36703548.00
2012/03/20	15.21	15.33	14.38	14.64	3282222	49034732.00
2012/03/21	14.63	15.53	14.63	15.50	5474938	83292248.00
