600476 湘邮科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.50	10.59	10.12	10.28	517550	5321376.00
2011/10/11	10.48	10.63	10.18	10.23	516229	5349498.00
2011/10/12	10.18	10.65	10.18	10.59	843253	8852149.00
2011/10/13	10.51	10.85	10.51	10.83	1045050	11246963.00
2011/10/14	10.83	10.86	10.58	10.82	552522	5915071.00
2011/10/17	10.88	10.93	10.75	10.80	450953	4874528.00
2011/10/18	10.80	11.12	10.58	10.60	1387464	15082619.00
2011/10/19	10.60	10.77	10.36	10.39	665372	7005977.00
2011/10/20	10.32	10.39	9.88	10.00	901343	9056149.00
2011/10/21	10.19	10.20	9.91	9.95	411962	4108751.00
2011/10/24	10.01	10.15	9.60	10.04	580603	5749686.00
2011/10/25	10.08	10.30	9.80	10.23	992631	10034594.00
2011/10/26	10.12	10.45	10.10	10.33	1159128	11915036.00
2011/10/27	10.32	10.50	10.25	10.35	1004121	10389574.00
2011/10/28	10.45	10.55	10.36	10.54	1283657	13420530.00
2011/10/31	10.50	10.74	10.43	10.63	1003811	10664841.00
2011/11/01	10.46	10.78	10.45	10.66	918996	9741955.00
2011/11/02	10.50	10.98	10.42	10.91	2073995	22412796.00
2011/11/03	10.94	11.33	10.92	11.01	3109328	34639876.00
2011/11/04	11.05	11.10	10.85	11.03	1506953	16489388.00
2011/11/07	11.02	11.07	10.86	10.91	850218	9311077.00
2011/11/08	10.85	11.00	10.74	10.74	666185	7237333.00
2011/11/09	10.78	11.10	10.71	11.05	954646	10418078.00
2011/11/10	11.00	11.00	10.76	10.81	866524	9409821.00
2011/11/11	10.80	11.10	10.76	10.90	829659	9079338.00
2011/11/14	10.98	11.20	10.90	11.18	1513692	16785232.00
2011/11/15	11.11	11.31	11.08	11.27	1100541	12320479.00
2011/11/16	11.28	11.42	11.00	11.04	1654773	18547794.00
2011/11/17	11.10	11.11	10.84	10.85	1009092	11066986.00
2011/11/21	10.62	10.66	10.30	10.52	950705	9908998.00
2011/11/22	10.40	10.51	10.36	10.45	348774	3631851.00
2011/11/23	10.46	10.51	10.31	10.31	582180	6047554.00
2011/11/24	10.31	10.31	10.08	10.28	642964	6546083.00
2011/11/25	10.24	10.33	10.02	10.13	542753	5522208.00
2011/11/28	10.16	10.36	10.08	10.34	756974	7734162.00
2011/11/29	10.48	10.48	10.20	10.36	502788	5178049.00
2011/11/30	10.30	10.39	9.70	9.73	876000	8714921.00
2011/12/01	9.96	10.19	9.92	9.97	935601	9385485.00
2011/12/02	9.96	10.02	9.70	9.79	496005	4871354.00
2011/12/05	9.88	9.92	9.00	9.45	583010	5516584.00
2011/12/06	9.30	9.38	9.15	9.33	488915	4535482.00
2011/12/07	9.20	9.37	9.20	9.28	345136	3212615.00
2011/12/08	9.30	9.30	8.91	9.16	551546	5020207.00
2011/12/09	9.00	9.11	8.85	8.94	591983	5298117.00
2011/12/12	8.96	9.00	8.80	8.82	316686	2816118.00
2011/12/13	8.75	8.77	8.23	8.26	576586	4822123.00
2011/12/14	8.29	8.36	8.00	8.09	496484	4073288.00
2011/12/15	8.11	8.11	7.65	7.68	937957	7333832.00
2011/12/16	7.76	7.89	7.55	7.88	825888	6370279.00
2011/12/19	7.88	7.88	7.56	7.80	794782	6119585.00
2011/12/20	7.83	7.96	7.76	7.81	497544	3907388.00
2011/12/21	8.00	8.04	7.52	7.55	503181	3923559.00
2011/12/22	7.56	7.56	7.18	7.40	877982	6422996.00
2011/12/23	7.35	7.60	7.28	7.53	543676	4068854.00
2011/12/26	7.53	7.78	7.43	7.56	578691	4416471.00
2011/12/27	7.56	7.56	7.25	7.42	530634	3926154.00
2011/12/28	7.39	7.39	7.10	7.26	643220	4615167.00
2011/12/29	7.16	7.29	7.12	7.18	457124	3305979.00
2011/12/30	7.28	7.45	7.22	7.39	1144228	8399913.00
2012/01/04	7.39	7.47	6.80	7.01	566100	4114767.00
2012/01/05	7.48	7.48	6.66	6.71	1002575	6988734.00
2012/01/06	6.59	6.72	6.47	6.68	529824	3502105.00
2012/01/09	6.70	7.03	6.63	6.99	840965	5783269.00
2012/01/10	7.03	7.38	6.95	7.28	1280604	9204841.00
2012/01/11	7.27	7.57	7.23	7.34	1650589	12234998.00
2012/01/12	7.30	7.68	7.28	7.49	1756897	13097558.00
2012/01/13	7.43	7.46	6.98	7.27	1264055	9133063.00
2012/01/16	7.23	7.23	6.91	7.07	429052	3040662.00
2012/01/17	7.12	7.49	7.04	7.48	855110	6258359.00
2012/01/18	7.50	7.63	7.25	7.35	1049138	7756342.00
2012/01/19	7.34	7.47	7.25	7.39	633176	4676607.00
2012/01/20	7.39	7.69	7.39	7.53	908936	6839133.00
2012/01/30	7.53	7.58	7.32	7.42	621035	4602702.00
2012/01/31	7.37	7.52	7.28	7.46	375405	2774440.00
2012/02/01	7.39	7.53	7.31	7.33	525981	3900947.00
2012/02/02	7.35	7.55	7.30	7.51	698977	5198427.00
2012/02/03	7.50	8.12	7.48	8.00	3196697	25084472.00
2012/02/06	7.85	7.95	7.73	7.89	1966716	15442809.00
2012/02/07	7.88	7.88	7.65	7.76	1176677	9126829.00
2012/02/08	7.68	7.95	7.68	7.93	1011281	7917967.00
2012/02/09	7.93	8.04	7.83	7.99	1333020	10629383.00
2012/02/10	7.98	8.03	7.90	7.96	1164070	9260890.00
2012/02/13	7.91	8.08	7.81	8.04	1700913	13614539.00
2012/02/14	8.00	8.04	7.90	8.00	1060827	8456931.00
2012/02/15	8.00	8.32	7.99	8.27	2243783	18385616.00
2012/02/16	8.20	8.31	8.09	8.22	1421227	11655379.00
2012/02/17	8.27	8.50	8.20	8.23	1623870	13518093.00
