600480 凌云股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.59	10.83	10.48	10.52	853835	9529742.00
2011/10/11	10.78	10.83	10.33	10.40	1074282	12003743.00
2011/10/12	10.33	10.78	10.24	10.71	4210982	46946156.00
2011/10/13	10.66	10.74	10.53	10.65	3552190	39944752.00
2011/10/14	10.68	10.68	10.38	10.42	1864487	20691840.00
2011/10/17	10.42	10.59	10.40	10.51	1665273	18504524.00
2011/10/18	10.47	10.47	9.98	10.01	1818674	19623582.00
2011/10/19	9.93	10.05	9.59	9.63	1837362	19068920.00
2011/10/20	9.63	9.63	8.89	9.01	2487108	24356520.00
2011/10/21	8.99	9.05	8.63	8.78	1609757	15209969.00
2011/10/24	8.81	8.93	8.55	8.88	1418240	13296832.00
2011/10/25	8.93	9.16	8.81	9.12	2325549	22452144.00
2011/10/26	9.06	9.37	9.02	9.24	2684996	26462968.00
2011/10/27	9.20	9.48	9.16	9.30	2141405	21306668.00
2011/10/28	9.36	9.52	9.31	9.47	2145537	21531320.00
2011/10/31	9.53	9.83	9.49	9.66	2119845	21825080.00
2011/11/01	9.58	9.66	9.47	9.61	1777526	18120118.00
2011/11/02	9.45	9.83	9.33	9.81	2445987	24866104.00
2011/11/03	9.88	10.10	9.76	9.95	3920301	41495852.00
2011/11/04	9.95	10.29	9.89	10.21	3350112	35932040.00
2011/11/07	10.23	10.45	10.14	10.29	3016832	32979846.00
2011/11/08	10.27	10.33	9.91	9.97	2490259	26786684.00
2011/11/09	9.97	10.36	9.97	10.36	4053195	43731936.00
2011/11/10	10.20	10.33	9.98	10.00	2709263	29159204.00
2011/11/11	10.02	10.15	9.92	10.06	1716029	18329944.00
2011/11/14	10.15	10.33	10.12	10.28	1715021	18654100.00
2011/11/15	10.36	10.59	10.28	10.52	2684677	29672760.00
2011/11/16	10.52	10.56	10.14	10.18	2335946	25479298.00
2011/11/17	10.18	10.30	10.07	10.13	1208665	13048127.00
2011/11/18	10.00	10.18	9.72	10.02	2469544	26003418.00
2011/11/21	9.98	10.02	9.68	9.95	1217302	12721571.00
2011/11/22	9.73	9.96	9.61	9.90	933022	9750547.00
2011/11/23	9.89	9.92	9.75	9.87	826800	8662198.00
2011/11/24	9.71	9.93	9.66	9.86	939115	9783026.00
2011/11/25	9.78	9.91	9.62	9.75	1133900	11758540.00
2011/11/28	9.66	9.80	9.53	9.58	968804	9901442.00
2011/11/29	9.66	9.76	9.59	9.75	1022321	10520974.00
2011/11/30	9.75	9.88	9.22	9.42	1900090	19369134.00
2011/12/01	9.67	9.83	9.60	9.62	2214454	22872112.00
2011/12/02	9.63	9.70	9.30	9.55	1206971	12151691.00
2011/12/05	9.55	9.56	9.28	9.29	736699	7355874.00
2011/12/06	9.27	9.29	8.94	9.03	1383911	13416154.00
2011/12/07	9.06	9.06	8.85	8.92	739764	7079583.00
2011/12/08	8.80	9.18	8.80	9.08	915718	8833465.00
2011/12/09	8.98	9.11	8.89	8.97	568608	5474501.00
2011/12/12	8.89	9.14	8.78	8.98	610477	5820950.00
2011/12/13	8.88	8.97	8.55	8.65	1209570	11217879.00
2011/12/14	8.66	8.66	8.03	8.04	1452351	12916924.00
2011/12/15	7.97	7.99	7.73	7.79	1160915	9854173.00
2011/12/16	7.79	8.07	7.77	8.07	709311	6047710.00
2011/12/19	8.06	8.06	7.80	7.99	1247912	10688231.00
2011/12/20	7.96	8.08	7.91	7.93	1145172	9859349.00
2011/12/21	8.07	8.18	7.76	7.78	914972	7852884.00
2011/12/22	7.68	7.72	7.37	7.56	984280	8021099.00
2011/12/23	7.46	7.78	7.44	7.66	806765	6676344.00
2011/12/26	7.59	7.80	7.55	7.70	922893	7669425.00
2011/12/28	7.49	7.49	7.26	7.43	1708570	13666371.00
2011/12/29	7.46	7.46	7.21	7.40	1539159	12296898.00
2011/12/30	7.52	7.59	7.36	7.54	1381728	11212406.00
2012/01/04	7.58	7.60	7.34	7.35	1140805	9264061.00
2012/01/05	7.23	7.36	6.98	7.12	847393	6578807.00
2012/01/06	7.00	7.08	6.73	6.92	1317849	9892033.00
2012/01/09	6.97	7.31	6.86	7.28	2785575	21573988.00
2012/01/10	7.23	7.83	7.23	7.72	4093515	33539776.00
2012/01/11	7.72	7.77	7.59	7.68	1785834	14828526.00
2012/01/12	7.61	7.77	7.60	7.69	1822982	15181978.00
2012/01/13	7.66	7.68	7.30	7.47	2323231	18855562.00
2012/01/17	7.21	7.75	7.14	7.73	3349485	27248424.00
2012/01/18	7.76	7.93	7.52	7.59	2262957	18972352.00
2012/01/19	7.58	7.73	7.45	7.63	1377023	11372031.00
2012/01/20	7.70	7.78	7.63	7.71	1498469	12481951.00
