600486 扬农化工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.93	10.99	10.83	10.87	285330	4878821.00
2011/10/11	10.99	11.23	10.56	10.72	892557	15313354.00
2011/10/12	10.72	11.09	10.50	11.05	1133282	19449136.00
2011/10/13	11.09	11.28	11.03	11.19	988918	17288890.00
2011/10/14	11.15	11.23	11.03	11.14	485304	8451875.00
2011/10/17	11.23	11.23	11.05	11.09	585272	10200745.00
2011/10/18	11.08	11.11	10.73	10.74	611429	10449703.00
2011/10/19	10.74	10.87	10.61	10.85	922945	15578209.00
2011/10/20	10.76	10.76	10.36	10.43	1567888	26003936.00
2011/10/21	10.49	10.49	10.17	10.19	442520	7164871.00
2011/10/24	10.19	10.41	10.09	10.35	1054769	17056516.00
2011/10/25	10.36	10.62	10.23	10.58	1311869	21591084.00
2011/10/26	10.48	10.91	10.43	10.83	1672207	28196788.00
2011/10/27	10.80	10.88	10.71	10.79	995142	16888496.00
2011/10/28	10.93	11.03	10.78	10.93	1462774	24972296.00
2011/10/31	10.96	11.19	10.93	11.15	1734617	30174260.00
2011/11/01	11.03	11.27	11.02	11.21	1573997	27588162.00
2011/11/02	11.06	11.31	10.89	11.29	1391797	24238400.00
2011/11/03	11.35	11.77	11.27	11.36	2360167	42703412.00
2011/11/04	11.38	11.55	11.29	11.37	1070192	19129676.00
2011/11/07	11.37	11.39	11.18	11.36	1034631	18248894.00
2011/11/08	11.33	11.36	11.09	11.13	1209202	21245884.00
2011/11/09	11.17	11.33	10.96	11.31	1561032	27261104.00
2011/11/10	11.19	11.26	11.08	11.09	1165202	20414372.00
2011/11/11	11.23	11.25	11.07	11.17	1217347	21331134.00
2011/11/14	11.28	11.52	11.15	11.50	1729952	30885130.00
2011/11/15	11.43	11.93	11.43	11.90	2413656	44256904.00
2011/11/16	11.86	11.96	11.63	11.71	2287350	42100136.00
2011/11/17	11.66	11.87	11.66	11.86	2976248	54904256.00
2011/11/18	11.63	11.79	11.51	11.72	2614378	47625068.00
2011/11/21	11.77	11.78	11.41	11.58	979584	17735968.00
2011/11/22	11.49	11.53	11.09	11.27	1056125	18677672.00
2011/11/23	11.26	11.36	11.10	11.13	593458	10404910.00
2011/11/24	11.03	11.13	10.86	11.05	678571	11699689.00
2011/11/25	11.05	11.22	11.04	11.11	455378	7950971.00
2011/11/28	11.14	11.33	11.07	11.21	384700	6737080.00
2011/11/29	11.37	11.39	11.21	11.35	856803	15143132.00
2011/11/30	11.42	11.42	10.55	10.77	1210293	20872780.00
2011/12/01	11.09	11.48	11.03	11.32	1630807	28739612.00
2011/12/02	11.32	11.41	11.17	11.27	1012783	17947102.00
2011/12/05	11.27	11.27	10.63	10.68	872867	14869138.00
2011/12/06	10.77	10.81	10.65	10.66	339744	5715606.00
2011/12/07	10.66	10.82	10.61	10.69	384946	6465048.00
2011/12/08	10.64	10.89	10.56	10.66	465225	7832356.00
2011/12/09	10.69	10.79	10.57	10.69	279248	4688160.00
2011/12/12	10.65	10.73	10.36	10.43	709421	11717729.00
2011/12/13	10.33	10.33	10.10	10.15	590270	9453027.00
2011/12/14	10.15	10.25	10.09	10.22	761485	12181831.00
2011/12/15	10.21	10.21	9.73	9.85	550690	8592916.00
2011/12/16	9.87	10.01	9.55	9.99	835562	12797400.00
2011/12/19	9.94	10.00	9.56	9.84	569220	8757277.00
2011/12/20	9.71	9.95	9.67	9.81	825768	12797322.00
2011/12/21	9.81	9.99	9.68	9.69	990572	15404287.00
2011/12/22	9.57	9.68	9.09	9.31	780944	11512312.00
2011/12/23	9.16	9.48	9.15	9.44	543182	8047733.00
2011/12/26	9.41	9.53	9.36	9.36	208929	3121404.00
2011/12/27	9.21	9.37	9.13	9.17	205873	3013222.00
2011/12/28	9.15	9.16	8.84	8.99	442006	6300857.00
2011/12/29	8.96	9.04	8.75	8.88	778243	10981240.00
2011/12/30	8.98	9.48	8.84	9.23	973458	14146891.00
2012/01/04	9.25	9.32	9.06	9.09	549272	8013868.00
2012/01/05	9.06	9.12	8.55	8.57	1059572	14759839.00
2012/01/06	8.50	8.68	8.35	8.50	875973	11797794.00
2012/01/09	8.50	8.95	8.43	8.91	520056	7246175.00
2012/01/10	8.95	9.45	8.93	9.36	1164564	17075888.00
2012/01/11	9.39	9.43	9.23	9.35	1079429	15921213.00
2012/01/12	9.29	9.55	9.20	9.43	756548	11283588.00
2012/01/13	9.43	9.43	8.91	9.03	627052	9042821.00
2012/01/16	8.87	9.03	8.76	8.76	342229	4795284.00
2012/01/17	8.75	9.36	8.74	9.33	785385	11337314.00
2012/01/18	9.35	9.53	9.23	9.34	985610	14656464.00
2012/01/19	9.30	9.49	9.13	9.47	639546	9488523.00
2012/01/20	9.39	9.69	9.39	9.65	915278	13907046.00
2012/01/30	9.66	9.83	9.50	9.51	606422	9171598.00
2012/01/31	9.47	9.62	9.27	9.49	480586	7138885.00
2012/02/01	9.49	9.49	9.27	9.33	477200	7082711.00
2012/02/02	9.45	9.69	9.34	9.67	837394	12551976.00
2012/02/03	9.63	10.03	9.60	9.96	3333887	51772716.00
2012/02/06	9.84	10.09	9.81	10.03	3408666	53740224.00
2012/02/07	9.98	9.98	9.49	9.62	1596086	24469936.00
2012/02/08	9.69	9.94	9.59	9.92	1491500	23023914.00
2012/02/09	9.91	10.02	9.84	9.99	2382447	37334160.00
2012/02/10	9.99	10.06	9.87	9.95	1710138	26866172.00
2012/02/13	9.95	10.01	9.56	9.93	1218398	19011566.00
2012/02/14	9.93	9.98	9.83	9.88	900237	14044476.00
2012/02/15	9.88	10.01	9.79	9.94	3688194	57698148.00
2012/02/16	9.91	10.26	9.88	10.16	4879302	77800160.00
2012/02/17	10.19	10.26	9.75	9.94	2428256	38166792.00
2012/02/20	10.05	10.13	9.93	9.97	2207395	34855992.00
2012/02/21	9.91	10.13	9.83	10.11	1888079	29683132.00
2012/02/22	10.55	11.17	10.41	10.59	8553726	143451632.00
2012/02/23	10.57	10.78	10.41	10.49	4490759	74689200.00
2012/02/24	10.44	10.59	10.41	10.56	2537135	41914984.00
2012/02/27	10.56	10.88	10.56	10.58	3259742	54852696.00
2012/02/28	10.56	10.73	10.41	10.69	2795027	46406296.00
2012/02/29	10.69	10.82	10.53	10.55	2566929	43038576.00
2012/03/01	10.45	10.54	10.31	10.47	2237042	36780992.00
2012/03/02	10.41	10.72	10.41	10.71	2299960	38469588.00
2012/03/05	10.76	10.99	10.72	10.86	3634904	61934636.00
2012/03/06	10.83	10.91	10.61	10.71	3323508	56127696.00
2012/03/07	10.57	10.66	10.49	10.55	2098720	34836332.00
2012/03/08	10.59	10.75	10.54	10.66	1590878	26602488.00
2012/03/09	10.66	10.88	10.66	10.87	2455007	41563008.00
2012/03/12	10.85	10.96	10.67	10.83	2276299	38510200.00
2012/03/13	10.83	10.91	10.74	10.89	2429971	41402640.00
2012/03/14	11.03	11.33	10.53	10.62	6555990	113517904.00
2012/03/15	10.63	10.73	10.22	10.23	3215371	52646568.00
2012/03/16	10.28	10.49	10.20	10.49	2201112	35863380.00
2012/03/19	10.50	10.63	10.39	10.63	1882516	31156700.00
2012/03/20	10.62	10.62	10.26	10.27	1338133	21835678.00
2012/03/21	10.31	10.39	10.03	10.20	1793059	28759904.00
2012/03/22	10.20	10.25	10.03	10.15	822623	13106382.00
2012/03/23	10.09	10.22	10.01	10.15	941958	15009915.00
2012/03/26	10.15	10.19	10.07	10.15	455389	7258997.00
2012/03/27	10.17	10.28	10.05	10.11	590960	9476425.00
2012/03/28	9.98	10.09	9.53	9.57	1568791	24094750.00
2012/03/29	9.53	9.56	9.13	9.25	1389123	20439148.00
2012/03/30	9.26	9.33	9.11	9.27	779839	11399890.00
2012/04/05	9.24	9.54	9.24	9.53	796261	11867789.00
2012/04/06	9.50	9.87	9.49	9.72	1226904	18846182.00
2012/04/09	9.66	9.76	9.51	9.51	553060	8415229.00
2012/04/10	9.68	10.03	9.63	10.02	3202662	49795820.00
2012/04/11	9.89	10.36	9.81	10.27	2256922	36082592.00
2012/04/12	10.23	10.33	10.10	10.29	1642807	26467756.00
2012/04/13	10.34	10.41	10.25	10.29	1566550	25478110.00
2012/04/16	10.27	10.32	10.16	10.19	1100539	17742108.00
2012/04/17	10.20	10.61	10.15	10.49	2658593	43489444.00
2012/04/18	10.43	10.83	10.43	10.69	2453514	41174272.00
2012/04/19	10.61	10.82	10.48	10.53	1452889	24327864.00
2012/04/20	10.56	10.76	10.52	10.72	1380727	23184804.00
2012/04/23	10.73	10.98	10.70	10.89	2264158	38699764.00
2012/04/24	11.16	11.69	11.13	11.35	8533200	152594896.00
2012/04/25	11.36	12.05	11.01	11.75	5240991	95264232.00
2012/04/26	11.75	11.93	11.68	11.69	2578485	47524124.00
2012/04/27	11.68	11.74	11.43	11.69	1982314	36045532.00
2012/05/02	11.73	11.99	11.47	11.55	2407829	44055968.00
2012/05/03	11.47	11.85	11.43	11.83	3207319	58404384.00
2012/05/04	11.81	11.81	11.59	11.68	2052083	37437200.00
2012/05/07	11.54	12.07	11.53	11.94	3286356	60968264.00
2012/05/09	11.76	11.77	11.43	11.50	2195418	39927384.00
2012/05/10	11.50	11.73	11.44	11.58	2048314	37239016.00
2012/05/11	11.83	12.11	11.73	11.74	5417552	100847104.00
2012/05/14	11.83	11.83	11.41	11.49	2541387	46176932.00
2012/05/15	11.23	11.64	11.23	11.57	1937494	34898800.00
2012/05/16	11.57	11.61	11.43	11.45	957207	17268370.00
2012/05/17	11.49	11.55	11.26	11.52	1265374	22704372.00
2012/05/18	11.43	11.43	11.23	11.23	1881641	33194324.00
2012/05/21	11.25	11.34	11.05	11.14	500331	8765969.00
2012/05/22	11.16	11.54	11.16	11.49	1480453	26453698.00
2012/05/23	11.49	11.75	11.41	11.69	1512375	27534900.00
2012/05/24	11.68	11.85	11.64	11.69	1072394	19670590.00
2012/05/25	11.69	11.82	11.44	11.49	1158908	21067376.00
2012/05/28	11.37	11.49	11.23	11.44	2030099	35761688.00
2012/05/29	11.61	11.86	11.45	11.83	2273666	41057904.00
2012/05/30	11.83	11.83	11.64	11.72	1697724	30815622.00
2012/05/31	11.71	12.27	11.66	12.17	3025356	56288816.00
2012/06/01	12.11	12.21	11.93	12.04	2190400	40820884.00
2012/06/04	11.75	11.96	11.43	11.53	2472389	44648864.00
2012/06/05	11.49	11.69	11.24	11.31	2006113	35386572.00
2012/06/06	11.44	11.44	11.23	11.31	665192	11688781.00
2012/06/07	11.43	11.50	11.15	11.16	1051384	18420152.00
2012/06/08	11.23	11.33	11.11	11.18	704891	12276599.00
2012/06/11	11.19	11.33	11.11	11.32	1498762	26008832.00
2012/06/12	11.26	11.28	11.11	11.20	1420799	24677650.00
2012/06/13	11.19	11.39	11.14	11.35	1864867	32683360.00
2012/06/14	11.45	12.01	11.39	11.83	4566613	83289952.00
2012/06/15	11.79	11.97	11.65	11.92	2198945	40413312.00
2012/06/18	12.02	12.33	11.97	12.19	2860665	53942272.00
2012/06/19	12.09	12.43	12.03	12.09	1692354	31960520.00
2012/06/20	12.17	12.26	11.83	12.04	1291039	23961558.00
2012/06/21	12.02	12.06	11.78	11.96	931035	17132056.00
2012/06/25	11.96	12.20	11.81	11.83	1567209	29218664.00
2012/06/26	11.64	11.80	11.46	11.62	1413477	25476584.00
2012/06/27	11.53	11.79	11.49	11.50	884984	15958730.00
2012/06/28	11.56	11.61	11.35	11.45	1464025	26049422.00
2012/06/29	11.35	11.74	11.26	11.73	1629448	29017630.00
2012/07/02	11.78	12.16	11.67	12.08	2065621	38251332.00
2012/07/03	12.12	12.50	11.97	12.41	3808518	72684392.00
2012/07/04	12.45	12.48	12.03	12.27	1599708	30238172.00
2012/07/05	12.25	12.25	11.75	11.85	2211347	40757292.00
2012/07/06	11.91	12.85	11.91	12.73	5298794	101783296.00
2012/07/09	12.68	13.20	12.63	12.75	5341190	106740320.00
2012/07/10	12.77	13.49	12.77	13.21	7425159	151786544.00
2012/07/11	13.35	13.39	12.98	13.32	4676446	95418192.00
2012/07/12	13.16	13.86	13.05	13.39	3532658	73862080.00
2012/07/13	13.29	13.64	13.09	13.13	3306911	67989416.00
2012/07/16	13.39	13.68	12.73	12.87	5057220	101845624.00
2012/07/17	12.89	13.96	12.69	13.92	5271906	109037872.00
2012/07/18	13.83	14.73	13.69	14.29	9744447	214002192.00
2012/07/19	14.10	14.49	13.97	14.13	3569619	77773376.00
2012/07/20	13.96	14.27	13.93	14.02	1920837	41626288.00
2012/07/23	13.88	14.24	13.53	14.20	2341528	50295224.00
2012/07/24	14.16	14.45	13.89	14.12	2401247	52403164.00
2012/07/25	13.99	14.26	13.16	13.22	4535048	94283136.00
2012/07/26	13.22	13.49	13.15	13.28	2497641	51423024.00
2012/07/27	13.31	13.69	13.29	13.30	2558176	53111448.00
2012/07/30	13.30	13.58	13.11	13.20	1222871	25110680.00
2012/07/31	13.27	14.16	12.84	12.91	4859572	101662992.00
2012/08/01	12.66	13.24	12.13	13.03	3496397	69033728.00
2012/08/02	12.90	13.62	12.71	13.29	2570533	52328852.00
2012/08/03	13.28	13.50	13.03	13.49	2251591	46166428.00
2012/08/06	13.35	13.80	13.28	13.73	2325699	48786404.00
2012/08/07	13.69	14.43	13.60	14.09	4335257	94456432.00
2012/08/08	14.00	14.11	13.49	13.70	2676745	56595320.00
2012/08/09	13.63	13.95	13.41	13.79	1598102	33730664.00
2012/08/10	13.79	14.15	13.76	13.94	1933347	41617840.00
2012/08/13	13.99	14.95	13.99	14.42	5374614	120477344.00
2012/08/14	14.66	15.77	14.66	14.89	9043087	211456928.00
2012/08/15	14.44	14.89	14.41	14.81	2902726	65327692.00
2012/08/16	14.63	14.75	14.45	14.63	1601270	35984080.00
2012/08/17	14.64	14.89	14.25	14.66	1448006	32332518.00
2012/08/20	14.35	14.81	14.33	14.66	1439084	32146340.00
2012/08/21	14.66	15.31	14.57	14.98	3395946	78775240.00
2012/08/22	14.89	15.39	14.83	15.29	2165080	50663904.00
2012/08/23	15.09	15.55	14.97	15.05	2082475	48508096.00
2012/08/24	15.09	15.73	14.48	14.72	3080950	72261032.00
2012/08/27	14.72	14.88	14.38	14.49	2178226	49106204.00
2012/08/28	14.43	14.88	14.38	14.67	1291777	29108614.00
2012/08/29	14.59	14.83	14.34	14.36	874656	19608522.00
2012/08/30	14.30	15.15	14.19	14.27	2458129	54949052.00
2012/08/31	14.26	14.69	14.19	14.55	885100	19762458.00
2012/09/03	14.59	15.35	14.41	15.29	2836132	65792272.00
2012/09/04	15.35	15.49	15.15	15.25	2265234	53231384.00
2012/09/05	15.23	15.26	14.77	15.15	1680906	38854960.00
2012/09/06	15.16	15.23	14.41	14.55	3117165	70287312.00
2012/09/07	14.63	15.33	14.43	14.89	3651609	83905176.00
2012/09/10	14.87	14.87	14.36	14.47	3164271	70536424.00
2012/09/11	14.39	14.70	14.24	14.57	1725981	38681168.00
2012/09/12	14.58	15.05	14.57	15.03	2745569	62783688.00
2012/09/13	15.06	15.09	14.28	14.29	3400218	76071648.00
2012/09/14	14.29	14.53	13.89	13.94	3912408	84668456.00
2012/09/17	13.99	14.33	13.76	14.23	2788352	60176216.00
2012/09/18	14.16	14.39	13.26	13.76	4208891	89621992.00
2012/09/19	13.65	13.69	13.33	13.51	3078219	63979128.00
2012/09/20	13.56	13.62	12.36	12.41	4032761	79572032.00
2012/09/21	12.43	12.84	12.24	12.52	2926830	56816064.00
2012/09/24	12.51	13.09	12.43	12.99	2342955	46405392.00
2012/09/25	12.99	13.29	12.89	13.07	1600152	32394108.00
2012/09/26	13.08	13.25	12.70	12.73	1425832	28506848.00
2012/09/27	12.66	13.69	12.63	13.63	2737841	56311204.00
2012/09/28	13.56	13.69	13.36	13.65	1678397	35209080.00
2012/10/08	13.69	13.93	13.65	13.89	1277087	27175196.00
2012/10/09	13.81	14.19	13.71	14.05	1826065	39499364.00
2012/10/10	13.96	14.05	13.66	13.83	1570234	33413528.00
2012/10/11	13.81	14.05	13.66	13.71	1044459	22366374.00
2012/10/12	13.83	13.92	13.53	13.84	1106097	23426408.00
2012/10/15	13.87	14.41	13.76	14.33	2022186	44222032.00
2012/10/16	14.29	14.41	14.13	14.31	1030864	22679452.00
2012/10/17	14.31	14.57	14.17	14.51	1001925	22208532.00
2012/10/18	14.47	14.55	14.29	14.46	974562	21650366.00
2012/10/19	14.46	14.65	14.23	14.25	710954	15684390.00
2012/10/22	14.25	14.43	14.09	14.13	1120189	24554268.00
2012/10/23	14.12	14.19	13.61	13.63	1996761	42544960.00
2012/10/24	13.63	13.81	13.49	13.57	1125890	23603884.00
2012/10/25	13.69	13.81	13.55	13.59	898068	18919668.00
2012/10/26	13.56	13.63	13.15	13.32	690858	14190391.00
2012/10/29	13.32	13.32	12.74	13.19	1347965	27024400.00
2012/10/30	13.16	13.73	13.06	13.62	1517881	31293804.00
2012/10/31	13.53	14.03	13.36	13.97	1965641	41782636.00
2012/11/01	13.97	14.10	13.89	13.97	1069698	23134852.00
2012/11/02	14.01	14.10	13.89	14.08	823376	17794648.00
2012/11/05	14.13	14.13	13.55	13.93	895307	19088906.00
2012/11/06	13.91	13.91	13.29	13.69	766998	16028698.00
2012/11/07	13.63	13.83	13.56	13.73	619221	13122684.00
2012/11/08	13.49	13.61	13.16	13.17	1198415	24692170.00
