600499 科达洁能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.64	11.84	11.41	11.56	1398798	16770565.00
2011/10/11	11.94	12.08	11.21	11.29	2582770	30834610.00
2011/10/12	11.29	11.72	11.26	11.70	4516388	54312448.00
2011/10/13	11.70	11.96	11.62	11.86	6125759	74844600.00
2011/10/14	11.77	12.25	11.77	12.06	5687341	70906544.00
2011/10/17	12.30	12.38	12.02	12.21	5626142	70718976.00
2011/10/18	12.00	12.34	11.95	12.13	4518283	56651448.00
2011/10/19	12.09	12.25	11.71	11.87	3317939	40763112.00
2011/10/20	11.91	11.91	11.11	11.24	4684034	55106272.00
2011/10/21	11.35	11.35	10.98	11.06	1740891	20054540.00
2011/10/24	11.07	11.07	10.50	11.00	6463219	72722768.00
2011/10/25	11.02	11.39	10.69	11.37	11454478	131740616.00
2011/10/26	11.20	11.85	11.18	11.59	10843045	129558600.00
2011/10/27	11.80	12.47	11.67	11.90	14024661	175097920.00
2011/10/28	12.01	12.56	11.98	12.36	10769524	136276464.00
2011/10/31	12.43	12.51	12.20	12.34	6772704	86249400.00
2011/11/01	12.16	12.48	12.11	12.21	6588553	83690752.00
2011/11/02	11.98	12.68	11.85	12.62	7075805	89223800.00
2011/11/03	12.66	13.37	12.63	12.80	14237203	191040816.00
2011/11/04	12.94	13.00	12.68	12.95	5479060	72516064.00
2011/11/07	12.90	13.24	12.71	13.01	6004762	80229528.00
2011/11/08	12.93	13.03	12.63	12.95	4161528	55156532.00
2011/11/09	12.87	13.57	12.68	13.52	7922410	107056696.00
2011/11/10	13.32	13.49	13.21	13.32	6042151	82989832.00
2011/11/11	13.27	13.38	13.11	13.21	2471598	33675560.00
2011/11/14	13.35	13.89	13.35	13.74	6976325	98195872.00
2011/11/15	13.75	14.50	13.63	14.37	15490035	225536608.00
2011/11/16	14.37	14.60	13.88	13.91	11032887	161005440.00
2011/11/17	13.95	14.16	13.78	13.97	5262661	75770896.00
2011/11/18	13.79	13.84	13.04	13.36	7480700	103177208.00
2011/11/21	13.30	13.49	12.94	13.46	3733061	50773648.00
2011/11/22	13.25	13.59	12.84	13.30	7143812	96124688.00
2011/11/23	13.23	13.47	13.00	13.18	3206559	43877072.00
2011/11/24	13.10	13.38	12.93	13.22	3554399	48178340.00
2011/11/25	13.23	13.31	13.03	13.18	2081597	28252280.00
2011/11/28	13.13	13.26	12.90	12.94	2473768	33271230.00
2011/11/29	13.01	13.19	12.87	13.01	5413528	72419864.00
2011/11/30	13.00	13.00	11.96	12.04	3984258	51262648.00
2011/12/01	12.45	12.55	11.98	12.00	8737085	110567344.00
2011/12/02	11.99	12.01	11.30	11.51	5050905	60449276.00
2011/12/05	11.77	11.80	11.22	11.29	3309243	39518484.00
2011/12/06	11.26	11.45	11.11	11.35	1733724	20323244.00
2011/12/07	11.38	11.69	11.36	11.61	2415805	28948148.00
2011/12/08	11.58	11.75	11.30	11.58	2357585	28195504.00
2011/12/09	11.38	11.57	11.34	11.46	1316608	15603689.00
2011/12/12	11.36	11.56	11.20	11.22	1386030	16236137.00
2011/12/13	11.20	11.21	10.80	10.95	1724005	19572166.00
2011/12/14	10.83	10.95	10.50	10.52	2804057	31211580.00
2011/12/15	10.22	10.40	10.19	10.20	1969250	21063704.00
2011/12/16	10.12	10.56	10.00	10.51	4411320	47192780.00
2011/12/19	10.43	10.46	10.13	10.38	2631819	28161216.00
2011/12/20	10.38	10.53	10.18	10.25	3204664	34460336.00
2011/12/21	10.37	10.40	9.79	9.80	2490142	26306504.00
2011/12/22	9.73	9.74	9.22	9.42	3729820	36742032.00
2011/12/23	9.40	9.64	9.16	9.53	2253560	22269122.00
2011/12/26	9.53	9.64	9.36	9.37	2999522	29696058.00
2011/12/27	9.42	9.42	8.72	8.78	4207620	39714388.00
2011/12/28	8.75	8.80	8.40	8.73	4717171	42213024.00
2011/12/29	8.70	8.75	8.52	8.56	5960132	53691836.00
2011/12/30	8.65	8.80	8.57	8.76	8018982	72891048.00
2012/01/04	8.89	9.05	8.60	8.61	7903116	73455992.00
2012/01/05	8.50	8.79	8.40	8.55	4284607	38389660.00
2012/01/06	8.43	8.78	8.18	8.73	8417024	74308712.00
2012/01/09	8.73	9.48	8.58	9.39	9484796	89310320.00
2012/01/10	9.30	9.86	9.25	9.82	10647762	106894656.00
2012/01/11	9.82	9.97	9.62	9.71	8353337	85100768.00
2012/01/12	9.69	9.93	9.61	9.78	6602587	67266752.00
2012/01/13	9.83	9.83	9.22	9.31	6864444	67608176.00
2012/01/16	9.10	9.18	8.52	8.56	7295803	67338552.00
2012/01/17	8.50	9.36	8.50	9.33	6291152	58492860.00
2012/01/18	9.23	9.33	8.68	8.83	11667107	110305528.00
2012/01/19	8.79	9.01	8.60	8.95	7487790	69603896.00
2012/01/20	8.98	9.30	8.96	9.23	6341432	60681864.00
2012/01/31	9.07	9.07	8.52	8.78	10716632	97414064.00
2012/02/01	8.71	8.83	8.53	8.70	5074894	46117380.00
2012/02/02	8.70	9.12	8.64	9.10	10326782	95327640.00
2012/02/03	9.05	9.55	9.01	9.41	12742001	123300136.00
2012/02/06	9.40	9.66	9.27	9.49	12434451	122810584.00
2012/02/07	9.43	9.48	9.19	9.37	9585735	93369632.00
2012/02/08	9.30	9.84	9.11	9.80	13369528	132619472.00
