600500 中化国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.77	7.81	7.56	7.58	4379760	35450888.00
2011/10/11	7.77	7.86	7.32	7.42	8357968	66862968.00
2011/10/12	7.37	7.69	7.29	7.68	7320102	58505808.00
2011/10/13	7.66	7.74	7.63	7.69	6932242	56189944.00
2011/10/14	7.70	7.72	7.53	7.59	4490677	36029824.00
2011/10/17	7.61	7.71	7.56	7.61	4344674	34967264.00
2011/10/18	7.54	7.56	7.30	7.34	4651781	36473672.00
2011/10/19	7.38	7.44	7.31	7.35	2280129	17766128.00
2011/10/20	7.28	7.35	6.99	7.07	4164229	31473888.00
2011/10/21	7.03	7.12	6.91	6.92	4755494	35309872.00
2011/10/24	6.92	7.08	6.88	7.07	5183781	38513760.00
2011/10/25	7.07	7.26	7.02	7.22	6602742	50093580.00
2011/10/26	7.17	7.40	7.11	7.32	7674107	59140652.00
2011/10/27	7.33	7.49	7.32	7.37	7728525	60387224.00
2011/10/28	7.48	7.54	7.40	7.49	7986503	62965784.00
2011/10/31	7.50	7.59	7.40	7.50	5814360	46012084.00
2011/11/01	7.44	7.54	7.38	7.43	5004778	39384700.00
2011/11/02	7.30	7.57	7.26	7.56	7351827	57736824.00
2011/11/03	7.58	7.79	7.58	7.68	11131680	90336144.00
2011/11/04	7.76	7.80	7.64	7.74	6730410	54824172.00
2011/11/07	7.71	7.92	7.68	7.72	11344816	93070992.00
2011/11/08	7.72	7.79	7.62	7.64	9402664	76371456.00
2011/11/09	7.65	7.69	7.50	7.66	5638269	45159096.00
2011/11/10	7.54	7.60	7.48	7.49	3979028	31627020.00
2011/11/11	7.63	7.76	7.53	7.57	5367577	43259688.00
2011/11/14	7.62	7.79	7.61	7.75	6332244	51520112.00
2011/11/15	7.78	8.17	7.71	8.10	26806068	226082912.00
2011/11/16	8.14	8.29	7.95	7.99	21813925	186672544.00
2011/11/17	8.01	8.04	7.80	7.84	12760038	105885560.00
2011/11/18	7.81	7.81	7.45	7.47	9176887	73751376.00
2011/11/21	7.55	7.59	7.31	7.41	4765883	37224672.00
2011/11/22	7.36	7.47	7.27	7.44	3475039	27046000.00
2011/11/23	7.48	7.48	7.33	7.33	3072059	23960294.00
2011/11/24	7.29	7.38	7.25	7.35	2751523	21297888.00
2011/11/25	7.33	7.41	7.26	7.26	2773219	21496476.00
2011/11/28	7.29	7.36	7.24	7.29	2202131	16974496.00
2011/11/29	7.39	7.51	7.33	7.48	3833583	30144456.00
2011/11/30	7.43	7.50	6.83	6.93	6326371	47868184.00
2011/12/01	7.23	7.29	7.08	7.09	8278689	62940252.00
2011/12/02	7.07	7.17	7.01	7.10	3957823	29643428.00
2011/12/05	7.23	7.23	6.90	6.91	2768065	20459330.00
2011/12/06	6.91	7.00	6.86	6.90	2719079	19979062.00
2011/12/07	6.88	6.98	6.87	6.91	1853552	13583368.00
2011/12/08	6.89	7.03	6.67	6.95	5805311	42455832.00
2011/12/09	6.85	6.95	6.77	6.81	2366358	17222920.00
2011/12/12	6.76	6.86	6.55	6.60	3723799	26428310.00
2011/12/13	6.58	6.62	6.30	6.31	4340817	29746348.00
2011/12/14	6.34	6.39	6.19	6.22	3014125	20254872.00
2011/12/15	6.23	6.23	6.05	6.05	3749416	24520016.00
2011/12/16	6.05	6.23	6.04	6.19	2917122	19091924.00
2011/12/19	6.12	6.30	5.91	6.27	6616190	43529936.00
2011/12/20	6.20	6.37	6.19	6.23	4490225	30241716.00
2011/12/21	6.32	6.35	6.02	6.04	2722856	18057184.00
2011/12/22	6.02	6.08	5.80	5.97	3626081	23031798.00
2011/12/23	5.94	6.13	5.93	6.01	1972800	12739662.00
2011/12/26	6.01	6.06	5.92	5.93	2204264	14106404.00
2011/12/27	5.93	5.96	5.84	5.85	2144999	13542805.00
2011/12/28	5.85	5.91	5.78	5.89	2133757	13381461.00
2011/12/29	5.86	5.98	5.83	5.88	2442933	15499891.00
2011/12/30	5.93	6.02	5.93	5.97	2746617	17581776.00
2012/01/04	6.03	6.07	5.85	5.86	2972399	18972524.00
2012/01/05	5.87	5.91	5.78	5.79	2998282	18775390.00
2012/01/06	5.85	5.87	5.73	5.86	3192723	19840724.00
2012/01/09	5.93	6.16	5.85	6.16	5733621	37059492.00
2012/01/10	6.09	6.53	6.09	6.46	10576731	71378736.00
2012/01/11	6.43	6.59	6.34	6.46	8493800	58465676.00
2012/01/12	6.41	6.54	6.33	6.38	3985014	27359736.00
2012/01/13	6.41	6.41	6.14	6.19	4730741	31518088.00
2012/01/16	6.15	6.23	6.08	6.09	2849961	18725464.00
2012/01/17	6.11	6.53	6.11	6.48	7786376	52975372.00
2012/01/18	6.56	6.56	6.30	6.34	6565175	44927156.00
2012/01/19	6.40	6.63	6.30	6.56	7936558	54968336.00
2012/01/20	6.54	6.76	6.49	6.64	7651732	53941296.00
2012/01/30	6.65	6.66	6.39	6.42	5522826	38197192.00
2012/01/31	6.44	6.47	6.35	6.41	2940795	20051896.00
2012/02/01	6.39	6.47	6.32	6.33	2607638	17754784.00
2012/02/02	6.35	6.51	6.31	6.51	3135207	21438114.00
2012/02/03	6.46	6.60	6.46	6.58	5643944	39357280.00
2012/02/06	6.62	6.69	6.56	6.59	5174538	36403592.00
2012/02/07	6.54	6.59	6.38	6.51	7169966	49615336.00
