600502 安徽水利 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.89	7.97	7.71	7.97	5191329	62379260.00
2011/10/11	8.27	8.37	7.97	8.17	10499162	131329376.00
2011/10/12	7.98	8.56	7.97	8.51	13203561	168425200.00
2011/10/13	8.77	9.17	8.77	8.85	27588300	376785504.00
2011/10/14	8.65	9.23	8.63	9.06	23056084	317695872.00
2011/10/17	9.03	9.20	8.95	9.16	19260018	267377792.00
2011/10/18	9.01	9.14	8.44	8.51	21965406	295112864.00
2011/10/19	8.56	8.69	8.47	8.53	8643791	113399856.00
2011/10/20	8.44	8.44	8.09	8.27	7736928	97426056.00
2011/10/21	8.29	8.32	7.97	7.99	6335510	78731704.00
2011/10/24	8.01	8.31	7.84	8.30	8944176	110912376.00
2011/10/25	8.36	8.84	8.19	8.68	13102108	170747264.00
2011/10/26	8.56	9.12	8.55	8.95	24168773	329929536.00
2011/10/27	8.93	9.31	8.84	8.93	20230628	280201568.00
2011/10/28	9.11	9.21	8.93	9.11	15782325	218607280.00
2011/10/31	9.07	9.47	9.01	9.43	20578074	292082432.00
2011/11/01	9.33	9.71	9.27	9.55	23100029	334687616.00
2011/11/02	9.35	9.73	9.31	9.67	20768562	301453568.00
2011/11/03	10.05	10.49	9.70	9.71	36274309	556386240.00
2011/11/04	9.71	9.84	9.51	9.70	15561410	229566464.00
2011/11/07	9.71	9.79	9.50	9.54	11508150	169195072.00
2011/11/08	9.54	9.64	9.38	9.45	9660684	140022544.00
2011/11/09	9.52	9.72	9.38	9.71	11510514	168314576.00
2011/11/10	9.56	9.65	9.43	9.43	9508422	138169056.00
2011/11/11	9.43	9.55	9.27	9.37	6245745	89729856.00
2011/11/14	9.47	9.69	9.47	9.66	10730915	157351216.00
2011/11/15	9.64	9.78	9.57	9.67	9197556	135935984.00
2011/11/16	9.68	9.73	9.25	9.33	10772250	154995776.00
2011/11/17	9.37	9.41	9.15	9.17	8311715	117194312.00
2011/11/18	9.10	9.33	8.89	8.95	9673025	134364656.00
2011/11/21	8.97	9.27	8.71	9.23	11154025	153271312.00
2011/11/22	9.03	9.19	8.97	9.09	7148709	99007968.00
2011/11/23	9.16	9.25	8.97	8.99	6768481	94335872.00
2011/11/24	8.84	9.03	8.67	9.00	7403524	99969496.00
2011/11/25	8.93	9.17	8.77	9.05	11253812	154487120.00
2011/11/28	9.14	9.56	9.14	9.37	20413840	291719072.00
2011/11/29	9.47	9.50	9.29	9.41	10980825	157040160.00
2011/11/30	9.41	9.49	8.97	9.11	14352767	201968896.00
2011/12/01	9.51	9.71	9.34	9.68	25573732	371307968.00
2011/12/02	9.55	9.67	9.23	9.35	14375540	207412640.00
2011/12/05	9.30	9.35	8.51	8.59	17728751	238614448.00
2011/12/06	8.64	8.69	8.37	8.61	8128822	106144408.00
2011/12/07	8.59	8.71	8.52	8.62	5137340	67481872.00
2011/12/08	8.63	8.95	8.52	8.81	11208837	150283200.00
2011/12/09	8.70	8.87	8.64	8.75	5224620	69860976.00
2011/12/12	8.84	9.04	8.81	8.85	10847803	148097024.00
2011/12/13	8.84	9.11	8.77	8.97	17447533	239053568.00
2011/12/14	8.89	8.89	8.39	8.61	10755919	142763984.00
2011/12/15	8.38	8.50	8.02	8.05	13709582	173320864.00
2011/12/16	8.14	8.55	8.04	8.54	9127256	115352192.00
2011/12/19	8.49	8.75	8.37	8.70	11824846	155681936.00
2011/12/20	8.65	8.77	8.53	8.55	8014232	105888096.00
2011/12/21	8.70	8.76	8.31	8.35	7565005	99372368.00
2011/12/22	8.31	8.68	8.09	8.56	10308333	131968128.00
2011/12/23	8.51	8.94	8.47	8.89	16885677	225222848.00
2011/12/26	8.83	9.06	8.74	8.84	13968611	189371072.00
2011/12/27	8.76	8.87	8.51	8.53	10547224	139731152.00
2011/12/28	8.44	8.63	8.19	8.54	8001009	102971952.00
2011/12/29	8.53	8.66	8.43	8.53	7124665	93215216.00
2011/12/30	8.54	8.87	8.54	8.79	10542148	140059456.00
2012/01/04	8.87	8.90	8.54	8.56	8207320	109399784.00
2012/01/05	8.44	8.55	8.05	8.12	8862718	112093776.00
2012/01/06	8.05	8.15	7.78	8.10	10219197	124838336.00
2012/01/09	8.09	8.41	7.95	8.40	10098274	127073744.00
2012/01/10	8.43	8.72	8.35	8.67	14639299	192621248.00
2012/01/11	8.68	8.83	8.51	8.63	12243278	162099840.00
2012/01/12	8.64	8.84	8.59	8.69	10218879	136159360.00
2012/01/13	8.69	8.71	8.27	8.31	10476623	135147600.00
2012/01/16	8.13	8.40	8.06	8.08	4643153	58302928.00
2012/01/17	8.11	8.70	8.01	8.61	11666501	150364448.00
2012/01/18	8.60	8.69	8.27	8.30	10193347	132059104.00
2012/01/19	8.34	8.42	8.17	8.27	7672827	97243344.00
2012/01/20	8.36	8.79	8.33	8.71	16749128	221160352.00
2012/01/30	8.74	8.74	8.55	8.59	7306950	96385616.00
