600505 西昌电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.92	10.03	9.75	9.83	1834225	18288804.00
2011/10/11	9.97	10.21	9.81	9.93	3341146	33787708.00
2011/10/12	9.90	10.35	9.73	10.30	4524272	46424488.00
2011/10/13	10.26	11.07	10.19	10.97	14418838	156403296.00
2011/10/14	10.79	10.87	10.56	10.64	6849801	73923872.00
2011/10/17	10.71	10.90	10.51	10.82	5397841	58453168.00
2011/10/18	10.63	10.95	10.31	10.37	5033262	54042420.00
2011/10/19	10.39	10.49	9.99	10.11	4502911	46033252.00
2011/10/20	9.98	10.04	9.87	10.02	2433179	24389872.00
2011/10/21	10.02	10.09	9.87	9.91	1752565	17610978.00
2011/10/24	9.93	10.11	9.76	10.01	4240605	42621472.00
2011/10/25	10.02	10.39	10.02	10.30	4785761	49383092.00
2011/10/26	10.21	10.52	10.17	10.28	5971623	62450832.00
2011/10/27	10.28	10.64	10.28	10.42	6306137	66621364.00
2011/10/28	10.50	10.66	10.33	10.60	8998279	95381744.00
2011/10/31	10.60	10.66	10.42	10.57	5288469	56239728.00
2011/11/01	10.41	10.60	10.29	10.57	5315344	56256944.00
2011/11/02	10.51	11.22	10.44	11.17	23859182	263381392.00
2011/11/03	11.00	11.33	10.93	11.01	13580721	151994560.00
2011/11/04	11.06	11.49	11.06	11.23	12164691	138548336.00
2011/11/07	11.23	11.41	11.07	11.13	8435639	95641728.00
2011/11/08	11.11	11.24	10.92	10.96	4881346	54419892.00
2011/11/09	10.99	11.17	10.83	11.16	4653338	51762408.00
2011/11/10	11.06	11.46	10.93	11.32	9870221	111899456.00
2011/11/11	11.26	11.37	11.06	11.15	4491620	50865096.00
2011/11/14	11.32	11.57	11.21	11.51	7362863	85007072.00
2011/11/15	11.51	11.96	11.50	11.91	13160020	156274624.00
2011/11/16	11.90	11.90	11.51	11.61	7804353	91450448.00
2011/11/17	11.61	11.81	11.56	11.69	5701809	67106584.00
2011/11/21	11.39	11.39	10.95	11.11	4474265	50265752.00
2011/11/22	11.06	11.13	10.71	10.90	3579825	39339212.00
2011/11/23	10.81	11.27	10.81	11.04	4152230	46615960.00
2011/11/24	10.92	11.13	10.88	10.99	2064217	22874990.00
2011/11/25	11.04	11.17	10.93	11.00	2052535	22842228.00
2011/11/28	11.04	11.14	10.89	11.02	2520697	27913306.00
2011/11/29	11.12	11.21	11.04	11.20	2791972	31319688.00
2011/11/30	11.19	11.39	10.66	10.72	4803388	53309016.00
2011/12/01	11.22	11.29	10.86	10.95	4440275	49445892.00
2011/12/02	10.74	10.93	10.35	10.40	3197902	34162372.00
2011/12/05	10.39	10.44	9.91	10.15	2376334	24412164.00
2011/12/06	10.03	10.26	9.96	10.15	1331561	13551753.00
2011/12/07	10.18	10.30	10.10	10.21	1248567	12866957.00
2011/12/08	10.21	10.36	10.06	10.24	1331236	13728905.00
2011/12/09	10.21	10.28	10.08	10.20	807089	8302060.00
2011/12/12	10.11	10.20	9.94	9.97	993347	10080027.00
2011/12/13	9.94	9.97	8.96	9.06	3708656	34863748.00
2011/12/14	9.08	9.19	8.72	8.91	2080683	18822516.00
2011/12/15	8.84	8.97	8.44	8.83	2439747	21558112.00
