600511 国药股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.55	15.63	15.08	15.12	907647	14412280.00
2011/10/11	15.55	15.75	14.94	15.10	1165235	18475084.00
2011/10/12	14.98	15.68	14.96	15.66	2773557	44311204.00
2011/10/13	15.66	16.14	15.55	15.83	2757021	45235404.00
2011/10/14	15.85	16.01	15.51	15.63	1813465	29480068.00
2011/10/17	15.64	15.81	15.54	15.79	1526720	24755572.00
2011/10/18	15.72	15.72	15.06	15.12	1934179	30583596.00
2011/10/19	15.21	15.26	14.66	14.75	2348208	36193868.00
2011/10/20	14.75	14.78	14.21	14.24	2793695	41592584.00
2011/10/21	14.24	14.31	13.85	13.91	1337979	19554208.00
2011/10/24	13.91	14.22	13.51	14.19	1854357	26896936.00
2011/10/25	14.19	14.55	13.91	14.51	2501433	37158704.00
2011/10/26	14.51	14.79	14.21	14.56	3398516	51268944.00
2011/10/27	14.41	15.04	14.41	14.81	3816448	58838124.00
2011/10/28	15.11	15.31	14.96	15.16	2787900	43641020.00
2011/10/31	15.23	15.26	14.91	15.11	2266775	35322744.00
2011/11/01	14.96	15.21	14.82	15.05	2495722	38881684.00
2011/11/02	14.98	15.38	14.73	15.37	2399126	37513808.00
2011/11/03	15.46	15.83	15.38	15.57	4218540	68207392.00
2011/11/04	15.64	15.71	15.33	15.58	2041875	32689524.00
2011/11/07	15.59	15.72	15.35	15.42	1658447	26614826.00
2011/11/08	15.44	16.11	14.98	15.06	3770116	59758336.00
2011/11/09	15.06	15.39	14.96	15.37	2155346	33883736.00
2011/11/10	15.24	15.32	15.07	15.19	1662607	26121948.00
2011/11/11	15.23	15.34	15.12	15.21	1009335	15904844.00
2011/11/14	15.27	15.53	15.27	15.46	2722969	43419524.00
2011/11/15	15.45	15.73	15.26	15.71	3864340	62199408.00
2011/11/16	15.67	15.96	15.37	15.44	4367291	71046960.00
2011/11/17	15.44	15.53	15.06	15.12	2622931	41444832.00
2011/11/21	14.73	14.74	14.16	14.42	3454936	51616640.00
2011/11/22	14.16	14.42	14.11	14.16	2497049	36820144.00
2011/11/23	14.22	14.31	14.07	14.13	1876022	27560780.00
2011/11/24	14.01	14.31	13.92	14.29	1693576	24820566.00
2011/11/25	14.26	14.26	14.09	14.09	1105978	16265277.00
2011/11/28	14.19	14.26	13.95	14.04	876012	12769722.00
2011/11/29	14.23	14.36	14.06	14.35	1535136	22730392.00
2011/11/30	14.31	14.55	13.68	14.02	2422899	35741440.00
2011/12/01	14.32	14.64	14.06	14.61	3555259	53385460.00
2011/12/02	14.59	14.60	14.28	14.45	2305768	34549428.00
2011/12/05	14.39	14.46	13.91	14.14	1589154	23220616.00
2011/12/06	14.14	14.17	13.83	14.11	722463	10508646.00
2011/12/07	13.95	14.13	13.91	13.95	684056	9962320.00
2011/12/08	14.06	14.06	13.66	13.99	1292602	18587732.00
2011/12/09	13.86	13.94	13.36	13.58	3147554	44582976.00
2011/12/12	13.50	13.62	13.11	13.11	1749507	24140620.00
2011/12/13	13.14	13.14	12.76	13.04	2609585	34976040.00
2011/12/14	12.86	13.01	12.74	12.93	2138077	28656708.00
2011/12/15	12.88	12.88	12.32	12.66	2155194	28201844.00
2011/12/16	12.66	13.20	12.49	13.14	2006953	26788708.00
2011/12/19	13.11	13.11	12.71	12.96	1666259	22350152.00
2011/12/20	12.96	13.04	12.47	12.51	1723589	22991296.00
2011/12/21	12.73	12.73	12.26	12.28	1999182	26029656.00
2011/12/23	12.23	12.34	11.96	12.16	1757526	22302200.00
2011/12/26	12.16	12.23	11.97	12.00	2575154	32618296.00
2011/12/27	11.97	12.02	11.18	11.20	3175087	38293288.00
2011/12/28	11.20	11.30	10.75	11.28	4051790	46938492.00
2011/12/29	11.06	11.31	11.05	11.13	1576742	18505134.00
2011/12/30	11.07	11.47	11.07	11.45	1792346	21165452.00
2012/01/04	11.47	11.58	11.15	11.15	891356	10599457.00
2012/01/05	11.18	11.18	10.45	10.67	2026137	22722696.00
2012/01/06	10.64	10.68	9.92	10.19	6293468	67553248.00
2012/01/09	10.26	10.71	10.07	10.64	5966901	65549592.00
2012/01/10	10.68	11.19	10.57	11.10	3758679	43138456.00
2012/01/11	11.11	11.29	10.98	11.16	2075609	24228998.00
2012/01/12	11.14	11.26	11.02	11.10	1827438	21326758.00
2012/01/13	11.10	11.12	10.36	10.49	2480150	27769202.00
2012/01/16	10.41	10.49	10.17	10.19	1927782	20954644.00
2012/01/17	10.24	10.81	10.04	10.79	2318039	25703520.00
2012/01/18	10.91	10.93	10.41	10.45	2179374	24395360.00
2012/01/19	10.41	10.81	10.41	10.74	1721932	19344322.00
2012/01/20	10.76	11.20	10.71	11.09	2406736	27794776.00
2012/01/30	11.12	11.19	10.91	10.95	1209405	13964945.00
2012/01/31	10.92	10.99	10.63	10.79	1282360	14499845.00
2012/02/01	10.79	10.89	10.64	10.71	1440324	16270317.00
2012/02/02	10.78	10.84	10.62	10.83	3713928	41753324.00
2012/02/03	10.76	11.42	10.72	11.41	7794344	91057416.00
2012/02/06	11.39	11.61	11.26	11.59	5507858	65834012.00
2012/02/07	11.52	11.52	11.21	11.36	4321908	51265400.00
