600513 联环药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.28	10.44	10.10	10.17	949661	12971834.00
2011/10/11	10.43	10.52	10.12	10.24	790990	10862630.00
2011/10/12	10.24	10.57	10.13	10.56	1572953	21864370.00
2011/10/13	10.47	10.94	10.43	10.75	1986949	28428240.00
2011/10/14	10.65	10.76	10.52	10.63	1195768	16916964.00
2011/10/17	10.70	10.72	10.59	10.66	1026484	14553108.00
2011/10/18	10.59	10.59	10.24	10.29	1269337	17576026.00
2011/10/19	10.30	10.46	10.17	10.24	570366	7796078.00
2011/10/20	10.14	10.17	9.76	9.93	826803	11032952.00
2011/10/21	9.92	10.00	9.82	9.83	513839	6780163.00
2011/10/24	9.86	10.12	9.80	10.11	853147	11360655.00
2011/10/25	10.11	10.40	10.00	10.32	1547670	21125964.00
2011/10/26	10.28	10.59	10.11	10.40	1876226	26033276.00
2011/10/27	10.50	11.09	10.50	10.56	3775156	54110032.00
2011/10/28	10.47	10.70	10.47	10.67	2633518	37161828.00
2011/10/31	10.56	10.74	10.50	10.60	1558597	22020654.00
2011/11/01	10.47	10.73	10.45	10.62	1721703	24318040.00
2011/11/02	10.50	10.83	10.30	10.74	1724125	24237640.00
2011/11/03	10.74	11.05	10.74	10.77	3279360	47524080.00
2011/11/04	10.79	11.01	10.75	10.90	2033429	29430876.00
2011/11/07	10.94	11.26	10.85	11.03	3232620	47643104.00
2011/11/08	10.92	11.01	10.69	10.71	1634335	23529208.00
2011/11/09	10.79	10.91	10.60	10.90	1392102	19989656.00
2011/11/10	10.78	11.10	10.71	11.02	2897813	42263224.00
2011/11/11	11.05	11.13	10.80	10.91	1900069	27678020.00
2011/11/14	10.99	11.19	10.92	11.16	2744857	40448996.00
2011/11/15	11.18	11.51	11.04	11.40	4215472	63078672.00
2011/11/16	11.90	12.11	10.94	11.04	5649084	86233264.00
2011/11/17	11.09	11.13	10.71	10.89	2624876	38057444.00
2011/11/18	10.73	11.00	10.57	10.61	1563400	22299692.00
2011/11/21	10.58	10.71	10.36	10.58	818394	11503542.00
2011/11/22	10.51	10.83	10.41	10.82	1665166	23658938.00
2011/11/23	10.86	10.87	10.60	10.66	1366556	19512610.00
2011/11/24	10.57	10.80	10.48	10.68	980199	13914998.00
2011/11/25	10.66	10.71	10.32	10.33	1533850	21370632.00
2011/11/28	10.36	10.46	10.30	10.43	548017	7595705.00
2011/11/29	10.51	11.03	10.51	10.75	2191178	31488060.00
2011/11/30	10.58	10.83	9.82	10.29	1984319	27519854.00
2011/12/01	10.54	10.83	10.41	10.60	2797952	39791364.00
2011/12/02	10.46	10.59	10.29	10.30	1337508	18547490.00
2011/12/05	10.27	10.30	9.91	9.93	1003009	13404345.00
2011/12/06	9.93	10.09	9.90	10.02	608053	8107181.00
2011/12/07	10.02	10.26	10.02	10.10	705715	9519248.00
2011/12/08	10.06	10.13	9.80	9.91	779451	10339938.00
2011/12/09	9.85	10.00	9.83	9.86	484120	6394942.00
2011/12/12	9.87	9.97	9.76	9.82	477746	6279696.00
2011/12/13	10.13	10.81	10.08	10.13	3776271	51601016.00
2011/12/14	9.86	10.03	9.34	9.58	2166253	27804348.00
2011/12/15	9.55	9.55	8.88	8.93	1507835	18386314.00
2011/12/16	8.93	9.09	8.59	9.08	1247389	14897673.00
2011/12/19	8.99	9.02	8.76	8.99	888976	10548080.00
2011/12/20	8.95	9.28	8.90	9.03	1242876	15106028.00
