600523 贵航股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.50	13.50	13.19	13.21	1101875	15118807.00
2011/10/11	13.60	13.71	12.72	13.23	2828444	38618348.00
2011/10/12	13.10	13.81	12.93	13.73	2641987	36916288.00
2011/10/13	13.75	13.94	13.60	13.88	2235467	31823696.00
2011/10/14	13.83	13.94	13.57	13.75	1500348	21189982.00
2011/10/17	13.83	14.11	13.71	14.02	2539707	36365456.00
2011/10/18	13.91	13.96	13.59	13.60	2863578	40434328.00
2011/10/19	13.59	13.78	13.19	13.20	1338719	18549932.00
2011/10/20	13.09	13.20	12.40	12.62	2238219	29434944.00
2011/10/21	12.50	12.97	12.37	12.44	971676	12613764.00
2011/10/24	12.64	12.68	12.09	12.64	1274983	16409923.00
2011/10/25	12.64	13.24	12.54	13.09	2388106	31950188.00
2011/10/26	13.03	13.58	12.94	13.42	3089911	42247752.00
2011/10/27	13.35	13.55	13.15	13.23	2720346	37407124.00
2011/10/28	13.38	13.67	13.27	13.63	3058870	42422168.00
2011/10/31	13.63	13.97	13.54	13.66	3493437	49463820.00
2011/11/01	13.49	13.69	13.30	13.49	2159812	30000636.00
2011/11/02	13.19	13.59	12.89	13.57	3161371	43033976.00
2011/11/03	13.66	14.09	13.61	13.75	4314859	61469068.00
2011/11/04	13.94	14.26	13.74	14.24	4202305	60535384.00
2011/11/07	14.18	14.58	14.03	14.29	4130261	60593080.00
2011/11/08	14.38	14.38	13.73	13.78	3143428	45229376.00
2011/11/09	13.93	14.47	13.86	14.43	6689458	97964328.00
2011/11/10	14.30	14.80	14.25	14.31	6403693	95974176.00
2011/11/11	14.22	14.61	13.98	14.50	3359421	49615348.00
2011/11/14	14.52	14.84	14.52	14.72	3375844	50950064.00
2011/11/15	14.69	14.82	14.51	14.63	3016134	45419768.00
2011/11/16	14.63	14.65	14.04	14.16	2875885	42330236.00
2011/11/17	14.32	14.44	14.05	14.18	2364576	34699284.00
2011/11/18	13.99	14.22	13.63	13.66	2498388	35800392.00
2011/11/21	13.69	13.74	13.19	13.25	2895167	39736080.00
2011/11/22	13.14	13.32	12.99	13.31	1517857	20566172.00
2011/11/23	13.34	13.37	12.99	13.02	1031233	13991133.00
2011/11/24	12.87	13.10	12.76	13.00	864427	11518523.00
2011/11/25	12.90	13.11	12.76	12.85	1109705	14808776.00
2011/11/28	12.95	13.03	12.62	12.73	1264366	16675355.00
2011/11/29	12.91	13.27	12.78	13.23	3041717	41039152.00
2011/11/30	13.23	13.34	12.38	12.42	2724801	36236812.00
2011/12/01	12.94	13.09	12.59	12.85	2560588	34036448.00
2011/12/02	12.87	12.87	12.49	12.50	1213554	15830352.00
2011/12/05	12.39	12.56	11.70	11.74	1344352	16870120.00
2011/12/06	11.60	11.84	11.44	11.77	1086107	13076363.00
2011/12/07	11.81	12.04	11.71	11.93	987892	12160097.00
2011/12/08	11.86	12.03	11.59	11.93	1158087	14206200.00
2011/12/09	11.77	12.16	11.60	11.63	2230752	27369942.00
2011/12/12	12.09	12.09	11.12	11.21	5231016	62487056.00
2011/12/13	11.19	11.19	10.47	10.55	1914862	21417736.00
2011/12/14	10.54	10.65	10.26	10.33	1031020	11193726.00
2011/12/15	10.34	10.35	9.87	9.90	1727255	18028474.00
2011/12/16	9.79	10.08	9.65	10.05	2947930	30464364.00
2011/12/19	9.97	10.34	9.72	10.20	4236321	44385272.00
2011/12/20	10.10	10.29	9.90	10.01	2209941	23377500.00
2011/12/21	10.10	10.27	9.47	9.57	2605370	27060378.00
2011/12/22	9.49	9.61	8.99	9.49	3197486	30927292.00
2011/12/23	9.41	9.84	9.35	9.70	2143969	21510586.00
2011/12/26	9.59	9.83	9.59	9.67	994470	10055041.00
2011/12/27	9.62	9.62	9.29	9.30	1128190	11115251.00
2011/12/28	9.10	9.20	8.79	9.18	2680209	25113600.00
2011/12/29	9.09	9.37	9.02	9.17	2018353	19439104.00
2011/12/30	9.21	9.41	9.19	9.36	2197923	21313964.00
2012/01/04	9.40	9.54	9.00	9.02	2110509	20500940.00
2012/01/05	8.87	8.95	8.43	8.52	1875731	17077208.00
2012/01/06	8.47	8.68	8.29	8.64	1727785	15309835.00
2012/01/09	8.60	9.12	8.49	9.12	2331487	21672360.00
2012/01/10	9.12	10.07	9.09	10.07	7772113	79573256.00
2012/01/11	10.07	10.68	9.98	10.39	8968227	95871840.00
2012/01/12	10.19	10.77	10.17	10.70	7633022	83145112.00
2012/01/13	10.59	10.72	9.98	10.31	6179322	66777672.00
2012/01/16	10.07	10.52	9.99	10.30	4670295	50001680.00
2012/01/17	10.40	11.36	9.84	10.73	12741927	140198496.00
2012/01/18	10.57	10.74	10.09	10.22	7147910	77435328.00
2012/01/19	10.14	10.46	9.95	10.32	3996771	42496848.00
2012/01/20	10.33	10.39	10.18	10.26	3642875	38997372.00
2012/01/30	10.23	10.36	10.13	10.21	2365847	25200498.00
2012/01/31	10.06	10.31	9.98	10.27	1859481	19606672.00
2012/02/01	10.19	10.35	9.84	9.87	2637217	27655186.00
2012/02/02	9.91	10.15	9.73	10.11	4748262	49087192.00
2012/02/03	10.10	10.66	10.00	10.57	6340018	68326496.00
2012/02/06	10.67	10.82	10.33	10.57	5599201	61413152.00
2012/02/07	10.49	10.56	10.31	10.49	3613531	39111456.00
2012/02/08	10.49	11.06	10.39	10.99	6880129	77069128.00
2012/02/09	10.93	11.52	10.91	11.15	7882197	91560416.00
2012/02/10	11.18	11.33	10.97	11.15	5151397	59641124.00
2012/02/13	10.99	11.46	10.99	11.28	5259372	61427336.00
2012/02/14	11.44	11.66	11.14	11.30	5185794	61101788.00
2012/02/15	11.16	11.55	11.03	11.40	5946307	69797216.00
2012/02/16	11.31	11.52	11.24	11.35	4558166	53713420.00
2012/02/17	11.40	11.45	11.06	11.23	3702840	43099644.00
2012/02/20	11.40	11.57	11.21	11.22	4926583	58130608.00
2012/02/21	11.23	11.49	11.08	11.45	4065203	47592928.00
2012/02/22	11.48	11.84	11.45	11.71	6533486	78786528.00
2012/02/23	11.70	11.99	11.61	11.95	5894235	72138144.00
2012/02/24	11.84	12.28	11.77	12.14	6179442	76831440.00
2012/02/27	12.23	12.34	11.94	11.96	6259544	78607032.00
2012/02/28	11.95	11.99	11.60	11.76	4963573	60557456.00
2012/02/29	11.70	11.91	11.62	11.64	3462809	42118292.00
2012/03/01	11.68	12.01	11.62	11.84	4100082	50459772.00
2012/03/02	11.85	12.22	11.85	12.22	4670962	58276236.00
2012/03/05	12.30	12.75	12.10	12.22	6836492	87792528.00
2012/03/06	12.14	12.73	12.01	12.47	7514093	96157024.00
2012/03/07	12.22	12.96	12.16	12.59	7229140	94578312.00
2012/03/08	12.59	13.09	12.44	13.05	5724421	75026200.00
2012/03/09	13.03	13.84	12.96	13.47	9061410	125215512.00
2012/03/12	13.44	14.14	13.39	13.74	7720248	109759280.00
2012/03/13	13.79	13.87	13.41	13.72	4320745	60572816.00
2012/03/14	13.74	14.28	12.60	13.12	10742638	150381632.00
2012/03/15	13.07	13.32	12.48	12.81	6144993	81868136.00
2012/03/16	12.79	13.39	12.64	13.37	4942599	66375996.00
2012/03/19	13.39	13.42	13.03	13.37	4149569	56786056.00
2012/03/20	13.29	13.31	12.50	12.58	4488551	59607328.00
2012/03/21	12.68	12.84	12.26	12.72	3500079	45337568.00
2012/03/22	12.61	12.85	12.37	12.56	2476380	32190976.00
2012/03/23	12.42	12.95	12.42	12.61	3990760	52310332.00
2012/03/26	12.50	12.70	12.39	12.69	1695969	21982206.00
2012/03/27	12.77	13.18	12.74	12.99	4952135	66447304.00
2012/03/28	12.91	13.05	11.73	11.77	5886958	75473160.00
2012/03/29	11.58	11.61	10.55	10.79	6760368	77114848.00
2012/04/05	10.91	11.46	10.78	11.26	3687733	42751980.00
2012/04/06	11.27	11.51	11.06	11.31	2832763	33288682.00
