600531 豫光金铅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	20.76	20.76	20.15	20.22	1414435	29050400.00
2011/10/11	20.84	21.00	20.05	20.33	2074086	43008508.00
2011/10/12	20.16	21.05	19.75	21.00	3712278	77277424.00
2011/10/13	20.94	21.61	20.70	21.39	4430404	95097528.00
2011/10/14	21.45	21.45	21.01	21.23	2291489	48901520.00
2011/10/17	21.23	21.55	20.97	21.10	1914077	40923576.00
2011/10/18	20.95	20.95	19.89	19.94	3069104	62749320.00
2011/10/19	20.00	20.15	19.69	19.78	1568653	31469862.00
2011/10/20	19.57	19.58	18.85	18.86	2271399	43684876.00
2011/10/21	18.86	19.00	18.30	18.34	2081822	38997380.00
2011/10/24	18.52	19.00	18.06	18.93	2524222	47320408.00
2011/10/25	19.25	20.52	19.05	20.10	6284939	125859104.00
2011/10/26	19.95	21.02	19.90	20.44	7625513	157397632.00
2011/10/27	20.55	20.55	19.85	20.02	4681176	95365568.00
2011/10/28	20.84	21.06	20.57	20.83	6331256	132904176.00
2011/10/31	20.70	20.93	20.47	20.68	4057451	84543392.00
2011/11/01	20.45	20.72	20.26	20.55	2652445	54717920.00
2011/11/02	20.04	20.90	19.87	20.88	3767368	77166144.00
2011/11/03	21.05	21.79	20.95	21.11	6800731	146034976.00
2011/11/04	21.62	22.15	21.45	21.59	6827300	149673152.00
2011/11/07	21.73	21.80	21.21	21.78	4212879	91289504.00
2011/11/08	22.01	22.20	21.35	21.36	4660850	101611984.00
2011/11/09	21.40	21.65	21.00	21.50	3250247	69695184.00
2011/11/10	21.03	21.23	20.67	20.67	4215910	88621784.00
2011/11/11	20.67	20.83	20.45	20.60	2583676	53647268.00
2011/11/14	20.84	21.23	20.82	21.15	3370565	71563456.00
2011/11/15	21.11	21.27	20.89	21.26	2748255	58321720.00
2011/11/16	21.25	21.30	20.47	20.51	3182809	66752824.00
2011/11/17	20.44	20.64	19.85	20.11	3140339	63996112.00
