600547 山东黄金 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	38.49	38.68	37.97	38.14	3608773	139659552.00
2011/10/11	39.39	39.78	38.15	38.39	5663417	222825680.00
2011/10/12	38.25	39.38	37.84	39.17	6050997	237863552.00
2011/10/13	39.17	40.35	38.94	39.78	8847517	354462720.00
2011/10/14	39.75	39.75	39.25	39.58	4306168	171926416.00
2011/10/17	39.72	39.95	39.23	39.41	3552773	141996608.00
2011/10/18	39.29	39.29	37.77	37.86	6148107	238159264.00
2011/10/19	38.06	38.33	37.64	37.78	3705853	142041920.00
2011/10/20	37.59	37.79	35.95	36.09	6508035	239598192.00
2011/10/21	36.08	36.09	34.44	34.65	8798924	310677888.00
2011/10/24	34.70	35.14	34.22	35.11	6222221	218930176.00
2011/10/25	35.19	36.35	34.84	35.96	8815196	318392512.00
2011/10/26	36.30	38.40	36.30	37.78	17597546	664637824.00
2011/10/27	37.94	37.99	37.09	37.36	10031141	379846944.00
2011/10/28	38.09	38.77	37.90	38.22	10001154	387283552.00
2011/10/31	38.29	38.39	37.07	38.04	8998513	343211520.00
2011/11/01	37.38	38.29	37.14	37.62	5631872	214662416.00
2011/11/02	37.08	38.09	36.42	37.95	9301865	349126176.00
2011/11/03	38.35	39.09	38.10	38.45	14095319	550527936.00
2011/11/04	39.39	40.11	39.13	39.32	12174490	486382304.00
2011/11/07	39.36	39.98	38.99	39.67	8425243	335960384.00
2011/11/08	40.59	40.87	39.44	39.54	10441487	422942496.00
2011/11/09	39.74	39.89	39.26	39.66	7371753	294514944.00
2011/11/10	39.18	39.18	38.50	38.73	6392573	250902160.00
2011/11/11	38.59	38.88	38.41	38.64	4203608	164163408.00
2011/11/14	39.29	40.24	39.11	39.98	10201593	411683360.00
2011/11/15	39.87	40.05	39.59	39.85	4957792	199329952.00
2011/11/16	39.92	40.21	38.79	38.80	5995460	238393536.00
2011/11/17	38.69	38.99	38.49	38.67	3956277	154735792.00
2011/11/18	38.04	38.04	37.18	37.30	6337177	240818976.00
2011/11/21	37.19	37.29	36.49	36.63	7153373	266141392.00
2011/11/22	36.44	37.08	36.09	37.05	4835718	177928576.00
2011/11/23	37.33	37.33	36.60	36.65	4299400	160463312.00
2011/11/24	36.19	36.59	35.91	36.21	3728361	136432624.00
2011/11/25	36.24	36.93	36.08	36.36	3053787	112643488.00
2011/11/28	36.69	36.92	36.21	36.43	3674798	135591520.00
2011/11/29	37.09	37.19	36.58	37.11	5935627	221255600.00
2011/11/30	37.11	37.19	35.60	35.89	6050869	222118176.00
2011/12/01	37.19	38.05	37.09	37.36	13352157	507078240.00
2011/12/02	37.14	37.29	36.54	37.21	5507382	205781664.00
2011/12/05	37.41	37.48	35.94	36.08	6437901	237600960.00
2011/12/06	36.09	36.09	34.59	34.89	8038552	285264608.00
2011/12/07	34.94	35.44	34.94	35.25	3280035	116625704.00
2011/12/08	35.42	35.70	34.94	35.28	3164585	113051248.00
2011/12/09	34.88	35.18	34.70	34.76	3594039	126822808.00
2011/12/12	34.99	35.01	34.39	34.39	4275841	149715856.00
2011/12/13	33.79	33.80	32.47	32.98	9503518	317085632.00
2011/12/14	32.79	32.94	31.80	31.97	5531793	181467120.00
2011/12/15	30.67	30.76	29.47	29.57	12233174	372033952.00
2011/12/16	29.51	30.04	28.59	29.82	13292277	396906112.00
2011/12/19	29.85	29.86	28.37	29.25	10062774	294603680.00
2011/12/20	29.16	29.59	28.91	29.23	5594253	166242384.00
2011/12/21	29.65	29.86	28.62	28.97	6627592	198077648.00
2011/12/22	28.59	28.65	27.75	28.48	8542145	243306080.00
2011/12/23	28.17	28.99	28.09	28.64	5362747	155462416.00
2011/12/26	28.41	29.00	28.19	28.43	4006349	116030568.00
2011/12/27	28.29	28.62	28.05	28.06	4406826	126616888.00
